Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000526428,-0.002397537,0.014122009,0,
00:00.0,-0.000509262,-0.002397537,0.014127731,0,
00:00.0,-0.000509262,-0.002391815,0.014139175,0,
00:00.0,-0.000492096,-0.002391815,0.014122009,0,
00:00.0,-0.000492096,-0.002391815,0.014122009,0,
00:00.0,-0.000497818,-0.002391815,0.014122009,0,
00:00.0,-0.000509262,-0.002403259,0.014139175,0,
00:00.0,-0.000514984,-0.002414703,0.014110565,0,
00:00.0,-0.000509262,-0.002420425,0.014116287,0,
00:00.0,-0.000492096,-0.002386093,0.014127731,0,
00:00.0,-0.00050354,-0.002386093,0.014122009,0,
00:00.0,-0.00050354,-0.002397537,0.014122009,0,
00:00.0,-0.000492096,-0.002397537,0.014116287,0,
00:00.1,-0.000480652,-0.002397537,0.014110565,0,
00:00.1,-0.000497818,-0.002408981,0.014116287,0,
00:00.1,-0.000486374,-0.002403259,0.014099121,0,
00:00.1,-0.00050354,-0.002391815,0.014104843,0,
00:00.1,-0.000526428,-0.002420425,0.014133453,0,
00:00.1,-0.000514984,-0.002408981,0.014127731,0,
00:00.1,-0.00050354,-0.002391815,0.014110565,0,
00:00.1,-0.000497818,-0.002397537,0.014110565,0,
00:00.1,-0.00050354,-0.002403259,0.014122009,0,
00:00.1,-0.000497818,-0.002397537,0.014110565,0,
00:00.1,-0.00050354,-0.002397537,0.014110565,0,
00:00.1,-0.00050354,-0.002391815,0.014127731,0,
00:00.1,-0.000457764,-0.002408981,0.014110565,0,
00:00.1,-0.000497818,-0.002391815,0.014099121,0,
00:00.1,-0.000543594,-0.002391815,0.014127731,0,
00:00.1,-0.000486374,-0.002391815,0.014133453,0,
00:00.1,-0.000480652,-0.002386093,0.014133453,0,
00:00.1,-0.000514984,-0.002391815,0.014110565,0,
00:00.1,-0.00050354,-0.002391815,0.014116287,0,
00:00.1,-0.000497818,-0.002397537,0.014127731,0,
00:00.1,-0.00050354,-0.002391815,0.014122009,0,
00:00.1,-0.000492096,-0.002386093,0.014104843,0,
00:00.1,-0.000492096,-0.002391815,0.014122009,0,
00:00.1,-0.000469208,-0.002403259,0.014127731,0,
00:00.1,-0.000509262,-0.002414703,0.014127731,0,
00:00.2,-0.000514984,-0.002403259,0.014104843,0,
00:00.2,-0.000497818,-0.002386093,0.014127731,0,
00:00.2,-0.000497818,-0.002403259,0.014122009,0,
00:00.2,-0.000509262,-0.002414703,0.014110565,0,
00:00.2,-0.000514984,-0.002397537,0.014122009,0,
00:00.2,-0.00047493,-0.002380371,0.014116287,0,
00:00.2,-0.000469208,-0.002386093,0.014116287,0,
00:00.2,-0.000497818,-0.002391815,0.014122009,0,
00:00.2,-0.000514984,-0.002397537,0.014122009,0,
00:00.2,-0.000520706,-0.002403259,0.014110565,0,
00:00.2,-0.000497818,-0.002391815,0.014093399,0,
00:00.2,-0.000497818,-0.002391815,0.014122009,0,
00:00.2,-0.000514984,-0.002414703,0.014122009,0,
00:00.2,-0.00050354,-0.002397537,0.014127731,0,
00:00.2,-0.000497818,-0.002391815,0.014104843,0,
00:00.2,-0.000497818,-0.002403259,0.014116287,0,
00:00.2,-0.00050354,-0.002403259,0.014133453,0,
00:00.2,-0.000497818,-0.002397537,0.014116287,0,
00:00.2,-0.000497818,-0.002403259,0.014122009,0,
00:00.2,-0.000492096,-0.002391815,0.014133453,0,
00:00.2,-0.000463486,-0.002386093,0.014116287,0,
00:00.2,-0.000492096,-0.002386093,0.014110565,0,
00:00.2,-0.000497818,-0.002397537,0.014110565,0,
00:00.2,-0.000526428,-0.002420425,0.014127731,0,
00:00.2,-0.00050354,-0.002408981,0.014122009,0,
00:00.3,-0.000469208,-0.002397537,0.014122009,0,
00:00.3,-0.000509262,-0.002386093,0.014104843,0,
00:00.3,-0.000514984,-0.002374649,0.014116287,0,
00:00.3,-0.00050354,-0.002391815,0.014133453,0,
00:00.3,-0.00050354,-0.002397537,0.014116287,0,
00:00.3,-0.00050354,-0.002403259,0.014116287,0,
00:00.3,-0.00050354,-0.002403259,0.014116287,0,
00:00.3,-0.000497818,-0.002403259,0.014122009,0,
00:00.3,-0.000509262,-0.002397537,0.014139175,0,
00:00.3,-0.000492096,-0.002391815,0.014116287,0,
00:00.3,-0.000469208,-0.002414703,0.014110565,0,
00:00.3,-0.000514984,-0.002420425,0.014116287,0,
00:00.3,-0.000514984,-0.002403259,0.014127731,0,
00:00.3,-0.00050354,-0.002397537,0.014133453,0,
00:00.3,-0.000492096,-0.002368927,0.014116287,0,
00:00.3,-0.000497818,-0.002391815,0.014116287,0,
00:00.3,-0.000486374,-0.002397537,0.014133453,0,
00:00.3,-0.000463486,-0.002403259,0.014116287,0,
00:00.3,-0.000514984,-0.002403259,0.014110565,0,
00:00.3,-0.000514984,-0.002403259,0.014110565,0,
00:00.3,-0.00047493,-0.002391815,0.014122009,0,
00:00.3,-0.000492096,-0.002391815,0.014127731,0,
00:00.3,-0.000526428,-0.002403259,0.014122009,0,
00:00.3,-0.000509262,-0.002386093,0.014127731,0,
00:00.3,-0.000497818,-0.002386093,0.014116287,0,
00:00.4,-0.00050354,-0.002391815,0.014110565,0,
00:00.4,-0.000492096,-0.002397537,0.014093399,0,
00:00.4,-0.000469208,-0.002414703,0.014110565,0,
00:00.4,-0.000509262,-0.002414703,0.01415062,0,
00:00.4,-0.000520706,-0.002408981,0.014139175,0,
00:00.4,-0.000509262,-0.002408981,0.014127731,0,
00:00.4,-0.000514984,-0.002391815,0.014116287,0,
00:00.4,-0.00050354,-0.002380371,0.014122009,0,
00:00.4,-0.000492096,-0.002391815,0.014127731,0,
00:00.4,-0.000492096,-0.002391815,0.014116287,0,
00:00.4,-0.000411987,-0.002386093,0.014122009,0,
