Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000389099,-0.001424789,0.012336731,0,
00:00.0,-0.000389099,-0.001419067,0.012336731,0,
00:00.0,-0.000389099,-0.001424789,0.012336731,0,
00:00.0,-0.000389099,-0.001441956,0.012325287,0,
00:00.0,-0.000389099,-0.001447678,0.012331009,0,
00:00.0,-0.000389099,-0.001436234,0.012331009,0,
00:00.0,-0.000394821,-0.001430511,0.012336731,0,
00:00.0,-0.000394821,-0.001436234,0.012336731,0,
00:00.0,-0.000394821,-0.001447678,0.012331009,0,
00:00.0,-0.000389099,-0.0014534,0.012325287,0,
00:00.0,-0.000389099,-0.0014534,0.012319565,0,
00:00.0,-0.000394821,-0.001436234,0.012336731,0,
00:00.0,-0.000389099,-0.001441956,0.012348175,0,
00:00.1,-0.000400543,-0.001459122,0.012342453,0,
00:00.1,-0.000394821,-0.001436234,0.012325287,0,
00:00.1,-0.000389099,-0.001424789,0.012331009,0,
00:00.1,-0.000389099,-0.001441956,0.012342453,0,
00:00.1,-0.000389099,-0.001441956,0.012342453,0,
00:00.1,-0.000383377,-0.001430511,0.012336731,0,
00:00.1,-0.000400543,-0.001436234,0.012331009,0,
00:00.1,-0.000394821,-0.001436234,0.012336731,0,
00:00.1,-0.000394821,-0.001459122,0.012342453,0,
00:00.1,-0.000400543,-0.001470566,0.012336731,0,
00:00.1,-0.000394821,-0.0014534,0.012342453,0,
00:00.1,-0.000394821,-0.0014534,0.012336731,0,
00:00.1,-0.000394821,-0.001436234,0.012331009,0,
00:00.1,-0.000389099,-0.001419067,0.012336731,0,
00:00.1,-0.000389099,-0.001419067,0.012342453,0,
00:00.1,-0.000389099,-0.001419067,0.012336731,0,
00:00.1,-0.000394821,-0.001430511,0.012331009,0,
00:00.1,-0.000394821,-0.001436234,0.012336731,0,
00:00.1,-0.000389099,-0.001447678,0.012348175,0,
00:00.1,-0.000394821,-0.001464844,0.012342453,0,
00:00.1,-0.000400543,-0.001464844,0.012325287,0,
00:00.1,-0.000389099,-0.001441956,0.012331009,0,
00:00.1,-0.000389099,-0.001419067,0.012342453,0,
00:00.1,-0.000389099,-0.001407623,0.012336731,0,
00:00.1,-0.000389099,-0.001436234,0.012325287,0,
00:00.2,-0.000394821,-0.001447678,0.012331009,0,
00:00.2,-0.000394821,-0.001441956,0.012342453,0,
00:00.2,-0.000389099,-0.001436234,0.012336731,0,
00:00.2,-0.000389099,-0.001441956,0.012336731,0,
00:00.2,-0.000400543,-0.001436234,0.012342453,0,
00:00.2,-0.000394821,-0.001441956,0.012342453,0,
00:00.2,-0.000389099,-0.001441956,0.012336731,0,
00:00.2,-0.000389099,-0.001447678,0.012331009,0,
00:00.2,-0.000389099,-0.001464844,0.012336731,0,
00:00.2,-0.000389099,-0.001470566,0.012336731,0,
00:00.2,-0.000394821,-0.001441956,0.012342453,0,
00:00.2,-0.000394821,-0.001419067,0.012342453,0,
00:00.2,-0.000394821,-0.001430511,0.012342453,0,
00:00.2,-0.000400543,-0.001447678,0.012342453,0,
00:00.2,-0.000394821,-0.0014534,0.012342453,0,
00:00.2,-0.000389099,-0.001436234,0.012336731,0,
00:00.2,-0.000377655,-0.001430511,0.012336731,0,
00:00.2,-0.000400543,-0.001424789,0.012331009,0,
00:00.2,-0.000394821,-0.001430511,0.012336731,0,
00:00.2,-0.000394821,-0.001436234,0.012342453,0,
00:00.2,-0.000389099,-0.001447678,0.012319565,0,
00:00.2,-0.000400543,-0.001441956,0.012331009,0,
00:00.2,-0.000400543,-0.001441956,0.012359619,0,
00:00.2,-0.000394821,-0.001441956,0.012353897,0,
00:00.2,-0.000394821,-0.001436234,0.012342453,0,
00:00.3,-0.000394821,-0.001441956,0.012331009,0,
00:00.3,-0.000394821,-0.001441956,0.012313843,0,
00:00.3,-0.000389099,-0.001430511,0.012331009,0,
00:00.3,-0.000394821,-0.001430511,0.012348175,0,
00:00.3,-0.000394821,-0.001441956,0.012348175,0,
00:00.3,-0.000400543,-0.001459122,0.012336731,0,
00:00.3,-0.000400543,-0.001459122,0.012342453,0,
00:00.3,-0.000400543,-0.001447678,0.012342453,0,
00:00.3,-0.000394821,-0.001419067,0.012342453,0,
00:00.3,-0.000389099,-0.001413345,0.012331009,0,
00:00.3,-0.000389099,-0.001436234,0.012331009,0,
00:00.3,-0.000389099,-0.001441956,0.012336731,0,
00:00.3,-0.000400543,-0.001459122,0.012342453,0,
00:00.3,-0.000400543,-0.001470566,0.012348175,0,
00:00.3,-0.000394821,-0.0014534,0.012342453,0,
00:00.3,-0.000389099,-0.001424789,0.012336731,0,
00:00.3,-0.000389099,-0.001424789,0.012336731,0,
00:00.3,-0.000389099,-0.001424789,0.012336731,0,
00:00.3,-0.000389099,-0.001424789,0.012331009,0,
00:00.3,-0.000394821,-0.001436234,0.012331009,0,
00:00.3,-0.000394821,-0.001447678,0.012319565,0,
00:00.3,-0.000400543,-0.0014534,0.012336731,0,
00:00.3,-0.000394821,-0.001436234,0.012348175,0,
00:00.3,-0.000394821,-0.001430511,0.012348175,0,
00:00.3,-0.000394821,-0.001436234,0.012336731,0,
00:00.4,-0.000389099,-0.001447678,0.012331009,0,
00:00.4,-0.000406265,-0.001447678,0.012331009,0,
00:00.4,-0.000400543,-0.001441956,0.012342453,0,
00:00.4,-0.000400543,-0.001430511,0.012336731,0,
00:00.4,-0.000394821,-0.001419067,0.012336731,0,
00:00.4,-0.000394821,-0.001424789,0.012342453,0,
00:00.4,-0.000389099,-0.0014534,0.012336731,0,
00:00.4,-0.000394821,-0.001459122,0.012331009,0,
00:00.4,-0.000394821,-0.001430511,0.012336731,0,
00:00.4,-0.000394821,-0.001441956,0.012342453,0,
00:00.4,-0.000400543,-0.0014534,0.012336731,0,
00:00.4,-0.000400543,-0.0014534,0.012336731,0,
00:00.4,-0.000400543,-0.001459122,0.012342453,0,
00:00.4,-0.000400543,-0.001470566,0.012342453,0,
00:00.4,-0.000394821,-0.001447678,0.012336731,0,
00:00.4,-0.000400543,-0.001413345,0.012325287,0,
00:00.4,-0.000389099,-0.001401901,0.012331009,0,
00:00.4,-0.000394821,-0.001430511,0.012342453,0,
00:00.4,-0.000400543,-0.001447678,0.012348175,0,
00:00.4,-0.000400543,-0.0014534,0.012336731,0,
00:00.4,-0.000400543,-0.001441956,0.012331009,0,
00:00.4,-0.000400543,-0.001441956,0.012336731,0,
00:00.4,-0.000400543,-0.001436234,0.012336731,0,
00:00.4,-0.000400543,-0.001424789,0.012331009,0,
00:00.4,-0.000389099,-0.001413345,0.012331009,0,
00:00.5,-0.000389099,-0.001424789,0.012319565,0,
00:00.5,-0.000400543,-0.001464844,0.012325287,0,
00:00.5,-0.000400543,-0.001464844,0.012348175,0,
00:00.5,-0.000400543,-0.001447678,0.012348175,0,
00:00.5,-0.000400543,-0.001424789,0.012342453,0,
00:00.5,-0.000394821,-0.001430511,0.012342453,0,
00:00.5,-0.000394821,-0.001447678,0.012331009,0,
00:00.5,-0.000394821,-0.001447678,0.012336731,0,
00:00.5,-0.000394821,-0.001447678,0.012336731,0,
00:00.5,-0.000406265,-0.001470566,0.012331009,0,
