Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000205994,-0.002374649,0.012605667,0,
00:00.0,-0.000205994,-0.002363205,0.012611389,0,
00:00.0,-0.000200272,-0.002357483,0.012622833,0,
00:00.0,-0.000200272,-0.002357483,0.012622833,0,
00:00.0,-0.00019455,-0.002363205,0.012622833,0,
00:00.0,-0.00019455,-0.002363205,0.012617111,0,
00:00.0,-0.00019455,-0.002357483,0.012622833,0,
00:00.0,-0.00019455,-0.002357483,0.012628555,0,
00:00.0,-0.00019455,-0.002363205,0.012628555,0,
00:00.0,-0.00019455,-0.002363205,0.012634277,0,
00:00.0,-0.00019455,-0.002368927,0.012639999,0,
00:00.0,-0.00019455,-0.002368927,0.012639999,0,
00:00.0,-0.00019455,-0.002357483,0.012639999,0,
00:00.1,-0.000188828,-0.002363205,0.012639999,0,
00:00.1,-0.00019455,-0.002368927,0.012634277,0,
00:00.1,-0.000188828,-0.002363205,0.012645721,0,
00:00.1,-0.000188828,-0.002357483,0.012651443,0,
00:00.1,-0.000188828,-0.002351761,0.012651443,0,
00:00.1,-0.000188828,-0.002351761,0.012651443,0,
00:00.1,-0.000188828,-0.002357483,0.012657166,0,
00:00.1,-0.000188828,-0.002363205,0.012662888,0,
00:00.1,-0.000188828,-0.002363205,0.01266861,0,
00:00.1,-0.000188828,-0.002363205,0.01266861,0,
00:00.1,-0.00019455,-0.002363205,0.01266861,0,
00:00.1,-0.000188828,-0.002363205,0.012674332,0,
00:00.1,-0.000188828,-0.002363205,0.012674332,0,
00:00.1,-0.000188828,-0.002363205,0.012674332,0,
00:00.1,-0.000188828,-0.002357483,0.012685776,0,
00:00.1,-0.000188828,-0.002351761,0.012680054,0,
00:00.1,-0.000183105,-0.002357483,0.012674332,0,
00:00.1,-0.000183105,-0.002363205,0.012685776,0,
00:00.1,-0.000183105,-0.002368927,0.01269722,0,
00:00.1,-0.000183105,-0.002368927,0.01269722,0,
00:00.1,-0.000177383,-0.002351761,0.01269722,0,
00:00.1,-0.000177383,-0.002357483,0.01269722,0,
00:00.1,-0.000177383,-0.002351761,0.01269722,0,
00:00.1,-0.000177383,-0.002363205,0.01269722,0,
00:00.1,-0.000177383,-0.002363205,0.012708664,0,
00:00.2,-0.000177383,-0.002363205,0.012714386,0,
00:00.2,-0.000177383,-0.002363205,0.012714386,0,
00:00.2,-0.000177383,-0.002351761,0.012714386,0,
00:00.2,-0.000177383,-0.002357483,0.012720108,0,
00:00.2,-0.000177383,-0.002363205,0.012720108,0,
00:00.2,-0.000177383,-0.002357483,0.01272583,0,
00:00.2,-0.000171661,-0.002357483,0.012731552,0,
00:00.2,-0.000171661,-0.002357483,0.012731552,0,
00:00.2,-0.000171661,-0.002363205,0.012737274,0,
00:00.2,-0.000171661,-0.002363205,0.012737274,0,
00:00.2,-0.000171661,-0.002363205,0.012742996,0,
00:00.2,-0.000171661,-0.002363205,0.012737274,0,
00:00.2,-0.000171661,-0.002363205,0.012742996,0,
00:00.2,-0.000171661,-0.002357483,0.012742996,0,
00:00.2,-0.000171661,-0.002351761,0.01275444,0,
00:00.2,-0.000171661,-0.002357483,0.012760162,0,
00:00.2,-0.000171661,-0.002351761,0.01275444,0,
00:00.2,-0.000171661,-0.002357483,0.012760162,0,
00:00.2,-0.000171661,-0.002368927,0.012760162,0,
00:00.2,-0.000165939,-0.002363205,0.012765884,0,
00:00.2,-0.000171661,-0.002357483,0.012765884,0,
00:00.2,-0.000171661,-0.002363205,0.012765884,0,
00:00.2,-0.000171661,-0.002363205,0.012771606,0,
00:00.2,-0.000171661,-0.002357483,0.012771606,0,
00:00.2,-0.000171661,-0.002357483,0.012777328,0,
00:00.3,-0.000171661,-0.002363205,0.012777328,0,
00:00.3,-0.000165939,-0.002368927,0.012777328,0,
00:00.3,-0.000171661,-0.002363205,0.012777328,0,
00:00.3,-0.000171661,-0.002357483,0.012783051,0,
00:00.3,-0.000165939,-0.002357483,0.012788773,0,
00:00.3,-0.000165939,-0.002363205,0.012788773,0,
00:00.3,-0.000165939,-0.002363205,0.012788773,0,
00:00.3,-0.000165939,-0.002363205,0.012788773,0,
00:00.3,-0.000165939,-0.002357483,0.012794495,0,
00:00.3,-0.000165939,-0.002357483,0.012800217,0,
00:00.3,-0.000171661,-0.002357483,0.012805939,0,
00:00.3,-0.000165939,-0.002357483,0.012800217,0,
00:00.3,-0.000165939,-0.002357483,0.012800217,0,
00:00.3,-0.000165939,-0.002363205,0.012805939,0,
00:00.3,-0.000165939,-0.002363205,0.012811661,0,
00:00.3,-0.000165939,-0.002357483,0.012817383,0,
00:00.3,-0.000165939,-0.002357483,0.012811661,0,
00:00.3,-0.000165939,-0.002351761,0.012817383,0,
00:00.3,-0.000165939,-0.002363205,0.012828827,0,
00:00.3,-0.000165939,-0.002368927,0.012828827,0,
00:00.3,-0.000165939,-0.002368927,0.012828827,0,
00:00.3,-0.000160217,-0.002351761,0.012828827,0,
00:00.3,-0.000165939,-0.002351761,0.012828827,0,
00:00.3,-0.000165939,-0.002357483,0.012834549,0,
00:00.3,-0.000160217,-0.002357483,0.012840271,0,
00:00.4,-0.000165939,-0.002363205,0.012845993,0,
00:00.4,-0.000165939,-0.002363205,0.012840271,0,
00:00.4,-0.000165939,-0.002363205,0.012840271,0,
00:00.4,-0.000165939,-0.002363205,0.012840271,0,
00:00.4,-0.000165939,-0.002363205,0.012851715,0,
00:00.4,-0.000165939,-0.002368927,0.012851715,0,
00:00.4,-0.000165939,-0.002363205,0.012851715,0,
00:00.4,-0.000160217,-0.002357483,0.012851715,0,
00:00.4,-0.000160217,-0.002357483,0.012857437,0,
00:00.4,-0.000160217,-0.002351761,0.012857437,0,
00:00.4,-0.000160217,-0.002357483,0.012857437,0,
00:00.4,-0.000165939,-0.002368927,0.012863159,0,
00:00.4,-0.000165939,-0.002368927,0.012863159,0,
00:00.4,-0.000160217,-0.002363205,0.012868881,0,
00:00.4,-0.000160217,-0.002357483,0.012868881,0,
