Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000137329,-0.001367569,0.011924744,0,
00:00.0,-0.000143051,-0.001367569,0.011930466,0,
00:00.0,-0.000143051,-0.001373291,0.011924744,0,
00:00.0,-0.000137329,-0.001367569,0.011936188,0,
00:00.0,-0.000143051,-0.001373291,0.011930466,0,
00:00.0,-0.000143051,-0.001373291,0.011919022,0,
00:00.0,-0.000143051,-0.001367569,0.011930466,0,
00:00.0,-0.000148773,-0.001367569,0.011924744,0,
00:00.0,-0.000143051,-0.001373291,0.011924744,0,
00:00.0,-0.000148773,-0.001379013,0.011924744,0,
00:00.0,-0.000143051,-0.001373291,0.011919022,0,
00:00.0,-0.000148773,-0.001373291,0.011919022,0,
00:00.0,-0.000148773,-0.001373291,0.011919022,0,
00:00.1,-0.000148773,-0.001373291,0.011924744,0,
00:00.1,-0.000148773,-0.001373291,0.0119133,0,
00:00.1,-0.000125885,-0.001361847,0.011907578,0,
00:00.1,-0.000160217,-0.001373291,0.011896133,0,
00:00.1,-0.000177383,-0.001361847,0.0119133,0,
00:00.1,-0.000131607,-0.001361847,0.011924744,0,
00:00.1,-0.000143051,-0.001379013,0.0119133,0,
00:00.1,-0.000137329,-0.001373291,0.0119133,0,
00:00.1,-0.000154495,-0.001373291,0.0119133,0,
00:00.1,-0.000148773,-0.001373291,0.011901855,0,
00:00.1,-0.000143051,-0.001361847,0.011919022,0,
00:00.1,-0.000143051,-0.001361847,0.011907578,0,
00:00.1,-0.000143051,-0.001367569,0.011901855,0,
00:00.1,-0.000143051,-0.001373291,0.011907578,0,
00:00.1,-0.000154495,-0.001373291,0.0119133,0,
00:00.1,-0.000154495,-0.001367569,0.011907578,0,
00:00.1,-0.000154495,-0.001373291,0.011901855,0,
00:00.1,-0.000154495,-0.001367569,0.011896133,0,
00:00.1,-0.000148773,-0.001373291,0.011896133,0,
00:00.1,-0.000148773,-0.001373291,0.011884689,0,
00:00.1,-0.000154495,-0.001367569,0.0119133,0,
00:00.1,-0.000148773,-0.001367569,0.011901855,0,
00:00.1,-0.000160217,-0.001379013,0.011896133,0,
00:00.1,-0.000165939,-0.001379013,0.011901855,0,
00:00.1,-0.000143051,-0.001373291,0.011901855,0,
00:00.2,-0.000143051,-0.001367569,0.011884689,0,
00:00.2,-0.000143051,-0.001367569,0.011890411,0,
00:00.2,-0.000137329,-0.001367569,0.011890411,0,
00:00.2,-0.000160217,-0.001361847,0.011878967,0,
00:00.2,-0.000160217,-0.001367569,0.011901855,0,
00:00.2,-0.000143051,-0.001379013,0.011901855,0,
00:00.2,-0.000148773,-0.001379013,0.011890411,0,
00:00.2,-0.000154495,-0.001379013,0.011884689,0,
00:00.2,-0.000148773,-0.001373291,0.011884689,0,
00:00.2,-0.000148773,-0.001367569,0.011884689,0,
00:00.2,-0.000154495,-0.001367569,0.011884689,0,
00:00.2,-0.000148773,-0.001367569,0.011878967,0,
00:00.2,-0.000143051,-0.001367569,0.011878967,0,
00:00.2,-0.000154495,-0.001373291,0.011884689,0,
00:00.2,-0.000148773,-0.001373291,0.011890411,0,
00:00.2,-0.000154495,-0.001379013,0.011878967,0,
00:00.2,-0.000154495,-0.001373291,0.011884689,0,
00:00.2,-0.000154495,-0.001379013,0.011867523,0,
00:00.2,-0.000148773,-0.001367569,0.011873245,0,
00:00.2,-0.000171661,-0.001379013,0.011873245,0,
00:00.2,-0.000154495,-0.001373291,0.011878967,0,
00:00.2,-0.000143051,-0.001373291,0.011867523,0,
00:00.2,-0.000154495,-0.001373291,0.011873245,0,
00:00.2,-0.000148773,-0.001373291,0.011884689,0,
00:00.2,-0.000154495,-0.001373291,0.011873245,0,
00:00.3,-0.000154495,-0.001367569,0.011867523,0,
00:00.3,-0.000154495,-0.001367569,0.011856079,0,
00:00.3,-0.000154495,-0.001361847,0.011844635,0,
00:00.3,-0.000171661,-0.001367569,0.011856079,0,
00:00.3,-0.000165939,-0.001379013,0.011878967,0,
00:00.3,-0.000148773,-0.001373291,0.011873245,0,
00:00.3,-0.000154495,-0.001373291,0.011856079,0,
00:00.3,-0.000154495,-0.001379013,0.011856079,0,
00:00.3,-0.000143051,-0.001373291,0.011861801,0,
00:00.3,-0.000131607,-0.001367569,0.011861801,0,
00:00.3,-0.000160217,-0.001373291,0.011856079,0,
00:00.3,-0.000165939,-0.001373291,0.011873245,0,
00:00.3,-0.000148773,-0.001373291,0.011861801,0,
00:00.3,-0.000143051,-0.001373291,0.011856079,0,
00:00.3,-0.000148773,-0.001373291,0.011867523,0,
00:00.3,-0.000148773,-0.001379013,0.011856079,0,
00:00.3,-0.000148773,-0.001379013,0.011838913,0,
00:00.3,-0.000148773,-0.001367569,0.011850357,0,
00:00.3,-0.000154495,-0.001379013,0.011856079,0,
00:00.3,-0.000148773,-0.001373291,0.011856079,0,
00:00.3,-0.000160217,-0.001379013,0.011861801,0,
00:00.3,-0.000154495,-0.001384735,0.011856079,0,
00:00.3,-0.000148773,-0.001373291,0.011850357,0,
00:00.3,-0.000148773,-0.001373291,0.011844635,0,
00:00.3,-0.000137329,-0.001367569,0.011850357,0,
00:00.4,-0.000148773,-0.001367569,0.011850357,0,
00:00.4,-0.000165939,-0.001373291,0.011856079,0,
00:00.4,-0.000143051,-0.001379013,0.011850357,0,
00:00.4,-0.000137329,-0.001367569,0.011844635,0,
00:00.4,-0.000143051,-0.001373291,0.011844635,0,
00:00.4,-0.000148773,-0.001367569,0.011850357,0,
00:00.4,-0.000137329,-0.001373291,0.011827469,0,
00:00.4,-0.000160217,-0.001373291,0.011838913,0,
00:00.4,-0.000143051,-0.001373291,0.011850357,0,
00:00.4,-0.000143051,-0.001373291,0.011838913,0,
00:00.4,-0.000148773,-0.001379013,0.011856079,0,
00:00.4,-0.000143051,-0.001373291,0.011856079,0,
00:00.4,-0.000154495,-0.001379013,0.011850357,0,
00:00.4,-0.000148773,-0.001373291,0.011850357,0,
00:00.4,-0.000143051,-0.001373291,0.011838913,0,
00:00.4,-0.000148773,-0.001373291,0.011844635,0,
00:00.4,-0.000143051,-0.001367569,0.011827469,0,
00:00.4,-0.000137329,-0.001367569,0.011833191,0,
00:00.4,-0.000148773,-0.001379013,0.011850357,0,
00:00.4,-0.000148773,-0.001384735,0.011844635,0,
00:00.4,-0.000148773,-0.001384735,0.011850357,0,
00:00.4,-0.000148773,-0.001384735,0.011838913,0,
00:00.4,-0.000143051,-0.001373291,0.011833191,0,
00:00.4,-0.000137329,-0.001367569,0.011833191,0,
00:00.4,-0.000143051,-0.001373291,0.011833191,0,
00:00.5,-0.000148773,-0.001379013,0.011844635,0,
00:00.5,-0.000148773,-0.001390457,0.011844635,0,
00:00.5,-0.000143051,-0.001379013,0.011844635,0,
00:00.5,-0.000154495,-0.001373291,0.011833191,0,
00:00.5,-0.000160217,-0.001373291,0.011827469,0,
00:00.5,-0.000148773,-0.001367569,0.011838913,0,
00:00.5,-0.000137329,-0.001379013,0.011833191,0,
00:00.5,-0.000137329,-0.001373291,0.011844635,0,
00:00.5,-0.000131607,-0.001373291,0.011838913,0,
00:00.5,-0.000143051,-0.001379013,0.011838913,0,
00:00.5,-0.000143051,-0.001379013,0.011844635,0,
00:00.5,-0.000148773,-0.001379013,0.011838913,0,
00:00.5,-0.000143051,-0.001379013,0.011838913,0,
00:00.5,-0.000143051,-0.001390457,0.011827469,0,
00:00.5,-0.000131607,-0.001373291,0.011827469,0,
00:00.5,-0.000143051,-0.001379013,0.011833191,0,
00:00.5,-0.000154495,-0.001379013,0.011844635,0,
00:00.5,-0.000154495,-0.001379013,0.011838913,0,
00:00.5,-0.000148773,-0.001379013,0.011833191,0,
00:00.5,-0.000154495,-0.001390457,0.011833191,0,
00:00.5,-0.000148773,-0.001384735,0.011827469,0,
00:00.5,-0.000154495,-0.001379013,0.011833191,0,
00:00.5,-0.000160217,-0.001379013,0.011838913,0,
00:00.5,-0.000143051,-0.001379013,0.011827469,0,
00:00.5,-0.000137329,-0.001367569,0.011844635,0,
00:00.6,-0.000160217,-0.001373291,0.011833191,0,
00:00.6,-0.000148773,-0.001390457,0.011821747,0,
00:00.6,-0.000143051,-0.001384735,0.011827469,0,
