Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.00100708,-0.00198555,0.012044907,0,
00:00.0,-0.000995636,-0.001962662,0.012033463,0,
00:00.0,-0.000984192,-0.001928329,0.012016296,0,
00:00.0,-0.00100708,-0.002037048,0.012016296,0,
00:00.0,-0.001001358,-0.002019882,0.012022018,0,
00:00.0,-0.000995636,-0.002008438,0.012022018,0,
00:00.0,-0.000984192,-0.001962662,0.012033463,0,
00:00.0,-0.000984192,-0.001951218,0.012022018,0,
00:00.0,-0.000989914,-0.001979828,0.012016296,0,
00:00.0,-0.000984192,-0.001979828,0.01202774,0,
00:00.0,-0.00097847,-0.001974106,0.012016296,0,
00:00.0,-0.000972748,-0.001968384,0.01202774,0,
00:00.0,-0.000972748,-0.001974106,0.01202774,0,
00:00.1,-0.000972748,-0.001991272,0.012022018,0,
00:00.1,-0.000972748,-0.001991272,0.012016296,0,
00:00.1,-0.000967026,-0.001945496,0.012016296,0,
00:00.1,-0.000972748,-0.001974106,0.012022018,0,
00:00.1,-0.000972748,-0.002008438,0.012016296,0,
00:00.1,-0.000961304,-0.001945496,0.012016296,0,
00:00.1,-0.000961304,-0.001939774,0.01202774,0,
00:00.1,-0.000961304,-0.001962662,0.01202774,0,
00:00.1,-0.000955582,-0.001945496,0.012022018,0,
00:00.1,-0.00094986,-0.001945496,0.012022018,0,
00:00.1,-0.000955582,-0.00195694,0.012010574,0,
00:00.1,-0.000955582,-0.001968384,0.012010574,0,
00:00.1,-0.00094986,-0.001945496,0.012022018,0,
00:00.1,-0.000944138,-0.001945496,0.012010574,0,
00:00.1,-0.000938416,-0.001962662,0.01202774,0,
00:00.1,-0.000938416,-0.001928329,0.012033463,0,
00:00.1,-0.000938416,-0.001951218,0.012033463,0,
00:00.1,-0.000932693,-0.001928329,0.012039185,0,
00:00.1,-0.000932693,-0.001939774,0.012033463,0,
00:00.1,-0.000921249,-0.001922607,0.012022018,0,
00:00.1,-0.000932693,-0.001962662,0.012022018,0,
00:00.1,-0.000932693,-0.001951218,0.01202774,0,
00:00.1,-0.000921249,-0.001928329,0.012033463,0,
00:00.1,-0.000915527,-0.001905441,0.01202774,0,
00:00.1,-0.000921249,-0.001962662,0.012033463,0,
00:00.2,-0.000915527,-0.001968384,0.012033463,0,
00:00.2,-0.000915527,-0.001991272,0.01202774,0,
00:00.2,-0.000915527,-0.00195694,0.01202774,0,
00:00.2,-0.000898361,-0.001859665,0.012022018,0,
00:00.2,-0.000892639,-0.001882553,0.012044907,0,
00:00.2,-0.000909805,-0.001934052,0.012039185,0,
00:00.2,-0.000909805,-0.00195694,0.01202774,0,
00:00.2,-0.000904083,-0.00195694,0.012044907,0,
00:00.2,-0.000898361,-0.001939774,0.012050629,0,
00:00.2,-0.000898361,-0.001928329,0.012062073,0,
00:00.2,-0.000904083,-0.001939774,0.012050629,0,
00:00.2,-0.000886917,-0.001905441,0.012062073,0,
00:00.2,-0.000898361,-0.001934052,0.012056351,0,
00:00.2,-0.000892639,-0.001888275,0.012056351,0,
00:00.2,-0.000892639,-0.001911163,0.012062073,0,
00:00.2,-0.000898361,-0.001934052,0.012062073,0,
00:00.2,-0.000904083,-0.00195694,0.012062073,0,
00:00.2,-0.000892639,-0.001928329,0.012073517,0,
00:00.2,-0.000892639,-0.001911163,0.012056351,0,
00:00.2,-0.000892639,-0.001939774,0.012056351,0,
00:00.2,-0.000892639,-0.00195694,0.012079239,0,
00:00.2,-0.000886917,-0.001939774,0.012079239,0,
00:00.2,-0.000886917,-0.001899719,0.012079239,0,
00:00.2,-0.000886917,-0.001916885,0.012073517,0,
00:00.2,-0.000875473,-0.001905441,0.012073517,0,
00:00.3,-0.000875473,-0.001899719,0.012067795,0,
00:00.3,-0.000875473,-0.001928329,0.012079239,0,
00:00.3,-0.000875473,-0.001916885,0.012084961,0,
00:00.3,-0.000864029,-0.001865387,0.012084961,0,
00:00.3,-0.000869751,-0.001905441,0.012079239,0,
00:00.3,-0.000875473,-0.001945496,0.012084961,0,
00:00.3,-0.000869751,-0.001934052,0.012090683,0,
00:00.3,-0.000858307,-0.001882553,0.012113571,0,
00:00.3,-0.000846863,-0.001871109,0.012107849,0,
00:00.3,-0.000864029,-0.001911163,0.012090683,0,
00:00.3,-0.000869751,-0.001916885,0.012102127,0,
00:00.3,-0.000864029,-0.001911163,0.012107849,0,
00:00.3,-0.000858307,-0.001916885,0.012113571,0,
00:00.3,-0.000846863,-0.001888275,0.012113571,0,
00:00.3,-0.000864029,-0.001911163,0.012113571,0,
00:00.3,-0.000869751,-0.001928329,0.012119293,0,
00:00.3,-0.000858307,-0.001911163,0.012119293,0,
00:00.3,-0.000852585,-0.001893997,0.012119293,0,
00:00.3,-0.000852585,-0.001939774,0.012119293,0,
00:00.3,-0.000846863,-0.001916885,0.012125015,0,
00:00.3,-0.000846863,-0.001876831,0.012142181,0,
00:00.3,-0.000835419,-0.001876831,0.012136459,0,
00:00.3,-0.000841141,-0.001882553,0.012119293,0,
00:00.3,-0.000841141,-0.001911163,0.012119293,0,
00:00.3,-0.000846863,-0.001934052,0.012125015,0,
00:00.4,-0.000835419,-0.001905441,0.012125015,0,
00:00.4,-0.000823975,-0.001876831,0.012130737,0,
00:00.4,-0.000823975,-0.001876831,0.012130737,0,
00:00.4,-0.000823975,-0.001911163,0.012136459,0,
00:00.4,-0.000823975,-0.001911163,0.012130737,0,
00:00.4,-0.000818253,-0.001905441,0.012130737,0,
00:00.4,-0.000823975,-0.001905441,0.012136459,0,
00:00.4,-0.000823975,-0.001911163,0.012136459,0,
00:00.4,-0.000818253,-0.001905441,0.012136459,0,
00:00.4,-0.000812531,-0.001893997,0.012130737,0,
00:00.4,-0.000818253,-0.001876831,0.012136459,0,
00:00.4,-0.000818253,-0.001922607,0.012159348,0,
00:00.4,-0.000806808,-0.001888275,0.012153625,0,
00:00.4,-0.000806808,-0.001882553,0.012147903,0,
00:00.4,-0.000801086,-0.001876831,0.012142181,0,
00:00.4,-0.000806808,-0.001905441,0.012142181,0,
00:00.4,-0.000812531,-0.001922607,0.012159348,0,
00:00.4,-0.000806808,-0.001916885,0.012159348,0,
00:00.4,-0.000801086,-0.001871109,0.012147903,0,
00:00.4,-0.000795364,-0.001893997,0.012153625,0,
00:00.4,-0.000789642,-0.001888275,0.012153625,0,
00:00.4,-0.000778198,-0.001842499,0.012159348,0,
00:00.4,-0.00078392,-0.001865387,0.01216507,0,
00:00.4,-0.000801086,-0.001922607,0.01216507,0,
00:00.4,-0.000795364,-0.001916885,0.012153625,0,
00:00.5,-0.00078392,-0.001876831,0.01216507,0,
00:00.5,-0.000789642,-0.001893997,0.012170792,0,
00:00.5,-0.000795364,-0.001899719,0.012170792,0,
00:00.5,-0.00078392,-0.001888275,0.012170792,0,
00:00.5,-0.000772476,-0.001888275,0.012170792,0,
00:00.5,-0.00078392,-0.001893997,0.012170792,0,
00:00.5,-0.000789642,-0.001888275,0.012176514,0,
00:00.5,-0.00078392,-0.001882553,0.012176514,0,
00:00.5,-0.000778198,-0.001876831,0.012182236,0,
00:00.5,-0.000766754,-0.001859665,0.012182236,0,
00:00.5,-0.000772476,-0.001893997,0.012176514,0,
00:00.5,-0.000772476,-0.001888275,0.012176514,0,
00:00.5,-0.000772476,-0.001876831,0.012176514,0,
00:00.5,-0.000766754,-0.001853943,0.012187958,0,
00:00.5,-0.000778198,-0.001893997,0.01219368,0,
00:00.5,-0.000778198,-0.001911163,0.012199402,0,
00:00.5,-0.000778198,-0.001911163,0.01219368,0,
00:00.5,-0.000766754,-0.001871109,0.012187958,0,
00:00.5,-0.000761032,-0.001842499,0.012182236,0,
00:00.5,-0.000766754,-0.001865387,0.012187958,0,
00:00.5,-0.000766754,-0.001882553,0.01219368,0,
00:00.5,-0.000766754,-0.001871109,0.012187958,0,
00:00.5,-0.000766754,-0.001899719,0.012199402,0,
00:00.5,-0.00075531,-0.001871109,0.01219368,0,
00:00.5,-0.00075531,-0.001842499,0.01219368,0,
00:00.6,-0.000761032,-0.001882553,0.012199402,0,
00:00.6,-0.000761032,-0.001871109,0.01219368,0,
00:00.6,-0.00075531,-0.001859665,0.01219368,0,
00:00.6,-0.000749588,-0.001848221,0.012187958,0,
00:00.6,-0.000761032,-0.001882553,0.01219368,0,
00:00.6,-0.000766754,-0.001888275,0.012205124,0,
00:00.6,-0.000761032,-0.001899719,0.012210846,0,
00:00.6,-0.00075531,-0.001865387,0.012210846,0,
00:00.6,-0.000749588,-0.001865387,0.012216568,0,
00:00.6,-0.000749588,-0.001848221,0.012205124,0,
00:00.6,-0.000743866,-0.001831055,0.012210846,0,
00:00.6,-0.000743866,-0.001853943,0.012210846,0,
00:00.6,-0.000738144,-0.001842499,0.012205124,0,
00:00.6,-0.00075531,-0.001876831,0.012205124,0,
00:00.6,-0.000761032,-0.001888275,0.01219368,0,
00:00.6,-0.000749588,-0.001871109,0.012205124,0,
00:00.6,-0.000749588,-0.001859665,0.012216568,0,
00:00.6,-0.000749588,-0.001865387,0.012216568,0,
00:00.6,-0.000738144,-0.001848221,0.012210846,0,
00:00.6,-0.000732422,-0.001831055,0.01222229,0,
00:00.6,-0.000743866,-0.001853943,0.01222229,0,
00:00.6,-0.000749588,-0.001876831,0.012216568,0,
00:00.6,-0.000743866,-0.001859665,0.01222229,0,
00:00.6,-0.000738144,-0.001865387,0.012228012,0,
00:00.6,-0.000732422,-0.001853943,0.01222229,0,
00:00.7,-0.0007267,-0.001825333,0.012210846,0,
00:00.7,-0.000715256,-0.001773834,0.01222229,0,
00:00.7,-0.000738144,-0.001853943,0.01222229,0,
00:00.7,-0.000738144,-0.001882553,0.012228012,0,
00:00.7,-0.0007267,-0.001836777,0.012216568,0,
00:00.7,-0.0007267,-0.001859665,0.012216568,0,
00:00.7,-0.000738144,-0.001888275,0.012228012,0,
00:00.7,-0.0007267,-0.001842499,0.012233734,0,
00:00.7,-0.000720978,-0.001853943,0.012228012,0,
00:00.7,-0.000720978,-0.001825333,0.012233734,0,
00:00.7,-0.0007267,-0.001842499,0.012233734,0,
00:00.7,-0.0007267,-0.001882553,0.012233734,0,
00:00.7,-0.000720978,-0.001825333,0.012239456,0,
00:00.7,-0.000715256,-0.001819611,0.0122509,0,
00:00.7,-0.000715256,-0.001836777,0.012233734,0,
00:00.7,-0.000715256,-0.001842499,0.012228012,0,
00:00.7,-0.000709534,-0.001842499,0.012228012,0,
00:00.7,-0.000720978,-0.001893997,0.012239456,0,
00:00.7,-0.000715256,-0.001842499,0.0122509,0,
00:00.7,-0.000715256,-0.001842499,0.012262344,0,
00:00.7,-0.000715256,-0.001853943,0.0122509,0,
00:00.7,-0.000709534,-0.001853943,0.0122509,0,
00:00.7,-0.000703812,-0.001831055,0.012245178,0,
00:00.7,-0.00069809,-0.001831055,0.012239456,0,
00:00.7,-0.000703812,-0.001831055,0.012233734,0,
00:00.8,-0.00069809,-0.001802444,0.012262344,0,
00:00.8,-0.00069809,-0.001825333,0.012262344,0,
00:00.8,-0.000703812,-0.001859665,0.0122509,0,
00:00.8,-0.00069809,-0.001853943,0.012256622,0,
00:00.8,-0.000692368,-0.001831055,0.012256622,0,
00:00.8,-0.000686646,-0.001819611,0.012256622,0,
00:00.8,-0.00069809,-0.001831055,0.012262344,0,
00:00.8,-0.000692368,-0.001842499,0.012268066,0,
00:00.8,-0.000680923,-0.001825333,0.012273788,0,
00:00.8,-0.000686646,-0.001853943,0.012262344,0,
00:00.8,-0.000692368,-0.001865387,0.012268066,0,
00:00.8,-0.000680923,-0.001853943,0.012262344,0,
00:00.8,-0.000686646,-0.001853943,0.012256622,0,
00:00.8,-0.000680923,-0.001848221,0.012262344,0,
00:00.8,-0.000680923,-0.001848221,0.012268066,0,
00:00.8,-0.000675201,-0.001808167,0.012273788,0,
00:00.8,-0.000675201,-0.001848221,0.012262344,0,
00:00.8,-0.000675201,-0.001819611,0.012262344,0,
00:00.8,-0.000680923,-0.001825333,0.012285233,0,
00:00.8,-0.000669479,-0.001831055,0.012285233,0,
00:00.8,-0.000669479,-0.001825333,0.012285233,0,
00:00.8,-0.000669479,-0.001825333,0.01227951,0,
00:00.8,-0.000663757,-0.001836777,0.012290955,0,
00:00.8,-0.000658035,-0.001848221,0.012285233,0,
00:00.8,-0.000658035,-0.001819611,0.012273788,0,
00:00.9,-0.000675201,-0.001848221,0.012285233,0,
00:00.9,-0.000675201,-0.001842499,0.012296677,0,
00:00.9,-0.000658035,-0.001819611,0.012302399,0,
00:00.9,-0.000652313,-0.001813889,0.012296677,0,
00:00.9,-0.000652313,-0.001825333,0.012290955,0,
00:00.9,-0.000652313,-0.001853943,0.012285233,0,
00:00.9,-0.000652313,-0.001802444,0.012290955,0,
00:00.9,-0.000652313,-0.001819611,0.012302399,0,
00:00.9,-0.000652313,-0.001819611,0.012302399,0,
00:00.9,-0.000652313,-0.001836777,0.012302399,0,
00:00.9,-0.000640869,-0.001825333,0.012302399,0,
00:00.9,-0.000646591,-0.001802444,0.012296677,0,
00:00.9,-0.000646591,-0.001808167,0.012308121,0,
00:00.9,-0.000646591,-0.001853943,0.012290955,0,
00:00.9,-0.000640869,-0.001825333,0.012302399,0,
00:00.9,-0.000646591,-0.001842499,0.012313843,0,
00:00.9,-0.000646591,-0.001836777,0.012313843,0,
00:00.9,-0.000640869,-0.001819611,0.012313843,0,
00:00.9,-0.000635147,-0.001819611,0.012313843,0,
00:00.9,-0.000635147,-0.001848221,0.012313843,0,
00:00.9,-0.000623703,-0.001796722,0.012313843,0,
00:00.9,-0.000629425,-0.001773834,0.012319565,0,
00:00.9,-0.000635147,-0.001819611,0.012308121,0,
00:00.9,-0.000640869,-0.001876831,0.012319565,0,
00:00.9,-0.000640869,-0.001888275,0.012313843,0,
00:01.0,-0.000629425,-0.001842499,0.012308121,0,
00:01.0,-0.000623703,-0.001791,0.012313843,0,
00:01.0,-0.000623703,-0.001802444,0.012319565,0,
00:01.0,-0.000617981,-0.001779556,0.012313843,0,
00:01.0,-0.000635147,-0.001831055,0.012319565,0,
00:01.0,-0.000635147,-0.001871109,0.012319565,0,
00:01.0,-0.000629425,-0.001836777,0.012319565,0,
00:01.0,-0.000623703,-0.001802444,0.012336731,0,
00:01.0,-0.000623703,-0.001802444,0.012331009,0,
00:01.0,-0.000623703,-0.001825333,0.012313843,0,
00:01.0,-0.000617981,-0.001808167,0.012319565,0,
00:01.0,-0.000617981,-0.001802444,0.012331009,0,
00:00:01,-0.000617981,-0.001773834,0.012336731,0,
00:01.0,-0.000629425,-0.001853943,0.012336731,0,
00:01.0,-0.000623703,-0.001853943,0.012319565,0,
00:01.0,-0.000623703,-0.001825333,0.012319565,0,
00:01.0,-0.000612259,-0.001825333,0.012313843,0,
00:01.0,-0.000612259,-0.001825333,0.012336731,0,
00:01.0,-0.000623703,-0.001871109,0.012342453,0,
00:01.0,-0.000617981,-0.001808167,0.012331009,0,
00:01.0,-0.000600815,-0.00176239,0.012342453,0,
00:01.0,-0.000606537,-0.001791,0.012331009,0,
00:01.0,-0.000606537,-0.001802444,0.012336731,0,
00:01.0,-0.000629425,-0.001865387,0.012342453,0,
00:01.0,-0.000612259,-0.001848221,0.012331009,0,
00:01.1,-0.000612259,-0.001836777,0.012342453,0,
00:01.1,-0.000617981,-0.001831055,0.012348175,0,
00:01.1,-0.000612259,-0.001825333,0.012353897,0,
00:01.1,-0.000600815,-0.001808167,0.012348175,0,
00:01.1,-0.000606537,-0.001842499,0.012336731,0,
00:01.1,-0.000606537,-0.001808167,0.012348175,0,
00:01.1,-0.000589371,-0.001785278,0.012353897,0,
00:01.1,-0.000589371,-0.001791,0.012353897,0,
00:01.1,-0.000617981,-0.001859665,0.012348175,0,
00:01.1,-0.000612259,-0.001871109,0.012348175,0,
00:01.1,-0.000595093,-0.001813889,0.012348175,0,
00:01.1,-0.000600815,-0.001831055,0.012353897,0,
00:01.1,-0.000595093,-0.001825333,0.012365341,0,
00:01.1,-0.000589371,-0.001819611,0.012359619,0,
00:01.1,-0.000583649,-0.001813889,0.012353897,0,
00:01.1,-0.000583649,-0.001819611,0.012342453,0,
00:01.1,-0.000583649,-0.001796722,0.012348175,0,
00:01.1,-0.000577927,-0.001808167,0.012353897,0,
00:01.1,-0.000583649,-0.001825333,0.012353897,0,
00:01.1,-0.000583649,-0.001813889,0.012353897,0,
00:01.1,-0.000583649,-0.001825333,0.012353897,0,
00:01.1,-0.000589371,-0.001842499,0.012371063,0,
00:01.1,-0.000583649,-0.001813889,0.012353897,0,
00:01.1,-0.000566483,-0.001802444,0.012365341,0,
00:01.1,-0.000577927,-0.001836777,0.012365341,0,
00:01.2,-0.000577927,-0.001836777,0.012359619,0,
00:01.2,-0.000577927,-0.001813889,0.012359619,0,
00:01.2,-0.000572205,-0.001802444,0.012359619,0,
00:01.2,-0.000572205,-0.001796722,0.012371063,0,
00:01.2,-0.000572205,-0.001819611,0.012371063,0,
00:01.2,-0.000566483,-0.001825333,0.012353897,0,
00:01.2,-0.000577927,-0.001831055,0.012353897,0,
00:01.2,-0.000577927,-0.001825333,0.012365341,0,
00:01.2,-0.00056076,-0.001791,0.012365341,0,
00:01.2,-0.000572205,-0.001842499,0.012371063,0,
00:01.2,-0.000566483,-0.001802444,0.012371063,0,
00:01.2,-0.000555038,-0.001779556,0.012376785,0,
00:01.2,-0.000572205,-0.001836777,0.012376785,0,
00:01.2,-0.000577927,-0.001831055,0.012365341,0,
00:01.2,-0.000566483,-0.001808167,0.012371063,0,
00:01.2,-0.000566483,-0.001819611,0.012371063,0,
00:01.2,-0.000549316,-0.001779556,0.012382507,0,
00:01.2,-0.000555038,-0.001796722,0.012382507,0,
00:01.2,-0.000572205,-0.001825333,0.012376785,0,
00:01.2,-0.00056076,-0.001819611,0.012371063,0,
00:01.2,-0.00056076,-0.001825333,0.012371063,0,
00:01.2,-0.000555038,-0.001808167,0.012376785,0,
00:01.2,-0.00056076,-0.001813889,0.012376785,0,
00:01.2,-0.000555038,-0.001813889,0.012393951,0,
00:01.2,-0.000549316,-0.001791,0.012393951,0,
00:01.3,-0.00056076,-0.001791,0.012376785,0,
00:01.3,-0.000572205,-0.001848221,0.012382507,0,
00:01.3,-0.000566483,-0.001842499,0.012388229,0,
00:01.3,-0.000566483,-0.001836777,0.012388229,0,
00:01.3,-0.000555038,-0.001796722,0.012388229,0,
00:01.3,-0.000543594,-0.001796722,0.012382507,0,
00:01.3,-0.000549316,-0.001791,0.012388229,0,
00:01.3,-0.00056076,-0.001796722,0.012393951,0,
00:01.3,-0.000555038,-0.001796722,0.012399673,0,
00:01.3,-0.00056076,-0.001813889,0.012382507,0,
00:01.3,-0.00056076,-0.001831055,0.012382507,0,
00:01.3,-0.000549316,-0.001796722,0.012399673,0,
00:01.3,-0.000549316,-0.001791,0.012399673,0,
00:01.3,-0.000555038,-0.001808167,0.012393951,0,
00:01.3,-0.000549316,-0.001791,0.012388229,0,
00:01.3,-0.000555038,-0.001802444,0.012382507,0,
00:01.3,-0.000549316,-0.001802444,0.012376785,0,
00:01.3,-0.000555038,-0.001802444,0.012382507,0,
00:01.3,-0.000555038,-0.001819611,0.012399673,0,
00:01.3,-0.000555038,-0.001808167,0.012399673,0,
00:01.3,-0.000543594,-0.001796722,0.012405396,0,
00:01.3,-0.000549316,-0.001796722,0.012405396,0,
00:01.3,-0.000555038,-0.001808167,0.012405396,0,
00:01.3,-0.000549316,-0.001791,0.012399673,0,
00:01.3,-0.000543594,-0.001785278,0.012393951,0,
00:01.4,-0.000549316,-0.001819611,0.012393951,0,
00:01.4,-0.000555038,-0.001802444,0.012393951,0,
00:01.4,-0.000549316,-0.001808167,0.012405396,0,
00:01.4,-0.000549316,-0.001808167,0.012399673,0,
00:01.4,-0.000549316,-0.001808167,0.012399673,0,
00:01.4,-0.000537872,-0.001802444,0.012393951,0,
00:01.4,-0.000537872,-0.001791,0.012399673,0,
00:01.4,-0.000543594,-0.001802444,0.012399673,0,
00:01.4,-0.000543594,-0.001779556,0.012399673,0,
00:01.4,-0.000549316,-0.001802444,0.012393951,0,
00:01.4,-0.000543594,-0.001802444,0.012405396,0,
00:01.4,-0.000543594,-0.001819611,0.012411118,0,
00:01.4,-0.000537872,-0.001831055,0.012411118,0,
00:01.4,-0.000537872,-0.001779556,0.012399673,0,
00:01.4,-0.00053215,-0.00176239,0.012399673,0,
00:01.4,-0.000537872,-0.001785278,0.012388229,0,
00:01.4,-0.000537872,-0.001813889,0.012399673,0,
00:01.4,-0.000543594,-0.001808167,0.01241684,0,
00:01.4,-0.000537872,-0.001796722,0.012411118,0,
00:01.4,-0.000537872,-0.001808167,0.012405396,0,
00:01.4,-0.000537872,-0.001802444,0.012405396,0,
00:01.4,-0.000537872,-0.001819611,0.012399673,0,
00:01.4,-0.000520706,-0.001745224,0.012405396,0,
00:01.4,-0.000520706,-0.001785278,0.012405396,0,
00:01.4,-0.000537872,-0.001819611,0.012411118,0,
00:01.5,-0.00053215,-0.001779556,0.01241684,0,
00:01.5,-0.000537872,-0.001819611,0.01241684,0,
00:01.5,-0.00053215,-0.001796722,0.012411118,0,
00:01.5,-0.00053215,-0.001796722,0.012422562,0,
00:01.5,-0.000526428,-0.001785278,0.01241684,0,
00:01.5,-0.000526428,-0.00176239,0.012411118,0,
00:01.5,-0.000537872,-0.001808167,0.012399673,0,
00:01.5,-0.00053215,-0.001802444,0.012405396,0,
00:01.5,-0.000526428,-0.00176239,0.01241684,0,
00:01.5,-0.00053215,-0.001808167,0.01241684,0,
00:01.5,-0.00053215,-0.001836777,0.01241684,0,
00:01.5,-0.000526428,-0.001779556,0.012399673,0,
00:01.5,-0.000520706,-0.00176239,0.012405396,0,
00:01.5,-0.00053215,-0.001785278,0.01241684,0,
00:01.5,-0.00053215,-0.001802444,0.01241684,0,
00:01.5,-0.00053215,-0.001808167,0.01241684,0,
00:01.5,-0.000526428,-0.001802444,0.012411118,0,
00:01.5,-0.000526428,-0.001802444,0.012411118,0,
