Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000297546,-0.001470566,0.011850357,0,
00:00.0,-0.000331879,-0.001470566,0.011827469,0,
00:00.0,-0.00028038,-0.001464844,0.011884689,0,
00:00.0,-0.000331879,-0.001470566,0.011816025,0,
00:00.0,-0.000411987,-0.001476288,0.011838913,0,
00:00.0,-0.000366211,-0.001476288,0.011821747,0,
00:00.0,-0.000423431,-0.001487732,0.011833191,0,
00:00.0,-0.000303268,-0.001470566,0.011844635,0,
00:00.0,-0.000217438,-0.001459122,0.011867523,0,
00:00.0,-0.00028038,-0.001464844,0.011838913,0,
00:00.0,-0.000320435,-0.001470566,0.011844635,0,
00:00.0,-0.000366211,-0.001464844,0.011856079,0,
00:00.0,-0.000383377,-0.00148201,0.011798859,0,
00:00.1,-0.000291824,-0.001476288,0.011833191,0,
00:00.1,-0.000257492,-0.001476288,0.011884689,0,
00:00.1,-0.00028038,-0.001464844,0.011873245,0,
00:00.1,-0.000291824,-0.001459122,0.011850357,0,
00:00.1,-0.000326157,-0.001470566,0.011850357,0,
00:00.1,-0.000349045,-0.001464844,0.011867523,0,
00:00.1,-0.000314713,-0.001470566,0.0119133,0,
00:00.1,-0.00025177,-0.001459122,0.011867523,0,
00:00.1,-0.000320435,-0.001470566,0.011787415,0,
00:00.1,-0.000303268,-0.001470566,0.011856079,0,
00:00.1,-0.000326157,-0.001476288,0.011867523,0,
00:00.1,-0.000331879,-0.00148201,0.011861801,0,
00:00.1,-0.000286102,-0.001476288,0.011861801,0,
00:00.1,-0.000371933,-0.00148201,0.011867523,0,
00:00.1,-0.000389099,-0.001476288,0.011873245,0,
00:00.1,-0.000274658,-0.001476288,0.011896133,0,
00:00.1,-0.000371933,-0.001487732,0.011901855,0,
00:00.1,-0.000274658,-0.001476288,0.011827469,0,
00:00.1,-0.000314713,-0.00148201,0.011861801,0,
00:00.1,-0.000286102,-0.00148201,0.011896133,0,
00:00.1,-0.000246048,-0.00148201,0.011907578,0,
00:00.1,-0.000400543,-0.001487732,0.011884689,0,
00:00.1,-0.000326157,-0.00148201,0.011901855,0,
00:00.1,-0.000286102,-0.001470566,0.011890411,0,
00:00.1,-0.000377655,-0.001476288,0.011821747,0,
00:00.2,-0.000326157,-0.001487732,0.011873245,0,
00:00.2,-0.00022316,-0.001487732,0.011867523,0,
00:00.2,-0.000234604,-0.00148201,0.011907578,0,
00:00.2,-0.000274658,-0.001487732,0.011907578,0,
