Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.00069809,-0.000669479,0.002105713,0,
00:00.0,0.000692368,-0.000680923,0.002099991,0,
00:00.0,0.000692368,-0.000675201,0.002094269,0,
00:00.0,0.000692368,-0.000658035,0.002094269,0,
00:00.0,0.000686646,-0.000658035,0.002105713,0,
00:00.0,0.000680923,-0.000652313,0.002099991,0,
00:00.0,0.000680923,-0.000658035,0.002105713,0,
00:00.0,0.000680923,-0.000675201,0.002099991,0,
00:00.0,0.00069809,-0.000669479,0.002088547,0,
00:00.0,0.000692368,-0.000658035,0.002099991,0,
00:00.0,0.000669479,-0.000652313,0.002099991,0,
00:00.0,0.000675201,-0.000658035,0.002105713,0,
00:00.0,0.000686646,-0.000658035,0.002099991,0,
00:00.1,0.000692368,-0.000658035,0.002105713,0,
00:00.1,0.000692368,-0.000663757,0.002099991,0,
00:00.1,0.000686646,-0.000663757,0.002094269,0,
00:00.1,0.000680923,-0.000675201,0.002105713,0,
00:00.1,0.000680923,-0.000669479,0.002094269,0,
00:00.1,0.000680923,-0.000663757,0.002099991,0,
00:00.1,0.000686646,-0.000686646,0.002094269,0,
00:00.1,0.000686646,-0.000669479,0.002099991,0,
00:00.1,0.000686646,-0.000646591,0.002099991,0,
00:00.1,0.000686646,-0.000652313,0.002094269,0,
00:00.1,0.00069809,-0.000658035,0.002088547,0,
00:00.1,0.000692368,-0.000658035,0.002088547,0,
00:00.1,0.000692368,-0.000658035,0.002094269,0,
00:00.1,0.000686646,-0.000658035,0.002088547,0,
00:00.1,0.000686646,-0.000675201,0.002077103,0,
00:00.1,0.000686646,-0.000680923,0.002094269,0,
00:00.1,0.000692368,-0.000669479,0.002099991,0,
00:00.1,0.00069809,-0.000658035,0.002088547,0,
00:00.1,0.000692368,-0.000680923,0.002082825,0,
00:00.1,0.00069809,-0.000680923,0.002094269,0,
00:00.1,0.000692368,-0.000663757,0.002094269,0,
00:00.1,0.00069809,-0.000629425,0.002099991,0,
00:00.1,0.00069809,-0.000646591,0.002094269,0,
00:00.1,0.000686646,-0.000669479,0.002088547,0,
00:00.1,0.000680923,-0.000686646,0.002082825,0,
00:00.2,0.00069809,-0.000669479,0.002082825,0,
00:00.2,0.000703812,-0.000658035,0.002099991,0,
00:00.2,0.000686646,-0.000669479,0.002099991,0,
00:00.2,0.000692368,-0.000675201,0.002094269,0,
00:00.2,0.000703812,-0.000663757,0.002082825,0,
00:00.2,0.00069809,-0.000652313,0.002059937,0,
00:00.2,0.000692368,-0.000663757,0.002088547,0,
00:00.2,0.000692368,-0.000675201,0.002088547,0,
00:00.2,0.000692368,-0.000680923,0.002082825,0,
00:00.2,0.000680923,-0.000680923,0.002099991,0,
00:00.2,0.000680923,-0.000669479,0.002094269,0,
00:00.2,0.000686646,-0.000669479,0.002082825,0,
00:00.2,0.000686646,-0.000658035,0.002082825,0,
00:00.2,0.000692368,-0.000669479,0.002082825,0,
00:00.2,0.000692368,-0.00069809,0.002082825,0,
00:00.2,0.000680923,-0.0007267,0.002077103,0,
00:00.2,0.000680923,-0.000675201,0.002077103,0,
00:00.2,0.00069809,-0.000646591,0.002071381,0,
00:00.2,0.000709534,-0.000646591,0.002082825,0,
00:00.2,0.00069809,-0.000663757,0.002094269,0,
00:00.2,0.000692368,-0.000675201,0.002082825,0,
00:00.2,0.000686646,-0.000669479,0.002082825,0,
00:00.2,0.000680923,-0.000669479,0.002082825,0,
00:00.2,0.000692368,-0.000663757,0.002077103,0,
00:00.2,0.00069809,-0.000663757,0.002077103,0,
00:00.3,0.000680923,-0.000675201,0.002088547,0,
00:00.3,0.000675201,-0.000686646,0.002088547,0,
00:00.3,0.000692368,-0.000669479,0.002077103,0,
00:00.3,0.000692368,-0.000669479,0.002088547,0,
00:00.3,0.000680923,-0.000680923,0.002082825,0,
00:00.3,0.000686646,-0.000692368,0.002082825,0,
00:00.3,0.000692368,-0.000680923,0.002077103,0,
00:00.3,0.000692368,-0.000658035,0.002071381,0,
00:00.3,0.00069809,-0.000663757,0.002077103,0,
00:00.3,0.000703812,-0.000663757,0.002082825,0,
00:00.3,0.00069809,-0.000663757,0.002077103,0,
00:00.3,0.000686646,-0.000680923,0.002088547,0,
00:00.3,0.000680923,-0.00069809,0.002088547,0,
00:00.3,0.000686646,-0.000703812,0.002082825,0,
00:00.3,0.000686646,-0.000692368,0.002077103,0,
00:00.3,0.000692368,-0.000686646,0.002088547,0,
00:00.3,0.00069809,-0.000658035,0.002082825,0,
00:00.3,0.00069809,-0.000658035,0.002077103,0,
00:00.3,0.00069809,-0.000658035,0.002077103,0,
00:00.3,0.00069809,-0.000669479,0.002071381,0,
00:00.3,0.000692368,-0.000703812,0.002071381,0,
00:00.3,0.000686646,-0.000715256,0.002077103,0,
00:00.3,0.00069809,-0.000686646,0.002071381,0,
00:00.3,0.000692368,-0.000658035,0.002077103,0,
00:00.3,0.000692368,-0.000663757,0.002077103,0,
00:00.4,0.000680923,-0.000675201,0.002082825,0,
00:00.4,0.00069809,-0.000686646,0.002088547,0,
00:00.4,0.000686646,-0.000703812,0.002071381,0,
00:00.4,0.000692368,-0.000703812,0.002077103,0,
00:00.4,0.000686646,-0.000675201,0.002077103,0,
00:00.4,0.00069809,-0.000663757,0.002065659,0,
00:00.4,0.00069809,-0.000680923,0.002088547,0,
00:00.4,0.00069809,-0.000675201,0.002082825,0,
00:00.4,0.000703812,-0.000646591,0.002071381,0,
00:00.4,0.00069809,-0.000663757,0.002077103,0,
00:00.4,0.000686646,-0.000686646,0.002077103,0,
00:00.4,0.000675201,-0.000703812,0.002082825,0,
00:00.4,0.000675201,-0.00069809,0.002082825,0,
00:00.4,0.000686646,-0.000675201,0.002077103,0,
00:00.4,0.000692368,-0.000669479,0.002071381,0,
00:00.4,0.00069809,-0.000640869,0.002065659,0,
00:00.4,0.000675201,-0.000652313,0.002082825,0,
00:00.4,0.000686646,-0.000675201,0.002088547,0,
00:00.4,0.000686646,-0.000675201,0.002088547,0,
00:00.4,0.000686646,-0.000680923,0.002082825,0,
00:00.4,0.000675201,-0.000692368,0.002077103,0,
00:00.4,0.000658035,-0.000692368,0.002071381,0,
00:00.4,0.000680923,-0.000692368,0.002077103,0,
00:00.4,0.000680923,-0.000686646,0.002071381,0,
00:00.4,0.000680923,-0.000680923,0.002082825,0,
00:00.5,0.000686646,-0.000686646,0.002088547,0,
00:00.5,0.000686646,-0.000669479,0.002088547,0,
00:00.5,0.000680923,-0.000663757,0.002088547,0,
00:00.5,0.000675201,-0.000692368,0.002082825,0,
00:00.5,0.000680923,-0.000675201,0.002071381,0,
00:00.5,0.00069809,-0.000663757,0.002071381,0,
00:00.5,0.000692368,-0.000669479,0.002082825,0,
00:00.5,0.000675201,-0.000692368,0.002077103,0,
00:00.5,0.000680923,-0.000686646,0.002071381,0,
00:00.5,0.00069809,-0.000675201,0.002071381,0,
00:00.5,0.000686646,-0.000675201,0.002082825,0,
00:00.5,0.000686646,-0.000652313,0.002082825,0,
00:00.5,0.000686646,-0.000658035,0.002082825,0,
00:00.5,0.000680923,-0.000680923,0.002077103,0,
00:00.5,0.000686646,-0.000686646,0.002082825,0,
00:00.5,0.00069809,-0.000680923,0.002077103,0,
00:00.5,0.00069809,-0.000669479,0.002077103,0,
00:00.5,0.00069809,-0.000680923,0.002065659,0,
00:00.5,0.000686646,-0.00069809,0.002082825,0,
00:00.5,0.000686646,-0.00069809,0.002082825,0,
00:00.5,0.000686646,-0.000692368,0.002077103,0,
00:00.5,0.000675201,-0.00069809,0.002082825,0,
00:00.5,0.000658035,-0.000680923,0.002065659,0,
00:00.5,0.000675201,-0.000680923,0.002077103,0,
