Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000257492,-0.000429153,-0.000692368,0,
00:00.0,-0.000274658,-0.000429153,-0.000709534,0,
00:00.0,-0.000263214,-0.000423431,-0.0007267,0,
00:00.0,-0.000263214,-0.000423431,-0.000743866,0,
00:00.0,-0.000257492,-0.000429153,-0.00075531,0,
00:00.0,-0.000246048,-0.000440598,-0.000761032,0,
00:00.0,-0.00025177,-0.000434875,-0.000772476,0,
00:00.0,-0.000257492,-0.000440598,-0.00078392,0,
00:00.0,-0.000268936,-0.000440598,-0.000801086,0,
00:00.0,-0.000268936,-0.00044632,-0.000818253,0,
00:00.0,-0.000263214,-0.000452042,-0.000823975,0,
00:00.0,-0.000268936,-0.000452042,-0.000841141,0,
00:00.0,-0.000268936,-0.000463486,-0.000846863,0,
00:00.1,-0.000263214,-0.000457764,-0.000864029,0,
00:00.1,-0.000257492,-0.00044632,-0.000875473,0,
00:00.1,-0.000263214,-0.000452042,-0.000892639,0,
00:00.1,-0.000268936,-0.00044632,-0.000904083,0,
00:00.1,-0.000263214,-0.000440598,-0.000915527,0,
00:00.1,-0.00025177,-0.00044632,-0.000926971,0,
00:00.1,-0.000263214,-0.000457764,-0.000944138,0,
00:00.1,-0.000274658,-0.000463486,-0.000955582,0,
00:00.1,-0.000268936,-0.000457764,-0.000972748,0,
00:00.1,-0.000268936,-0.000457764,-0.000989914,0,
00:00.1,-0.000274658,-0.000469208,-0.001001358,0,
00:00.1,-0.000268936,-0.00047493,-0.001012802,0,
00:00.1,-0.000263214,-0.000457764,-0.001024246,0,
00:00.1,-0.000263214,-0.00044632,-0.00103569,0,
00:00.1,-0.000274658,-0.000457764,-0.001047134,0,
00:00.1,-0.00028038,-0.00047493,-0.001064301,0,
00:00.1,-0.000274658,-0.000469208,-0.001075745,0,
00:00.1,-0.000274658,-0.000452042,-0.001087189,0,
00:00.1,-0.000286102,-0.000463486,-0.001098633,0,
00:00.1,-0.00028038,-0.000463486,-0.001104355,0,
00:00.1,-0.000274658,-0.000457764,-0.001121521,0,
00:00.1,-0.000274658,-0.000463486,-0.001132965,0,
00:00.1,-0.000286102,-0.00047493,-0.001144409,0,
00:00.1,-0.000291824,-0.000480652,-0.001155853,0,
00:00.1,-0.000286102,-0.000469208,-0.001161575,0,
00:00.2,-0.000286102,-0.000463486,-0.001178741,0,
00:00.2,-0.000297546,-0.00047493,-0.001195908,0,
00:00.2,-0.00030899,-0.000497818,-0.001207352,0,
00:00.2,-0.00030899,-0.00050354,-0.001218796,0,
00:00.2,-0.000291824,-0.00047493,-0.00123024,0,
00:00.2,-0.00028038,-0.000457764,-0.001247406,0,
00:00.2,-0.000286102,-0.000457764,-0.00125885,0,
00:00.2,-0.000291824,-0.000469208,-0.001276016,0,
00:00.2,-0.000291824,-0.000486374,-0.00128746,0,
00:00.2,-0.000303268,-0.000497818,-0.001298904,0,
00:00.2,-0.000326157,-0.00050354,-0.001310349,0,
00:00.2,-0.000291824,-0.000480652,-0.001321793,0,
00:00.2,-0.00028038,-0.000457764,-0.001338959,0,
00:00.2,-0.000303268,-0.000469208,-0.001344681,0,
00:00.2,-0.000314713,-0.000480652,-0.001356125,0,
00:00.2,-0.000320435,-0.000486374,-0.001373291,0,
00:00.2,-0.000320435,-0.000486374,-0.001390457,0,
00:00.2,-0.000320435,-0.000492096,-0.001407623,0,
00:00.2,-0.000326157,-0.00050354,-0.001424789,0,
00:00.2,-0.000326157,-0.000486374,-0.001430511,0,
00:00.2,-0.000320435,-0.000480652,-0.001441956,0,
00:00.2,-0.000314713,-0.00047493,-0.0014534,0,
00:00.2,-0.000314713,-0.000486374,-0.001459122,0,
00:00.2,-0.000314713,-0.000486374,-0.001470566,0,
00:00.2,-0.000331879,-0.000492096,-0.00148201,0,
00:00.3,-0.000331879,-0.00050354,-0.001499176,0,
00:00.3,-0.000337601,-0.000497818,-0.00151062,0,
00:00.3,-0.000326157,-0.000492096,-0.001516342,0,
00:00.3,-0.00030899,-0.000480652,-0.001527786,0,
00:00.3,-0.000314713,-0.000486374,-0.00153923,0,
00:00.3,-0.000337601,-0.00050354,-0.001556396,0,
00:00.3,-0.000337601,-0.00050354,-0.001567841,0,
00:00.3,-0.000320435,-0.000492096,-0.001573563,0,
00:00.3,-0.00030899,-0.00047493,-0.001585007,0,
00:00.3,-0.000320435,-0.000486374,-0.001596451,0,
00:00.3,-0.000326157,-0.00050354,-0.001607895,0,
00:00.3,-0.000331879,-0.00050354,-0.001613617,0,
00:00.3,-0.000337601,-0.00050354,-0.001625061,0,
00:00.3,-0.000343323,-0.000514984,-0.001630783,0,
00:00.3,-0.000354767,-0.000509262,-0.001647949,0,
00:00.3,-0.000349045,-0.000497818,-0.001659393,0,
00:00.3,-0.000343323,-0.000497818,-0.001670837,0,
00:00.3,-0.000349045,-0.000509262,-0.001682281,0,
00:00.3,-0.000354767,-0.000514984,-0.001682281,0,
00:00.3,-0.000354767,-0.000509262,-0.001693726,0,
00:00.3,-0.000343323,-0.000486374,-0.00170517,0,
00:00.3,-0.000354767,-0.000492096,-0.001710892,0,
00:00.3,-0.000360489,-0.00050354,-0.001722336,0,
00:00.3,-0.000360489,-0.000509262,-0.00173378,0,
00:00.3,-0.000360489,-0.000514984,-0.001739502,0,
00:00.4,-0.000360489,-0.00050354,-0.001750946,0,
00:00.4,-0.000360489,-0.000497818,-0.001768112,0,
00:00.4,-0.000366211,-0.00050354,-0.001779556,0,
00:00.4,-0.000366211,-0.000520706,-0.001785278,0,
00:00.4,-0.000337601,-0.000497818,-0.001796722,0,
00:00.4,-0.000343323,-0.000486374,-0.001802444,0,
00:00.4,-0.000354767,-0.000509262,-0.001813889,0,
00:00.4,-0.000354767,-0.000520706,-0.001825333,0,
00:00.4,-0.000360489,-0.000526428,-0.001842499,0,
00:00.4,-0.000360489,-0.00050354,-0.001853943,0,
00:00.4,-0.000360489,-0.000497818,-0.001853943,0,
00:00.4,-0.000366211,-0.000514984,-0.001859665,0,
00:00.4,-0.000366211,-0.000526428,-0.001871109,0,
00:00.4,-0.000383377,-0.00053215,-0.001882553,0,
00:00.4,-0.000371933,-0.000526428,-0.001888275,0,
00:00.4,-0.000366211,-0.000514984,-0.001893997,0,
00:00.4,-0.000371933,-0.000514984,-0.001899719,0,
00:00.4,-0.000389099,-0.000537872,-0.001911163,0,
00:00.4,-0.000400543,-0.000549316,-0.001922607,0,
00:00.4,-0.000394821,-0.000526428,-0.001934052,0,
00:00.4,-0.000366211,-0.00050354,-0.001945496,0,
00:00.4,-0.000354767,-0.00050354,-0.001945496,0,
00:00.4,-0.000371933,-0.000520706,-0.001951218,0,
00:00.4,-0.000366211,-0.00053215,-0.001951218,0,
00:00.4,-0.000371933,-0.00053215,-0.00195694,0,
00:00.5,-0.000377655,-0.000526428,-0.001968384,0,
00:00.5,-0.000389099,-0.000543594,-0.001974106,0,
00:00.5,-0.000389099,-0.00053215,-0.00198555,0,
00:00.5,-0.000377655,-0.000526428,-0.001996994,0,
00:00.5,-0.000377655,-0.000514984,-0.002002716,0,
00:00.5,-0.000383377,-0.000526428,-0.002008438,0,
00:00.5,-0.000383377,-0.00053215,-0.00201416,0,
00:00.5,-0.000383377,-0.000526428,-0.002019882,0,
00:00.5,-0.000383377,-0.000520706,-0.002025604,0,
00:00.5,-0.000383377,-0.000526428,-0.002037048,0,
00:00.5,-0.000400543,-0.00053215,-0.00204277,0,
00:00.5,-0.000411987,-0.000537872,-0.002054214,0,
00:00.5,-0.000423431,-0.000543594,-0.002065659,0,
00:00.5,-0.000417709,-0.000543594,-0.002071381,0,
00:00.5,-0.000411987,-0.000526428,-0.002077103,0,
00:00.5,-0.000406265,-0.000526428,-0.002082825,0,
00:00.5,-0.000406265,-0.000537872,-0.002088547,0,
00:00.5,-0.000400543,-0.000526428,-0.002094269,0,
00:00.5,-0.000400543,-0.000526428,-0.002099991,0,
00:00.5,-0.000406265,-0.000526428,-0.002105713,0,
00:00.5,-0.000406265,-0.000537872,-0.002105713,0,
00:00.5,-0.000400543,-0.00053215,-0.002111435,0,
00:00.5,-0.000406265,-0.000537872,-0.002117157,0,
00:00.5,-0.000406265,-0.000543594,-0.002128601,0,
00:00.5,-0.000417709,-0.000537872,-0.002134323,0,
00:00.6,-0.000411987,-0.00053215,-0.002140045,0,
00:00.6,-0.000400543,-0.000537872,-0.002145767,0,
00:00.6,-0.000400543,-0.000543594,-0.002151489,0,
00:00.6,-0.000406265,-0.000549316,-0.002157211,0,
00:00.6,-0.000411987,-0.000549316,-0.002157211,0,
00:00.6,-0.000411987,-0.000537872,-0.002162933,0,
00:00.6,-0.000423431,-0.000549316,-0.002162933,0,
00:00.6,-0.000423431,-0.000549316,-0.002174377,0,
00:00.6,-0.000423431,-0.00053215,-0.002180099,0,
00:00.6,-0.000434875,-0.000543594,-0.002191544,0,
00:00.6,-0.00044632,-0.000566483,-0.002197266,0,
00:00.6,-0.000440598,-0.000572205,-0.002197266,0,
00:00.6,-0.000417709,-0.000549316,-0.002197266,0,
00:00.6,-0.000423431,-0.000543594,-0.002202988,0,
00:00.6,-0.000434875,-0.000555038,-0.00220871,0,
00:00.6,-0.000440598,-0.000555038,-0.00220871,0,
00:00.6,-0.000429153,-0.000543594,-0.002214432,0,
00:00.6,-0.000417709,-0.000543594,-0.002214432,0,
00:00.6,-0.000423431,-0.000543594,-0.002220154,0,
00:00.6,-0.000440598,-0.000555038,-0.002231598,0,
00:00.6,-0.00044632,-0.000566483,-0.002231598,0,
00:00.6,-0.000440598,-0.00056076,-0.00223732,0,
00:00.6,-0.000440598,-0.00056076,-0.00223732,0,
00:00.6,-0.000440598,-0.000555038,-0.002248764,0,
00:00.6,-0.000440598,-0.000555038,-0.002248764,0,
00:00.7,-0.000429153,-0.000537872,-0.002243042,0,
00:00.7,-0.000434875,-0.000549316,-0.002248764,0,
00:00.7,-0.000452042,-0.00056076,-0.002254486,0,
00:00.7,-0.000452042,-0.000572205,-0.002254486,0,
00:00.7,-0.00044632,-0.00056076,-0.002254486,0,
00:00.7,-0.000463486,-0.000566483,-0.002254486,0,
00:00.7,-0.000463486,-0.000572205,-0.002254486,0,
00:00.7,-0.000429153,-0.000555038,-0.002254486,0,
00:00.7,-0.000417709,-0.000549316,-0.00226593,0,
00:00.7,-0.000429153,-0.000555038,-0.002271652,0,
00:00.7,-0.000429153,-0.00056076,-0.002283096,0,
00:00.7,-0.000434875,-0.000566483,-0.002277374,0,
00:00.7,-0.000440598,-0.000572205,-0.002277374,0,
00:00.7,-0.00044632,-0.000577927,-0.002283096,0,
00:00.7,-0.000452042,-0.000577927,-0.002283096,0,
00:00.7,-0.000452042,-0.000572205,-0.002283096,0,
00:00.7,-0.000440598,-0.000555038,-0.002283096,0,
00:00.7,-0.000429153,-0.000555038,-0.002283096,0,
00:00.7,-0.000434875,-0.000555038,-0.002288818,0,
00:00.7,-0.00044632,-0.00056076,-0.002288818,0,
00:00.7,-0.000452042,-0.000555038,-0.002288818,0,
00:00.7,-0.000457764,-0.000566483,-0.00229454,0,
00:00.7,-0.000452042,-0.00056076,-0.00229454,0,
00:00.7,-0.000452042,-0.000566483,-0.00229454,0,
00:00.7,-0.00044632,-0.000566483,-0.00229454,0,
00:00.8,-0.00044632,-0.000566483,-0.002305984,0,
00:00.8,-0.000452042,-0.00056076,-0.002311707,0,
00:00.8,-0.000457764,-0.000566483,-0.002300262,0,
00:00.8,-0.000452042,-0.000549316,-0.002300262,0,
00:00.8,-0.000452042,-0.000555038,-0.002305984,0,
00:00.8,-0.000463486,-0.00056076,-0.002305984,0,
00:00.8,-0.000452042,-0.000543594,-0.002305984,0,
00:00.8,-0.000440598,-0.000526428,-0.002305984,0,
