Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001121521,-0.001476288,-0.001241684,0,
00:00.0,0.001127243,-0.001476288,-0.00125885,0,
00:00.0,0.001104355,-0.001476288,-0.001207352,0,
00:00.0,0.001115799,-0.0014534,-0.001184464,0,
00:00.0,0.001121521,-0.001441956,-0.001218796,0,
00:00.0,0.001121521,-0.001441956,-0.001224518,0,
00:00.0,0.001121521,-0.001441956,-0.00120163,0,
00:00.0,0.001138687,-0.001459122,-0.001241684,0,
00:00.0,0.001121521,-0.001470566,-0.00125885,0,
00:00.0,0.001110077,-0.0014534,-0.001178741,0,
00:00.0,0.001092911,-0.0014534,-0.001167297,0,
00:00.0,0.001127243,-0.001459122,-0.001173019,0,
00:00.0,0.001132965,-0.001441956,-0.001224518,0,
00:00.1,0.001127243,-0.001447678,-0.001213074,0,
00:00.1,0.001110077,-0.0014534,-0.001184464,0,
00:00.1,0.001104355,-0.0014534,-0.001190186,0,
00:00.1,0.001121521,-0.001447678,-0.001218796,0,
00:00.1,0.001121521,-0.001447678,-0.00120163,0,
00:00.1,0.001127243,-0.001447678,-0.001224518,0,
00:00.1,0.001121521,-0.001464844,-0.00123024,0,
00:00.1,0.001121521,-0.00148201,-0.001213074,0,
00:00.1,0.001104355,-0.001476288,-0.00123024,0,
00:00.1,0.001104355,-0.0014534,-0.001195908,0,
00:00.1,0.001121521,-0.001441956,-0.001213074,0,
00:00.1,0.001132965,-0.001441956,-0.001190186,0,
00:00.1,0.001150131,-0.001447678,-0.00120163,0,
00:00.1,0.001127243,-0.001464844,-0.001213074,0,
00:00.1,0.001127243,-0.001487732,-0.001218796,0,
00:00.1,0.001110077,-0.001493454,-0.001218796,0,
00:00.1,0.001110077,-0.001464844,-0.001184464,0,
00:00.1,0.001110077,-0.001436234,-0.00120163,0,
00:00.1,0.001110077,-0.001436234,-0.001253128,0,
00:00.1,0.001104355,-0.0014534,-0.001207352,0,
00:00.1,0.001098633,-0.001470566,-0.001190186,0,
00:00.1,0.001104355,-0.00148201,-0.00120163,0,
00:00.1,0.001115799,-0.001464844,-0.00120163,0,
00:00.1,0.001132965,-0.001419067,-0.00123024,0,
00:00.1,0.001138687,-0.001413345,-0.001270294,0,
00:00.2,0.001127243,-0.001430511,-0.001270294,0,
00:00.2,0.001104355,-0.001464844,-0.001150131,0,
00:00.2,0.001110077,-0.001470566,-0.001138687,0,
00:00.2,0.001115799,-0.001464844,-0.001195908,0,
00:00.2,0.001127243,-0.001447678,-0.001195908,0,
00:00.2,0.001115799,-0.001430511,-0.001207352,0,
00:00.2,0.001121521,-0.001424789,-0.001241684,0,
00:00.2,0.001127243,-0.001430511,-0.001207352,0,
00:00.2,0.001132965,-0.001430511,-0.001224518,0,
00:00.2,0.001115799,-0.001441956,-0.001247406,0,
00:00.2,0.001087189,-0.001487732,-0.001178741,0,
00:00.2,0.001110077,-0.001487732,-0.001195908,0,
00:00.2,0.001115799,-0.001464844,-0.001195908,0,
