Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002912521,-0.005167007,0.010951996,0,
00:00.0,0.002901077,-0.005189896,0.010951996,0,
00:00.0,0.002901077,-0.00520134,0.010951996,0,
00:00.0,0.002901077,-0.005218506,0.01093483,0,
00:00.0,0.002889633,-0.00522995,0.010974884,0,
00:00.0,0.002895355,-0.005212784,0.010969162,0,
00:00.0,0.002901077,-0.005178452,0.01096344,0,
00:00.0,0.002906799,-0.005172729,0.01096344,0,
00:00.0,0.002895355,-0.005207062,0.01096344,0,
00:00.0,0.002895355,-0.005207062,0.01096344,0,
00:00.0,0.002901077,-0.005195618,0.010957718,0,
00:00.0,0.002901077,-0.005189896,0.010957718,0,
00:00.0,0.002901077,-0.005184174,0.010957718,0,
00:00.1,0.002901077,-0.005189896,0.010957718,0,
00:00.1,0.002912521,-0.005195618,0.010957718,0,
00:00.1,0.002906799,-0.005195618,0.010951996,0,
00:00.1,0.002901077,-0.005207062,0.010969162,0,
00:00.1,0.002895355,-0.005235672,0.010969162,0,
00:00.1,0.002895355,-0.00522995,0.01096344,0,
00:00.1,0.002906799,-0.00520134,0.01096344,0,
00:00.1,0.002912521,-0.005178452,0.01096344,0,
00:00.1,0.002912521,-0.005161285,0.01096344,0,
00:00.1,0.002912521,-0.005178452,0.01096344,0,
00:00.1,0.002912521,-0.005189896,0.010969162,0,
00:00.1,0.002912521,-0.005172729,0.010969162,0,
00:00.1,0.002918243,-0.005155563,0.01096344,0,
00:00.1,0.002906799,-0.005178452,0.01096344,0,
00:00.1,0.002906799,-0.00520134,0.010969162,0,
00:00.1,0.002901077,-0.005207062,0.010969162,0,
00:00.1,0.002906799,-0.005189896,0.01096344,0,
00:00.1,0.002906799,-0.005184174,0.010957718,0,
00:00.1,0.002918243,-0.005172729,0.010951996,0,
00:00.1,0.002906799,-0.005172729,0.010969162,0,
00:00.1,0.002906799,-0.005178452,0.010974884,0,
00:00.1,0.002901077,-0.005212784,0.010969162,0,
00:00.1,0.002895355,-0.00522995,0.010974884,0,
00:00.1,0.002901077,-0.005195618,0.010969162,0,
00:00.1,0.002912521,-0.005155563,0.010969162,0,
00:00.2,0.002918243,-0.005144119,0.01096344,0,
00:00.2,0.002918243,-0.005155563,0.010969162,0,
00:00.2,0.002912521,-0.005178452,0.01096344,0,
00:00.2,0.002906799,-0.00520134,0.010969162,0,
00:00.2,0.002901077,-0.00520134,0.010980606,0,
00:00.2,0.002906799,-0.005184174,0.010974884,0,
00:00.2,0.002912521,-0.005155563,0.010974884,0,
00:00.2,0.002912521,-0.005172729,0.010974884,0,
00:00.2,0.002906799,-0.005189896,0.010974884,0,
00:00.2,0.002901077,-0.005207062,0.010969162,0,
00:00.2,0.002901077,-0.005189896,0.010969162,0,
00:00.2,0.002906799,-0.005167007,0.010974884,0,
00:00.2,0.002912521,-0.005172729,0.010969162,0,
00:00.2,0.002912521,-0.005161285,0.010969162,0,
00:00.2,0.002912521,-0.005161285,0.010974884,0,
00:00.2,0.002906799,-0.005195618,0.010974884,0,
00:00.2,0.002906799,-0.005184174,0.010969162,0,
00:00.2,0.002912521,-0.005167007,0.010969162,0,
00:00.2,0.002912521,-0.005167007,0.01096344,0,
00:00.2,0.002912521,-0.005178452,0.010969162,0,
00:00.2,0.002906799,-0.005195618,0.010974884,0,
00:00.2,0.002918243,-0.005178452,0.010974884,0,
00:00.2,0.002929688,-0.005144119,0.010974884,0,
00:00.2,0.002923965,-0.005144119,0.010974884,0,
00:00.2,0.002906799,-0.005178452,0.010974884,0,
00:00.3,0.002906799,-0.005189896,0.010974884,0,
00:00.3,0.002912521,-0.005178452,0.010969162,0,
00:00.3,0.002918243,-0.005161285,0.010974884,0,
00:00.3,0.002912521,-0.005172729,0.010980606,0,
00:00.3,0.002906799,-0.005184174,0.010974884,0,
00:00.3,0.002912521,-0.005172729,0.010969162,0,
