Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002454758,-0.007015228,0.007873535,0,
00:00.0,0.002437592,-0.007038116,0.007867813,0,
00:00.0,0.002437592,-0.007026672,0.007884979,0,
00:00.0,0.002437592,-0.007032394,0.007884979,0,
00:00.0,0.002437592,-0.007055283,0.007884979,0,
00:00.0,0.002437592,-0.007038116,0.007873535,0,
00:00.0,0.002443314,-0.00699234,0.007867813,0,
00:00.0,0.002443314,-0.006998062,0.007867813,0,
00:00.0,0.00243187,-0.007083893,0.007879257,0,
00:00.0,0.002420425,-0.007146835,0.007879257,0,
00:00.0,0.002420425,-0.007061005,0.007884979,0,
00:00.0,0.002437592,-0.007003784,0.007873535,0,
00:00.0,0.00246048,-0.006969452,0.007884979,0,
00:00.1,0.002443314,-0.006975174,0.007867813,0,
00:00.1,0.002437592,-0.00699234,0.007879257,0,
00:00.1,0.002443314,-0.007015228,0.007879257,0,
00:00.1,0.00243187,-0.007066727,0.007879257,0,
00:00.1,0.00243187,-0.007078171,0.007867813,0,
00:00.1,0.002437592,-0.007049561,0.007873535,0,
00:00.1,0.00243187,-0.007009506,0.007879257,0,
00:00.1,0.00243187,-0.007009506,0.007890701,0,
00:00.1,0.002437592,-0.00699234,0.007873535,0,
00:00.1,0.002454758,-0.007003784,0.007867813,0,
00:00.1,0.002443314,-0.007043839,0.007873535,0,
00:00.1,0.00243187,-0.007083893,0.007873535,0,
00:00.1,0.002437592,-0.007061005,0.007873535,0,
00:00.1,0.002443314,-0.00702095,0.007867813,0,
00:00.1,0.002437592,-0.007009506,0.007862091,0,
00:00.1,0.002443314,-0.007049561,0.007890701,0,
00:00.1,0.00243187,-0.007078171,0.007896423,0,
00:00.1,0.002426147,-0.007061005,0.007890701,0,
00:00.1,0.002437592,-0.007026672,0.007890701,0,
00:00.1,0.00243187,-0.007089615,0.007896423,0,
00:00.1,0.00243187,-0.007112503,0.007873535,0,
00:00.1,0.002437592,-0.007129669,0.007867813,0,
00:00.1,0.002443314,-0.007066727,0.007896423,0,
00:00.1,0.002471924,-0.006877899,0.007884979,0,
00:00.1,0.00246048,-0.00693512,0.007879257,0,
