Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.00349617,-0.005722046,0.011066437,0,
00:00.0,0.003490448,-0.00573349,0.011066437,0,
00:00.0,0.003484726,-0.005739212,0.011066437,0,
00:00.0,0.003490448,-0.005739212,0.011072159,0,
00:00.0,0.00349617,-0.005750656,0.011066437,0,
00:00.0,0.00349617,-0.00573349,0.011066437,0,
00:00.0,0.003501892,-0.005693436,0.011060715,0,
00:00.0,0.003513336,-0.005647659,0.011060715,0,
00:00.0,0.003507614,-0.005670547,0.011060715,0,
00:00.0,0.003501892,-0.005699158,0.011066437,0,
00:00.0,0.00349617,-0.005727768,0.011060715,0,
00:00.0,0.003490448,-0.005744934,0.011066437,0,
00:00.0,0.003484726,-0.005739212,0.011066437,0,
00:00.1,0.003484726,-0.005744934,0.011066437,0,
00:00.1,0.003479004,-0.0057621,0.011072159,0,
00:00.1,0.003479004,-0.005756378,0.011072159,0,
00:00.1,0.003479004,-0.005739212,0.011072159,0,
00:00.1,0.003490448,-0.005710602,0.011072159,0,
00:00.1,0.003501892,-0.005681992,0.011072159,0,
00:00.1,0.003501892,-0.005670547,0.011077881,0,
00:00.1,0.00349617,-0.005699158,0.011077881,0,
00:00.1,0.003490448,-0.005722046,0.011072159,0,
00:00.1,0.003484726,-0.005744934,0.011072159,0,
00:00.1,0.003473282,-0.005756378,0.011089325,0,
00:00.1,0.003473282,-0.005750656,0.011095047,0,
00:00.1,0.003473282,-0.00573349,0.011089325,0,
00:00.1,0.003479004,-0.005744934,0.011089325,0,
00:00.1,0.00346756,-0.005773544,0.011089325,0,
00:00.1,0.003473282,-0.005750656,0.011089325,0,
00:00.1,0.003479004,-0.005716324,0.011083603,0,
00:00.1,0.003490448,-0.00570488,0.011083603,0,
00:00.1,0.003484726,-0.005716324,0.011083603,0,
00:00.1,0.003484726,-0.00573349,0.011083603,0,
00:00.1,0.003479004,-0.005727768,0.011083603,0,
00:00.1,0.003479004,-0.005722046,0.011083603,0,
00:00.1,0.003473282,-0.005756378,0.011089325,0,
00:00.1,0.00346756,-0.005784988,0.011095047,0,
00:00.1,0.00346756,-0.00573349,0.011095047,0,
00:00.2,0.00346756,-0.005727768,0.011095047,0,
00:00.2,0.003461838,-0.005750656,0.011089325,0,
00:00.2,0.003456116,-0.005767822,0.011089325,0,
00:00.2,0.003450394,-0.005779266,0.011095047,0,
00:00.2,0.003461838,-0.005750656,0.011095047,0,
00:00.2,0.003473282,-0.005710602,0.011095047,0,
00:00.2,0.003479004,-0.005710602,0.011095047,0,
00:00.2,0.003473282,-0.005727768,0.011095047,0,
00:00.2,0.00346756,-0.0057621,0.011095047,0,
00:00.2,0.00346756,-0.005773544,0.011089325,0,
00:00.2,0.003461838,-0.005756378,0.011089325,0,
00:00.2,0.003456116,-0.005767822,0.011106491,0,
00:00.2,0.003450394,-0.005773544,0.011112213,0,
00:00.2,0.003456116,-0.00573349,0.011112213,0,
00:00.2,0.003461838,-0.005727768,0.011106491,0,
00:00.2,0.003456116,-0.005739212,0.011106491,0,
00:00.2,0.003450394,-0.005756378,0.011100769,0,
00:00.2,0.003444672,-0.005802155,0.011100769,0,
00:00.2,0.003444672,-0.005813599,0.011100769,0,
00:00.2,0.00343895,-0.005779266,0.011112213,0,
00:00.2,0.00343895,-0.005750656,0.011123657,0,
00:00.2,0.00343895,-0.005756378,0.011112213,0,
00:00.2,0.003433228,-0.005773544,0.011112213,0,
00:00.2,0.003433228,-0.00579071,0.011106491,0,
00:00.2,0.003427505,-0.005802155,0.011106491,0,
00:00.3,0.003433228,-0.005756378,0.011106491,0,
00:00.3,0.003433228,-0.005756378,0.011106491,0,
00:00.3,0.003433228,-0.005767822,0.011106491,0,
00:00.3,0.003433228,-0.005779266,0.011106491,0,
00:00.3,0.003427505,-0.005796432,0.011106491,0,
00:00.3,0.003427505,-0.005796432,0.011100769,0,
00:00.3,0.003421783,-0.005796432,0.011100769,0,
00:00.3,0.003410339,-0.005825043,0.011106491,0,
00:00.3,0.003410339,-0.005825043,0.011106491,0,
00:00.3,0.003421783,-0.005802155,0.011100769,0,
00:00.3,0.003427505,-0.00579071,0.011100769,0,
00:00.3,0.003427505,-0.005784988,0.011100769,0,
00:00.3,0.003427505,-0.005773544,0.011100769,0,
00:00.3,0.003416061,-0.005825043,0.011100769,0,
00:00.3,0.003416061,-0.005813599,0.011095047,0,
00:00.3,0.003416061,-0.005784988,0.011100769,0,
00:00.3,0.003416061,-0.005802155,0.011112213,0,
00:00.3,0.003404617,-0.005842209,0.011112213,0,
00:00.3,0.003393173,-0.005882263,0.011112213,0,
00:00.3,0.003398895,-0.005847931,0.011106491,0,
00:00.3,0.003404617,-0.005796432,0.011100769,0,
00:00.3,0.003416061,-0.005756378,0.011100769,0,
00:00.3,0.003416061,-0.005773544,0.011106491,0,
00:00.3,0.003410339,-0.005796432,0.011100769,0,
00:00.3,0.003404617,-0.005819321,0.011095047,0,
00:00.4,0.003398895,-0.005836487,0.011106491,0,
00:00.4,0.003393173,-0.005859375,0.011112213,0,
00:00.4,0.003381729,-0.005922318,0.011106491,0,
00:00.4,0.003381729,-0.005905151,0.011100769,0,
00:00.4,0.003393173,-0.005825043,0.011095047,0,
00:00.4,0.003410339,-0.005784988,0.011095047,0,
00:00.4,0.003398895,-0.005819321,0.011095047,0,
00:00.4,0.003393173,-0.005842209,0.011095047,0,
00:00.4,0.003393173,-0.005836487,0.011095047,0,
00:00.4,0.003393173,-0.005847931,0.011083603,0,
00:00.4,0.003387451,-0.005870819,0.011083603,0,
00:00.4,0.003376007,-0.005870819,0.011100769,0,
00:00.4,0.003381729,-0.005865097,0.011095047,0,
00:00.4,0.003376007,-0.005882263,0.011095047,0,
00:00.4,0.003376007,-0.005899429,0.011089325,0,
00:00.4,0.003381729,-0.005865097,0.011089325,0,
00:00.4,0.003376007,-0.005830765,0.011089325,0,
00:00.4,0.003370285,-0.005870819,0.011095047,0,
00:00.4,0.003364563,-0.005910873,0.011095047,0,
00:00.4,0.003364563,-0.005905151,0.011089325,0,
00:00.4,0.003376007,-0.005882263,0.011089325,0,
00:00.4,0.003376007,-0.005887985,0.011089325,0,
00:00.4,0.003370285,-0.005887985,0.011095047,0,
00:00.4,0.003370285,-0.005893707,0.011095047,0,
00:00.4,0.003364563,-0.005910873,0.011089325,0,
00:00.5,0.003353119,-0.005939484,0.011083603,0,
00:00.5,0.003341675,-0.00595665,0.011083603,0,
00:00.5,0.003353119,-0.005910873,0.011077881,0,
00:00.5,0.003364563,-0.005876541,0.011072159,0,
00:00.5,0.003364563,-0.005887985,0.011066437,0,
00:00.5,0.003358841,-0.005922318,0.011066437,0,
