Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002569199,-0.005487442,0.007478714,0,
00:00.0,0.002569199,-0.00548172,0.007450104,0,
00:00.0,0.002557755,-0.00548172,0.007541656,0,
00:00.0,0.002557755,-0.00548172,0.007535934,0,
00:00.0,0.002563477,-0.005487442,0.00749588,0,
00:00.0,0.002557755,-0.005498886,0.007478714,0,
00:00.0,0.002569199,-0.005493164,0.007478714,0,
00:00.0,0.002574921,-0.005504608,0.007455826,0,
00:00.0,0.00254631,-0.005516052,0.007484436,0,
00:00.0,0.002483368,-0.005561829,0.007581711,0,
00:00.0,0.002500534,-0.005590439,0.007564545,0,
00:00.0,0.002597809,-0.005504608,0.007432938,0,
00:00.0,0.002592087,-0.0054245,0.007398605,0,
00:00.1,0.002586365,-0.005418777,0.007450104,0,
00:00.1,0.002563477,-0.005464554,0.007501602,0,
00:00.1,0.002574921,-0.005487442,0.007513046,0,
00:00.1,0.002569199,-0.005504608,0.007518768,0,
00:00.1,0.002569199,-0.00551033,0.007513046,0,
00:00.1,0.002569199,-0.005504608,0.007501602,0,
00:00.1,0.002574921,-0.005487442,0.007484436,0,
00:00.1,0.002580643,-0.005521774,0.007444382,0,
00:00.1,0.002614975,-0.005464554,0.007461548,0,
00:00.1,0.002592087,-0.005384445,0.00746727,0,
00:00.1,0.002557755,-0.005521774,0.007513046,0,
00:00.1,0.002580643,-0.005487442,0.007541656,0,
00:00.1,0.002563477,-0.005516052,0.007501602,0,
00:00.1,0.002580643,-0.00551033,0.007501602,0,
00:00.1,0.002569199,-0.005521774,0.007501602,0,
00:00.1,0.002552032,-0.005527496,0.00752449,0,
00:00.1,0.002569199,-0.005487442,0.007547379,0,
00:00.1,0.002540588,-0.00548172,0.007581711,0,
00:00.1,0.002500534,-0.005527496,0.007593155,0,
00:00.1,0.002586365,-0.00553894,0.007541656,0,
00:00.1,0.002614975,-0.005493164,0.007472992,0,
00:00.1,0.002592087,-0.005470276,0.007455826,0,
00:00.1,0.002557755,-0.005487442,0.007484436,0,
00:00.1,0.002586365,-0.00548172,0.007501602,0,
00:00.1,0.002603531,-0.005458832,0.007518768,0,
00:00.2,0.002580643,-0.005475998,0.00749588,0,
00:00.2,0.002574921,-0.00551033,0.007507324,0,
00:00.2,0.002574921,-0.00548172,0.007518768,0,
00:00.2,0.002580643,-0.005475998,0.007518768,0,
00:00.2,0.002592087,-0.005458832,0.007507324,0,
00:00.2,0.002580643,-0.005447388,0.007501602,0,
00:00.2,0.002580643,-0.005464554,0.007507324,0,
00:00.2,0.002586365,-0.005475998,0.00749588,0,
00:00.2,0.002569199,-0.005504608,0.007518768,0,
00:00.2,0.002552032,-0.005556107,0.007541656,0,
00:00.2,0.002586365,-0.00551033,0.007530212,0,
00:00.2,0.002574921,-0.005435944,0.007518768,0,
00:00.2,0.002563477,-0.005464554,0.007541656,0,
00:00.2,0.002586365,-0.005458832,0.007535934,0,
00:00.2,0.002574921,-0.005464554,0.00752449,0,
00:00.2,0.002557755,-0.005470276,0.00752449,0,
00:00.2,0.00254631,-0.00548172,0.007575989,0,
00:00.2,0.002574921,-0.005475998,0.007581711,0,
00:00.2,0.002603531,-0.005458832,0.007472992,0,
00:00.2,0.002569199,-0.005475998,0.007484436,0,
00:00.2,0.002569199,-0.005516052,0.007484436,0,
00:00.2,0.002586365,-0.005493164,0.007530212,0,
00:00.2,0.002603531,-0.005418777,0.007558823,0,
00:00.2,0.002597809,-0.005413055,0.007547379,0,
00:00.2,0.002580643,-0.005470276,0.00749588,0,
00:00.3,0.002586365,-0.005447388,0.007513046,0,
00:00.3,0.002563477,-0.00548172,0.007553101,0,
00:00.3,0.002580643,-0.005470276,0.007553101,0,
00:00.3,0.002580643,-0.005470276,0.007535934,0,
00:00.3,0.002592087,-0.005464554,0.007513046,0,
00:00.3,0.002592087,-0.00545311,0.007535934,0,
00:00.3,0.002563477,-0.00548172,0.007547379,0,
00:00.3,0.002569199,-0.005498886,0.007541656,0,
00:00.3,0.002603531,-0.005441666,0.007530212,0,
00:00.3,0.002597809,-0.005441666,0.007535934,0,
00:00.3,0.002540588,-0.00551033,0.00752449,0,
00:00.3,0.002563477,-0.00548172,0.007547379,0,
00:00.3,0.002574921,-0.005435944,0.007570267,0,
00:00.3,0.002580643,-0.005458832,0.007558823,0,
00:00.3,0.002569199,-0.005464554,0.007541656,0,
00:00.3,0.002580643,-0.00545311,0.007587433,0,
00:00.3,0.002597809,-0.005458832,0.007535934,0,
00:00.3,0.002592087,-0.005447388,0.00749588,0,
00:00.3,0.002603531,-0.005401611,0.007484436,0,
00:00.3,0.002557755,-0.005418777,0.007507324,0,
00:00.3,0.002540588,-0.005487442,0.007575989,0,
00:00.3,0.002603531,-0.00548172,0.007598877,0,
00:00.3,0.002592087,-0.005441666,0.007535934,0,
00:00.3,0.002592087,-0.005390167,0.007513046,0,
00:00.3,0.002580643,-0.005441666,0.007541656,0,
00:00.4,0.002586365,-0.005458832,0.007564545,0,
00:00.4,0.002592087,-0.005441666,0.007547379,0,
00:00.4,0.002586365,-0.005458832,0.007547379,0,
00:00.4,0.002574921,-0.005475998,0.007553101,0,
00:00.4,0.002597809,-0.005435944,0.007518768,0,
00:00.4,0.002597809,-0.005413055,0.007513046,0,
00:00.4,0.002569199,-0.005441666,0.007570267,0,
00:00.4,0.002563477,-0.005470276,0.007593155,0,
00:00.4,0.002580643,-0.005475998,0.007553101,0,
00:00.4,0.002580643,-0.005435944,0.00752449,0,
00:00.4,0.002557755,-0.00545311,0.007564545,0,
00:00.4,0.002574921,-0.00545311,0.007610321,0,
00:00.4,0.002580643,-0.005441666,0.007598877,0,
00:00.4,0.002552032,-0.00545311,0.007581711,0,
00:00.4,0.00254631,-0.00545311,0.007598877,0,
00:00.4,0.002580643,-0.00545311,0.007547379,0,
00:00.4,0.002609253,-0.005447388,0.007478714,0,
00:00.4,0.002609253,-0.005441666,0.007490158,0,
00:00.4,0.002603531,-0.005435944,0.00752449,0,
00:00.4,0.002552032,-0.00548172,0.007581711,0,
00:00.4,0.00254631,-0.005464554,0.007593155,0,
00:00.4,0.002597809,-0.005401611,0.007501602,0,
