Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002254486,-0.006311417,0.008085251,0,
00:00.0,0.002277374,-0.006328583,0.008079529,0,
00:00.0,0.002260208,-0.006334305,0.008073807,0,
00:00.0,0.002243042,-0.006340027,0.008085251,0,
00:00.0,0.002231598,-0.006357193,0.008096695,0,
00:00.0,0.002231598,-0.006374359,0.008113861,0,
00:00.0,0.00223732,-0.006368637,0.008113861,0,
00:00.0,0.002248764,-0.006351471,0.008108139,0,
00:00.0,0.002248764,-0.006334305,0.008113861,0,
00:00.0,0.002248764,-0.006340027,0.008102417,0,
00:00.0,0.002243042,-0.006351471,0.008102417,0,
00:00.0,0.002243042,-0.006357193,0.008096695,0,
00:00.0,0.002248764,-0.006357193,0.008090973,0,
00:00.1,0.00226593,-0.006357193,0.008073807,0,
00:00.1,0.002271652,-0.006357193,0.008073807,0,
00:00.1,0.002271652,-0.006334305,0.008085251,0,
00:00.1,0.002243042,-0.006345749,0.008131027,0,
00:00.1,0.002220154,-0.006357193,0.008125305,0,
00:00.1,0.002231598,-0.006357193,0.008108139,0,
00:00.1,0.00223732,-0.006380081,0.008108139,0,
00:00.1,0.00223732,-0.006362915,0.008108139,0,
00:00.1,0.00223732,-0.006351471,0.008113861,0,
00:00.1,0.002248764,-0.006340027,0.008113861,0,
00:00.1,0.002248764,-0.006328583,0.008102417,0,
00:00.1,0.002260208,-0.006322861,0.008079529,0,
00:00.1,0.002271652,-0.006322861,0.008090973,0,
00:00.1,0.002271652,-0.006328583,0.008108139,0,
00:00.1,0.00226593,-0.006345749,0.008096695,0,
00:00.1,0.002248764,-0.006362915,0.008119583,0,
00:00.1,0.00223732,-0.006351471,0.008125305,0,
00:00.1,0.002231598,-0.006362915,0.008119583,0,
00:00.1,0.002231598,-0.006374359,0.008125305,0,
00:00.1,0.002254486,-0.006351471,0.008125305,0,
00:00.1,0.002248764,-0.006340027,0.008108139,0,
00:00.1,0.002248764,-0.006340027,0.008119583,0,
00:00.1,0.002248764,-0.006351471,0.008125305,0,
00:00.1,0.002248764,-0.006362915,0.008119583,0,
00:00.1,0.002254486,-0.006368637,0.008113861,0,
00:00.2,0.002254486,-0.006362915,0.008113861,0,
00:00.2,0.002243042,-0.006357193,0.008113861,0,
00:00.2,0.00223732,-0.006351471,0.008119583,0,
00:00.2,0.002243042,-0.006351471,0.008125305,0,
00:00.2,0.002243042,-0.006340027,0.008119583,0,
00:00.2,0.002254486,-0.006334305,0.008108139,0,
00:00.2,0.002243042,-0.006357193,0.008125305,0,
00:00.2,0.002248764,-0.006362915,0.008125305,0,
00:00.2,0.002248764,-0.006351471,0.008102417,0,
00:00.2,0.002254486,-0.006328583,0.008108139,0,
00:00.2,0.002254486,-0.006334305,0.008142471,0,
00:00.2,0.002243042,-0.006362915,0.008136749,0,
00:00.2,0.002248764,-0.006374359,0.008136749,0,
00:00.2,0.002243042,-0.006374359,0.008142471,0,
00:00.2,0.002243042,-0.006368637,0.008142471,0,
00:00.2,0.002260208,-0.006362915,0.008131027,0,
00:00.2,0.002254486,-0.006357193,0.008119583,0,
00:00.2,0.002271652,-0.006340027,0.008119583,0,
00:00.2,0.002271652,-0.006345749,0.008136749,0,
00:00.2,0.002225876,-0.006362915,0.008148193,0,
