Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.00248909,-0.004932404,0.009721756,0,
00:00.0,0.002500534,-0.004920959,0.009738922,0,
00:00.0,0.002494812,-0.004932404,0.009767532,0,
00:00.0,0.002494812,-0.004915237,0.009750366,0,
00:00.0,0.002511978,-0.004898071,0.009750366,0,
00:00.0,0.002494812,-0.00494957,0.009738922,0,
00:00.0,0.002477646,-0.004972458,0.009738922,0,
00:00.0,0.002494812,-0.00494957,0.009727478,0,
00:00.0,0.002534866,-0.004886627,0.009727478,0,
00:00.0,0.002540588,-0.004852295,0.009738922,0,
00:00.0,0.00248909,-0.004920959,0.009773254,0,
00:00.0,0.002483368,-0.004943848,0.009767532,0,
00:00.0,0.00248909,-0.004972458,0.009750366,0,
00:00.1,0.00248909,-0.004972458,0.0097332,0,
00:00.1,0.002483368,-0.004966736,0.009744644,0,
00:00.1,0.002506256,-0.004909515,0.009744644,0,
00:00.1,0.002529144,-0.004869461,0.009756088,0,
00:00.1,0.002506256,-0.004892349,0.009738922,0,
00:00.1,0.002511978,-0.004880905,0.009750366,0,
00:00.1,0.002523422,-0.004898071,0.009767532,0,
00:00.1,0.002500534,-0.004943848,0.009738922,0,
00:00.1,0.00248909,-0.004966736,0.0097332,0,
00:00.1,0.00248909,-0.004966736,0.009767532,0,
00:00.1,0.002483368,-0.00497818,0.009773254,0,
00:00.1,0.00248909,-0.004926682,0.009756088,0,
00:00.1,0.002500534,-0.004898071,0.009773254,0,
00:00.1,0.002506256,-0.004898071,0.009778976,0,
00:00.1,0.002511978,-0.004938126,0.009738922,0,
00:00.1,0.002494812,-0.004983902,0.009738922,0,
00:00.1,0.002500534,-0.004903793,0.009744644,0,
00:00.1,0.002523422,-0.004852295,0.009750366,0,
00:00.1,0.002494812,-0.004898071,0.009778976,0,
00:00.1,0.002506256,-0.004915237,0.009767532,0,
00:00.1,0.002494812,-0.004943848,0.009784698,0,
00:00.1,0.002500534,-0.004909515,0.009750366,0,
00:00.1,0.002500534,-0.004903793,0.00976181,0,
00:00.1,0.002500534,-0.004926682,0.00976181,0,
00:00.1,0.002471924,-0.00494957,0.009773254,0,
00:00.2,0.002494812,-0.004943848,0.009773254,0,
00:00.2,0.002506256,-0.004903793,0.009727478,0,
00:00.2,0.0025177,-0.004880905,0.009750366,0,
00:00.2,0.002506256,-0.004909515,0.009778976,0,
00:00.2,0.002483368,-0.004989624,0.009767532,0,
00:00.2,0.002500534,-0.004955292,0.009773254,0,
00:00.2,0.002494812,-0.004903793,0.009790421,0,
00:00.2,0.0025177,-0.004823685,0.009773254,0,
00:00.2,0.002529144,-0.004846573,0.009744644,0,
00:00.2,0.002506256,-0.004926682,0.009778976,0,
00:00.2,0.002511978,-0.00494957,0.009778976,0,
00:00.2,0.0025177,-0.004903793,0.009773254,0,
00:00.2,0.002500534,-0.004898071,0.009767532,0,
00:00.2,0.00248909,-0.004926682,0.009744644,0,
00:00.2,0.00248909,-0.00494957,0.009790421,0,
00:00.2,0.002511978,-0.004903793,0.009767532,0,
00:00.2,0.002500534,-0.004892349,0.009767532,0,
00:00.2,0.00248909,-0.004920959,0.009756088,0,
00:00.2,0.002523422,-0.004892349,0.009738922,0,
00:00.2,0.0025177,-0.004886627,0.009807587,0,
00:00.2,0.002483368,-0.004961014,0.009807587,0,
00:00.2,0.00248909,-0.004938126,0.009767532,0,
00:00.2,0.002494812,-0.004920959,0.009767532,0,
00:00.2,0.002500534,-0.004909515,0.009778976,0,
00:00.2,0.002500534,-0.004926682,0.009773254,0,
00:00.3,0.002494812,-0.004943848,0.009784698,0,
00:00.3,0.002500534,-0.004915237,0.009756088,0,
00:00.3,0.002500534,-0.004903793,0.009773254,0,
00:00.3,0.002511978,-0.004852295,0.009778976,0,
00:00.3,0.0025177,-0.004875183,0.009784698,0,
00:00.3,0.002511978,-0.004898071,0.009773254,0,
00:00.3,0.002500534,-0.004892349,0.009778976,0,
00:00.3,0.00248909,-0.004932404,0.009796143,0,
00:00.3,0.002511978,-0.004943848,0.00976181,0,
00:00.3,0.002500534,-0.004909515,0.009773254,0,
00:00.3,0.002506256,-0.004880905,0.009778976,0,
00:00.3,0.002494812,-0.004909515,0.009790421,0,
00:00.3,0.002523422,-0.004858017,0.009756088,0,
00:00.3,0.002523422,-0.004875183,0.009784698,0,
00:00.3,0.002494812,-0.004943848,0.009796143,0,
00:00.3,0.002506256,-0.004909515,0.009778976,0,
00:00.3,0.002494812,-0.004892349,0.009778976,0,
00:00.3,0.002511978,-0.004909515,0.009756088,0,
00:00.3,0.002511978,-0.004915237,0.009796143,0,
00:00.3,0.002483368,-0.004932404,0.009813309,0,
00:00.3,0.0025177,-0.004886627,0.009778976,0,
00:00.3,0.0025177,-0.004886627,0.009778976,0,
00:00.3,0.002483368,-0.004966736,0.009807587,0,
00:00.3,0.002483368,-0.00494957,0.009813309,0,
00:00.3,0.002494812,-0.004869461,0.009778976,0,
00:00.4,0.002511978,-0.004875183,0.009807587,0,
00:00.4,0.002494812,-0.004920959,0.009778976,0,
00:00.4,0.002500534,-0.004926682,0.009773254,0,
00:00.4,0.002506256,-0.004898071,0.009778976,0,
00:00.4,0.002511978,-0.004869461,0.009801865,0,
00:00.4,0.002511978,-0.004863739,0.009807587,0,
00:00.4,0.0025177,-0.004875183,0.009773254,0,
00:00.4,0.002506256,-0.004880905,0.009773254,0,
00:00.4,0.002540588,-0.004863739,0.009778976,0,
00:00.4,0.002506256,-0.004892349,0.009807587,0,
00:00.4,0.002506256,-0.004915237,0.009824753,0,
00:00.4,0.002500534,-0.004932404,0.009830475,0,
00:00.4,0.002506256,-0.004938126,0.009801865,0,
00:00.4,0.002506256,-0.004915237,0.009773254,0,
00:00.4,0.002529144,-0.004869461,0.009767532,0,
00:00.4,0.002511978,-0.004880905,0.009813309,0,
00:00.4,0.00248909,-0.004915237,0.009801865,0,
00:00.4,0.002494812,-0.004886627,0.009801865,0,
00:00.4,0.002506256,-0.004909515,0.009778976,0,
00:00.4,0.002506256,-0.004926682,0.009790421,0,
00:00.4,0.002494812,-0.004898071,0.009819031,0,
00:00.4,0.002500534,-0.004915237,0.009830475,0,
00:00.4,0.002511978,-0.004938126,0.009796143,0,
00:00.4,0.002506256,-0.004898071,0.009773254,0,
00:00.4,0.002523422,-0.004829407,0.009801865,0,
00:00.5,0.002483368,-0.004875183,0.009824753,0,
00:00.5,0.002506256,-0.004875183,0.009807587,0,
00:00.5,0.002506256,-0.004880905,0.009807587,0,
00:00.5,0.002500534,-0.004886627,0.009790421,0,
