Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002552032,-0.00696373,0.008525848,0,
00:00.0,0.002529144,-0.006952286,0.008514404,0,
00:00.0,0.002529144,-0.006969452,0.008491516,0,
00:00.0,0.002563477,-0.006929398,0.008491516,0,
00:00.0,0.002574921,-0.006929398,0.008485794,0,
00:00.0,0.002597809,-0.006986618,0.008520126,0,
00:00.0,0.002540588,-0.007003784,0.008508682,0,
00:00.0,0.0025177,-0.006975174,0.008497238,0,
00:00.0,0.00254631,-0.00693512,0.008451462,0,
00:00.0,0.002557755,-0.006958008,0.008485794,0,
00:00.0,0.00254631,-0.00699234,0.008514404,0,
00:00.0,0.002540588,-0.006929398,0.008508682,0,
00:00.0,0.002500534,-0.006929398,0.008508682,0,
00:00.1,0.0025177,-0.006958008,0.00850296,0,
00:00.1,0.002580643,-0.006958008,0.008520126,0,
00:00.1,0.002574921,-0.006940842,0.008491516,0,
00:00.1,0.002511978,-0.00699234,0.008508682,0,
00:00.1,0.002529144,-0.006958008,0.008491516,0,
00:00.1,0.002592087,-0.006906509,0.008508682,0,
00:00.1,0.002563477,-0.006946564,0.00853157,0,
00:00.1,0.002534866,-0.006969452,0.008520126,0,
00:00.1,0.002557755,-0.00696373,0.00850296,0,
00:00.1,0.002580643,-0.006946564,0.008508682,0,
00:00.1,0.00254631,-0.006923676,0.008497238,0,
00:00.1,0.002540588,-0.006946564,0.008491516,0,
00:00.1,0.002540588,-0.006946564,0.008508682,0,
00:00.1,0.002529144,-0.006917953,0.008514404,0,
00:00.1,0.002534866,-0.006923676,0.008480072,0,
00:00.1,0.002534866,-0.006952286,0.008491516,0,
00:00.1,0.002569199,-0.006917953,0.008508682,0,
00:00.1,0.002529144,-0.006929398,0.00850296,0,
00:00.1,0.002534866,-0.006940842,0.008514404,0,
00:00.1,0.002552032,-0.006946564,0.008543015,0,
00:00.1,0.002563477,-0.006940842,0.008491516,0,
00:00.1,0.002557755,-0.006906509,0.008485794,0,
00:00.1,0.002540588,-0.006929398,0.008508682,0,
00:00.1,0.002529144,-0.006980896,0.008514404,0,
00:00.1,0.002529144,-0.006980896,0.00853157,0,
00:00.2,0.002523422,-0.006940842,0.008525848,0,
00:00.2,0.002529144,-0.006912231,0.00850296,0,
00:00.2,0.002574921,-0.006900787,0.008508682,0,
00:00.2,0.002586365,-0.006900787,0.00850296,0,
00:00.2,0.002500534,-0.006917953,0.00850296,0,
00:00.2,0.002574921,-0.006917953,0.008508682,0,
00:00.2,0.002563477,-0.006946564,0.00853157,0,
00:00.2,0.002529144,-0.00699234,0.008520126,0,
00:00.2,0.002552032,-0.006998062,0.00850296,0,
00:00.2,0.002540588,-0.006929398,0.008497238,0,
00:00.2,0.002534866,-0.006900787,0.00853157,0,
00:00.2,0.002552032,-0.006900787,0.00853157,0,
00:00.2,0.00254631,-0.006969452,0.008497238,0,
00:00.2,0.002523422,-0.00702095,0.008480072,0,
00:00.2,0.002523422,-0.006906509,0.00853157,0,
00:00.2,0.002557755,-0.006809235,0.008537292,0,
00:00.2,0.002580643,-0.006860733,0.008525848,0,
00:00.2,0.002563477,-0.006912231,0.008525848,0,
00:00.2,0.002563477,-0.006917953,0.008520126,0,
00:00.2,0.002569199,-0.006923676,0.008520126,0,
00:00.2,0.002511978,-0.006923676,0.008514404,0,
00:00.2,0.0025177,-0.00696373,0.008514404,0,
00:00.2,0.002552032,-0.006906509,0.008514404,0,
00:00.2,0.002557755,-0.006860733,0.008508682,0,
00:00.2,0.002552032,-0.006906509,0.008514404,0,
00:00.3,0.00254631,-0.006929398,0.008508682,0,
00:00.3,0.002552032,-0.006900787,0.008514404,0,
00:00.3,0.002563477,-0.006866455,0.00850296,0,
00:00.3,0.002540588,-0.006883621,0.008514404,0,
00:00.3,0.002506256,-0.006929398,0.008520126,0,
00:00.3,0.002523422,-0.006975174,0.008537292,0,
00:00.3,0.002534866,-0.00696373,0.008543015,0,
00:00.3,0.002563477,-0.006906509,0.008525848,0,
00:00.3,0.002552032,-0.006872177,0.00850296,0,
00:00.3,0.002511978,-0.006877899,0.008525848,0,
00:00.3,0.002529144,-0.006912231,0.008548737,0,
00:00.3,0.002580643,-0.006923676,0.008543015,0,
00:00.3,0.002569199,-0.006900787,0.008514404,0,
00:00.3,0.002540588,-0.006900787,0.008508682,0,
00:00.3,0.002534866,-0.006895065,0.008543015,0,
00:00.3,0.002552032,-0.006895065,0.008525848,0,
00:00.3,0.002552032,-0.006883621,0.008537292,0,
00:00.3,0.002557755,-0.006889343,0.008543015,0,
00:00.3,0.002557755,-0.006889343,0.008537292,0,
00:00.3,0.002523422,-0.006906509,0.008543015,0,
00:00.3,0.002523422,-0.006940842,0.008548737,0,
00:00.3,0.002552032,-0.006929398,0.008525848,0,
00:00.3,0.002552032,-0.006940842,0.008543015,0,
00:00.3,0.00254631,-0.006906509,0.008548737,0,
00:00.3,0.002540588,-0.006832123,0.008520126,0,
00:00.4,0.002534866,-0.006860733,0.00853157,0,
00:00.4,0.002534866,-0.006906509,0.008554459,0,
00:00.4,0.002569199,-0.006940842,0.008508682,0,
00:00.4,0.00254631,-0.006917953,0.00853157,0,
00:00.4,0.002552032,-0.006849289,0.008577347,0,
00:00.4,0.002574921,-0.006860733,0.008554459,0,
00:00.4,0.002557755,-0.006883621,0.00853157,0,
00:00.4,0.002523422,-0.006929398,0.008543015,0,
00:00.4,0.002523422,-0.006883621,0.008554459,0,
00:00.4,0.002592087,-0.006832123,0.008543015,0,
00:00.4,0.002592087,-0.006860733,0.008560181,0,
00:00.4,0.002552032,-0.006860733,0.008543015,0,
00:00.4,0.002511978,-0.006860733,0.00853157,0,
00:00.4,0.002511978,-0.006877899,0.008554459,0,
00:00.4,0.002529144,-0.006877899,0.008554459,0,
00:00.4,0.002580643,-0.006889343,0.008554459,0,
00:00.4,0.002574921,-0.006900787,0.008565903,0,
00:00.4,0.002552032,-0.006889343,0.008548737,0,
00:00.4,0.002552032,-0.006883621,0.008514404,0,
00:00.4,0.00254631,-0.006912231,0.008537292,0,
00:00.4,0.002506256,-0.006946564,0.008565903,0,
00:00.4,0.002529144,-0.006883621,0.008554459,0,
00:00.4,0.002574921,-0.006843567,0.00853157,0,
00:00.4,0.002569199,-0.006843567,0.008548737,0,
00:00.4,0.00254631,-0.006860733,0.008554459,0,
00:00.5,0.00254631,-0.006877899,0.008554459,0,
00:00.5,0.002552032,-0.006889343,0.00853157,0,
00:00.5,0.00254631,-0.006900787,0.008560181,0,
00:00.5,0.002534866,-0.006900787,0.008565903,0,
00:00.5,0.002534866,-0.006860733,0.00853157,0,
00:00.5,0.002563477,-0.006866455,0.008565903,0,
00:00.5,0.002586365,-0.006877899,0.008577347,0,
00:00.5,0.00254631,-0.006849289,0.008543015,0,
00:00.5,0.002540588,-0.006826401,0.008537292,0,
00:00.5,0.002534866,-0.006860733,0.008560181,0,
00:00.5,0.00254631,-0.006872177,0.008554459,0,
00:00.5,0.002534866,-0.006900787,0.008565903,0,
00:00.5,0.002534866,-0.006889343,0.008565903,0,
00:00.5,0.002557755,-0.006855011,0.008543015,0,
00:00.5,0.00254631,-0.006843567,0.008560181,0,
00:00.5,0.002529144,-0.006877899,0.008560181,0,
00:00.5,0.002569199,-0.006900787,0.008560181,0,
00:00.5,0.002540588,-0.006877899,0.008565903,0,
00:00.5,0.002557755,-0.006803513,0.008571625,0,
00:00.5,0.0025177,-0.006826401,0.008560181,0,
00:00.5,0.002540588,-0.006860733,0.008554459,0,
00:00.5,0.002563477,-0.006849289,0.008565903,0,
00:00.5,0.002540588,-0.006843567,0.008571625,0,
00:00.5,0.002552032,-0.006843567,0.008577347,0,
00:00.5,0.002557755,-0.006849289,0.008560181,0,
00:00.6,0.002569199,-0.00693512,0.008554459,0,
00:00.6,0.00254631,-0.006940842,0.008571625,0,
00:00.6,0.002523422,-0.006860733,0.008577347,0,
00:00.6,0.002540588,-0.006809235,0.008565903,0,
00:00.6,0.00254631,-0.006809235,0.008583069,0,
00:00.6,0.002557755,-0.006843567,0.008577347,0,
00:00.6,0.002569199,-0.006855011,0.008571625,0,
00:00.6,0.002540588,-0.006860733,0.008571625,0,
00:00.6,0.002540588,-0.006877899,0.008577347,0,
00:00.6,0.002540588,-0.00693512,0.008594513,0,
00:00.6,0.002552032,-0.006855011,0.008583069,0,
00:00.6,0.00254631,-0.006780624,0.008577347,0,
00:00.6,0.00254631,-0.006792068,0.008571625,0,
00:00.6,0.002523422,-0.006837845,0.008583069,0,
