Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000944138,-0.001619339,0.007535934,0,
00:00.0,-0.000989914,-0.001665115,0.007587433,0,
00:00.0,-0.000972748,-0.001613617,0.007616043,0,
00:00.0,-0.000835419,-0.001459122,0.00769043,0,
00:00.0,-0.000898361,-0.001464844,0.007650375,0,
00:00.0,-0.000921249,-0.001567841,0.007696152,0,
00:00.0,-0.000955582,-0.001619339,0.007667542,0,
00:00.0,-0.000967026,-0.001642227,0.007627487,0,
00:00.0,-0.000938416,-0.001562119,0.007616043,0,
00:00.0,-0.000904083,-0.001487732,0.007610321,0,
00:00.0,-0.000955582,-0.001602173,0.007644653,0,
00:00.0,-0.000926971,-0.001653671,0.007593155,0,
00:00.0,-0.000892639,-0.001642227,0.007598877,0,
00:00.1,-0.000921249,-0.001573563,0.007604599,0,
00:00.1,-0.000909805,-0.001590729,0.007661819,0,
00:00.1,-0.000909805,-0.001493454,0.007730484,0,
00:00.1,-0.000972748,-0.001516342,0.007696152,0,
00:00.1,-0.000972748,-0.001567841,0.007696152,0,
00:00.1,-0.000841141,-0.001504898,0.007656097,0,
00:00.1,-0.000926971,-0.001590729,0.007587433,0,
00:00.1,-0.001041412,-0.001642227,0.007610321,0,
00:00.1,-0.000967026,-0.001602173,0.007633209,0,
00:00.1,-0.000984192,-0.001573563,0.007610321,0,
00:00.1,-0.000875473,-0.001533508,0.007558823,0,
00:00.1,-0.000864029,-0.001596451,0.007627487,0,
00:00.1,-0.000944138,-0.001653671,0.007753372,0,
00:00.1,-0.000904083,-0.001556396,0.007736206,0,
00:00.1,-0.001012802,-0.001607895,0.007753372,0,
00:00.1,-0.000967026,-0.001630783,0.00769043,0,
00:00.1,-0.000967026,-0.001579285,0.007644653,0,
00:00.1,-0.000955582,-0.001613617,0.007593155,0,
00:00.1,-0.000812531,-0.00148201,0.00771904,0,
00:00.1,-0.000944138,-0.001544952,0.00774765,0,
00:00.1,-0.001115799,-0.001722336,0.007530212,0,
00:00.1,-0.001058578,-0.001647949,0.007621765,0,
00:00.1,-0.000921249,-0.001567841,0.007616043,0,
00:00.1,-0.000921249,-0.001573563,0.007678986,0,
00:00.1,-0.000898361,-0.001613617,0.007701874,0,
00:00.2,-0.000932693,-0.001573563,0.007713318,0,
00:00.2,-0.00097847,-0.001567841,0.007713318,0,
00:00.2,-0.000984192,-0.001585007,0.007627487,0,
00:00.2,-0.000921249,-0.001556396,0.00769043,0,
00:00.2,-0.000915527,-0.001533508,0.007638931,0,
00:00.2,-0.000886917,-0.001533508,0.007707596,0,
00:00.2,-0.000835419,-0.001642227,0.00774765,0,
00:00.2,-0.000898361,-0.001653671,0.007736206,0,
00:00.2,-0.001075745,-0.001745224,0.007701874,0,
00:00.2,-0.001024246,-0.001647949,0.00769043,0,
00:00.2,-0.000944138,-0.001504898,0.00771904,0,
00:00.2,-0.000909805,-0.001504898,0.00774765,0,
00:00.2,-0.000904083,-0.001550674,0.00771904,0,
00:00.2,-0.00097847,-0.001585007,0.007764816,0,
00:00.2,-0.000989914,-0.001688004,0.007621765,0,
00:00.2,-0.00100708,-0.001693726,0.007558823,0,
00:00.2,-0.000961304,-0.001590729,0.00774765,0,
00:00.2,-0.000909805,-0.001590729,0.007759094,0,
00:00.2,-0.000926971,-0.001596451,0.007730484,0,
00:00.2,-0.000967026,-0.001590729,0.007621765,0,
00:00.2,-0.000801086,-0.001533508,0.007656097,0,
00:00.2,-0.000921249,-0.001550674,0.00777626,0,
00:00.2,-0.001029968,-0.001625061,0.007816315,0,
00:00.2,-0.001029968,-0.001607895,0.007730484,0,
00:00.2,-0.000995636,-0.00153923,0.007787704,0,
00:00.3,-0.000904083,-0.001544952,0.00769043,0,
00:00.3,-0.000921249,-0.001590729,0.00771904,0,
00:00.3,-0.000915527,-0.001602173,0.007787704,0,
00:00.3,-0.000967026,-0.001596451,0.007764816,0,
00:00.3,-0.000938416,-0.001659393,0.007770538,0,
00:00.3,-0.000926971,-0.00173378,0.007822037,0,
00:00.3,-0.00097847,-0.001710892,0.007736206,0,
00:00.3,-0.00097847,-0.001659393,0.007678986,0,
