Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001602173,-0.000177383,0.011455536,0,
00:00.0,-0.001602173,-0.000183105,0.011455536,0,
00:00.0,-0.001602173,-0.000188828,0.011449814,0,
00:00.0,-0.001607895,-0.000183105,0.011444092,0,
00:00.0,-0.001602173,-0.000177383,0.011449814,0,
00:00.0,-0.001596451,-0.000183105,0.011421204,0,
00:00.0,-0.001607895,-0.000183105,0.011432648,0,
00:00.0,-0.001607895,-0.000165939,0.011444092,0,
00:00.0,-0.001596451,-0.000171661,0.011449814,0,
00:00.0,-0.001596451,-0.000188828,0.011444092,0,
00:00.0,-0.001607895,-0.000188828,0.011415482,0,
00:00.0,-0.001607895,-0.000177383,0.011449814,0,
00:00.0,-0.001596451,-0.000183105,0.011455536,0,
00:00.1,-0.001602173,-0.000183105,0.011444092,0,
00:00.1,-0.001602173,-0.000177383,0.011444092,0,
00:00.1,-0.001602173,-0.000165939,0.01143837,0,
00:00.1,-0.001596451,-0.000165939,0.011421204,0,
00:00.1,-0.001602173,-0.000188828,0.01140976,0,
00:00.1,-0.001607895,-0.000183105,0.011432648,0,
00:00.1,-0.001602173,-0.000183105,0.011421204,0,
00:00.1,-0.001602173,-0.000171661,0.01143837,0,
00:00.1,-0.001602173,-0.000165939,0.011432648,0,
00:00.1,-0.001596451,-0.000171661,0.011444092,0,
00:00.1,-0.001596451,-0.000188828,0.011432648,0,
00:00.1,-0.001607895,-0.000188828,0.011432648,0,
00:00.1,-0.001607895,-0.000177383,0.011432648,0,
00:00.1,-0.001602173,-0.000171661,0.011404037,0,
00:00.1,-0.001602173,-0.000177383,0.011426926,0,
00:00.1,-0.001602173,-0.000177383,0.011421204,0,
00:00.1,-0.001602173,-0.000165939,0.011432648,0,
00:00.1,-0.001596451,-0.000165939,0.01143837,0,
00:00.1,-0.001602173,-0.000177383,0.011432648,0,
00:00.1,-0.001607895,-0.000177383,0.011432648,0,
00:00.1,-0.001607895,-0.000171661,0.01143837,0,
00:00.1,-0.001602173,-0.000165939,0.011426926,0,
00:00.1,-0.001602173,-0.000171661,0.011398315,0,
00:00.1,-0.001607895,-0.000165939,0.011398315,0,
00:00.1,-0.001602173,-0.000160217,0.011404037,0,
00:00.2,-0.001590729,-0.000165939,0.011426926,0,
00:00.2,-0.001596451,-0.000165939,0.011426926,0,
00:00.2,-0.001596451,-0.000183105,0.011426926,0,
00:00.2,-0.001613617,-0.000188828,0.011421204,0,
00:00.2,-0.001613617,-0.000183105,0.011426926,0,
00:00.2,-0.001607895,-0.000177383,0.011432648,0,
00:00.2,-0.001602173,-0.000171661,0.011404037,0,
00:00.2,-0.001607895,-0.000171661,0.01140976,0,
00:00.2,-0.001607895,-0.000165939,0.011421204,0,
00:00.2,-0.001602173,-0.000165939,0.011421204,0,
00:00.2,-0.001602173,-0.000165939,0.011415482,0,
00:00.2,-0.001602173,-0.000165939,0.011415482,0,
00:00.2,-0.001602173,-0.000171661,0.01140976,0,
00:00.2,-0.001602173,-0.000165939,0.011415482,0,
00:00.2,-0.001602173,-0.000177383,0.011432648,0,
00:00.2,-0.001607895,-0.000171661,0.011432648,0,
00:00.2,-0.001602173,-0.000171661,0.011415482,0,
00:00.2,-0.001602173,-0.000177383,0.011421204,0,
00:00.2,-0.001607895,-0.000171661,0.011421204,0,
00:00.2,-0.001602173,-0.000171661,0.011421204,0,
00:00.2,-0.001602173,-0.000171661,0.01140976,0,
00:00.2,-0.001602173,-0.000165939,0.01140976,0,
00:00.2,-0.001602173,-0.000160217,0.01140976,0,
00:00.2,-0.001596451,-0.000148773,0.01140976,0,
00:00.2,-0.001596451,-0.000165939,0.01140976,0,
