Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001665115,-0.001670837,0.006443024,0,
00:00.0,-0.001665115,-0.001676559,0.006443024,0,
00:00.0,-0.001659393,-0.001676559,0.006443024,0,
00:00.0,-0.001665115,-0.001676559,0.006443024,0,
00:00.0,-0.001670837,-0.001676559,0.006443024,0,
00:00.0,-0.001682281,-0.001676559,0.006443024,0,
00:00.0,-0.001670837,-0.001676559,0.006443024,0,
00:00.0,-0.001653671,-0.001665115,0.006437302,0,
00:00.0,-0.001670837,-0.001676559,0.006443024,0,
00:00.0,-0.001670837,-0.001676559,0.006443024,0,
00:00.0,-0.001659393,-0.001676559,0.006443024,0,
00:00.0,-0.001659393,-0.001670837,0.006448746,0,
00:00.0,-0.001659393,-0.001670837,0.006448746,0,
00:00.1,-0.001665115,-0.001670837,0.006443024,0,
00:00.1,-0.001670837,-0.001670837,0.006443024,0,
00:00.1,-0.001665115,-0.001670837,0.006448746,0,
00:00.1,-0.001659393,-0.001670837,0.006448746,0,
00:00.1,-0.001659393,-0.001670837,0.006448746,0,
00:00.1,-0.001665115,-0.001665115,0.006443024,0,
00:00.1,-0.001665115,-0.001665115,0.006443024,0,
00:00.1,-0.001665115,-0.001670837,0.006443024,0,
00:00.1,-0.001665115,-0.001670837,0.006443024,0,
00:00.1,-0.001665115,-0.001670837,0.006443024,0,
00:00.1,-0.001665115,-0.001665115,0.006443024,0,
00:00.1,-0.001670837,-0.001670837,0.006443024,0,
00:00.1,-0.001676559,-0.001665115,0.006443024,0,
00:00.1,-0.001659393,-0.001665115,0.006443024,0,
00:00.1,-0.001665115,-0.001670837,0.006437302,0,
00:00.1,-0.001665115,-0.001676559,0.006443024,0,
00:00.1,-0.001659393,-0.001670837,0.006448746,0,
00:00.1,-0.001665115,-0.001665115,0.006437302,0,
00:00.1,-0.001670837,-0.001670837,0.006448746,0,
00:00.1,-0.001665115,-0.001670837,0.006448746,0,
00:00.1,-0.001659393,-0.001670837,0.006443024,0,
00:00.1,-0.001665115,-0.001670837,0.006443024,0,
00:00.1,-0.001659393,-0.001665115,0.006443024,0,
00:00.1,-0.001665115,-0.001665115,0.006443024,0,
00:00.1,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001665115,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001659393,0.006437302,0,
00:00.2,-0.001665115,-0.001665115,0.00643158,0,
00:00.2,-0.001682281,-0.001665115,0.006443024,0,
00:00.2,-0.001682281,-0.001670837,0.006448746,0,
00:00.2,-0.001647949,-0.001670837,0.006448746,0,
00:00.2,-0.001659393,-0.001670837,0.006448746,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006448746,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001670837,-0.001665115,0.006443024,0,
00:00.2,-0.001665115,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006448746,0,
00:00.2,-0.001665115,-0.001665115,0.006448746,0,
00:00.2,-0.001676559,-0.001665115,0.006448746,0,
00:00.2,-0.001665115,-0.001665115,0.006443024,0,
00:00.2,-0.001659393,-0.001665115,0.006448746,0,
00:00.2,-0.001653671,-0.001659393,0.006448746,0,
00:00.2,-0.001665115,-0.001659393,0.006443024,0,
00:00.3,-0.001670837,-0.001659393,0.006443024,0,
00:00.3,-0.001676559,-0.001665115,0.006448746,0,
00:00.3,-0.001659393,-0.001659393,0.006448746,0,
00:00.3,-0.001665115,-0.001665115,0.006448746,0,
00:00.3,-0.001665115,-0.001659393,0.006454468,0,
00:00.3,-0.001659393,-0.001659393,0.006454468,0,
00:00.3,-0.001665115,-0.001665115,0.006448746,0,
00:00.3,-0.001665115,-0.001665115,0.006448746,0,
00:00.3,-0.001670837,-0.001659393,0.006448746,0,
00:00.3,-0.001670837,-0.001665115,0.006448746,0,
00:00.3,-0.001665115,-0.001665115,0.006448746,0,
00:00.3,-0.001665115,-0.001659393,0.006448746,0,
