Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000732422,-0.000858307,0.008216858,0,
00:00.0,-0.000738144,-0.000846863,0.008211136,0,
00:00.0,-0.000743866,-0.000846863,0.008211136,0,
00:00.0,-0.000709534,-0.000841141,0.008199692,0,
00:00.0,-0.0007267,-0.000846863,0.008199692,0,
00:00.0,-0.000743866,-0.000869751,0.008199692,0,
00:00.0,-0.000761032,-0.000881195,0.00822258,0,
00:00.0,-0.000743866,-0.000858307,0.008239746,0,
00:00.0,-0.000720978,-0.000835419,0.00819397,0,
00:00.0,-0.0007267,-0.000846863,0.008188248,0,
00:00.0,-0.000738144,-0.000846863,0.00822258,0,
00:00.0,-0.0007267,-0.000852585,0.008211136,0,
00:00.0,-0.0007267,-0.000852585,0.008211136,0,
00:00.1,-0.000743866,-0.000846863,0.008205414,0,
00:00.1,-0.000738144,-0.000846863,0.008211136,0,
00:00.1,-0.0007267,-0.000852585,0.00822258,0,
00:00.1,-0.000738144,-0.000858307,0.008211136,0,
00:00.1,-0.000743866,-0.000864029,0.008205414,0,
00:00.1,-0.0007267,-0.000869751,0.008205414,0,
00:00.1,-0.000761032,-0.000869751,0.008216858,0,
00:00.1,-0.000738144,-0.000858307,0.008239746,0,
00:00.1,-0.000738144,-0.000858307,0.008228302,0,
00:00.1,-0.0007267,-0.000864029,0.008228302,0,
00:00.1,-0.000749588,-0.000864029,0.00822258,0,
00:00.1,-0.000766754,-0.000852585,0.008239746,0,
00:00.1,-0.000692368,-0.000835419,0.008216858,0,
00:00.1,-0.000720978,-0.000841141,0.00822258,0,
00:00.1,-0.000709534,-0.000835419,0.008205414,0,
00:00.1,-0.000692368,-0.000841141,0.008234024,0,
00:00.1,-0.000743866,-0.000852585,0.008245468,0,
00:00.1,-0.000761032,-0.000864029,0.008234024,0,
00:00.1,-0.000772476,-0.000892639,0.008216858,0,
00:00.1,-0.000772476,-0.000875473,0.00822258,0,
00:00.1,-0.000738144,-0.000846863,0.008234024,0,
00:00.1,-0.000703812,-0.000823975,0.008234024,0,
00:00.1,-0.000720978,-0.000829697,0.008234024,0,
00:00.1,-0.000720978,-0.000823975,0.008234024,0,
00:00.1,-0.0007267,-0.000835419,0.008239746,0,
00:00.2,-0.000738144,-0.000846863,0.008239746,0,
