Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001550674,0.000806808,0.010728836,0,
00:00.0,-0.001556396,0.000806808,0.010728836,0,
00:00.0,-0.001550674,0.000812531,0.010723114,0,
00:00.0,-0.001550674,0.000818253,0.010717392,0,
00:00.0,-0.001556396,0.000812531,0.010717392,0,
00:00.0,-0.001544952,0.000812531,0.010728836,0,
00:00.0,-0.001556396,0.000806808,0.010723114,0,
00:00.0,-0.001556396,0.000812531,0.01071167,0,
00:00.0,-0.001550674,0.000812531,0.010717392,0,
00:00.0,-0.001556396,0.000812531,0.010728836,0,
00:00.0,-0.001550674,0.000812531,0.010728836,0,
00:00.0,-0.001556396,0.000818253,0.010734558,0,
00:00.0,-0.001556396,0.000812531,0.010728836,0,
00:00.1,-0.001550674,0.000801086,0.010728836,0,
00:00.1,-0.001556396,0.000801086,0.010717392,0,
00:00.1,-0.001550674,0.000801086,0.010763168,0,
00:00.1,-0.001544952,0.000801086,0.010757446,0,
00:00.1,-0.001550674,0.000801086,0.010734558,0,
00:00.1,-0.001556396,0.000801086,0.010734558,0,
00:00.1,-0.001556396,0.000806808,0.010746002,0,
00:00.1,-0.00153923,0.000818253,0.01074028,0,
00:00.1,-0.00153923,0.000806808,0.010746002,0,
00:00.1,-0.001550674,0.000806808,0.010751724,0,
00:00.1,-0.001544952,0.000812531,0.010751724,0,
00:00.1,-0.001544952,0.000806808,0.010751724,0,
00:00.1,-0.001550674,0.000801086,0.01074028,0,
00:00.1,-0.001550674,0.000801086,0.010751724,0,
00:00.1,-0.001550674,0.000801086,0.010763168,0,
00:00.1,-0.001544952,0.000806808,0.01076889,0,
00:00.1,-0.00153923,0.000812531,0.01076889,0,
00:00.1,-0.001556396,0.000806808,0.010751724,0,
00:00.1,-0.001562119,0.000801086,0.010746002,0,
00:00.1,-0.00153923,0.000806808,0.010746002,0,
00:00.1,-0.001550674,0.000806808,0.010763168,0,
00:00.1,-0.00153923,0.000801086,0.010751724,0,
00:00.1,-0.00153923,0.000806808,0.010763168,0,
00:00.1,-0.001544952,0.000801086,0.010774612,0,
00:00.1,-0.001544952,0.000801086,0.01076889,0,
00:00.2,-0.001544952,0.000801086,0.010791779,0,
00:00.2,-0.001550674,0.000801086,0.010780334,0,
00:00.2,-0.001544952,0.000801086,0.010780334,0,
00:00.2,-0.001544952,0.000801086,0.010774612,0,
00:00.2,-0.001544952,0.000806808,0.010774612,0,
00:00.2,-0.001544952,0.000806808,0.01076889,0,
00:00.2,-0.00153923,0.000806808,0.01076889,0,
00:00.2,-0.00153923,0.000801086,0.010774612,0,
00:00.2,-0.001556396,0.000801086,0.010791779,0,
00:00.2,-0.001562119,0.000801086,0.010820389,0,
00:00.2,-0.00153923,0.000801086,0.010780334,0,
00:00.2,-0.00153923,0.000806808,0.010774612,0,
00:00.2,-0.00153923,0.000801086,0.010797501,0,
00:00.2,-0.001544952,0.000801086,0.010797501,0,
00:00.2,-0.001533508,0.000806808,0.010791779,0,
00:00.2,-0.001544952,0.000806808,0.010791779,0,
00:00.2,-0.001550674,0.000812531,0.01076889,0,
00:00.2,-0.001527786,0.000818253,0.010791779,0,
00:00.2,-0.00153923,0.000806808,0.010803223,0,
00:00.2,-0.001550674,0.000801086,0.010791779,0,
00:00.2,-0.001550674,0.000795364,0.010803223,0,
00:00.2,-0.001544952,0.000795364,0.010814667,0,
00:00.2,-0.001544952,0.000801086,0.010814667,0,
00:00.2,-0.001544952,0.000801086,0.010820389,0,
00:00.2,-0.00153923,0.000801086,0.010814667,0,
00:00.3,-0.001544952,0.000801086,0.010814667,0,
00:00.3,-0.001544952,0.000806808,0.010814667,0,
00:00.3,-0.001544952,0.000806808,0.010814667,0,
00:00.3,-0.00153923,0.000801086,0.010791779,0,
00:00.3,-0.001544952,0.000806808,0.010797501,0,
00:00.3,-0.001533508,0.000806808,0.010803223,0,
00:00.3,-0.001544952,0.000795364,0.010826111,0,
00:00.3,-0.00153923,0.000795364,0.010826111,0,
00:00.3,-0.00153923,0.000801086,0.010814667,0,
00:00.3,-0.00153923,0.000801086,0.010826111,0,
00:00.3,-0.00153923,0.000801086,0.010826111,0,
00:00.3,-0.001544952,0.000795364,0.010826111,0,
00:00.3,-0.00153923,0.000801086,0.010820389,0,
00:00.3,-0.00153923,0.000806808,0.010820389,0,
00:00.3,-0.001533508,0.000812531,0.010808945,0,
00:00.3,-0.001544952,0.000806808,0.010786057,0,
00:00.3,-0.001544952,0.000801086,0.010803223,0,
00:00.3,-0.001556396,0.000789642,0.010843277,0,
00:00.3,-0.00153923,0.000789642,0.010831833,0,
00:00.3,-0.001533508,0.000806808,0.010826111,0,
00:00.3,-0.001544952,0.000801086,0.010837555,0,
00:00.3,-0.001544952,0.000795364,0.010831833,0,
00:00.3,-0.00153923,0.000801086,0.010820389,0,
00:00.3,-0.001550674,0.000801086,0.010820389,0,
00:00.3,-0.00153923,0.000801086,0.010814667,0,
00:00.4,-0.001544952,0.000801086,0.010831833,0,
00:00.4,-0.00153923,0.000801086,0.010826111,0,
00:00.4,-0.00153923,0.000801086,0.010837555,0,
00:00.4,-0.00153923,0.000801086,0.010837555,0,
00:00.4,-0.001550674,0.000801086,0.010831833,0,
00:00.4,-0.001550674,0.000795364,0.010843277,0,
00:00.4,-0.001544952,0.000795364,0.010843277,0,
00:00.4,-0.001550674,0.000789642,0.010848999,0,
00:00.4,-0.001544952,0.000789642,0.010848999,0,
00:00.4,-0.00153923,0.000801086,0.010843277,0,
00:00.4,-0.001544952,0.000795364,0.010826111,0,
00:00.4,-0.001550674,0.000795364,0.010808945,0,
00:00.4,-0.001544952,0.000795364,0.010843277,0,
00:00.4,-0.001550674,0.000795364,0.010843277,0,
00:00.4,-0.001544952,0.000789642,0.010871887,0,
00:00.4,-0.00153923,0.000795364,0.010854721,0,
00:00.4,-0.00153923,0.000795364,0.010860443,0,
00:00.4,-0.00153923,0.000801086,0.010871887,0,
00:00.4,-0.001544952,0.000795364,0.010860443,0,
00:00.4,-0.001544952,0.000789642,0.010866165,0,
00:00.4,-0.001556396,0.000789642,0.010866165,0,
00:00.4,-0.001544952,0.000795364,0.010860443,0,
00:00.4,-0.001533508,0.000801086,0.010848999,0,
00:00.4,-0.001550674,0.000789642,0.010871887,0,
00:00.4,-0.001544952,0.000801086,0.010860443,0,
00:00.5,-0.00153923,0.000801086,0.010883331,0,
00:00.5,-0.001550674,0.00078392,0.010820389,0,
00:00.5,-0.001550674,0.000789642,0.010871887,0,
00:00.5,-0.001544952,0.000789642,0.010889053,0,
00:00.5,-0.001544952,0.000789642,0.010883331,0,
00:00.5,-0.001544952,0.000789642,0.010883331,0,
00:00.5,-0.001544952,0.000789642,0.010883331,0,
00:00.5,-0.00153923,0.000795364,0.010883331,0,
00:00.5,-0.00153923,0.000795364,0.010877609,0,
00:00.5,-0.001544952,0.000801086,0.010877609,0,
00:00.5,-0.001544952,0.000801086,0.010866165,0,
00:00.5,-0.001567841,0.000795364,0.010866165,0,
00:00.5,-0.00153923,0.000795364,0.010883331,0,
00:00.5,-0.001533508,0.000795364,0.010883331,0,
00:00.5,-0.00153923,0.000789642,0.010889053,0,
00:00.5,-0.001544952,0.00078392,0.010889053,0,
00:00.5,-0.00153923,0.000789642,0.010900497,0,
00:00.5,-0.00153923,0.000795364,0.010883331,0,
00:00.5,-0.001544952,0.000789642,0.010900497,0,
00:00.5,-0.001544952,0.000789642,0.010894775,0,
00:00.5,-0.00153923,0.000789642,0.010889053,0,
00:00.5,-0.00153923,0.000789642,0.010889053,0,
00:00.5,-0.001544952,0.000789642,0.010866165,0,
00:00.5,-0.001550674,0.00078392,0.010900497,0,
00:00.5,-0.00153923,0.000795364,0.010911942,0,
00:00.6,-0.001544952,0.000789642,0.010900497,0,
00:00.6,-0.001544952,0.00078392,0.010900497,0,
00:00.6,-0.00153923,0.000789642,0.010900497,0,
00:00.6,-0.001544952,0.000795364,0.010889053,0,
00:00.6,-0.001550674,0.00078392,0.010894775,0,
00:00.6,-0.001544952,0.00078392,0.010894775,0,
00:00.6,-0.001544952,0.000789642,0.010900497,0,
00:00.6,-0.001544952,0.00078392,0.010889053,0,
00:00.6,-0.001533508,0.00078392,0.010877609,0,
00:00.6,-0.00153923,0.00078392,0.010906219,0,
00:00.6,-0.001544952,0.00078392,0.010917664,0,
00:00.6,-0.001556396,0.000778198,0.010900497,0,
00:00.6,-0.00153923,0.00078392,0.010906219,0,
00:00.6,-0.00153923,0.000789642,0.010906219,0,
00:00.6,-0.001533508,0.000789642,0.010906219,0,
00:00.6,-0.00153923,0.00078392,0.010894775,0,
00:00.6,-0.001533508,0.00078392,0.010894775,0,
00:00.6,-0.001550674,0.00078392,0.010877609,0,
00:00.6,-0.001556396,0.000789642,0.010883331,0,
00:00.6,-0.00153923,0.00078392,0.010911942,0,
00:00.6,-0.00153923,0.00078392,0.010917664,0,
00:00.6,-0.001544952,0.000778198,0.010917664,0,
00:00.6,-0.001544952,0.00078392,0.010917664,0,
00:00.6,-0.001533508,0.000795364,0.010917664,0,
00:00.6,-0.00153923,0.000795364,0.010906219,0,
00:00.7,-0.00153923,0.000789642,0.010900497,0,
00:00.7,-0.001544952,0.00078392,0.010894775,0,
00:00.7,-0.001544952,0.000778198,0.010877609,0,
00:00.7,-0.001544952,0.00078392,0.010923386,0,
00:00.7,-0.00153923,0.00078392,0.010911942,0,
00:00.7,-0.001544952,0.00078392,0.010923386,0,
00:00.7,-0.001544952,0.00078392,0.010917664,0,
00:00.7,-0.001544952,0.00078392,0.010911942,0,
00:00.7,-0.001544952,0.00078392,0.010911942,0,
00:00.7,-0.001544952,0.00078392,0.010911942,0,
