Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001722336,0.000102997,0.008663177,0,
00:00.0,-0.001693726,0.000165939,0.008663177,0,
00:00.0,-0.001722336,7.44E-05,0.008663177,0,
00:00.0,-0.001739502,1.72E-05,0.0086689,0,
00:00.0,-0.001728058,7.44E-05,0.008657455,0,
00:00.0,-0.001722336,0.000125885,0.008623123,0,
00:00.0,-0.001716614,0.000143051,0.008646011,0,
00:00.0,-0.001716614,0.000114441,0.008674622,0,
00:00.0,-0.001722336,0.000114441,0.008663177,0,
00:00.0,-0.001722336,9.73E-05,0.008646011,0,
00:00.0,-0.001699448,0.000131607,0.008634567,0,
00:00.0,-0.001699448,0.000137329,0.008634567,0,
00:00.0,-0.001722336,8.01E-05,0.008646011,0,
00:00.1,-0.001728058,6.29E-05,0.008657455,0,
00:00.1,-0.001716614,8.01E-05,0.008646011,0,
00:00.1,-0.001716614,9.73E-05,0.008646011,0,
00:00.1,-0.001722336,0.000114441,0.008651733,0,
00:00.1,-0.001716614,0.000137329,0.008640289,0,
00:00.1,-0.00170517,0.000160217,0.008651733,0,
00:00.1,-0.001716614,0.000102997,0.008646011,0,
00:00.1,-0.001699448,0.000137329,0.008628845,0,
00:00.1,-0.001688004,0.000160217,0.008634567,0,
00:00.1,-0.001722336,0.000102997,0.008617401,0,
00:00.1,-0.001745224,5.72E-05,0.008646011,0,
00:00.1,-0.001722336,8.01E-05,0.008651733,0,
00:00.1,-0.001722336,0.000102997,0.008634567,0,
00:00.1,-0.001716614,0.000108719,0.008623123,0,
00:00.1,-0.001716614,0.000108719,0.008628845,0,
00:00.1,-0.001722336,0.000102997,0.008651733,0,
00:00.1,-0.001722336,9.73E-05,0.008663177,0,
00:00.1,-0.001722336,8.01E-05,0.008640289,0,
00:00.1,-0.00173378,4.58E-05,0.008640289,0,
00:00.1,-0.001722336,7.44E-05,0.008640289,0,
00:00.1,-0.00170517,0.000108719,0.008623123,0,
00:00.1,-0.00170517,9.16E-05,0.008623123,0,
