Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000841141,-0.000904083,0.01096344,0,
00:00.0,-0.000858307,-0.000886917,0.010997772,0,
00:00.0,-0.000904083,-0.000881195,0.010969162,0,
00:00.0,-0.000858307,-0.000892639,0.010980606,0,
00:00.0,-0.000892639,-0.000904083,0.010980606,0,
00:00.0,-0.000898361,-0.000909805,0.010877609,0,
00:00.0,-0.000881195,-0.000915527,0.010911942,0,
00:00.0,-0.000869751,-0.000904083,0.011032104,0,
00:00.0,-0.000841141,-0.000881195,0.011026382,0,
00:00.0,-0.000892639,-0.000892639,0.010980606,0,
00:00.0,-0.000886917,-0.000886917,0.01099205,0,
00:00.0,-0.000869751,-0.000904083,0.010894775,0,
00:00.0,-0.000881195,-0.000915527,0.011072159,0,
00:00.1,-0.000875473,-0.000898361,0.01099205,0,
00:00.1,-0.000841141,-0.000904083,0.010974884,0,
00:00.1,-0.000858307,-0.000892639,0.010986328,0,
00:00.1,-0.000869751,-0.000892639,0.010951996,0,
00:00.1,-0.000898361,-0.000904083,0.011014938,0,
00:00.1,-0.000869751,-0.000904083,0.010986328,0,
00:00.1,-0.000886917,-0.000904083,0.010969162,0,
00:00.1,-0.000915527,-0.000898361,0.01102066,0,
00:00.1,-0.000892639,-0.000909805,0.010980606,0,
00:00.1,-0.000806808,-0.000892639,0.010906219,0,
00:00.1,-0.000829697,-0.000886917,0.010974884,0,
00:00.1,-0.000892639,-0.000904083,0.011054993,0,
00:00.1,-0.000881195,-0.000898361,0.010946274,0,
00:00.1,-0.000852585,-0.000904083,0.010929108,0,
00:00.1,-0.000869751,-0.000909805,0.01102066,0,
00:00.1,-0.000944138,-0.000881195,0.010889053,0,
00:00.1,-0.000846863,-0.000881195,0.010877609,0,
00:00.1,-0.000886917,-0.000932693,0.011026382,0,
00:00.1,-0.000892639,-0.000909805,0.011054993,0,
00:00.1,-0.000886917,-0.000915527,0.01099205,0,
00:00.1,-0.000864029,-0.000904083,0.010997772,0,
00:00.1,-0.000864029,-0.000898361,0.010906219,0,
00:00.1,-0.000841141,-0.000881195,0.011037827,0,
00:00.1,-0.000886917,-0.000864029,0.011043549,0,
00:00.1,-0.000841141,-0.000892639,0.010860443,0,
00:00.2,-0.000881195,-0.000915527,0.01096344,0,
00:00.2,-0.000898361,-0.000904083,0.011037827,0,
00:00.2,-0.000875473,-0.000909805,0.010946274,0,
00:00.2,-0.000875473,-0.000898361,0.010974884,0,
00:00.2,-0.000846863,-0.000904083,0.010974884,0,
00:00.2,-0.000841141,-0.000892639,0.011032104,0,
00:00.2,-0.000898361,-0.000892639,0.010917664,0,
00:00.2,-0.000904083,-0.000904083,0.01102066,0,
00:00.2,-0.000852585,-0.000904083,0.011003494,0,
00:00.2,-0.000846863,-0.000904083,0.010906219,0,
00:00.2,-0.000921249,-0.000898361,0.01099205,0,
00:00.2,-0.000881195,-0.000921249,0.010986328,0,
00:00.2,-0.000846863,-0.000904083,0.01102066,0,
00:00.2,-0.000869751,-0.000904083,0.011003494,0,
00:00.2,-0.000955582,-0.000898361,0.010951996,0,
