Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.00229454,0.00100708,0.00693512,0,
00:00.0,0.00229454,0.00100708,0.006912231,0,
00:00.0,0.002288818,0.001001358,0.006912231,0,
00:00.0,0.002288818,0.000995636,0.00693512,0,
00:00.0,0.00229454,0.00100708,0.006912231,0,
00:00.0,0.002300262,0.000995636,0.006855011,0,
00:00.0,0.002271652,0.00100708,0.006877899,0,
00:00.0,0.002288818,0.001041412,0.006883621,0,
00:00.0,0.002323151,0.001024246,0.00693512,0,
00:00.0,0.002277374,0.00100708,0.00699234,0,
00:00.0,0.002288818,0.001001358,0.006958008,0,
00:00.0,0.002288818,0.000995636,0.006940842,0,
00:00.0,0.002288818,0.000989914,0.006929398,0,
00:00.1,0.002283096,0.000984192,0.006923676,0,
00:00.1,0.002283096,0.000984192,0.006906509,0,
00:00.1,0.002283096,0.000967026,0.006889343,0,
00:00.1,0.002283096,0.001058578,0.006866455,0,
00:00.1,0.002300262,0.001058578,0.006877899,0,
00:00.1,0.002300262,0.00100708,0.006946564,0,
00:00.1,0.00229454,0.000989914,0.006986618,0,
00:00.1,0.002283096,0.000995636,0.00696373,0,
00:00.1,0.002283096,0.001001358,0.006952286,0,
00:00.1,0.002277374,0.001001358,0.006946564,0,
00:00.1,0.002288818,0.000995636,0.006940842,0,
00:00.1,0.00229454,0.000955582,0.006917953,0,
00:00.1,0.002288818,0.001001358,0.006889343,0,
00:00.1,0.002288818,0.001018524,0.006889343,0,
00:00.1,0.002300262,0.001001358,0.006895065,0,
00:00.1,0.00229454,0.001029968,0.006980896,0,
00:00.1,0.002283096,0.00100708,0.006998062,0,
00:00.1,0.002277374,0.000984192,0.006952286,0,
00:00.1,0.002277374,0.001001358,0.00693512,0,
00:00.1,0.002305984,0.000995636,0.006946564,0,
00:00.1,0.002288818,0.00097847,0.006946564,0,
00:00.1,0.002283096,0.000989914,0.006929398,0,
00:00.1,0.002311707,0.001012802,0.006866455,0,
00:00.1,0.002283096,0.001001358,0.006877899,0,
00:00.1,0.002283096,0.000989914,0.006958008,0,
00:00.2,0.002271652,0.000972748,0.006975174,0,
