Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001419067,0.00019455,0.006225586,0,
00:00.0,0.001419067,0.00019455,0.006219864,0,
00:00.0,0.001419067,0.00019455,0.006219864,0,
00:00.0,0.001419067,0.000188828,0.006219864,0,
00:00.0,0.001419067,0.000183105,0.006219864,0,
00:00.0,0.001419067,0.00019455,0.006219864,0,
00:00.0,0.001419067,0.00019455,0.006219864,0,
00:00.0,0.001424789,0.00019455,0.006214142,0,
00:00.0,0.001424789,0.00019455,0.006219864,0,
00:00.0,0.001419067,0.00019455,0.006219864,0,
00:00.0,0.001419067,0.000188828,0.006219864,0,
00:00.0,0.001419067,0.000188828,0.006219864,0,
00:00.0,0.001424789,0.000188828,0.006214142,0,
00:00.1,0.001424789,0.00019455,0.006214142,0,
00:00.1,0.001424789,0.00019455,0.006214142,0,
00:00.1,0.001424789,0.00019455,0.006219864,0,
00:00.1,0.001424789,0.000188828,0.006219864,0,
00:00.1,0.001424789,0.000183105,0.006214142,0,
00:00.1,0.001424789,0.000188828,0.006214142,0,
00:00.1,0.001424789,0.000188828,0.006214142,0,
00:00.1,0.001424789,0.000188828,0.006214142,0,
00:00.1,0.001424789,0.000188828,0.006214142,0,
00:00.1,0.001424789,0.000183105,0.00620842,0,
00:00.1,0.001419067,0.000177383,0.00620842,0,
00:00.1,0.001424789,0.000177383,0.006214142,0,
00:00.1,0.001424789,0.000183105,0.006214142,0,
00:00.1,0.001424789,0.000188828,0.00620842,0,
00:00.1,0.001424789,0.000183105,0.00620842,0,
00:00.1,0.001424789,0.000177383,0.00620842,0,
00:00.1,0.001419067,0.000183105,0.00620842,0,
00:00.1,0.001424789,0.000188828,0.006214142,0,
00:00.1,0.001430511,0.000188828,0.00620842,0,
00:00.1,0.001430511,0.000188828,0.00620842,0,
00:00.1,0.001430511,0.000188828,0.00620842,0,
00:00.1,0.001430511,0.000183105,0.00620842,0,
00:00.1,0.001424789,0.000177383,0.00620842,0,
00:00.1,0.001424789,0.000171661,0.00620842,0,
00:00.1,0.001430511,0.000183105,0.006202698,0,
00:00.2,0.001430511,0.000183105,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001424789,0.000171661,0.006202698,0,
00:00.2,0.001424789,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000177383,0.006202698,0,
00:00.2,0.001430511,0.000171661,0.006202698,0,
00:00.2,0.001430511,0.000171661,0.006202698,0,
00:00.2,0.001430511,0.000171661,0.006196976,0,
00:00.2,0.001430511,0.000177383,0.006196976,0,
00:00.2,0.001436234,0.000177383,0.006196976,0,
00:00.2,0.001436234,0.000171661,0.006202698,0,
00:00.2,0.001430511,0.000171661,0.006202698,0,
00:00.2,0.001430511,0.000165939,0.006202698,0,
00:00.2,0.001430511,0.000160217,0.006202698,0,
00:00.2,0.001436234,0.000183105,0.006196976,0,
00:00.2,0.001436234,0.000183105,0.006196976,0,
00:00.2,0.001436234,0.000171661,0.006196976,0,
00:00.2,0.001430511,0.000171661,0.006196976,0,
00:00.2,0.001436234,0.000171661,0.006196976,0,
00:00.3,0.001436234,0.000171661,0.006196976,0,
00:00.3,0.001436234,0.000165939,0.006196976,0,
00:00.3,0.001436234,0.000165939,0.006196976,0,
00:00.3,0.001436234,0.000171661,0.006196976,0,
00:00.3,0.001436234,0.000171661,0.006191254,0,
00:00.3,0.001436234,0.000171661,0.006191254,0,
00:00.3,0.001436234,0.000165939,0.006191254,0,
00:00.3,0.001436234,0.000165939,0.006191254,0,
00:00.3,0.001436234,0.000165939,0.006191254,0,
00:00.3,0.001436234,0.000160217,0.006191254,0,
00:00.3,0.001430511,0.000154495,0.006191254,0,
00:00.3,0.001430511,0.000148773,0.006191254,0,
00:00.3,0.001436234,0.000171661,0.006191254,0,
00:00.3,0.001441956,0.000183105,0.006191254,0,
00:00.3,0.001441956,0.000177383,0.006185532,0,
00:00.3,0.001441956,0.000171661,0.006185532,0,
00:00.3,0.001441956,0.000165939,0.006191254,0,
00:00.3,0.001441956,0.000165939,0.006191254,0,
00:00.3,0.001436234,0.000160217,0.006185532,0,
00:00.3,0.001430511,0.000154495,0.006185532,0,
00:00.3,0.001441956,0.000160217,0.006185532,0,
00:00.3,0.001441956,0.000165939,0.006185532,0,
00:00.3,0.001441956,0.000171661,0.006185532,0,
00:00.3,0.001436234,0.000171661,0.006185532,0,
00:00.3,0.001441956,0.000165939,0.00617981,0,
00:00.4,0.001436234,0.000160217,0.006185532,0,
00:00.4,0.001436234,0.000154495,0.006185532,0,
00:00.4,0.001436234,0.000165939,0.006185532,0,
00:00.4,0.001436234,0.000165939,0.006185532,0,
00:00.4,0.001436234,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000165939,0.00617981,0,
00:00.4,0.001441956,0.000165939,0.006185532,0,
00:00.4,0.001436234,0.000154495,0.006185532,0,
00:00.4,0.001436234,0.000148773,0.00617981,0,
00:00.4,0.001436234,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.006185532,0,
00:00.4,0.001441956,0.000165939,0.00617981,0,
00:00.4,0.001441956,0.000165939,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000154495,0.006185532,0,
00:00.4,0.001441956,0.000160217,0.006185532,0,
00:00.4,0.001441956,0.000154495,0.00617981,0,
00:00.4,0.001441956,0.000154495,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.00617981,0,
00:00.4,0.001441956,0.000154495,0.00617981,0,
00:00.4,0.001441956,0.000160217,0.00617981,0,
00:00.4,0.001447678,0.000165939,0.00617981,0,
00:00.5,0.001441956,0.000160217,0.00617981,0,
00:00.5,0.001441956,0.000154495,0.00617981,0,
00:00.5,0.001441956,0.000154495,0.00617981,0,
00:00.5,0.001441956,0.000160217,0.00617981,0,
00:00.5,0.001447678,0.000154495,0.006174088,0,
00:00.5,0.001441956,0.000148773,0.006174088,0,
00:00.5,0.001441956,0.000148773,0.00617981,0,
00:00.5,0.001447678,0.000165939,0.00617981,0,
00:00.5,0.001447678,0.000160217,0.006174088,0,
00:00.5,0.001441956,0.000154495,0.006174088,0,
00:00.5,0.001441956,0.000154495,0.006174088,0,
00:00.5,0.001436234,0.000148773,0.006174088,0,
00:00.5,0.001436234,0.000148773,0.006174088,0,
00:00.5,0.001441956,0.000160217,0.006174088,0,
00:00.5,0.001447678,0.000154495,0.006174088,0,
00:00.5,0.001441956,0.000154495,0.006168365,0,
00:00.5,0.001441956,0.000154495,0.006174088,0,
00:00.5,0.001447678,0.000160217,0.006174088,0,
00:00.5,0.001441956,0.000160217,0.006168365,0,
00:00.5,0.001441956,0.000148773,0.006168365,0,
00:00.5,0.001441956,0.000143051,0.006168365,0,
00:00.5,0.001441956,0.000154495,0.006168365,0,
00:00.5,0.001441956,0.000154495,0.006168365,0,
00:00.5,0.001441956,0.000148773,0.006168365,0,
00:00.5,0.001441956,0.000148773,0.006168365,0,
00:00.6,0.001441956,0.000148773,0.006162643,0,
00:00.6,0.001441956,0.000148773,0.006168365,0,
00:00.6,0.001441956,0.000154495,0.006168365,0,
00:00.6,0.001447678,0.000154495,0.006162643,0,
00:00.6,0.001441956,0.000148773,0.006162643,0,
00:00.6,0.001441956,0.000148773,0.006162643,0,
00:00.6,0.001441956,0.000143051,0.006162643,0,
00:00.6,0.001441956,0.000143051,0.006162643,0,
00:00.6,0.001441956,0.000143051,0.006162643,0,
00:00.6,0.001441956,0.000143051,0.006156921,0,
00:00.6,0.001447678,0.000148773,0.006156921,0,
00:00.6,0.001447678,0.000148773,0.006162643,0,
00:00.6,0.001447678,0.000148773,0.006162643,0,
00:00.6,0.001447678,0.000143051,0.006156921,0,
00:00.6,0.001441956,0.000131607,0.006156921,0,
00:00.6,0.001441956,0.000137329,0.006156921,0,
00:00.6,0.001447678,0.000148773,0.006156921,0,
00:00.6,0.001447678,0.000154495,0.006156921,0,
00:00.6,0.001447678,0.000148773,0.006156921,0,
00:00.6,0.001447678,0.000143051,0.006156921,0,
00:00.6,0.001447678,0.000137329,0.006156921,0,
00:00.6,0.001447678,0.000137329,0.006156921,0,
00:00.6,0.001441956,0.000137329,0.006156921,0,
00:00.6,0.001447678,0.000143051,0.006156921,0,
00:00.6,0.001447678,0.000137329,0.006156921,0,
00:00.7,0.001447678,0.000131607,0.006156921,0,
00:00.7,0.001447678,0.000131607,0.006156921,0,
00:00.7,0.001447678,0.000131607,0.006156921,0,
00:00.7,0.001447678,0.000137329,0.006156921,0,
00:00.7,0.001447678,0.000131607,0.006151199,0,
00:00.7,0.001447678,0.000131607,0.006151199,0,
00:00.7,0.001447678,0.000137329,0.006151199,0,
00:00.7,0.0014534,0.000143051,0.006151199,0,
00:00.7,0.0014534,0.000143051,0.006151199,0,
00:00.7,0.0014534,0.000137329,0.006151199,0,
00:00.7,0.001447678,0.000131607,0.006151199,0,
00:00.7,0.001447678,0.000125885,0.006151199,0,
00:00.7,0.001447678,0.000131607,0.006151199,0,
00:00.7,0.001447678,0.000137329,0.006151199,0,
00:00.7,0.0014534,0.000131607,0.006145477,0,
00:00.7,0.0014534,0.000137329,0.006145477,0,
00:00.7,0.001447678,0.000137329,0.006145477,0,
00:00.7,0.001447678,0.000131607,0.006145477,0,
00:00.7,0.001447678,0.000125885,0.006145477,0,
00:00.7,0.0014534,0.000137329,0.006145477,0,
00:00.7,0.001447678,0.000131607,0.006145477,0,
00:00.7,0.001447678,0.000125885,0.006145477,0,
00:00.7,0.001447678,0.000125885,0.006145477,0,
00:00.7,0.001447678,0.000137329,0.006139755,0,
00:00.7,0.0014534,0.000137329,0.006139755,0,
00:00.8,0.001447678,0.000131607,0.006145477,0,
00:00.8,0.001447678,0.000125885,0.006145477,0,
00:00.8,0.001447678,0.000125885,0.006145477,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.0014534,0.000125885,0.006139755,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.001447678,0.000114441,0.006134033,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.0014534,0.000131607,0.006139755,0,
00:00.8,0.001447678,0.000131607,0.006139755,0,
00:00.8,0.0014534,0.000131607,0.006139755,0,
00:00.8,0.0014534,0.000125885,0.006134033,0,
00:00.8,0.001447678,0.000125885,0.006134033,0,
00:00.8,0.001447678,0.000125885,0.006139755,0,
00:00.8,0.001447678,0.000125885,0.006134033,0,
00:00.8,0.0014534,0.000125885,0.006134033,0,
00:00.8,0.0014534,0.000131607,0.006134033,0,
00:00.8,0.001447678,0.000125885,0.006134033,0,
00:00.8,0.001447678,0.000120163,0.006134033,0,
00:00.8,0.001447678,0.000120163,0.006134033,0,
00:00.8,0.001447678,0.000120163,0.006128311,0,
00:00.8,0.001447678,0.000120163,0.006128311,0,
00:00.9,0.0014534,0.000125885,0.006128311,0,
00:00.9,0.0014534,0.000125885,0.006128311,0,
00:00.9,0.0014534,0.000125885,0.006128311,0,
00:00.9,0.001447678,0.000120163,0.006128311,0,
00:00.9,0.001447678,0.000120163,0.006128311,0,
00:00.9,0.0014534,0.000120163,0.006128311,0,
00:00.9,0.001447678,0.000125885,0.006128311,0,
00:00.9,0.001447678,0.000125885,0.006128311,0,
00:00.9,0.001447678,0.000120163,0.006122589,0,
00:00.9,0.001447678,0.000120163,0.006122589,0,
00:00.9,0.001447678,0.000114441,0.006122589,0,
00:00.9,0.001447678,0.000114441,0.006122589,0,
00:00.9,0.001447678,0.000120163,0.006122589,0,
00:00.9,0.001447678,0.000114441,0.006122589,0,
00:00.9,0.001447678,0.000102997,0.006122589,0,
00:00.9,0.001447678,0.000120163,0.006122589,0,
00:00.9,0.0014534,0.000131607,0.006122589,0,
00:00.9,0.0014534,0.000125885,0.006122589,0,
00:00.9,0.0014534,0.000120163,0.006122589,0,
00:00.9,0.0014534,0.000120163,0.006116867,0,
00:00.9,0.001447678,0.000114441,0.006116867,0,
00:00.9,0.0014534,0.000114441,0.006116867,0,
00:00.9,0.0014534,0.000120163,0.006122589,0,
00:00.9,0.0014534,0.000114441,0.006122589,0,
00:00.9,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.0014534,0.000114441,0.006116867,0,
00:01.0,0.0014534,0.000114441,0.006116867,0,
00:01.0,0.0014534,0.000114441,0.006116867,0,
00:01.0,0.001447678,0.000114441,0.006116867,0,
00:01.0,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000114441,0.006116867,0,
00:01.0,0.001447678,0.000114441,0.006116867,0,
00:01.0,0.0014534,0.000120163,0.006116867,0,
00:01.0,0.0014534,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000102997,0.006116867,0,
00:00:01,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.0014534,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000102997,0.006116867,0,
00:01.0,0.001447678,0.000108719,0.006116867,0,
00:01.0,0.0014534,0.000120163,0.006116867,0,
00:01.0,0.0014534,0.000114441,0.006116867,0,
00:01.0,0.001447678,0.000102997,0.006116867,0,
00:01.0,0.001447678,0.000102997,0.006116867,0,
00:01.0,0.0014534,0.000108719,0.006116867,0,
00:01.0,0.001447678,0.000108719,0.006122589,0,
00:01.0,0.001447678,9.73E-05,0.006116867,0,
00:01.0,0.001447678,9.73E-05,0.006116867,0,
00:01.1,0.001447678,0.000108719,0.006116867,0,
00:01.1,0.0014534,0.000114441,0.006116867,0,
00:01.1,0.0014534,0.000114441,0.006116867,0,
00:01.1,0.0014534,0.000108719,0.006116867,0,
00:01.1,0.001447678,0.000102997,0.006116867,0,
00:01.1,0.001447678,0.000102997,0.006116867,0,
00:01.1,0.001447678,0.000102997,0.006116867,0,
00:01.1,0.001447678,0.000108719,0.006116867,0,
00:01.1,0.001447678,0.000108719,0.006116867,0,
00:01.1,0.001447678,0.000102997,0.006116867,0,
00:01.1,0.001447678,0.000102997,0.006116867,0,
00:01.1,0.001447678,0.000108719,0.006116867,0,
00:01.1,0.0014534,0.000108719,0.006116867,0,
00:01.1,0.0014534,0.000102997,0.006111145,0,
00:01.1,0.001447678,0.000102997,0.006111145,0,
00:01.1,0.001447678,0.000102997,0.006111145,0,
00:01.1,0.001447678,0.000102997,0.006116867,0,
00:01.1,0.001447678,0.000102997,0.006111145,0,
00:01.1,0.001447678,0.000102997,0.006111145,0,
00:01.1,0.0014534,0.000102997,0.006111145,0,
00:01.1,0.0014534,0.000102997,0.006111145,0,
00:01.1,0.001447678,0.000108719,0.006111145,0,
00:01.1,0.0014534,0.000114441,0.006111145,0,
00:01.1,0.001447678,0.000102997,0.006105423,0,
00:01.1,0.001447678,9.73E-05,0.006105423,0,
00:01.2,0.001447678,9.73E-05,0.006105423,0,
00:01.2,0.001447678,0.000102997,0.006105423,0,
00:01.2,0.0014534,0.000102997,0.006105423,0,
00:01.2,0.001447678,9.73E-05,0.006105423,0,
00:01.2,0.0014534,9.73E-05,0.006105423,0,
00:01.2,0.0014534,0.000102997,0.006105423,0,
00:01.2,0.0014534,0.000102997,0.006105423,0,
00:01.2,0.001447678,9.73E-05,0.006105423,0,
00:01.2,0.001447678,9.73E-05,0.006105423,0,
00:01.2,0.001447678,8.58E-05,0.006099701,0,
00:01.2,0.001447678,9.16E-05,0.006099701,0,
00:01.2,0.0014534,9.73E-05,0.006105423,0,
00:01.2,0.0014534,9.73E-05,0.006105423,0,
00:01.2,0.0014534,9.73E-05,0.006099701,0,
00:01.2,0.0014534,9.16E-05,0.006099701,0,
00:01.2,0.0014534,9.16E-05,0.006099701,0,
00:01.2,0.001447678,9.73E-05,0.006099701,0,
00:01.2,0.001447678,9.16E-05,0.006099701,0,
00:01.2,0.001447678,9.16E-05,0.006099701,0,
00:01.2,0.0014534,9.16E-05,0.006099701,0,
00:01.2,0.0014534,9.16E-05,0.006093979,0,
00:01.2,0.001447678,9.16E-05,0.006099701,0,
00:01.2,0.001447678,9.16E-05,0.006093979,0,
00:01.2,0.001447678,8.01E-05,0.006093979,0,
00:01.2,0.001447678,8.01E-05,0.006093979,0,
00:01.3,0.001447678,9.73E-05,0.006093979,0,
00:01.3,0.0014534,0.000102997,0.006093979,0,
00:01.3,0.001447678,9.73E-05,0.006093979,0,
00:01.3,0.001447678,9.16E-05,0.006093979,0,
00:01.3,0.0014534,9.73E-05,0.006088257,0,
00:01.3,0.0014534,0.000102997,0.006093979,0,
00:01.3,0.0014534,9.73E-05,0.006093979,0,
00:01.3,0.001447678,9.16E-05,0.006093979,0,
