Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001625061,6.29E-05,0.002969742,0,
00:00.0,0.001613617,5.72E-05,0.002981186,0,
00:00.0,0.001619339,6.29E-05,0.002981186,0,
00:00.0,0.001573563,3.43E-05,0.003009796,0,
00:00.0,0.001607895,7.44E-05,0.002975464,0,
00:00.0,0.001636505,8.01E-05,0.002958298,0,
00:00.0,0.001619339,5.72E-05,0.002969742,0,
00:00.0,0.001625061,4.01E-05,0.002969742,0,
00:00.0,0.001607895,9.73E-05,0.003009796,0,
00:00.0,0.001607895,0.000114441,0.002986908,0,
00:00.0,0.001602173,7.44E-05,0.002941132,0,
00:00.0,0.001602173,6.87E-05,0.002952576,0,
00:00.0,0.001659393,6.29E-05,0.002969742,0,
00:00.1,0.001625061,6.87E-05,0.002981186,0,
00:00.1,0.001607895,9.16E-05,0.00299263,0,
00:00.1,0.001613617,6.87E-05,0.002975464,0,
00:00.1,0.001607895,6.87E-05,0.002975464,0,
00:00.1,0.001607895,5.15E-05,0.002958298,0,
00:00.1,0.001556396,7.44E-05,0.002975464,0,
00:00.1,0.001619339,7.44E-05,0.002952576,0,
00:00.1,0.001665115,9.16E-05,0.002958298,0,
00:00.1,0.001630783,6.87E-05,0.002969742,0,
00:00.1,0.001607895,6.29E-05,0.002969742,0,
00:00.1,0.001602173,6.87E-05,0.002969742,0,
00:00.1,0.001619339,8.58E-05,0.00296402,0,
00:00.1,0.001607895,5.72E-05,0.002981186,0,
00:00.1,0.001550674,5.72E-05,0.00299263,0,
00:00.1,0.001602173,9.16E-05,0.002969742,0,
00:00.1,0.001647949,6.29E-05,0.00293541,0,
00:00.1,0.001625061,6.87E-05,0.00296402,0,
00:00.1,0.001636505,7.44E-05,0.00296402,0,
00:00.1,0.001619339,7.44E-05,0.002986908,0,
00:00.1,0.001590729,7.44E-05,0.002998352,0,
00:00.1,0.001585007,6.87E-05,0.002998352,0,
00:00.1,0.001636505,6.29E-05,0.002946854,0,
00:00.1,0.001625061,6.29E-05,0.002952576,0,
00:00.1,0.001619339,8.01E-05,0.002981186,0,
00:00.1,0.001607895,4.01E-05,0.002941132,0,
00:00.2,0.001607895,4.58E-05,0.00293541,0,
00:00.2,0.001602173,0.000120163,0.002958298,0,
00:00.2,0.001562119,8.01E-05,0.002998352,0,
00:00.2,0.001613617,5.15E-05,0.002975464,0,
00:00.2,0.001619339,8.01E-05,0.002952576,0,
00:00.2,0.001607895,6.87E-05,0.002952576,0,
00:00.2,0.001619339,7.44E-05,0.002981186,0,
00:00.2,0.001636505,6.87E-05,0.00296402,0,
00:00.2,0.001613617,5.72E-05,0.002946854,0,
00:00.2,0.001579285,6.87E-05,0.00296402,0,
00:00.2,0.001607895,6.29E-05,0.002969742,0,
00:00.2,0.001630783,9.16E-05,0.002952576,0,
00:00.2,0.001619339,0.000108719,0.002958298,0,
00:00.2,0.001579285,5.15E-05,0.002975464,0,
00:00.2,0.001607895,7.44E-05,0.002952576,0,
00:00.2,0.001630783,7.44E-05,0.002969742,0,
00:00.2,0.001607895,5.15E-05,0.00299263,0,
00:00.2,0.001556396,2.86E-05,0.003009796,0,
00:00.2,0.001625061,6.87E-05,0.002929688,0,
00:00.2,0.001642227,4.58E-05,0.002941132,0,
00:00.2,0.001619339,8.01E-05,0.002952576,0,
00:00.2,0.001579285,8.01E-05,0.002981186,0,
00:00.2,0.001573563,5.15E-05,0.003009796,0,
00:00.2,0.001619339,8.58E-05,0.002929688,0,
00:00.2,0.001613617,7.44E-05,0.002958298,0,
00:00.3,0.001585007,5.15E-05,0.002975464,0,
00:00.3,0.001573563,8.01E-05,0.002929688,0,
00:00.3,0.001607895,8.58E-05,0.00293541,0,
00:00.3,0.001642227,5.72E-05,0.002969742,0,
00:00.3,0.001607895,1.14E-05,0.002946854,0,
00:00.3,0.001596451,5.72E-05,0.00296402,0,
00:00.3,0.001585007,0.000108719,0.00299263,0,
00:00.3,0.001630783,9.16E-05,0.00299263,0,
00:00.3,0.001642227,6.29E-05,0.002929688,0,
00:00.3,0.001607895,7.44E-05,0.002952576,0,
00:00.3,0.001625061,5.72E-05,0.002952576,0,
00:00.3,0.001613617,5.72E-05,0.002952576,0,
00:00.3,0.001596451,7.44E-05,0.002958298,0,
00:00.3,0.001573563,9.16E-05,0.002975464,0,
00:00.3,0.001573563,5.72E-05,0.002998352,0,
00:00.3,0.001613617,8.01E-05,0.002969742,0,
00:00.3,0.001642227,8.58E-05,0.002946854,0,
00:00.3,0.001613617,6.29E-05,0.002952576,0,
00:00.3,0.001590729,8.01E-05,0.002998352,0,
00:00.3,0.001567841,6.29E-05,0.003004074,0,
00:00.3,0.001602173,6.29E-05,0.00293541,0,
00:00.3,0.001567841,8.01E-05,0.00296402,0,
00:00.3,0.001607895,5.15E-05,0.00299263,0,
00:00.3,0.001670837,6.87E-05,0.002906799,0,
00:00.3,0.001636505,6.29E-05,0.002941132,0,
00:00.4,0.001613617,8.01E-05,0.002958298,0,
00:00.4,0.001585007,7.44E-05,0.002952576,0,
00:00.4,0.001619339,5.15E-05,0.002952576,0,
00:00.4,0.001619339,2.86E-05,0.00296402,0,
00:00.4,0.001613617,4.01E-05,0.00296402,0,
00:00.4,0.001602173,8.58E-05,0.002969742,0,
00:00.4,0.001602173,8.01E-05,0.002975464,0,
00:00.4,0.001579285,6.29E-05,0.002952576,0,
00:00.4,0.001579285,8.01E-05,0.002958298,0,
00:00.4,0.001613617,0.000108719,0.002941132,0,
