Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001871109,0.001562119,0.003181458,0,
00:00.0,0.001876831,0.001562119,0.003175735,0,
00:00.0,0.001893997,0.001562119,0.003170013,0,
00:00.0,0.001876831,0.001562119,0.003181458,0,
00:00.0,0.001888275,0.001567841,0.003181458,0,
00:00.0,0.001893997,0.001573563,0.003175735,0,
00:00.0,0.001893997,0.001573563,0.003170013,0,
00:00.0,0.001876831,0.001562119,0.003164291,0,
00:00.0,0.001871109,0.001562119,0.003170013,0,
00:00.0,0.001876831,0.001562119,0.003175735,0,
00:00.0,0.001888275,0.001579285,0.003170013,0,
00:00.0,0.001882553,0.001567841,0.003170013,0,
00:00.0,0.001882553,0.001562119,0.003164291,0,
00:00.1,0.001899719,0.001579285,0.003164291,0,
00:00.1,0.001899719,0.001579285,0.003164291,0,
00:00.1,0.001882553,0.001573563,0.003170013,0,
00:00.1,0.001893997,0.001567841,0.003170013,0,
00:00.1,0.001882553,0.001556396,0.003164291,0,
00:00.1,0.001871109,0.001567841,0.003170013,0,
00:00.1,0.001882553,0.001573563,0.003170013,0,
00:00.1,0.001888275,0.001579285,0.003170013,0,
00:00.1,0.001888275,0.001585007,0.003170013,0,
00:00.1,0.001882553,0.001573563,0.003164291,0,
00:00.1,0.001888275,0.001567841,0.003170013,0,
00:00.1,0.001882553,0.001567841,0.003170013,0,
00:00.1,0.001893997,0.001579285,0.003170013,0,
00:00.1,0.001905441,0.001585007,0.003158569,0,
00:00.1,0.001888275,0.001579285,0.003158569,0,
00:00.1,0.001893997,0.001573563,0.003164291,0,
00:00.1,0.001893997,0.001573563,0.003170013,0,
00:00.1,0.001876831,0.001579285,0.003170013,0,
00:00.1,0.001882553,0.001573563,0.003164291,0,
00:00.1,0.001882553,0.001573563,0.003164291,0,
00:00.1,0.001882553,0.001573563,0.003170013,0,
00:00.1,0.001893997,0.001585007,0.003170013,0,
00:00.1,0.001882553,0.001585007,0.003170013,0,
00:00.1,0.001888275,0.001585007,0.003164291,0,
00:00.1,0.001888275,0.001585007,0.003164291,0,
00:00.2,0.001899719,0.001596451,0.003164291,0,
00:00.2,0.001905441,0.001596451,0.003158569,0,
00:00.2,0.001865387,0.001579285,0.003158569,0,
00:00.2,0.001888275,0.001579285,0.003164291,0,
00:00.2,0.001876831,0.001585007,0.003164291,0,
00:00.2,0.001882553,0.001596451,0.003164291,0,
00:00.2,0.001882553,0.001596451,0.003164291,0,
00:00.2,0.001893997,0.001596451,0.003158569,0,
