Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002454758,0.001579285,0.00346756,0,
00:00.0,0.002483368,0.001636505,0.003456116,0,
00:00.0,0.002471924,0.001625061,0.00343895,0,
00:00.0,0.002420425,0.00151062,0.003484726,0,
00:00.0,0.002437592,0.001522064,0.003473282,0,
00:00.0,0.002397537,0.001447678,0.003461838,0,
00:00.0,0.002420425,0.001504898,0.003461838,0,
00:00.0,0.002437592,0.001533508,0.003456116,0,
00:00.0,0.002443314,0.001522064,0.003450394,0,
00:00.0,0.00246048,0.001544952,0.003473282,0,
00:00.0,0.002500534,0.001636505,0.003484726,0,
00:00.0,0.002471924,0.001665115,0.003461838,0,
00:00.0,0.002414703,0.001499176,0.003473282,0,
00:00.1,0.002397537,0.001441956,0.003490448,0,
00:00.1,0.002443314,0.001504898,0.003473282,0,
00:00.1,0.002443314,0.001493454,0.003456116,0,
00:00.1,0.002443314,0.001550674,0.00346756,0,
00:00.1,0.002454758,0.001550674,0.00346756,0,
00:00.1,0.002443314,0.001573563,0.003484726,0,
00:00.1,0.002466202,0.001596451,0.003473282,0,
00:00.1,0.002443314,0.001533508,0.00346756,0,
00:00.1,0.002529144,0.00170517,0.00346756,0,
00:00.1,0.002437592,0.00151062,0.003444672,0,
00:00.1,0.002340317,0.001361847,0.00349617,0,
00:00.1,0.002408981,0.00151062,0.003484726,0,
00:00.1,0.002437592,0.001556396,0.00346756,0,
00:00.1,0.002494812,0.001596451,0.00346756,0,
00:00.1,0.002506256,0.001682281,0.003456116,0,
00:00.1,0.002386093,0.001436234,0.003479004,0,
00:00.1,0.002403259,0.001459122,0.003501892,0,
00:00.1,0.002426147,0.001504898,0.003484726,0,
00:00.1,0.00246048,0.001567841,0.003473282,0,
00:00.1,0.002466202,0.001585007,0.003450394,0,
00:00.1,0.00243187,0.001533508,0.003456116,0,
00:00.1,0.002471924,0.001585007,0.003484726,0,
00:00.1,0.00246048,0.001579285,0.003461838,0,
00:00.1,0.002426147,0.001516342,0.003484726,0,
00:00.1,0.002437592,0.001544952,0.003479004,0,
00:00.2,0.002443314,0.001527786,0.003479004,0,
00:00.2,0.00243187,0.001436234,0.00346756,0,
00:00.2,0.002483368,0.001613617,0.00346756,0,
00:00.2,0.002534866,0.001750946,0.003456116,0,
00:00.2,0.002443314,0.001550674,0.003484726,0,
00:00.2,0.002357483,0.001424789,0.003479004,0,
00:00.2,0.002408981,0.001493454,0.00349617,0,
00:00.2,0.002449036,0.001550674,0.003490448,0,
00:00.2,0.00248909,0.001619339,0.003461838,0,
00:00.2,0.00246048,0.001602173,0.003461838,0,
00:00.2,0.002420425,0.001476288,0.003484726,0,
00:00.2,0.00246048,0.001579285,0.003473282,0,
00:00.2,0.002437592,0.00153923,0.003473282,0,
