Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001573563,0.000566483,0.001602173,0,
00:00.0,0.001579285,0.000577927,0.001613617,0,
00:00.0,0.001567841,0.000577927,0.001602173,0,
00:00.0,0.001596451,0.000589371,0.001590729,0,
00:00.0,0.001602173,0.000566483,0.001607895,0,
00:00.0,0.001590729,0.000566483,0.001665115,0,
00:00.0,0.001567841,0.000572205,0.001607895,0,
00:00.0,0.001625061,0.000572205,0.001602173,0,
00:00.0,0.001607895,0.00056076,0.001630783,0,
00:00.0,0.001602173,0.000572205,0.001636505,0,
00:00.0,0.001590729,0.000572205,0.001625061,0,
00:00.0,0.001556396,0.000572205,0.001619339,0,
00:00.0,0.001544952,0.000572205,0.001607895,0,
00:00.1,0.001607895,0.000572205,0.001619339,0,
00:00.1,0.001630783,0.000577927,0.001630783,0,
00:00.1,0.001613617,0.000572205,0.001607895,0,
00:00.1,0.001602173,0.000577927,0.001590729,0,
00:00.1,0.001596451,0.000583649,0.001607895,0,
00:00.1,0.001579285,0.000572205,0.001625061,0,
00:00.1,0.001567841,0.000566483,0.001653671,0,
00:00.1,0.001556396,0.000566483,0.001636505,0,
00:00.1,0.001596451,0.000577927,0.001619339,0,
00:00.1,0.001596451,0.000572205,0.001630783,0,
00:00.1,0.001596451,0.000572205,0.001619339,0,
00:00.1,0.001585007,0.000572205,0.001625061,0,
00:00.1,0.001550674,0.000572205,0.001619339,0,
00:00.1,0.001573563,0.000566483,0.001630783,0,
00:00.1,0.001596451,0.000572205,0.001590729,0,
00:00.1,0.001607895,0.000583649,0.001613617,0,
00:00.1,0.001602173,0.000566483,0.001636505,0,
00:00.1,0.001544952,0.000566483,0.001625061,0,
00:00.1,0.001607895,0.000572205,0.001636505,0,
00:00.1,0.001630783,0.000572205,0.001636505,0,
00:00.1,0.001596451,0.000572205,0.001636505,0,
00:00.1,0.001596451,0.000577927,0.001625061,0,
