Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001745224,0.003295898,0.017715454,0,
00:00.0,0.001785278,0.003318787,0.017681122,0,
00:00.0,0.001756668,0.003307343,0.017681122,0,
00:00.0,0.001722336,0.003290176,0.017721176,0,
00:00.0,0.001750946,0.00330162,0.017726898,0,
00:00.0,0.001779556,0.003318787,0.017715454,0,
00:00.0,0.001768112,0.003318787,0.017698288,0,
00:00.0,0.00176239,0.003313065,0.01770401,0,
00:00.0,0.001768112,0.003313065,0.01770401,0,
00:00.0,0.001750946,0.003307343,0.017698288,0,
00:00.0,0.001750946,0.003324509,0.017698288,0,
00:00.0,0.00173378,0.003318787,0.0176754,0,
00:00.0,0.001756668,0.003324509,0.017721176,0,
00:00.1,0.00176239,0.003324509,0.017692566,0,
00:00.1,0.001756668,0.003324509,0.017698288,0,
00:00.1,0.00176239,0.003324509,0.017709732,0,
00:00.1,0.001745224,0.003324509,0.017686844,0,
00:00.1,0.001739502,0.003324509,0.017698288,0,
00:00.1,0.001785278,0.003313065,0.017738342,0,
00:00.1,0.001773834,0.003330231,0.017738342,0,
00:00.1,0.001768112,0.003330231,0.017715454,0,
00:00.1,0.001779556,0.003347397,0.017709732,0,
00:00.1,0.001768112,0.003335953,0.017709732,0,
00:00.1,0.00176239,0.003330231,0.017721176,0,
00:00.1,0.001750946,0.003318787,0.017726898,0,
00:00.1,0.001750946,0.003330231,0.017738342,0,
00:00.1,0.001756668,0.003341675,0.017721176,0,
00:00.1,0.001791,0.003353119,0.017709732,0,
00:00.1,0.001768112,0.003335953,0.01773262,0,
00:00.1,0.001768112,0.003347397,0.017721176,0,
00:00.1,0.001779556,0.003341675,0.01773262,0,
00:00.1,0.001768112,0.003335953,0.017721176,0,
00:00.1,0.001768112,0.003358841,0.017755508,0,
00:00.1,0.00176239,0.003341675,0.017749786,0,
00:00.1,0.001779556,0.003347397,0.01773262,0,
00:00.1,0.001773834,0.003341675,0.017755508,0,
00:00.1,0.001779556,0.003347397,0.01776123,0,
00:00.1,0.001791,0.003358841,0.017755508,0,
00:00.2,0.001779556,0.003364563,0.017755508,0,
00:00.2,0.001773834,0.003353119,0.01776123,0,
00:00.2,0.001779556,0.003347397,0.017766953,0,
00:00.2,0.001756668,0.003358841,0.01776123,0,
00:00.2,0.001779556,0.003347397,0.017744064,0,
