Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001527786,0.003410339,0.018201828,0,
00:00.0,0.00151062,0.003416061,0.018201828,0,
00:00.0,0.001504898,0.003410339,0.018184662,0,
00:00.0,0.001499176,0.003404617,0.018201828,0,
00:00.0,0.00151062,0.003404617,0.018196106,0,
00:00.0,0.001504898,0.003404617,0.01817894,0,
00:00.0,0.001499176,0.003410339,0.018190384,0,
00:00.0,0.001522064,0.003410339,0.018201828,0,
00:00.0,0.001516342,0.003410339,0.018196106,0,
00:00.0,0.001504898,0.003410339,0.018196106,0,
00:00.0,0.001504898,0.003404617,0.01820755,0,
00:00.0,0.00151062,0.003404617,0.018196106,0,
00:00.0,0.00151062,0.003398895,0.018190384,0,
00:00.1,0.001504898,0.003398895,0.018190384,0,
00:00.1,0.001504898,0.003404617,0.018184662,0,
00:00.1,0.001504898,0.003410339,0.018184662,0,
00:00.1,0.001504898,0.003404617,0.018190384,0,
00:00.1,0.00151062,0.003404617,0.018190384,0,
00:00.1,0.00151062,0.003398895,0.018201828,0,
00:00.1,0.001487732,0.003398895,0.018190384,0,
00:00.1,0.001487732,0.003410339,0.018184662,0,
00:00.1,0.001487732,0.003404617,0.018213272,0,
00:00.1,0.001504898,0.003404617,0.01820755,0,
00:00.1,0.001522064,0.003404617,0.018196106,0,
00:00.1,0.001504898,0.003398895,0.018190384,0,
00:00.1,0.00151062,0.003404617,0.01820755,0,
00:00.1,0.00151062,0.003410339,0.018201828,0,
00:00.1,0.00151062,0.003410339,0.018196106,0,
00:00.1,0.001516342,0.003398895,0.018190384,0,
00:00.1,0.001516342,0.003398895,0.018190384,0,
00:00.1,0.001504898,0.003404617,0.018190384,0,
00:00.1,0.001493454,0.003404617,0.018196106,0,
00:00.1,0.001504898,0.003404617,0.018196106,0,
00:00.1,0.001504898,0.003404617,0.018196106,0,
00:00.1,0.00151062,0.003410339,0.018184662,0,
00:00.1,0.00151062,0.003404617,0.01820755,0,
00:00.1,0.001499176,0.003404617,0.018201828,0,
00:00.1,0.00151062,0.003398895,0.018201828,0,
00:00.2,0.00151062,0.003393173,0.018190384,0,
00:00.2,0.001504898,0.003398895,0.018190384,0,
00:00.2,0.001504898,0.003410339,0.018184662,0,
00:00.2,0.00151062,0.003404617,0.018173218,0,
00:00.2,0.001504898,0.003398895,0.018201828,0,
00:00.2,0.001504898,0.003398895,0.018224716,0,
00:00.2,0.001499176,0.003398895,0.018213272,0,
00:00.2,0.001504898,0.003404617,0.018196106,0,
00:00.2,0.001504898,0.003404617,0.018190384,0,
00:00.2,0.001504898,0.003398895,0.018184662,0,
00:00.2,0.001493454,0.003398895,0.018190384,0,
00:00.2,0.001487732,0.003404617,0.018201828,0,
00:00.2,0.001493454,0.003398895,0.018196106,0,
00:00.2,0.001499176,0.003393173,0.018201828,0,
00:00.2,0.00151062,0.003398895,0.01820755,0,
00:00.2,0.001527786,0.003393173,0.018201828,0,
00:00.2,0.00151062,0.003398895,0.018196106,0,
00:00.2,0.001504898,0.003398895,0.018196106,0,
00:00.2,0.00151062,0.003393173,0.018201828,0,
00:00.2,0.00151062,0.003393173,0.018201828,0,
00:00.2,0.001504898,0.003393173,0.018196106,0,
00:00.2,0.001499176,0.003398895,0.018196106,0,
00:00.2,0.001499176,0.003398895,0.018190384,0,
00:00.2,0.001493454,0.003393173,0.018184662,0,
00:00.2,0.001493454,0.003387451,0.01817894,0,
00:00.3,0.001499176,0.003393173,0.018173218,0,
00:00.3,0.001516342,0.003387451,0.018218994,0,
00:00.3,0.00151062,0.003393173,0.018213272,0,
00:00.3,0.001504898,0.003393173,0.018201828,0,
00:00.3,0.001504898,0.003393173,0.018184662,0,
00:00.3,0.001504898,0.003393173,0.01817894,0,
00:00.3,0.001499176,0.003393173,0.01820755,0,
00:00.3,0.001504898,0.003393173,0.018201828,0,
00:00.3,0.001504898,0.003404617,0.018196106,0,
00:00.3,0.001504898,0.003387451,0.01817894,0,
00:00.3,0.001499176,0.003381729,0.018190384,0,
00:00.3,0.001499176,0.003387451,0.018184662,0,
00:00.3,0.001499176,0.003381729,0.018184662,0,
00:00.3,0.001499176,0.003393173,0.018196106,0,
00:00.3,0.001487732,0.003387451,0.018213272,0,
00:00.3,0.001499176,0.003387451,0.018190384,0,
00:00.3,0.00151062,0.003387451,0.018184662,0,
00:00.3,0.001493454,0.003387451,0.018201828,0,
00:00.3,0.001499176,0.003387451,0.018184662,0,
00:00.3,0.001499176,0.003381729,0.018196106,0,
00:00.3,0.001499176,0.003381729,0.018196106,0,
00:00.3,0.001499176,0.003381729,0.018196106,0,
00:00.3,0.00148201,0.003387451,0.018196106,0,
00:00.3,0.001499176,0.003381729,0.018190384,0,
00:00.3,0.00151062,0.003376007,0.01817894,0,
00:00.4,0.00151062,0.003376007,0.018184662,0,
00:00.4,0.00151062,0.003381729,0.018190384,0,
00:00.4,0.001499176,0.003387451,0.018184662,0,
00:00.4,0.001493454,0.003387451,0.018184662,0,
00:00.4,0.00148201,0.003387451,0.018190384,0,
00:00.4,0.001499176,0.003370285,0.01817894,0,
00:00.4,0.001516342,0.003376007,0.01817894,0,
00:00.4,0.001504898,0.003381729,0.018190384,0,
00:00.4,0.001499176,0.003381729,0.018190384,0,
00:00.4,0.001499176,0.003370285,0.018196106,0,
00:00.4,0.001499176,0.003370285,0.018190384,0,
00:00.4,0.001493454,0.003376007,0.018196106,0,
00:00.4,0.001493454,0.003376007,0.018196106,0,
00:00.4,0.001504898,0.003376007,0.018190384,0,
00:00.4,0.001499176,0.003376007,0.018184662,0,
00:00.4,0.001493454,0.003376007,0.01817894,0,
00:00.4,0.001487732,0.003376007,0.018167496,0,
00:00.4,0.00151062,0.003381729,0.01817894,0,
00:00.4,0.00151062,0.003381729,0.018196106,0,
00:00.4,0.001499176,0.003370285,0.018196106,0,
00:00.4,0.001487732,0.003364563,0.018196106,0,
00:00.4,0.00151062,0.003376007,0.01817894,0,
00:00.4,0.001499176,0.003376007,0.018184662,0,
00:00.4,0.001493454,0.003376007,0.018196106,0,
00:00.4,0.001487732,0.003376007,0.018196106,0,
00:00.5,0.001504898,0.003353119,0.018196106,0,
00:00.5,0.001504898,0.003358841,0.018201828,0,
00:00.5,0.001504898,0.003370285,0.018196106,0,
00:00.5,0.00151062,0.003370285,0.018190384,0,
00:00.5,0.001499176,0.003364563,0.018184662,0,
00:00.5,0.001499176,0.003364563,0.018190384,0,
00:00.5,0.001504898,0.003358841,0.018184662,0,
00:00.5,0.001499176,0.003370285,0.018196106,0,
00:00.5,0.001499176,0.003376007,0.018196106,0,
00:00.5,0.001493454,0.003358841,0.018196106,0,
00:00.5,0.001499176,0.003353119,0.01820755,0,
00:00.5,0.001499176,0.003358841,0.018201828,0,
00:00.5,0.00151062,0.003358841,0.018190384,0,
00:00.5,0.001504898,0.003364563,0.018184662,0,
00:00.5,0.00151062,0.003364563,0.018184662,0,
00:00.5,0.001499176,0.003353119,0.018213272,0,
00:00.5,0.001487732,0.003353119,0.018213272,0,
00:00.5,0.001499176,0.003358841,0.018201828,0,
00:00.5,0.001504898,0.003358841,0.018201828,0,
00:00.5,0.001493454,0.003353119,0.018184662,0,
00:00.5,0.00148201,0.003347397,0.018196106,0,
00:00.5,0.001499176,0.003347397,0.018213272,0,
00:00.5,0.001516342,0.003353119,0.01820755,0,
00:00.5,0.001516342,0.003353119,0.018201828,0,
00:00.5,0.001504898,0.003347397,0.018196106,0,
00:00.6,0.001499176,0.003341675,0.018196106,0,
00:00.6,0.001499176,0.003347397,0.018184662,0,
00:00.6,0.001493454,0.003347397,0.01820755,0,
00:00.6,0.001493454,0.003347397,0.018213272,0,
00:00.6,0.001487732,0.003347397,0.018213272,0,
00:00.6,0.001504898,0.003347397,0.01820755,0,
00:00.6,0.001499176,0.003341675,0.018196106,0,
00:00.6,0.001493454,0.003347397,0.018190384,0,
00:00.6,0.001487732,0.003341675,0.018218994,0,
00:00.6,0.001522064,0.003330231,0.018201828,0,
00:00.6,0.00151062,0.003335953,0.018196106,0,
00:00.6,0.001504898,0.003341675,0.018218994,0,
00:00.6,0.001493454,0.003341675,0.018218994,0,
00:00.6,0.001499176,0.003347397,0.018196106,0,
00:00.6,0.001499176,0.003330231,0.018213272,0,
00:00.6,0.001504898,0.003318787,0.018213272,0,
00:00.6,0.001487732,0.003324509,0.018230438,0,
00:00.6,0.001499176,0.003335953,0.01820755,0,
00:00.6,0.001504898,0.003330231,0.01820755,0,
00:00.6,0.001499176,0.003324509,0.01823616,0,
00:00.6,0.001493454,0.003318787,0.018218994,0,
00:00.6,0.00151062,0.003324509,0.018218994,0,
00:00.6,0.001504898,0.003330231,0.018230438,0,
00:00.6,0.001493454,0.003330231,0.018218994,0,
00:00.6,0.001504898,0.003330231,0.018218994,0,
00:00.7,0.001476288,0.003324509,0.018213272,0,
00:00.7,0.001487732,0.003330231,0.018218994,0,
00:00.7,0.001522064,0.003324509,0.018218994,0,
00:00.7,0.00151062,0.003318787,0.01820755,0,
00:00.7,0.001504898,0.003324509,0.018224716,0,
00:00.7,0.001493454,0.003318787,0.018230438,0,
00:00.7,0.001499176,0.003313065,0.018218994,0,
00:00.7,0.001487732,0.003318787,0.01823616,0,
00:00.7,0.00148201,0.003324509,0.018241882,0,
00:00.7,0.001499176,0.003318787,0.018230438,0,
00:00.7,0.00151062,0.003313065,0.018213272,0,
00:00.7,0.00151062,0.003318787,0.01823616,0,
00:00.7,0.001499176,0.003313065,0.018241882,0,
00:00.7,0.001493454,0.003318787,0.018247604,0,
00:00.7,0.001487732,0.003318787,0.018247604,0,
00:00.7,0.001499176,0.00330162,0.01823616,0,
00:00.7,0.001516342,0.003313065,0.018230438,0,
00:00.7,0.001504898,0.003313065,0.018259048,0,
00:00.7,0.001516342,0.003318787,0.018259048,0,
00:00.7,0.001504898,0.003313065,0.018259048,0,
00:00.7,0.001493454,0.00330162,0.018259048,0,
00:00.7,0.001499176,0.00330162,0.018253326,0,
00:00.7,0.001499176,0.003307343,0.018241882,0,
00:00.7,0.001504898,0.003313065,0.01823616,0,
00:00.7,0.001504898,0.003307343,0.01823616,0,
00:00.8,0.001493454,0.003295898,0.018253326,0,
00:00.8,0.00148201,0.00330162,0.018264771,0,
00:00.8,0.001493454,0.003307343,0.018247604,0,
00:00.8,0.001493454,0.003307343,0.018247604,0,
00:00.8,0.001499176,0.003295898,0.018270493,0,
00:00.8,0.001504898,0.003290176,0.018270493,0,
00:00.8,0.001487732,0.00330162,0.018259048,0,
00:00.8,0.001493454,0.003307343,0.018259048,0,
00:00.8,0.00151062,0.003295898,0.018259048,0,
00:00.8,0.001504898,0.003290176,0.018281937,0,
00:00.8,0.001499176,0.003290176,0.018281937,0,
00:00.8,0.001499176,0.003284454,0.018281937,0,
00:00.8,0.001499176,0.003295898,0.018287659,0,
