Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001922607,0.003364563,0.017251968,0,
00:00.0,0.001911163,0.003353119,0.017251968,0,
00:00.0,0.001928329,0.003341675,0.017251968,0,
00:00.0,0.001928329,0.003353119,0.017251968,0,
00:00.0,0.001928329,0.003347397,0.017251968,0,
00:00.0,0.001916885,0.003353119,0.017251968,0,
00:00.0,0.001922607,0.003353119,0.017251968,0,
00:00.0,0.001934052,0.003353119,0.017246246,0,
00:00.0,0.001939774,0.003347397,0.017246246,0,
00:00.0,0.001928329,0.003347397,0.017246246,0,
00:00.0,0.001922607,0.003353119,0.017246246,0,
00:00.0,0.001916885,0.003347397,0.017246246,0,
00:00.0,0.001916885,0.003347397,0.017246246,0,
00:00.1,0.001922607,0.003341675,0.017246246,0,
00:00.1,0.001922607,0.003347397,0.017246246,0,
00:00.1,0.001939774,0.003353119,0.017246246,0,
00:00.1,0.001939774,0.003347397,0.017246246,0,
00:00.1,0.001928329,0.003335953,0.017246246,0,
00:00.1,0.001911163,0.003335953,0.017246246,0,
00:00.1,0.001916885,0.003341675,0.017246246,0,
00:00.1,0.001934052,0.003347397,0.017251968,0,
00:00.1,0.001922607,0.003347397,0.017246246,0,
00:00.1,0.001922607,0.003341675,0.017251968,0,
00:00.1,0.001916885,0.003335953,0.017251968,0,
00:00.1,0.001916885,0.003341675,0.017251968,0,
00:00.1,0.001934052,0.003347397,0.017251968,0,
00:00.1,0.001916885,0.003347397,0.017251968,0,
00:00.1,0.001916885,0.003335953,0.01725769,0,
00:00.1,0.001928329,0.003341675,0.017251968,0,
00:00.1,0.001916885,0.003335953,0.01725769,0,
00:00.1,0.001928329,0.003347397,0.01725769,0,
00:00.1,0.001934052,0.003347397,0.017263412,0,
00:00.1,0.001922607,0.003335953,0.01725769,0,
00:00.1,0.001916885,0.003330231,0.01725769,0,
00:00.1,0.001916885,0.003347397,0.01725769,0,
00:00.1,0.001928329,0.003353119,0.01725769,0,
00:00.1,0.001928329,0.003347397,0.017263412,0,
00:00.1,0.001911163,0.003347397,0.01725769,0,
00:00.2,0.001928329,0.003341675,0.01725769,0,
00:00.2,0.001939774,0.003335953,0.01725769,0,
00:00.2,0.001916885,0.003335953,0.017263412,0,
00:00.2,0.001922607,0.003347397,0.017269135,0,
00:00.2,0.001928329,0.003347397,0.017269135,0,
00:00.2,0.001928329,0.003341675,0.017269135,0,
00:00.2,0.001928329,0.003335953,0.017269135,0,
00:00.2,0.001922607,0.003341675,0.017269135,0,
00:00.2,0.001911163,0.003335953,0.017274857,0,
00:00.2,0.001905441,0.003318787,0.017274857,0,
00:00.2,0.001922607,0.003335953,0.017274857,0,
00:00.2,0.001945496,0.003347397,0.017274857,0,
00:00.2,0.001934052,0.003347397,0.017274857,0,
00:00.2,0.001922607,0.003341675,0.017280579,0,
00:00.2,0.001916885,0.003330231,0.017280579,0,
00:00.2,0.001922607,0.003324509,0.017280579,0,
00:00.2,0.001928329,0.003335953,0.017274857,0,
00:00.2,0.001928329,0.003341675,0.017280579,0,
00:00.2,0.001928329,0.003341675,0.017280579,0,
00:00.2,0.001916885,0.003335953,0.017280579,0,
00:00.2,0.001916885,0.003335953,0.017280579,0,
00:00.2,0.001922607,0.003330231,0.017292023,0,
00:00.2,0.001916885,0.003330231,0.017286301,0,
00:00.2,0.001905441,0.003341675,0.017286301,0,
00:00.2,0.001928329,0.003335953,0.017286301,0,
00:00.3,0.001928329,0.003335953,0.017286301,0,
00:00.3,0.001928329,0.003341675,0.017292023,0,
00:00.3,0.001922607,0.003335953,0.017292023,0,
00:00.3,0.001916885,0.003335953,0.017297745,0,
00:00.3,0.001934052,0.003335953,0.017297745,0,
00:00.3,0.001934052,0.003324509,0.017297745,0,
00:00.3,0.001922607,0.003335953,0.017297745,0,
00:00.3,0.001922607,0.003335953,0.017303467,0,
00:00.3,0.001916885,0.003341675,0.017303467,0,
00:00.3,0.001922607,0.003335953,0.017303467,0,
00:00.3,0.001934052,0.003335953,0.017309189,0,
00:00.3,0.001928329,0.003335953,0.017309189,0,
00:00.3,0.001922607,0.003335953,0.017314911,0,
00:00.3,0.001916885,0.003335953,0.017314911,0,
00:00.3,0.001922607,0.003330231,0.017314911,0,
00:00.3,0.001922607,0.003318787,0.017320633,0,
00:00.3,0.001922607,0.003330231,0.017314911,0,
00:00.3,0.001922607,0.003341675,0.017314911,0,
00:00.3,0.001916885,0.003335953,0.017320633,0,
00:00.3,0.001905441,0.003330231,0.017326355,0,
00:00.3,0.001899719,0.003324509,0.017320633,0,
00:00.3,0.001939774,0.003335953,0.017326355,0,
00:00.3,0.001922607,0.003330231,0.017326355,0,
00:00.3,0.001911163,0.003330231,0.017332077,0,
00:00.3,0.001922607,0.003335953,0.017332077,0,
00:00.4,0.001939774,0.003330231,0.017332077,0,
00:00.4,0.001939774,0.003330231,0.017337799,0,
00:00.4,0.001922607,0.003324509,0.017343521,0,
00:00.4,0.001916885,0.003330231,0.017343521,0,
00:00.4,0.001916885,0.003335953,0.017343521,0,
00:00.4,0.001922607,0.003330231,0.017343521,0,
00:00.4,0.001911163,0.003324509,0.017349243,0,
00:00.4,0.001911163,0.003324509,0.017349243,0,
00:00.4,0.001928329,0.003335953,0.017349243,0,
00:00.4,0.001939774,0.003330231,0.017354965,0,
00:00.4,0.001934052,0.003324509,0.017354965,0,
00:00.4,0.001928329,0.003335953,0.017354965,0,
00:00.4,0.001922607,0.003335953,0.017360687,0,
00:00.4,0.001916885,0.003330231,0.017366409,0,
00:00.4,0.001911163,0.003313065,0.017360687,0,
00:00.4,0.001899719,0.00330162,0.017366409,0,
00:00.4,0.001911163,0.003330231,0.017366409,0,
00:00.4,0.001916885,0.003335953,0.017372131,0,
00:00.4,0.001899719,0.003324509,0.017377853,0,
00:00.4,0.001934052,0.003324509,0.017377853,0,
00:00.4,0.001939774,0.003330231,0.017372131,0,
00:00.4,0.001928329,0.003318787,0.017377853,0,
00:00.4,0.001928329,0.003324509,0.017383575,0,
00:00.4,0.001928329,0.003335953,0.017383575,0,
00:00.4,0.001922607,0.003324509,0.017389297,0,
00:00.5,0.001922607,0.003318787,0.017389297,0,
00:00.5,0.001916885,0.003324509,0.017389297,0,
00:00.5,0.001916885,0.003318787,0.01739502,0,
00:00.5,0.001928329,0.003324509,0.01739502,0,
00:00.5,0.001928329,0.003324509,0.017400742,0,
00:00.5,0.001928329,0.003318787,0.017400742,0,
00:00.5,0.001916885,0.003318787,0.017400742,0,
00:00.5,0.001922607,0.003324509,0.017400742,0,
00:00.5,0.001922607,0.003330231,0.017406464,0,
00:00.5,0.001928329,0.003324509,0.017406464,0,
00:00.5,0.001928329,0.003318787,0.017412186,0,
00:00.5,0.001922607,0.003318787,0.017417908,0,
00:00.5,0.001916885,0.003324509,0.017417908,0,
00:00.5,0.001899719,0.003324509,0.01742363,0,
00:00.5,0.001882553,0.003307343,0.01742363,0,
00:00.5,0.001928329,0.003324509,0.01742363,0,
00:00.5,0.001934052,0.003324509,0.017429352,0,
00:00.5,0.001928329,0.003318787,0.017429352,0,
00:00.5,0.001928329,0.003324509,0.017435074,0,
00:00.5,0.001928329,0.003324509,0.017435074,0,
00:00.5,0.001922607,0.003313065,0.017435074,0,
00:00.5,0.001916885,0.003313065,0.017435074,0,
00:00.5,0.001916885,0.003324509,0.017440796,0,
00:00.5,0.001928329,0.003330231,0.017440796,0,
00:00.5,0.001916885,0.003313065,0.017446518,0,
00:00.6,0.001916885,0.003318787,0.017446518,0,
00:00.6,0.001916885,0.003313065,0.01745224,0,
00:00.6,0.001922607,0.003318787,0.017457962,0,
00:00.6,0.001922607,0.003324509,0.017457962,0,
00:00.6,0.001928329,0.003318787,0.017463684,0,
00:00.6,0.001928329,0.003313065,0.017463684,0,
00:00.6,0.001916885,0.003313065,0.017463684,0,
00:00.6,0.001911163,0.003318787,0.017463684,0,
00:00.6,0.001899719,0.003318787,0.017469406,0,
00:00.6,0.001893997,0.003313065,0.017475128,0,
00:00.6,0.001911163,0.003318787,0.017469406,0,
00:00.6,0.001951218,0.003330231,0.017475128,0,
00:00.6,0.001934052,0.003330231,0.017475128,0,
00:00.6,0.001922607,0.003318787,0.01748085,0,
00:00.6,0.001911163,0.003307343,0.01748085,0,
00:00.6,0.001922607,0.003313065,0.01748085,0,
00:00.6,0.001928329,0.003324509,0.01748085,0,
00:00.6,0.001928329,0.003330231,0.017486572,0,
00:00.6,0.001928329,0.003324509,0.017486572,0,
00:00.6,0.001934052,0.003318787,0.017486572,0,
00:00.6,0.001928329,0.003313065,0.017492294,0,
00:00.6,0.001916885,0.003313065,0.017492294,0,
