Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001110077,0.002454758,0.015089035,0,
00:00.0,0.001081467,0.00243187,0.015089035,0,
00:00.0,0.001087189,0.00243187,0.015083313,0,
00:00.0,0.001092911,0.002426147,0.015077591,0,
00:00.0,0.001075745,0.002437592,0.015094757,0,
00:00.0,0.001092911,0.002426147,0.015089035,0,
00:00.0,0.001092911,0.002426147,0.015083313,0,
00:00.0,0.001098633,0.002426147,0.015083313,0,
00:00.0,0.001121521,0.00243187,0.015094757,0,
00:00.0,0.001110077,0.002437592,0.015094757,0,
00:00.0,0.001110077,0.002437592,0.015083313,0,
00:00.0,0.001092911,0.00243187,0.015094757,0,
00:00.0,0.001104355,0.00243187,0.015083313,0,
00:00.1,0.001110077,0.002414703,0.015077591,0,
00:00.1,0.001092911,0.002420425,0.015094757,0,
00:00.1,0.001087189,0.002426147,0.015094757,0,
00:00.1,0.001115799,0.002420425,0.015094757,0,
00:00.1,0.001104355,0.002414703,0.015100479,0,
00:00.1,0.001087189,0.00243187,0.015089035,0,
00:00.1,0.001104355,0.002454758,0.015089035,0,
00:00.1,0.001092911,0.002443314,0.015100479,0,
00:00.1,0.001092911,0.002426147,0.015094757,0,
00:00.1,0.001087189,0.002426147,0.015094757,0,
00:00.1,0.001081467,0.002426147,0.015100479,0,
00:00.1,0.001098633,0.002437592,0.015094757,0,
00:00.1,0.001081467,0.002420425,0.015094757,0,
00:00.1,0.001115799,0.002420425,0.015083313,0,
00:00.1,0.001092911,0.002426147,0.015089035,0,
00:00.1,0.001070023,0.002426147,0.015100479,0,
00:00.1,0.001115799,0.00243187,0.015089035,0,
00:00.1,0.001104355,0.002420425,0.015077591,0,
00:00.1,0.001087189,0.002420425,0.015106201,0,
00:00.1,0.001110077,0.002420425,0.015089035,0,
00:00.1,0.001115799,0.00243187,0.015106201,0,
00:00.1,0.001104355,0.00243187,0.015100479,0,
00:00.1,0.001098633,0.002420425,0.015094757,0,
00:00.1,0.001087189,0.002420425,0.015100479,0,
00:00.1,0.001110077,0.002420425,0.015106201,0,
00:00.2,0.001110077,0.002426147,0.015100479,0,
00:00.2,0.001075745,0.002420425,0.015106201,0,
00:00.2,0.001087189,0.002408981,0.015100479,0,
00:00.2,0.001110077,0.002414703,0.015106201,0,
00:00.2,0.001098633,0.002414703,0.015100479,0,
00:00.2,0.001075745,0.002386093,0.015106201,0,
00:00.2,0.001087189,0.002397537,0.015129089,0,
00:00.2,0.001098633,0.002426147,0.015123367,0,
00:00.2,0.001104355,0.002449036,0.015106201,0,
00:00.2,0.001098633,0.002437592,0.015100479,0,
00:00.2,0.001110077,0.002443314,0.015094757,0,
00:00.2,0.001081467,0.00243187,0.015106201,0,
00:00.2,0.001081467,0.00243187,0.015111923,0,
00:00.2,0.001098633,0.002420425,0.015106201,0,
00:00.2,0.001121521,0.002426147,0.015106201,0,
00:00.2,0.001098633,0.002420425,0.015111923,0,
00:00.2,0.001092911,0.00243187,0.015117645,0,
00:00.2,0.001064301,0.002420425,0.015106201,0,
00:00.2,0.001092911,0.002408981,0.015111923,0,
00:00.2,0.001121521,0.002408981,0.015111923,0,
00:00.2,0.001104355,0.002420425,0.015100479,0,
00:00.2,0.001092911,0.002420425,0.015100479,0,
00:00.2,0.001087189,0.002408981,0.015123367,0,
00:00.2,0.001092911,0.002414703,0.015129089,0,
