Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.003009796,0.001361847,0.006958008,0,
00:00.0,0.003004074,0.001361847,0.006952286,0,
00:00.0,0.002998352,0.001367569,0.006969452,0,
00:00.0,0.00299263,0.001384735,0.006975174,0,
00:00.0,0.002998352,0.001361847,0.006980896,0,
00:00.0,0.00299263,0.001373291,0.006998062,0,
00:00.0,0.002998352,0.001379013,0.006986618,0,
00:00.0,0.003004074,0.001379013,0.00699234,0,
00:00.0,0.003009796,0.001396179,0.00699234,0,
00:00.0,0.003009796,0.001384735,0.006986618,0,
00:00.0,0.003004074,0.001373291,0.006998062,0,
00:00.0,0.003004074,0.001390457,0.007009506,0,
00:00.0,0.003009796,0.001396179,0.007015228,0,
00:00.1,0.003004074,0.001401901,0.007009506,0,
00:00.1,0.003004074,0.001407623,0.007009506,0,
00:00.1,0.003009796,0.001401901,0.00702095,0,
00:00.1,0.003009796,0.001384735,0.007032394,0,
00:00.1,0.003015518,0.001396179,0.007032394,0,
00:00.1,0.003015518,0.001396179,0.007032394,0,
00:00.1,0.003015518,0.001407623,0.00702095,0,
00:00.1,0.003009796,0.001407623,0.007043839,0,
00:00.1,0.003004074,0.001407623,0.007043839,0,
00:00.1,0.003009796,0.001413345,0.007043839,0,
00:00.1,0.003015518,0.001419067,0.007055283,0,
00:00.1,0.003015518,0.001419067,0.007066727,0,
00:00.1,0.003009796,0.001401901,0.007061005,0,
00:00.1,0.003009796,0.001413345,0.007066727,0,
00:00.1,0.003009796,0.001419067,0.007066727,0,
00:00.1,0.003009796,0.001413345,0.007078171,0,
00:00.1,0.003004074,0.001396179,0.007078171,0,
00:00.1,0.003015518,0.001401901,0.007072449,0,
00:00.1,0.00302124,0.001407623,0.007095337,0,
00:00.1,0.00302124,0.001441956,0.007095337,0,
00:00.1,0.003015518,0.001436234,0.007095337,0,
00:00.1,0.003015518,0.001424789,0.007101059,0,
00:00.1,0.00302124,0.001419067,0.007112503,0,
00:00.1,0.003015518,0.001396179,0.007123947,0,
00:00.1,0.003015518,0.001419067,0.007123947,0,
00:00.2,0.00302124,0.001436234,0.007129669,0,
00:00.2,0.003026962,0.001436234,0.007123947,0,
00:00.2,0.003026962,0.001441956,0.007123947,0,
00:00.2,0.003032684,0.001436234,0.007135391,0,
00:00.2,0.00302124,0.001430511,0.007141113,0,
00:00.2,0.00302124,0.001441956,0.007129669,0,
00:00.2,0.00302124,0.001447678,0.007141113,0,
00:00.2,0.00302124,0.001441956,0.007158279,0,
00:00.2,0.00302124,0.001441956,0.007152557,0,
00:00.2,0.00302124,0.001436234,0.007169724,0,
00:00.2,0.00302124,0.001447678,0.007169724,0,
00:00.2,0.003026962,0.001459122,0.007164001,0,
00:00.2,0.003026962,0.001464844,0.007169724,0,
00:00.2,0.003026962,0.001464844,0.007175446,0,
00:00.2,0.003026962,0.0014534,0.007181168,0,
00:00.2,0.003026962,0.001459122,0.007175446,0,
00:00.2,0.003026962,0.0014534,0.0072155,0,
00:00.2,0.003038406,0.001459122,0.007204056,0,
00:00.2,0.003038406,0.001459122,0.007204056,0,
00:00.2,0.003032684,0.0014534,0.007204056,0,
00:00.2,0.003032684,0.0014534,0.007198334,0,
00:00.2,0.003026962,0.0014534,0.007209778,0,
00:00.2,0.003032684,0.001459122,0.007226944,0,
00:00.2,0.003044128,0.001487732,0.007226944,0,
00:00.2,0.003044128,0.001464844,0.007226944,0,
00:00.3,0.003044128,0.001464844,0.007226944,0,
00:00.3,0.00304985,0.001493454,0.007232666,0,
00:00.3,0.00304985,0.001487732,0.007232666,0,
00:00.3,0.00304985,0.001487732,0.00724411,0,
00:00.3,0.003038406,0.001487732,0.007249832,0,
00:00.3,0.003038406,0.001493454,0.007255554,0,
00:00.3,0.003038406,0.001487732,0.00724411,0,
00:00.3,0.00304985,0.001487732,0.00724411,0,
00:00.3,0.003044128,0.001499176,0.00724411,0,
00:00.3,0.003038406,0.001493454,0.007249832,0,
00:00.3,0.003044128,0.001493454,0.007266998,0,
00:00.3,0.003044128,0.001504898,0.007278442,0,
00:00.3,0.00304985,0.001499176,0.007266998,0,
00:00.3,0.00304985,0.001493454,0.007266998,0,
00:00.3,0.00304985,0.001499176,0.007284164,0,
00:00.3,0.00304985,0.001499176,0.007278442,0,
00:00.3,0.00304985,0.001499176,0.007284164,0,
00:00.3,0.003055573,0.001499176,0.007284164,0,
00:00.3,0.003044128,0.001487732,0.007289886,0,
00:00.3,0.00304985,0.001487732,0.007301331,0,
00:00.3,0.003044128,0.001499176,0.007312775,0,
00:00.3,0.003032684,0.001493454,0.007312775,0,
00:00.3,0.003061295,0.001527786,0.007307053,0,
00:00.3,0.003061295,0.001516342,0.007318497,0,
00:00.3,0.003061295,0.00151062,0.007318497,0,
00:00.4,0.00304985,0.001522064,0.007318497,0,
00:00.4,0.003044128,0.001516342,0.007329941,0,
00:00.4,0.003055573,0.001522064,0.007335663,0,
00:00.4,0.003061295,0.001522064,0.007329941,0,
00:00.4,0.00304985,0.001522064,0.007324219,0,
00:00.4,0.003055573,0.00151062,0.007329941,0,
00:00.4,0.003061295,0.00151062,0.007347107,0,
00:00.4,0.003061295,0.001516342,0.007341385,0,
00:00.4,0.003061295,0.001522064,0.007352829,0,
00:00.4,0.00304985,0.001533508,0.007358551,0,
00:00.4,0.00304985,0.001527786,0.007364273,0,
00:00.4,0.003055573,0.001533508,0.007369995,0,
00:00.4,0.003061295,0.001516342,0.007369995,0,
00:00.4,0.003061295,0.001522064,0.007364273,0,
00:00.4,0.003067017,0.00153923,0.007369995,0,
00:00.4,0.003067017,0.00153923,0.007375717,0,
00:00.4,0.003061295,0.001533508,0.007381439,0,
00:00.4,0.003067017,0.001527786,0.007381439,0,
00:00.4,0.003055573,0.001533508,0.007387161,0,
00:00.4,0.003061295,0.00153923,0.007387161,0,
00:00.4,0.00304985,0.001522064,0.007398605,0,
00:00.4,0.003055573,0.001527786,0.007404327,0,
00:00.4,0.003061295,0.001533508,0.007404327,0,
00:00.4,0.003055573,0.001533508,0.007410049,0,
00:00.4,0.003061295,0.001562119,0.007410049,0,
00:00.5,0.003067017,0.001562119,0.007410049,0,
00:00.5,0.003061295,0.001544952,0.007421494,0,
00:00.5,0.003067017,0.001544952,0.007421494,0,
00:00.5,0.003067017,0.001544952,0.007415771,0,
00:00.5,0.003067017,0.001544952,0.007427216,0,
00:00.5,0.003055573,0.001550674,0.007432938,0,
00:00.5,0.003055573,0.001550674,0.00743866,0,
00:00.5,0.003061295,0.001550674,0.00743866,0,
00:00.5,0.003061295,0.001556396,0.007450104,0,
00:00.5,0.003067017,0.001562119,0.007444382,0,
00:00.5,0.003067017,0.001567841,0.007432938,0,
00:00.5,0.003067017,0.001562119,0.00743866,0,
00:00.5,0.003072739,0.001567841,0.007450104,0,
00:00.5,0.003072739,0.001573563,0.007461548,0,
00:00.5,0.003067017,0.001567841,0.007461548,0,
00:00.5,0.003061295,0.001556396,0.007455826,0,
00:00.5,0.003067017,0.001562119,0.007472992,0,
00:00.5,0.003072739,0.001567841,0.007478714,0,
00:00.5,0.003061295,0.001562119,0.007478714,0,
00:00.5,0.003072739,0.001585007,0.00746727,0,
00:00.5,0.003067017,0.001562119,0.007478714,0,
00:00.5,0.003055573,0.001573563,0.007478714,0,
00:00.5,0.003061295,0.001567841,0.007490158,0,
00:00.5,0.003067017,0.001567841,0.007507324,0,
00:00.5,0.003067017,0.001585007,0.007507324,0,
00:00.6,0.003067017,0.001573563,0.00752449,0,
