Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001848221,0.003227234,0.017475128,0,
00:00.0,0.001836777,0.003232956,0.017475128,0,
00:00.0,0.001871109,0.00321579,0.017492294,0,
00:00.0,0.001859665,0.00321579,0.017475128,0,
00:00.0,0.001831055,0.003221512,0.017469406,0,
00:00.0,0.001825333,0.00321579,0.017486572,0,
00:00.0,0.001808167,0.00321579,0.017486572,0,
00:00.0,0.001825333,0.00321579,0.017486572,0,
00:00.0,0.001882553,0.003232956,0.017469406,0,
00:00.0,0.001876831,0.003238678,0.017469406,0,
00:00.0,0.001865387,0.003227234,0.017469406,0,
00:00.0,0.001842499,0.003221512,0.017498016,0,
00:00.0,0.001825333,0.003221512,0.01750946,0,
00:00.1,0.001819611,0.003232956,0.017503738,0,
00:00.1,0.001836777,0.00321579,0.017486572,0,
00:00.1,0.001865387,0.003210068,0.017492294,0,
00:00.1,0.001853943,0.00321579,0.017503738,0,
00:00.1,0.001842499,0.003210068,0.017498016,0,
00:00.1,0.001853943,0.003204346,0.017515182,0,
00:00.1,0.001836777,0.003204346,0.017498016,0,
00:00.1,0.001842499,0.003210068,0.017492294,0,
00:00.1,0.001836777,0.003210068,0.017515182,0,
00:00.1,0.001865387,0.003221512,0.017526627,0,
00:00.1,0.001859665,0.003227234,0.017515182,0,
00:00.1,0.001808167,0.00321579,0.01750946,0,
00:00.1,0.001773834,0.003192902,0.017532349,0,
00:00.1,0.001859665,0.003204346,0.017543793,0,
00:00.1,0.001882553,0.003227234,0.017549515,0,
00:00.1,0.001853943,0.003232956,0.017538071,0,
00:00.1,0.001853943,0.003210068,0.017538071,0,
00:00.1,0.001853943,0.003210068,0.017538071,0,
00:00.1,0.001842499,0.003221512,0.017543793,0,
00:00.1,0.001831055,0.003232956,0.017549515,0,
00:00.1,0.001819611,0.003210068,0.017555237,0,
00:00.1,0.001859665,0.003198624,0.017560959,0,
00:00.1,0.001842499,0.003198624,0.017572403,0,
00:00.1,0.001825333,0.003210068,0.017578125,0,
00:00.1,0.001859665,0.003227234,0.017555237,0,
00:00.2,0.001842499,0.003221512,0.017555237,0,
00:00.2,0.001848221,0.003210068,0.017589569,0,
00:00.2,0.001825333,0.003198624,0.017595291,0,
00:00.2,0.001848221,0.003221512,0.017595291,0,
00:00.2,0.001848221,0.003227234,0.017589569,0,
00:00.2,0.001831055,0.003192902,0.017589569,0,
00:00.2,0.001848221,0.003192902,0.017612457,0,
00:00.2,0.001842499,0.003198624,0.017612457,0,
00:00.2,0.001796722,0.003192902,0.017601013,0,
00:00.2,0.001859665,0.003210068,0.017612457,0,
00:00.2,0.001888275,0.00321579,0.017606735,0,
00:00.2,0.001853943,0.00321579,0.017629623,0,
00:00.2,0.001831055,0.003210068,0.017612457,0,
00:00.2,0.001853943,0.003198624,0.017629623,0,
00:00.2,0.001853943,0.003210068,0.01764679,0,
00:00.2,0.001836777,0.003198624,0.017658234,0,
00:00.2,0.001831055,0.003192902,0.017658234,0,
00:00.2,0.001842499,0.003198624,0.01764679,0,
00:00.2,0.001842499,0.003204346,0.017669678,0,
00:00.2,0.001842499,0.003210068,0.0176754,0,
00:00.2,0.001836777,0.003204346,0.017658234,0,
00:00.2,0.001825333,0.003198624,0.0176754,0,
00:00.2,0.001848221,0.003204346,0.017686844,0,
00:00.2,0.001871109,0.003210068,0.017686844,0,
00:00.2,0.001871109,0.003210068,0.017669678,0,
00:00.3,0.001848221,0.00318718,0.017692566,0,
00:00.3,0.001831055,0.003198624,0.017686844,0,
00:00.3,0.001796722,0.003210068,0.017686844,0,
00:00.3,0.001836777,0.00318718,0.017692566,0,
00:00.3,0.001836777,0.003175735,0.017721176,0,
00:00.3,0.001842499,0.003192902,0.01773262,0,
00:00.3,0.001859665,0.003198624,0.017726898,0,
00:00.3,0.001853943,0.003204346,0.01773262,0,
00:00.3,0.001865387,0.003198624,0.017738342,0,
00:00.3,0.001831055,0.003198624,0.017738342,0,
00:00.3,0.001819611,0.00318718,0.017749786,0,
00:00.3,0.001836777,0.003198624,0.017749786,0,
00:00.3,0.001865387,0.003204346,0.017766953,0,
00:00.3,0.001865387,0.00318718,0.017772675,0,
00:00.3,0.001836777,0.00318718,0.017766953,0,
00:00.3,0.001848221,0.003192902,0.017784119,0,
00:00.3,0.001848221,0.003192902,0.017784119,0,
00:00.3,0.001848221,0.003192902,0.017789841,0,
00:00.3,0.001853943,0.003192902,0.017778397,0,
