Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002958298,0.002168655,0.004823685,0,
00:00.0,0.002946854,0.002168655,0.004823685,0,
00:00.0,0.002941132,0.002162933,0.004840851,0,
00:00.0,0.002946854,0.002157211,0.004846573,0,
00:00.0,0.002941132,0.002157211,0.004846573,0,
00:00.0,0.002946854,0.002162933,0.004835129,0,
00:00.0,0.002952576,0.002168655,0.004823685,0,
00:00.0,0.00293541,0.002151489,0.004863739,0,
00:00.0,0.00293541,0.002157211,0.004840851,0,
00:00.0,0.00293541,0.002162933,0.004846573,0,
00:00.0,0.002929688,0.002162933,0.004886627,0,
00:00.0,0.002923965,0.002157211,0.004898071,0,
00:00.0,0.00293541,0.002174377,0.004892349,0,
00:00.1,0.002946854,0.002180099,0.004886627,0,
00:00.1,0.002952576,0.002185822,0.004863739,0,
00:00.1,0.00293541,0.002180099,0.004880905,0,
00:00.1,0.002929688,0.002180099,0.004892349,0,
00:00.1,0.00293541,0.002168655,0.004903793,0,
00:00.1,0.002941132,0.002174377,0.004903793,0,
00:00.1,0.002929688,0.002157211,0.004909515,0,
00:00.1,0.002941132,0.002162933,0.004898071,0,
00:00.1,0.002941132,0.002168655,0.004898071,0,
00:00.1,0.002946854,0.002168655,0.004892349,0,
00:00.1,0.002923965,0.002168655,0.004920959,0,
00:00.1,0.002923965,0.002162933,0.004932404,0,
00:00.1,0.00293541,0.002174377,0.004909515,0,
00:00.1,0.002929688,0.002174377,0.004938126,0,
00:00.1,0.002929688,0.002174377,0.004943848,0,
00:00.1,0.002923965,0.002168655,0.004943848,0,
00:00.1,0.00293541,0.002162933,0.004938126,0,
00:00.1,0.002941132,0.002174377,0.004938126,0,
00:00.1,0.00293541,0.002168655,0.00494957,0,
00:00.1,0.00293541,0.002185822,0.00494957,0,
00:00.1,0.002929688,0.002180099,0.004961014,0,
00:00.1,0.00293541,0.002185822,0.004961014,0,
00:00.1,0.002946854,0.002197266,0.004938126,0,
00:00.1,0.002929688,0.002185822,0.004961014,0,
00:00.1,0.002923965,0.002168655,0.004989624,0,
00:00.2,0.00293541,0.002185822,0.004983902,0,
00:00.2,0.00293541,0.002185822,0.004983902,0,
00:00.2,0.002941132,0.002185822,0.004983902,0,
00:00.2,0.002941132,0.002185822,0.004983902,0,
00:00.2,0.002946854,0.002191544,0.004995346,0,
00:00.2,0.002929688,0.002185822,0.005012512,0,
00:00.2,0.002929688,0.002185822,0.005012512,0,
00:00.2,0.002941132,0.002191544,0.005001068,0,
00:00.2,0.002929688,0.002185822,0.004989624,0,
00:00.2,0.002929688,0.002191544,0.005012512,0,
00:00.2,0.002929688,0.002180099,0.005023956,0,
00:00.2,0.002923965,0.002185822,0.005023956,0,
00:00.2,0.00293541,0.002185822,0.0050354,0,
00:00.2,0.00293541,0.002191544,0.005046844,0,
00:00.2,0.002923965,0.002185822,0.005041122,0,
00:00.2,0.002923965,0.002180099,0.005052567,0,
00:00.2,0.002929688,0.002185822,0.005069733,0,
00:00.2,0.00293541,0.002185822,0.005052567,0,
00:00.2,0.002941132,0.002202988,0.005058289,0,
00:00.2,0.002929688,0.002197266,0.005069733,0,
00:00.2,0.002923965,0.002185822,0.005075455,0,
00:00.2,0.002929688,0.002191544,0.005092621,0,
00:00.2,0.002929688,0.002191544,0.005081177,0,
00:00.2,0.002929688,0.002202988,0.005081177,0,
00:00.2,0.002918243,0.002197266,0.005098343,0,
00:00.3,0.00293541,0.002197266,0.005092621,0,
00:00.3,0.002929688,0.002191544,0.005092621,0,
00:00.3,0.002923965,0.002185822,0.005086899,0,
00:00.3,0.00293541,0.002197266,0.005086899,0,
00:00.3,0.00293541,0.002191544,0.005104065,0,
00:00.3,0.002929688,0.002202988,0.005109787,0,
00:00.3,0.002929688,0.00220871,0.005132675,0,
00:00.3,0.002929688,0.002197266,0.005138397,0,
00:00.3,0.002918243,0.002185822,0.005132675,0,
00:00.3,0.00293541,0.00220871,0.005132675,0,
00:00.3,0.002918243,0.002197266,0.005138397,0,
00:00.3,0.002923965,0.002197266,0.005144119,0,
00:00.3,0.002929688,0.002197266,0.005144119,0,
00:00.3,0.002941132,0.00220871,0.005126953,0,
00:00.3,0.002918243,0.002202988,0.005155563,0,
00:00.3,0.002918243,0.002214432,0.005172729,0,
00:00.3,0.002929688,0.002214432,0.005161285,0,
00:00.3,0.002929688,0.00220871,0.005161285,0,
00:00.3,0.00293541,0.002214432,0.005155563,0,
00:00.3,0.002918243,0.00220871,0.005167007,0,
00:00.3,0.002918243,0.00220871,0.005184174,0,
00:00.3,0.002929688,0.00220871,0.005178452,0,
00:00.3,0.002923965,0.00220871,0.005172729,0,
00:00.3,0.002923965,0.00220871,0.005167007,0,
00:00.3,0.002923965,0.00220871,0.005167007,0,
00:00.4,0.002918243,0.00220871,0.005195618,0,
00:00.4,0.002923965,0.002214432,0.005207062,0,
00:00.4,0.002912521,0.002191544,0.00520134,0,
00:00.4,0.002912521,0.002202988,0.005207062,0,
00:00.4,0.002918243,0.002214432,0.005212784,0,
00:00.4,0.002918243,0.002220154,0.005207062,0,
00:00.4,0.002912521,0.00220871,0.005218506,0,
00:00.4,0.002923965,0.002214432,0.005212784,0,
00:00.4,0.002923965,0.002214432,0.005224228,0,
00:00.4,0.002923965,0.002214432,0.005218506,0,
00:00.4,0.002918243,0.002220154,0.005224228,0,
00:00.4,0.002923965,0.002231598,0.00522995,0,
00:00.4,0.002918243,0.002231598,0.005235672,0,
00:00.4,0.002912521,0.002202988,0.005247116,0,
00:00.4,0.002912521,0.00220871,0.005247116,0,
00:00.4,0.002918243,0.002225876,0.005235672,0,
00:00.4,0.002912521,0.002214432,0.005235672,0,
00:00.4,0.002918243,0.002214432,0.005247116,0,
00:00.4,0.002923965,0.002225876,0.005264282,0,
00:00.4,0.002912521,0.002214432,0.005270004,0,
00:00.4,0.002906799,0.002214432,0.005281448,0,
00:00.4,0.002906799,0.002220154,0.005298615,0,
00:00.4,0.002923965,0.002231598,0.005275726,0,
00:00.4,0.002918243,0.002220154,0.00525856,0,
00:00.4,0.002912521,0.002220154,0.005281448,0,
00:00.5,0.002901077,0.002220154,0.005298615,0,
00:00.5,0.002901077,0.002231598,0.005292892,0,
00:00.5,0.002923965,0.002248764,0.005298615,0,
00:00.5,0.002923965,0.00223732,0.005304337,0,
00:00.5,0.002912521,0.002231598,0.005298615,0,
00:00.5,0.002912521,0.00223732,0.005310059,0,
00:00.5,0.002906799,0.002225876,0.005310059,0,
00:00.5,0.002912521,0.002231598,0.005321503,0,
00:00.5,0.002912521,0.002231598,0.005321503,0,
00:00.5,0.002912521,0.002231598,0.005321503,0,
00:00.5,0.002912521,0.002231598,0.005304337,0,
00:00.5,0.002912521,0.002225876,0.005315781,0,
00:00.5,0.002906799,0.002231598,0.005338669,0,
00:00.5,0.002912521,0.002231598,0.005344391,0,
00:00.5,0.002906799,0.002220154,0.005350113,0,
00:00.5,0.002906799,0.002225876,0.005355835,0,
00:00.5,0.002918243,0.002231598,0.005344391,0,
00:00.5,0.002912521,0.00223732,0.005361557,0,
00:00.5,0.002906799,0.00223732,0.005367279,0,
00:00.5,0.002906799,0.002243042,0.005361557,0,
00:00.5,0.002906799,0.002248764,0.005367279,0,
00:00.5,0.002906799,0.00223732,0.005367279,0,
00:00.5,0.002901077,0.002220154,0.005378723,0,
00:00.5,0.002906799,0.002225876,0.005361557,0,
00:00.5,0.002901077,0.002243042,0.005373001,0,
00:00.6,0.002901077,0.00223732,0.005395889,0,
00:00.6,0.002906799,0.002248764,0.005395889,0,
00:00.6,0.002901077,0.00223732,0.005367279,0,
00:00.6,0.002901077,0.002243042,0.005395889,0,
00:00.6,0.002906799,0.002248764,0.005407333,0,
00:00.6,0.002906799,0.002243042,0.005407333,0,
00:00.6,0.002912521,0.002243042,0.005407333,0,
00:00.6,0.002906799,0.002243042,0.005395889,0,
00:00.6,0.002906799,0.002248764,0.005401611,0,
