Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001430511,-0.004943848,0.012439728,0,
00:00.0,0.001419067,-0.004943848,0.012456894,0,
00:00.0,0.001424789,-0.004932404,0.012462616,0,
00:00.0,0.001430511,-0.00494957,0.012462616,0,
00:00.0,0.001436234,-0.00494957,0.012462616,0,
00:00.0,0.001430511,-0.004932404,0.012468338,0,
00:00.0,0.001419067,-0.004943848,0.012479782,0,
00:00.0,0.001413345,-0.00494957,0.012479782,0,
00:00.0,0.001413345,-0.00494957,0.012485504,0,
00:00.0,0.001419067,-0.004943848,0.012485504,0,
00:00.0,0.001424789,-0.004943848,0.012491226,0,
00:00.0,0.001424789,-0.004955292,0.012496948,0,
00:00.0,0.001419067,-0.004955292,0.012508392,0,
00:00.1,0.001419067,-0.004961014,0.012508392,0,
00:00.1,0.001424789,-0.004961014,0.01250267,0,
00:00.1,0.001419067,-0.004966736,0.012514114,0,
00:00.1,0.001424789,-0.004955292,0.012525558,0,
00:00.1,0.001419067,-0.004961014,0.012525558,0,
00:00.1,0.001419067,-0.004966736,0.012525558,0,
00:00.1,0.001430511,-0.004972458,0.012531281,0,
00:00.1,0.001430511,-0.004966736,0.012537003,0,
00:00.1,0.001419067,-0.004972458,0.012542725,0,
00:00.1,0.001424789,-0.004966736,0.012542725,0,
00:00.1,0.001430511,-0.00494957,0.012548447,0,
00:00.1,0.001419067,-0.004972458,0.012554169,0,
00:00.1,0.001419067,-0.00497818,0.012554169,0,
00:00.1,0.001424789,-0.004961014,0.012565613,0,
00:00.1,0.001430511,-0.004961014,0.012571335,0,
00:00.1,0.001419067,-0.00497818,0.012571335,0,
00:00.1,0.001413345,-0.004995346,0.012565613,0,
00:00.1,0.001407623,-0.004995346,0.012571335,0,
00:00.1,0.001424789,-0.004983902,0.012588501,0,
00:00.1,0.001436234,-0.004966736,0.012594223,0,
00:00.1,0.001419067,-0.004972458,0.012588501,0,
00:00.1,0.001413345,-0.004983902,0.012582779,0,
00:00.1,0.001413345,-0.005001068,0.012599945,0,
00:00.1,0.001424789,-0.004989624,0.012611389,0,
00:00.1,0.001436234,-0.004972458,0.012611389,0,
00:00.2,0.001441956,-0.00497818,0.012611389,0,
00:00.2,0.001419067,-0.005001068,0.012611389,0,
00:00.2,0.001396179,-0.005012512,0.012617111,0,
00:00.2,0.001407623,-0.005001068,0.012622833,0,
00:00.2,0.001419067,-0.005001068,0.012634277,0,
00:00.2,0.001424789,-0.00497818,0.012634277,0,
00:00.2,0.001436234,-0.004961014,0.012634277,0,
00:00.2,0.001424789,-0.005012512,0.012634277,0,
00:00.2,0.001401901,-0.0050354,0.012645721,0,
00:00.2,0.001419067,-0.005001068,0.012651443,0,
00:00.2,0.001424789,-0.004983902,0.012657166,0,
00:00.2,0.001413345,-0.005001068,0.012651443,0,
00:00.2,0.001401901,-0.005018234,0.012662888,0,
00:00.2,0.001413345,-0.005018234,0.01266861,0,
00:00.2,0.001419067,-0.004995346,0.012662888,0,
00:00.2,0.001419067,-0.004995346,0.012674332,0,
00:00.2,0.001413345,-0.005012512,0.012674332,0,
00:00.2,0.001407623,-0.005029678,0.012674332,0,
00:00.2,0.001424789,-0.005029678,0.012685776,0,
00:00.2,0.001424789,-0.005018234,0.012685776,0,
