Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000852585,-0.004858017,0.011547089,0,
00:00.0,0.000846863,-0.004863739,0.011541367,0,
00:00.0,0.000841141,-0.004863739,0.011541367,0,
00:00.0,0.000852585,-0.004863739,0.011541367,0,
00:00.0,0.000846863,-0.004875183,0.011541367,0,
00:00.0,0.000829697,-0.004903793,0.011547089,0,
00:00.0,0.000823975,-0.004903793,0.011541367,0,
00:00.0,0.000835419,-0.004875183,0.011535645,0,
00:00.0,0.000852585,-0.004858017,0.011541367,0,
00:00.0,0.000852585,-0.004869461,0.011541367,0,
00:00.0,0.000841141,-0.004892349,0.011547089,0,
00:00.0,0.000841141,-0.004875183,0.011541367,0,
00:00.0,0.000841141,-0.004869461,0.011541367,0,
00:00.1,0.000841141,-0.004869461,0.011541367,0,
00:00.1,0.000841141,-0.004886627,0.011541367,0,
00:00.1,0.000841141,-0.004892349,0.011541367,0,
00:00.1,0.000835419,-0.004869461,0.011541367,0,
00:00.1,0.000835419,-0.004863739,0.011541367,0,
00:00.1,0.000841141,-0.004863739,0.011535645,0,
00:00.1,0.000846863,-0.004863739,0.011541367,0,
00:00.1,0.000835419,-0.004858017,0.011541367,0,
00:00.1,0.000823975,-0.004869461,0.011547089,0,
00:00.1,0.000829697,-0.004886627,0.011541367,0,
00:00.1,0.000841141,-0.004880905,0.011541367,0,
00:00.1,0.000846863,-0.004869461,0.011541367,0,
00:00.1,0.000841141,-0.004869461,0.011541367,0,
00:00.1,0.000835419,-0.004869461,0.011541367,0,
00:00.1,0.000829697,-0.004880905,0.011535645,0,
00:00.1,0.000823975,-0.004903793,0.011535645,0,
00:00.1,0.000818253,-0.004909515,0.011535645,0,
00:00.1,0.000841141,-0.004875183,0.011535645,0,
00:00.1,0.000852585,-0.004852295,0.011535645,0,
00:00.1,0.000835419,-0.004858017,0.011541367,0,
00:00.1,0.000835419,-0.004863739,0.011541367,0,
00:00.1,0.000835419,-0.004880905,0.011541367,0,
00:00.1,0.000835419,-0.004875183,0.011547089,0,
00:00.1,0.000818253,-0.004892349,0.011535645,0,
00:00.1,0.000818253,-0.004892349,0.011529922,0,
00:00.2,0.000829697,-0.004875183,0.011535645,0,
00:00.2,0.000841141,-0.004869461,0.011541367,0,
00:00.2,0.000835419,-0.004863739,0.011535645,0,
00:00.2,0.000835419,-0.004880905,0.011535645,0,
00:00.2,0.000823975,-0.004880905,0.011535645,0,
00:00.2,0.000818253,-0.004858017,0.011535645,0,
00:00.2,0.000829697,-0.004875183,0.011535645,0,
00:00.2,0.000829697,-0.004886627,0.011535645,0,
00:00.2,0.000835419,-0.004869461,0.011535645,0,
00:00.2,0.000829697,-0.004863739,0.011535645,0,
00:00.2,0.000835419,-0.004852295,0.011541367,0,
00:00.2,0.000835419,-0.004863739,0.011541367,0,
00:00.2,0.000823975,-0.004869461,0.011535645,0,
00:00.2,0.000835419,-0.004863739,0.011535645,0,
00:00.2,0.000823975,-0.004880905,0.011529922,0,
00:00.2,0.000818253,-0.004886627,0.011535645,0,
00:00.2,0.000823975,-0.004863739,0.011535645,0,
00:00.2,0.000823975,-0.004846573,0.011535645,0,
00:00.2,0.000812531,-0.004863739,0.011535645,0,
00:00.2,0.000818253,-0.004886627,0.011535645,0,
00:00.2,0.000835419,-0.004886627,0.011529922,0,
00:00.2,0.000835419,-0.004858017,0.0115242,0,
00:00.2,0.000823975,-0.004858017,0.011529922,0,
00:00.2,0.000818253,-0.004880905,0.011535645,0,
00:00.2,0.000823975,-0.004875183,0.011529922,0,
00:00.3,0.000829697,-0.004863739,0.011535645,0,
00:00.3,0.000818253,-0.004863739,0.011535645,0,
00:00.3,0.000806808,-0.004869461,0.011529922,0,
00:00.3,0.000818253,-0.004858017,0.011529922,0,
00:00.3,0.000835419,-0.004852295,0.0115242,0,
00:00.3,0.000829697,-0.004869461,0.011518478,0,
00:00.3,0.000812531,-0.004863739,0.011529922,0,
00:00.3,0.000829697,-0.004846573,0.011535645,0,
00:00.3,0.000829697,-0.004846573,0.011529922,0,
00:00.3,0.000823975,-0.004858017,0.011529922,0,
00:00.3,0.000818253,-0.004875183,0.0115242,0,
00:00.3,0.000812531,-0.004892349,0.011529922,0,
00:00.3,0.000823975,-0.004863739,0.011535645,0,
00:00.3,0.000829697,-0.004852295,0.011529922,0,
00:00.3,0.000818253,-0.004852295,0.011529922,0,
00:00.3,0.000812531,-0.004863739,0.011529922,0,
00:00.3,0.000829697,-0.004852295,0.0115242,0,
00:00.3,0.000835419,-0.004840851,0.011529922,0,
00:00.3,0.000823975,-0.004852295,0.011529922,0,
00:00.3,0.000801086,-0.004880905,0.0115242,0,
00:00.3,0.000806808,-0.004886627,0.011529922,0,
00:00.3,0.000818253,-0.004858017,0.011529922,0,
00:00.3,0.000812531,-0.004852295,0.011529922,0,
00:00.3,0.000823975,-0.004840851,0.0115242,0,
00:00.3,0.000835419,-0.004840851,0.011512756,0,
00:00.4,0.000841141,-0.004852295,0.011512756,0,
00:00.4,0.000829697,-0.004840851,0.011518478,0,
00:00.4,0.000812531,-0.004863739,0.0115242,0,
00:00.4,0.00078392,-0.004932404,0.011529922,0,
00:00.4,0.000801086,-0.004892349,0.011518478,0,
00:00.4,0.000823975,-0.004835129,0.011518478,0,
00:00.4,0.000823975,-0.004829407,0.011518478,0,
00:00.4,0.000818253,-0.004846573,0.011518478,0,
00:00.4,0.000812531,-0.004869461,0.011518478,0,
00:00.4,0.000806808,-0.004869461,0.011518478,0,
00:00.4,0.000829697,-0.004840851,0.011518478,0,
00:00.4,0.000823975,-0.004840851,0.0115242,0,
00:00.4,0.000812531,-0.004840851,0.0115242,0,
00:00.4,0.000812531,-0.004863739,0.011518478,0,
00:00.4,0.000812531,-0.004880905,0.011518478,0,
00:00.4,0.000806808,-0.004875183,0.011512756,0,
00:00.4,0.000806808,-0.004858017,0.011512756,0,
00:00.4,0.000812531,-0.004846573,0.011518478,0,
00:00.4,0.000806808,-0.004846573,0.011512756,0,
00:00.4,0.000823975,-0.004840851,0.011507034,0,
00:00.4,0.000812531,-0.004858017,0.011512756,0,
00:00.4,0.000806808,-0.004869461,0.011518478,0,
00:00.4,0.000812531,-0.004869461,0.011518478,0,
00:00.4,0.000818253,-0.004852295,0.011512756,0,
00:00.4,0.000812531,-0.004846573,0.011507034,0,
00:00.5,0.000806808,-0.004858017,0.011512756,0,
00:00.5,0.000801086,-0.004875183,0.011512756,0,
00:00.5,0.000801086,-0.004863739,0.011512756,0,
00:00.5,0.000812531,-0.004829407,0.011507034,0,
00:00.5,0.000823975,-0.004835129,0.011507034,0,
00:00.5,0.000818253,-0.004852295,0.011507034,0,
00:00.5,0.000806808,-0.004863739,0.011507034,0,
00:00.5,0.000801086,-0.004875183,0.011507034,0,
00:00.5,0.000795364,-0.004869461,0.011507034,0,
00:00.5,0.000795364,-0.004852295,0.011512756,0,
00:00.5,0.000823975,-0.004835129,0.011501312,0,
