Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001688004,-0.004159927,0.01071167,0,
00:00.0,0.001682281,-0.004171371,0.010705948,0,
00:00.0,0.001688004,-0.004165649,0.010705948,0,
00:00.0,0.001682281,-0.004159927,0.010705948,0,
00:00.0,0.001688004,-0.004154205,0.010705948,0,
00:00.0,0.001688004,-0.004165649,0.01071167,0,
00:00.0,0.001676559,-0.004177094,0.01071167,0,
00:00.0,0.001659393,-0.004188538,0.010705948,0,
00:00.0,0.001665115,-0.004177094,0.010705948,0,
00:00.0,0.001693726,-0.004154205,0.010705948,0,
00:00.0,0.001693726,-0.004142761,0.01071167,0,
00:00.0,0.001693726,-0.004142761,0.01071167,0,
00:00.0,0.001693726,-0.004154205,0.010700226,0,
00:00.1,0.001682281,-0.004171371,0.010700226,0,
00:00.1,0.001688004,-0.004182816,0.010705948,0,
00:00.1,0.001676559,-0.004177094,0.01071167,0,
00:00.1,0.001676559,-0.004177094,0.01071167,0,
00:00.1,0.001676559,-0.004165649,0.010700226,0,
00:00.1,0.001688004,-0.004148483,0.010694504,0,
00:00.1,0.001693726,-0.004148483,0.010705948,0,
00:00.1,0.001676559,-0.004165649,0.01071167,0,
00:00.1,0.001670837,-0.004177094,0.01071167,0,
00:00.1,0.001682281,-0.00419426,0.010705948,0,
00:00.1,0.001676559,-0.004188538,0.010700226,0,
00:00.1,0.001682281,-0.004159927,0.010705948,0,
00:00.1,0.001688004,-0.004148483,0.010705948,0,
00:00.1,0.001693726,-0.004142761,0.010705948,0,
00:00.1,0.001688004,-0.004159927,0.010700226,0,
00:00.1,0.001676559,-0.004165649,0.010700226,0,
00:00.1,0.001676559,-0.004171371,0.010705948,0,
00:00.1,0.001676559,-0.004177094,0.010705948,0,
00:00.1,0.001676559,-0.004171371,0.01071167,0,
00:00.1,0.001670837,-0.004165649,0.010705948,0,
00:00.1,0.001688004,-0.004159927,0.010700226,0,
00:00.1,0.001693726,-0.004148483,0.010700226,0,
00:00.1,0.001688004,-0.004154205,0.010705948,0,
00:00.1,0.001676559,-0.004165649,0.010705948,0,
00:00.1,0.001676559,-0.004171371,0.010694504,0,
00:00.2,0.001676559,-0.004177094,0.010694504,0,
00:00.2,0.001682281,-0.004182816,0.010700226,0,
00:00.2,0.001670837,-0.004177094,0.010700226,0,
00:00.2,0.001688004,-0.004159927,0.010700226,0,
00:00.2,0.001688004,-0.004142761,0.010694504,0,
00:00.2,0.001682281,-0.004154205,0.010700226,0,
00:00.2,0.001682281,-0.004159927,0.010705948,0,
00:00.2,0.001676559,-0.004154205,0.010705948,0,
00:00.2,0.001676559,-0.004159927,0.010700226,0,
00:00.2,0.001665115,-0.004188538,0.010700226,0,
00:00.2,0.001653671,-0.004199982,0.010694504,0,
00:00.2,0.001665115,-0.004177094,0.010700226,0,
00:00.2,0.001682281,-0.004159927,0.010700226,0,
00:00.2,0.001688004,-0.004159927,0.010694504,0,
00:00.2,0.001682281,-0.004154205,0.010694504,0,
00:00.2,0.001682281,-0.004159927,0.010694504,0,
00:00.2,0.001676559,-0.004165649,0.010700226,0,
