Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001831055,-0.00746727,0.013086319,0,
00:00.0,0.001842499,-0.007472992,0.013092041,0,
00:00.0,0.001831055,-0.00746727,0.013086319,0,
00:00.0,0.001825333,-0.007461548,0.013086319,0,
00:00.0,0.001813889,-0.007484436,0.013086319,0,
00:00.0,0.001813889,-0.007490158,0.013080597,0,
00:00.0,0.001825333,-0.007472992,0.013086319,0,
00:00.0,0.001831055,-0.00746727,0.013086319,0,
00:00.0,0.001825333,-0.007484436,0.013080597,0,
00:00.0,0.001813889,-0.007472992,0.013086319,0,
00:00.0,0.001831055,-0.007455826,0.013086319,0,
00:00.0,0.001825333,-0.007484436,0.013086319,0,
00:00.0,0.001813889,-0.007478714,0.013092041,0,
00:00.1,0.001819611,-0.007461548,0.013080597,0,
00:00.1,0.001819611,-0.007455826,0.013074875,0,
00:00.1,0.001825333,-0.007461548,0.013074875,0,
00:00.1,0.001831055,-0.007461548,0.013086319,0,
00:00.1,0.001831055,-0.007461548,0.013080597,0,
00:00.1,0.001831055,-0.007444382,0.013080597,0,
00:00.1,0.001836777,-0.00743866,0.013086319,0,
00:00.1,0.001819611,-0.007472992,0.013080597,0,
00:00.1,0.001796722,-0.007513046,0.013086319,0,
00:00.1,0.001808167,-0.007490158,0.013086319,0,
00:00.1,0.001831055,-0.007444382,0.013080597,0,
00:00.1,0.001842499,-0.007444382,0.013080597,0,
00:00.1,0.001819611,-0.007455826,0.013086319,0,
00:00.1,0.001802444,-0.00746727,0.013086319,0,
00:00.1,0.001802444,-0.007484436,0.013086319,0,
00:00.1,0.001813889,-0.007478714,0.013080597,0,
00:00.1,0.001831055,-0.007461548,0.013074875,0,
00:00.1,0.001825333,-0.007450104,0.013086319,0,
00:00.1,0.001831055,-0.007444382,0.013080597,0,
00:00.1,0.001819611,-0.007444382,0.013092041,0,
00:00.1,0.001819611,-0.007455826,0.013086319,0,
00:00.1,0.001819611,-0.007461548,0.013080597,0,
00:00.1,0.001819611,-0.007450104,0.013080597,0,
00:00.1,0.001819611,-0.007455826,0.013092041,0,
00:00.1,0.001819611,-0.00746727,0.013086319,0,
00:00.2,0.001819611,-0.00746727,0.013086319,0,
00:00.2,0.001831055,-0.007450104,0.013080597,0,
00:00.2,0.001819611,-0.007444382,0.013080597,0,
00:00.2,0.001813889,-0.007478714,0.013086319,0,
00:00.2,0.001813889,-0.007478714,0.013086319,0,
00:00.2,0.001813889,-0.007444382,0.013080597,0,
00:00.2,0.001825333,-0.007444382,0.013074875,0,
00:00.2,0.001836777,-0.007432938,0.013074875,0,
00:00.2,0.001831055,-0.007450104,0.013086319,0,
00:00.2,0.001808167,-0.007478714,0.013080597,0,
00:00.2,0.001819611,-0.007450104,0.013074875,0,
00:00.2,0.001819611,-0.00743866,0.013080597,0,
00:00.2,0.001819611,-0.007432938,0.013080597,0,
00:00.2,0.001831055,-0.007421494,0.013086319,0,
00:00.2,0.001825333,-0.00743866,0.013080597,0,
00:00.2,0.001808167,-0.00746727,0.013080597,0,
00:00.2,0.001802444,-0.007484436,0.013086319,0,
00:00.2,0.001813889,-0.00746727,0.013080597,0,
00:00.2,0.001813889,-0.007455826,0.013086319,0,
00:00.2,0.001813889,-0.007450104,0.013086319,0,
00:00.2,0.001813889,-0.007461548,0.013086319,0,
00:00.2,0.001825333,-0.007432938,0.013080597,0,
00:00.2,0.001831055,-0.007415771,0.013080597,0,
00:00.2,0.001802444,-0.007461548,0.013086319,0,
00:00.2,0.001802444,-0.007490158,0.013086319,0,
00:00.3,0.001825333,-0.007444382,0.013080597,0,
00:00.3,0.001819611,-0.007432938,0.013086319,0,
00:00.3,0.001813889,-0.007444382,0.013080597,0,
00:00.3,0.001813889,-0.00743866,0.013080597,0,
00:00.3,0.001813889,-0.00743866,0.013086319,0,
00:00.3,0.001813889,-0.007444382,0.013086319,0,
00:00.3,0.001813889,-0.007432938,0.013086319,0,
00:00.3,0.001831055,-0.007427216,0.013080597,0,
