Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002077103,-0.004617691,0.014677048,0,
00:00.0,0.002099991,-0.004594803,0.014665604,0,
00:00.0,0.002117157,-0.004571915,0.014642715,0,
00:00.0,0.002088547,-0.004606247,0.014642715,0,
00:00.0,0.002082825,-0.004617691,0.014659882,0,
00:00.0,0.002088547,-0.004617691,0.014671326,0,
00:00.0,0.002094269,-0.004600525,0.014659882,0,
00:00.0,0.002094269,-0.004600525,0.01465416,0,
00:00.0,0.002094269,-0.004611969,0.014659882,0,
00:00.0,0.002088547,-0.004611969,0.014665604,0,
00:00.0,0.002082825,-0.004617691,0.014665604,0,
00:00.0,0.002088547,-0.004606247,0.014659882,0,
00:00.0,0.002094269,-0.004600525,0.014659882,0,
00:00.1,0.002094269,-0.004600525,0.014648438,0,
00:00.1,0.002088547,-0.004600525,0.014659882,0,
00:00.1,0.002082825,-0.004606247,0.014671326,0,
00:00.1,0.002082825,-0.004606247,0.014659882,0,
00:00.1,0.002082825,-0.004606247,0.01465416,0,
00:00.1,0.002077103,-0.004606247,0.01465416,0,
00:00.1,0.002094269,-0.004594803,0.01465416,0,
00:00.1,0.002077103,-0.004611969,0.014642715,0,
00:00.1,0.002077103,-0.004606247,0.01465416,0,
00:00.1,0.002082825,-0.004600525,0.014648438,0,
00:00.1,0.002094269,-0.004583359,0.014648438,0,
00:00.1,0.002099991,-0.004577637,0.014636993,0,
00:00.1,0.002094269,-0.004594803,0.014648438,0,
00:00.1,0.002082825,-0.004606247,0.014648438,0,
00:00.1,0.002094269,-0.004594803,0.014642715,0,
00:00.1,0.002088547,-0.004600525,0.01465416,0,
00:00.1,0.002082825,-0.004594803,0.014665604,0,
00:00.1,0.002082825,-0.004606247,0.014659882,0,
00:00.1,0.002071381,-0.004606247,0.014642715,0,
00:00.1,0.002077103,-0.004600525,0.014636993,0,
00:00.1,0.002077103,-0.004600525,0.014648438,0,
00:00.1,0.002077103,-0.004606247,0.014642715,0,
00:00.1,0.002077103,-0.004611969,0.01465416,0,
00:00.1,0.002059937,-0.004611969,0.014642715,0,
00:00.1,0.002071381,-0.004583359,0.014642715,0,
00:00.2,0.002094269,-0.004566193,0.014648438,0,
00:00.2,0.002094269,-0.004583359,0.014648438,0,
00:00.2,0.002088547,-0.004606247,0.01465416,0,
00:00.2,0.002082825,-0.004600525,0.014648438,0,
00:00.2,0.002077103,-0.004600525,0.014636993,0,
00:00.2,0.002071381,-0.004611969,0.014631271,0,
00:00.2,0.002082825,-0.004594803,0.014642715,0,
00:00.2,0.002077103,-0.004589081,0.014659882,0,
00:00.2,0.002082825,-0.004589081,0.014648438,0,
00:00.2,0.002094269,-0.004577637,0.014642715,0,
00:00.2,0.002094269,-0.004566193,0.01465416,0,
00:00.2,0.002077103,-0.004583359,0.014648438,0,
00:00.2,0.002077103,-0.004583359,0.014648438,0,
00:00.2,0.002088547,-0.004566193,0.014648438,0,
00:00.2,0.002082825,-0.004594803,0.014642715,0,
00:00.2,0.002077103,-0.004594803,0.014648438,0,
00:00.2,0.002065659,-0.004594803,0.014631271,0,
00:00.2,0.002077103,-0.004577637,0.014642715,0,
00:00.2,0.002082825,-0.004566193,0.01465416,0,
00:00.2,0.002077103,-0.004577637,0.014648438,0,
00:00.2,0.002065659,-0.004600525,0.01465416,0,
00:00.2,0.002077103,-0.004583359,0.014631271,0,
00:00.2,0.002077103,-0.004577637,0.014636993,0,
00:00.2,0.002071381,-0.004589081,0.014659882,0,
00:00.2,0.002077103,-0.004589081,0.014648438,0,
00:00.3,0.002077103,-0.004583359,0.014631271,0,
00:00.3,0.002071381,-0.004571915,0.014642715,0,
00:00.3,0.002082825,-0.004571915,0.014648438,0,
00:00.3,0.002082825,-0.004577637,0.014631271,0,
00:00.3,0.002071381,-0.004589081,0.014636993,0,
00:00.3,0.002065659,-0.004600525,0.01465416,0,
00:00.3,0.002077103,-0.004583359,0.01465416,0,
00:00.3,0.002071381,-0.004577637,0.014648438,0,
00:00.3,0.002065659,-0.004577637,0.014648438,0,
00:00.3,0.002071381,-0.004583359,0.01465416,0,
00:00.3,0.002071381,-0.004583359,0.01465416,0,
00:00.3,0.002065659,-0.004589081,0.014631271,0,
00:00.3,0.002071381,-0.004577637,0.014642715,0,
00:00.3,0.002071381,-0.004571915,0.014659882,0,
00:00.3,0.002071381,-0.004577637,0.014648438,0,
00:00.3,0.002071381,-0.004577637,0.014642715,0,
00:00.3,0.002071381,-0.004566193,0.014642715,0,
00:00.3,0.002077103,-0.004566193,0.014648438,0,
00:00.3,0.002077103,-0.004571915,0.014648438,0,
00:00.3,0.002077103,-0.004571915,0.014648438,0,
00:00.3,0.002059937,-0.004589081,0.01465416,0,
00:00.3,0.002059937,-0.004594803,0.014648438,0,
00:00.3,0.002065659,-0.004583359,0.014648438,0,
00:00.3,0.002065659,-0.004571915,0.014642715,0,
00:00.3,0.002071381,-0.004571915,0.014642715,0,
00:00.4,0.002071381,-0.004583359,0.014636993,0,
00:00.4,0.002071381,-0.004594803,0.014631271,0,
00:00.4,0.002071381,-0.004583359,0.014648438,0,
00:00.4,0.002077103,-0.004566193,0.014648438,0,
00:00.4,0.002082825,-0.004560471,0.014625549,0,
00:00.4,0.002071381,-0.004583359,0.014642715,0,
00:00.4,0.002065659,-0.004583359,0.014648438,0,
00:00.4,0.002071381,-0.004571915,0.014648438,0,
00:00.4,0.002071381,-0.004566193,0.014648438,0,
