Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001298904,-0.00646019,0.014757156,0,
00:00.0,0.001321793,-0.006425858,0.014751434,0,
00:00.0,0.001338959,-0.006408691,0.014757156,0,
00:00.0,0.001316071,-0.00643158,0.0147686,0,
00:00.0,0.001316071,-0.006443024,0.014757156,0,
00:00.0,0.001327515,-0.006408691,0.014757156,0,
00:00.0,0.001321793,-0.00646019,0.014774323,0,
00:00.0,0.001298904,-0.006505966,0.014791489,0,
00:00.0,0.001316071,-0.00646019,0.014797211,0,
00:00.0,0.001327515,-0.00643158,0.014785767,0,
00:00.0,0.001338959,-0.006397247,0.014774323,0,
00:00.0,0.001338959,-0.006391525,0.014774323,0,
00:00.0,0.001304626,-0.006477356,0.014780045,0,
00:00.1,0.001298904,-0.006471634,0.014797211,0,
00:00.1,0.001344681,-0.006414413,0.014825821,0,
00:00.1,0.001327515,-0.00643158,0.014814377,0,
00:00.1,0.001321793,-0.006471634,0.014802933,0,
00:00.1,0.001333237,-0.00646019,0.014814377,0,
00:00.1,0.001316071,-0.006448746,0.014808655,0,
00:00.1,0.001321793,-0.00643158,0.014820099,0,
00:00.1,0.001327515,-0.006420135,0.014831543,0,
00:00.1,0.001338959,-0.006420135,0.014865875,0,
00:00.1,0.001367569,-0.006408691,0.014825821,0,
00:00.1,0.001338959,-0.006420135,0.014837265,0,
00:00.1,0.001298904,-0.006500244,0.014848709,0,
00:00.1,0.001293182,-0.006505966,0.014854431,0,
00:00.1,0.001310349,-0.006443024,0.014860153,0,
00:00.1,0.001338959,-0.00643158,0.014883041,0,
00:00.1,0.001333237,-0.00643158,0.014877319,0,
00:00.1,0.001344681,-0.006408691,0.014871597,0,
00:00.1,0.001327515,-0.006443024,0.014871597,0,
00:00.1,0.001321793,-0.00646019,0.014865875,0,
00:00.1,0.001321793,-0.00646019,0.014883041,0,
00:00.1,0.001293182,-0.006483078,0.014911652,0,
00:00.1,0.001310349,-0.006465912,0.014894485,0,
00:00.1,0.001333237,-0.006420135,0.014911652,0,
00:00.1,0.001356125,-0.006414413,0.014894485,0,
00:00.1,0.001379013,-0.006374359,0.01490593,0,
00:00.2,0.001327515,-0.006448746,0.014928818,0,
00:00.2,0.001327515,-0.006443024,0.014911652,0,
00:00.2,0.001293182,-0.006511688,0.014945984,0,
00:00.2,0.001304626,-0.006443024,0.014928818,0,
00:00.2,0.001327515,-0.006397247,0.014900208,0,
00:00.2,0.001350403,-0.006408691,0.014917374,0,
00:00.2,0.001304626,-0.006511688,0.014951706,0,
00:00.2,0.001316071,-0.00646019,0.01493454,0,
00:00.2,0.001344681,-0.006443024,0.014928818,0,
00:00.2,0.001344681,-0.006471634,0.014940262,0,
00:00.2,0.001316071,-0.006471634,0.014928818,0,
00:00.2,0.001321793,-0.00646019,0.014974594,0,
00:00.2,0.001344681,-0.006420135,0.014986038,0,
00:00.2,0.001333237,-0.006425858,0.014974594,0,
00:00.2,0.001327515,-0.006448746,0.014986038,0,
00:00.2,0.001316071,-0.006483078,0.014980316,0,
