Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000555038,-0.005865097,0.009813309,0,
00:00.0,0.00053215,-0.005870819,0.009824753,0,
00:00.0,0.000543594,-0.005859375,0.009819031,0,
00:00.0,0.000577927,-0.005847931,0.009819031,0,
00:00.0,0.000572205,-0.005853653,0.009813309,0,
00:00.0,0.000572205,-0.005859375,0.009819031,0,
00:00.0,0.000555038,-0.005865097,0.009819031,0,
00:00.0,0.000555038,-0.005865097,0.009813309,0,
00:00.0,0.000543594,-0.005870819,0.009824753,0,
00:00.0,0.000555038,-0.005870819,0.009819031,0,
00:00.0,0.00056076,-0.005882263,0.009830475,0,
00:00.0,0.000543594,-0.005887985,0.009830475,0,
00:00.0,0.000543594,-0.005876541,0.009824753,0,
00:00.1,0.000543594,-0.005870819,0.009830475,0,
00:00.1,0.000543594,-0.005876541,0.009824753,0,
00:00.1,0.00056076,-0.005876541,0.009830475,0,
00:00.1,0.000543594,-0.005882263,0.009830475,0,
00:00.1,0.000537872,-0.005893707,0.009836197,0,
00:00.1,0.000549316,-0.005887985,0.009836197,0,
00:00.1,0.000566483,-0.005876541,0.009824753,0,
00:00.1,0.00056076,-0.005882263,0.009830475,0,
00:00.1,0.000549316,-0.005893707,0.009830475,0,
00:00.1,0.000537872,-0.005887985,0.009830475,0,
00:00.1,0.000555038,-0.005882263,0.009830475,0,
00:00.1,0.000555038,-0.005893707,0.009836197,0,
00:00.1,0.000549316,-0.005905151,0.009841919,0,
00:00.1,0.000543594,-0.005905151,0.009824753,0,
00:00.1,0.000537872,-0.005899429,0.009847641,0,
00:00.1,0.000543594,-0.005899429,0.009853363,0,
00:00.1,0.000549316,-0.005905151,0.009841919,0,
00:00.1,0.000543594,-0.005910873,0.009847641,0,
00:00.1,0.000543594,-0.005916595,0.009853363,0,
00:00.1,0.000549316,-0.005922318,0.009847641,0,
00:00.1,0.000543594,-0.005922318,0.009841919,0,
00:00.1,0.00053215,-0.005939484,0.009847641,0,
00:00.1,0.00053215,-0.005922318,0.009847641,0,
00:00.1,0.000543594,-0.005905151,0.009864807,0,
00:00.1,0.000543594,-0.005910873,0.009859085,0,
00:00.2,0.00053215,-0.005922318,0.009853363,0,
00:00.2,0.000537872,-0.005922318,0.009859085,0,
00:00.2,0.000526428,-0.00592804,0.009859085,0,
00:00.2,0.000537872,-0.005939484,0.009859085,0,
00:00.2,0.00053215,-0.005945206,0.009859085,0,
00:00.2,0.000537872,-0.005933762,0.009859085,0,
00:00.2,0.000543594,-0.005933762,0.009859085,0,
00:00.2,0.000537872,-0.005939484,0.009864807,0,
00:00.2,0.000520706,-0.005950928,0.009870529,0,
00:00.2,0.00053215,-0.005950928,0.009864807,0,
00:00.2,0.00053215,-0.005950928,0.009881973,0,
00:00.2,0.000537872,-0.005945206,0.009876251,0,
00:00.2,0.000537872,-0.005950928,0.009881973,0,
00:00.2,0.000537872,-0.005962372,0.009881973,0,
00:00.2,0.000520706,-0.005973816,0.009893417,0,
00:00.2,0.00050354,-0.005973816,0.009887695,0,
00:00.2,0.000520706,-0.005968094,0.009893417,0,
00:00.2,0.000520706,-0.00595665,0.009893417,0,
00:00.2,0.000537872,-0.00595665,0.009893417,0,
00:00.2,0.000543594,-0.005968094,0.009893417,0,
00:00.2,0.00053215,-0.005973816,0.009887695,0,
00:00.2,0.00053215,-0.005962372,0.009893417,0,
00:00.2,0.000520706,-0.005973816,0.009904861,0,
00:00.2,0.000526428,-0.005979538,0.009899139,0,
00:00.2,0.000526428,-0.00598526,0.009887695,0,
00:00.3,0.00053215,-0.005979538,0.009904861,0,
00:00.3,0.000526428,-0.005979538,0.009916306,0,
00:00.3,0.000520706,-0.00598526,0.009910583,0,
00:00.3,0.000526428,-0.005996704,0.009922028,0,
00:00.3,0.000520706,-0.005996704,0.009916306,0,
00:00.3,0.000514984,-0.005996704,0.009916306,0,
00:00.3,0.000514984,-0.005996704,0.009910583,0,
00:00.3,0.000514984,-0.005996704,0.009922028,0,
00:00.3,0.000520706,-0.006002426,0.00992775,0,
00:00.3,0.00050354,-0.006008148,0.009922028,0,
00:00.3,0.000526428,-0.006019592,0.009933472,0,
00:00.3,0.000514984,-0.006025314,0.009933472,0,
00:00.3,0.000520706,-0.00601387,0.009939194,0,
00:00.3,0.000514984,-0.006002426,0.009933472,0,
00:00.3,0.000520706,-0.006025314,0.009939194,0,
00:00.3,0.000509262,-0.006031036,0.009944916,0,
00:00.3,0.000509262,-0.006019592,0.009939194,0,
00:00.3,0.000526428,-0.006031036,0.009944916,0,
00:00.3,0.000514984,-0.006036758,0.00995636,0,
00:00.3,0.000509262,-0.006036758,0.009962082,0,
00:00.3,0.000509262,-0.006031036,0.00995636,0,
00:00.3,0.000520706,-0.00604248,0.00995636,0,
00:00.3,0.000520706,-0.00604248,0.00995636,0,
00:00.3,0.000514984,-0.006048203,0.009967804,0,
00:00.3,0.00050354,-0.006059647,0.009973526,0,
