Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.002025604,0.005115509,0.00525856,0,
00:00.0,0.002048492,0.005104065,0.005207062,0,
00:00.0,0.002019882,0.005109787,0.005172729,0,
00:00.0,0.00201416,0.005098343,0.005149841,0,
00:00.0,0.00201416,0.005092621,0.005172729,0,
00:00.0,0.001979828,0.005075455,0.005235672,0,
00:00.0,0.001991272,0.005081177,0.005189896,0,
00:00.0,0.002008438,0.005092621,0.005161285,0,
00:00.0,0.002002716,0.005109787,0.005247116,0,
00:00.0,0.002002716,0.005132675,0.005212784,0,
00:00.0,0.002019882,0.005144119,0.005189896,0,
00:00.0,0.002019882,0.005121231,0.005212784,0,
00:00.0,0.002002716,0.005092621,0.00520134,0,
00:00.1,0.002008438,0.005104065,0.00520134,0,
00:00.1,0.002031326,0.005132675,0.005172729,0,
00:00.1,0.002037048,0.005132675,0.005138397,0,
00:00.1,0.002025604,0.005121231,0.005161285,0,
00:00.1,0.002025604,0.005121231,0.005161285,0,
00:00.1,0.00204277,0.005109787,0.005167007,0,
00:00.1,0.002031326,0.005121231,0.005189896,0,
00:00.1,0.002071381,0.005126953,0.005138397,0,
00:00.1,0.001979828,0.005115509,0.005224228,0,
00:00.1,0.001974106,0.005126953,0.00522995,0,
00:00.1,0.002008438,0.005109787,0.005184174,0,
00:00.1,0.002002716,0.005109787,0.005195618,0,
00:00.1,0.002019882,0.005104065,0.005195618,0,
00:00.1,0.002002716,0.005086899,0.005218506,0,
00:00.1,0.001979828,0.005069733,0.005218506,0,
00:00.1,0.00198555,0.005064011,0.005178452,0,
00:00.1,0.002002716,0.005115509,0.00520134,0,
00:00.1,0.002019882,0.005121231,0.005172729,0,
00:00.1,0.00204277,0.005138397,0.005161285,0,
00:00.1,0.002037048,0.005121231,0.005172729,0,
00:00.1,0.001991272,0.005115509,0.005224228,0,
00:00.1,0.002002716,0.005132675,0.005189896,0,
00:00.1,0.002002716,0.005121231,0.005212784,0,
00:00.1,0.002025604,0.005109787,0.005207062,0,
00:00.1,0.00201416,0.005109787,0.005121231,0,
00:00.2,0.002019882,0.005121231,0.005109787,0,
00:00.2,0.00204277,0.005132675,0.005184174,0,
00:00.2,0.002065659,0.005138397,0.005172729,0,
00:00.2,0.00195694,0.005115509,0.005224228,0,
00:00.2,0.002037048,0.005138397,0.005098343,0,
00:00.2,0.00204277,0.005109787,0.005121231,0,
00:00.2,0.001979828,0.005086899,0.00525856,0,
00:00.2,0.001996994,0.005115509,0.005224228,0,
00:00.2,0.002002716,0.005115509,0.005189896,0,
00:00.2,0.002008438,0.005098343,0.005207062,0,
00:00.2,0.001996994,0.005109787,0.005178452,0,
00:00.2,0.001996994,0.005092621,0.005189896,0,
00:00.2,0.001996994,0.005092621,0.005195618,0,
00:00.2,0.001996994,0.005109787,0.005189896,0,
00:00.2,0.00201416,0.005138397,0.005184174,0,
00:00.2,0.002019882,0.005149841,0.005172729,0,
00:00.2,0.002008438,0.005121231,0.00520134,0,
00:00.2,0.002008438,0.005109787,0.005195618,0,
00:00.2,0.002031326,0.005115509,0.005189896,0,
00:00.2,0.00204277,0.005121231,0.005126953,0,
00:00.2,0.002037048,0.005121231,0.0050354,0,
00:00.2,0.002008438,0.005144119,0.005195618,0,
00:00.2,0.002019882,0.005155563,0.00520134,0,
00:00.2,0.002025604,0.005144119,0.005167007,0,
00:00.2,0.001979828,0.005121231,0.005207062,0,
00:00.3,0.002031326,0.005132675,0.005144119,0,
00:00.3,0.00204277,0.005121231,0.005195618,0,
00:00.3,0.002048492,0.005144119,0.005167007,0,
00:00.3,0.001996994,0.005109787,0.005132675,0,
00:00.3,0.002008438,0.005098343,0.005167007,0,
00:00.3,0.001991272,0.005098343,0.005252838,0,
00:00.3,0.002008438,0.005115509,0.00520134,0,
00:00.3,0.002002716,0.005121231,0.005184174,0,
00:00.3,0.00201416,0.005115509,0.005167007,0,
00:00.3,0.002002716,0.005132675,0.005195618,0,
00:00.3,0.002008438,0.005132675,0.005207062,0,
00:00.3,0.002008438,0.005126953,0.005184174,0,
00:00.3,0.002019882,0.005138397,0.005189896,0,
00:00.3,0.002025604,0.005126953,0.005189896,0,
00:00.3,0.002025604,0.005126953,0.005178452,0,
00:00.3,0.002025604,0.005132675,0.005184174,0,
00:00.3,0.002077103,0.005144119,0.005092621,0,
00:00.3,0.002140045,0.005161285,0.004880905,0,
00:00.3,0.002025604,0.005138397,0.005132675,0,
00:00.3,0.001991272,0.005132675,0.005270004,0,
00:00.3,0.001991272,0.005126953,0.00520134,0,
00:00.3,0.001968384,0.005109787,0.00525856,0,
00:00.3,0.002002716,0.005126953,0.005207062,0,
00:00.3,0.002031326,0.005126953,0.005132675,0,
00:00.3,0.002059937,0.005104065,0.005138397,0,
00:00.4,0.00198555,0.005098343,0.005212784,0,
00:00.4,0.001996994,0.005115509,0.005218506,0,
00:00.4,0.001996994,0.005126953,0.005195618,0,
00:00.4,0.001996994,0.005115509,0.005189896,0,
00:00.4,0.002008438,0.005109787,0.005189896,0,
00:00.4,0.00201416,0.005109787,0.005172729,0,
00:00.4,0.00201416,0.005149841,0.005161285,0,
00:00.4,0.002025604,0.005172729,0.005172729,0,
00:00.4,0.002019882,0.005149841,0.005161285,0,
00:00.4,0.002025604,0.005144119,0.005161285,0,
