Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001567841,0.003633499,0.010448456,0,
00:00.0,-0.001556396,0.003644943,0.010448456,0,
00:00.0,-0.001550674,0.003650665,0.01043129,0,
00:00.0,-0.001550674,0.003656387,0.010442734,0,
00:00.0,-0.001544952,0.003650665,0.010448456,0,
00:00.0,-0.001556396,0.003627777,0.0104599,0,
00:00.0,-0.001567841,0.003627777,0.010454178,0,
00:00.0,-0.001579285,0.003604889,0.010442734,0,
00:00.0,-0.001579285,0.003616333,0.010448456,0,
00:00.0,-0.001567841,0.003633499,0.010454178,0,
00:00.0,-0.001544952,0.003656387,0.0104599,0,
00:00.0,-0.001544952,0.003662109,0.010442734,0,
00:00.0,-0.001573563,0.003627777,0.010448456,0,
00:00.1,-0.001590729,0.003610611,0.010454178,0,
00:00.1,-0.001579285,0.003622055,0.0104599,0,
00:00.1,-0.001562119,0.003639221,0.010454178,0,
00:00.1,-0.001562119,0.003627777,0.010454178,0,
00:00.1,-0.001573563,0.003599167,0.010454178,0,
00:00.1,-0.001579285,0.003610611,0.010442734,0,
00:00.1,-0.001562119,0.003639221,0.010442734,0,
00:00.1,-0.001562119,0.003644943,0.0104599,0,
00:00.1,-0.001567841,0.003639221,0.0104599,0,
00:00.1,-0.001556396,0.003650665,0.010471344,0,
00:00.1,-0.001573563,0.003622055,0.0104599,0,
00:00.1,-0.001573563,0.003622055,0.0104599,0,
00:00.1,-0.001567841,0.003627777,0.0104599,0,
00:00.1,-0.001562119,0.003633499,0.010454178,0,
00:00.1,-0.001556396,0.003633499,0.0104599,0,
00:00.1,-0.001544952,0.003662109,0.010454178,0,
00:00.1,-0.001567841,0.003639221,0.010437012,0,
00:00.1,-0.001579285,0.003610611,0.0104599,0,
00:00.1,-0.001585007,0.003599167,0.010482788,0,
00:00.1,-0.001579285,0.003604889,0.010471344,0,
00:00.1,-0.001567841,0.003616333,0.010471344,0,
00:00.1,-0.001556396,0.003644943,0.010465622,0,
00:00.1,-0.001585007,0.003610611,0.010471344,0,
00:00.1,-0.001585007,0.003622055,0.010465622,0,
00:00.1,-0.001579285,0.003627777,0.010465622,0,
00:00.2,-0.001567841,0.003627777,0.010454178,0,
00:00.2,-0.001556396,0.003633499,0.010454178,0,
00:00.2,-0.001567841,0.003616333,0.0104599,0,
00:00.2,-0.001585007,0.003622055,0.010471344,0,
00:00.2,-0.001573563,0.003627777,0.010465622,0,
00:00.2,-0.001562119,0.003639221,0.010448456,0,
00:00.2,-0.001544952,0.003650665,0.0104599,0,
00:00.2,-0.001562119,0.003639221,0.010477066,0,
00:00.2,-0.001590729,0.003610611,0.010465622,0,
00:00.2,-0.001579285,0.003622055,0.010482788,0,
00:00.2,-0.001585007,0.003622055,0.010477066,0,
00:00.2,-0.001567841,0.003627777,0.010477066,0,
00:00.2,-0.001544952,0.003656387,0.010482788,0,
00:00.2,-0.001579285,0.003604889,0.010465622,0,
00:00.2,-0.001596451,0.003587723,0.010477066,0,
00:00.2,-0.001590729,0.003604889,0.010477066,0,
00:00.2,-0.001579285,0.003616333,0.010471344,0,
00:00.2,-0.001562119,0.003622055,0.010471344,0,
00:00.2,-0.001550674,0.003644943,0.010477066,0,
00:00.2,-0.001573563,0.003633499,0.010477066,0,
00:00.2,-0.001590729,0.003599167,0.010471344,0,
00:00.2,-0.001573563,0.003622055,0.010471344,0,
00:00.2,-0.001567841,0.003633499,0.010471344,0,
00:00.2,-0.001567841,0.003627777,0.010477066,0,
00:00.2,-0.001585007,0.003610611,0.010477066,0,
00:00.3,-0.001596451,0.003604889,0.010477066,0,
00:00.3,-0.001579285,0.003616333,0.010477066,0,
00:00.3,-0.001573563,0.003622055,0.010477066,0,
00:00.3,-0.001573563,0.003627777,0.010482788,0,
00:00.3,-0.001573563,0.003633499,0.010482788,0,
00:00.3,-0.001567841,0.003627777,0.01048851,0,
00:00.3,-0.001567841,0.003627777,0.010477066,0,
00:00.3,-0.001567841,0.003622055,0.010482788,0,
00:00.3,-0.001567841,0.003622055,0.010482788,0,
00:00.3,-0.001544952,0.003662109,0.010471344,0,
00:00.3,-0.001562119,0.003627777,0.010465622,0,
00:00.3,-0.001590729,0.003604889,0.01048851,0,
00:00.3,-0.001596451,0.003604889,0.01048851,0,
00:00.3,-0.001579285,0.003616333,0.010482788,0,
00:00.3,-0.001573563,0.003627777,0.010482788,0,
00:00.3,-0.001579285,0.003616333,0.010494232,0,
00:00.3,-0.001596451,0.003593445,0.010494232,0,
00:00.3,-0.001590729,0.003599167,0.01048851,0,
00:00.3,-0.001585007,0.003622055,0.010482788,0,
00:00.3,-0.001573563,0.003622055,0.010494232,0,
00:00.3,-0.001550674,0.003644943,0.010482788,0,
00:00.3,-0.001567841,0.003633499,0.01048851,0,
00:00.3,-0.001596451,0.003599167,0.010482788,0,
00:00.3,-0.001585007,0.003616333,0.010494232,0,
00:00.3,-0.001573563,0.003616333,0.010494232,0,
00:00.4,-0.001573563,0.003616333,0.01048851,0,
00:00.4,-0.001573563,0.003627777,0.010494232,0,
00:00.4,-0.001579285,0.003610611,0.01048851,0,
00:00.4,-0.001585007,0.003616333,0.01048851,0,
00:00.4,-0.001573563,0.003622055,0.010471344,0,
00:00.4,-0.001573563,0.003622055,0.010482788,0,
00:00.4,-0.001585007,0.003616333,0.010482788,0,
00:00.4,-0.001590729,0.003604889,0.010482788,0,
00:00.4,-0.001562119,0.003622055,0.010505676,0,
00:00.4,-0.001573563,0.003622055,0.010499954,0,
00:00.4,-0.001596451,0.003604889,0.010477066,0,
00:00.4,-0.001596451,0.003593445,0.010499954,0,
00:00.4,-0.001562119,0.003633499,0.010494232,0,
00:00.4,-0.001567841,0.003639221,0.010494232,0,
00:00.4,-0.001590729,0.003610611,0.010505676,0,
00:00.4,-0.001579285,0.003610611,0.01048851,0,
00:00.4,-0.001550674,0.003633499,0.010494232,0,
00:00.4,-0.001585007,0.003622055,0.01048851,0,
00:00.4,-0.001602173,0.003593445,0.010494232,0,
00:00.4,-0.001585007,0.003610611,0.010499954,0,
00:00.4,-0.001573563,0.003616333,0.010494232,0,
00:00.4,-0.001590729,0.003616333,0.010499954,0,
00:00.4,-0.001590729,0.003599167,0.010499954,0,
00:00.4,-0.001585007,0.003616333,0.010494232,0,
00:00.4,-0.001585007,0.003622055,0.010499954,0,
00:00.5,-0.001590729,0.003604889,0.01048851,0,
00:00.5,-0.001567841,0.003633499,0.010505676,0,
00:00.5,-0.001567841,0.003633499,0.010511398,0,
00:00.5,-0.001596451,0.003599167,0.010499954,0,
00:00.5,-0.001596451,0.003593445,0.010511398,0,
00:00.5,-0.001590729,0.003604889,0.010505676,0,
00:00.5,-0.001562119,0.003627777,0.010505676,0,
00:00.5,-0.001585007,0.003604889,0.010499954,0,
00:00.5,-0.001596451,0.003587723,0.010499954,0,
00:00.5,-0.001607895,0.003570557,0.010511398,0,
00:00.5,-0.001590729,0.003593445,0.010505676,0,
00:00.5,-0.001562119,0.003644943,0.010511398,0,
00:00.5,-0.001579285,0.003627777,0.010499954,0,
00:00.5,-0.001573563,0.003650665,0.010505676,0,
00:00.5,-0.001579285,0.003627777,0.010482788,0,
00:00.5,-0.001579285,0.003599167,0.01051712,0,
00:00.5,-0.001590729,0.003599167,0.01051712,0,
00:00.5,-0.001607895,0.003587723,0.010511398,0,
00:00.5,-0.001585007,0.003610611,0.01051712,0,
00:00.5,-0.001573563,0.003633499,0.01051712,0,
00:00.5,-0.001585007,0.003604889,0.010511398,0,
00:00.5,-0.001573563,0.003616333,0.010522842,0,
00:00.5,-0.001585007,0.003610611,0.01051712,0,
00:00.5,-0.001590729,0.003593445,0.01051712,0,
00:00.5,-0.001590729,0.003599167,0.010511398,0,
00:00.6,-0.001596451,0.003599167,0.01051712,0,
00:00.6,-0.001579285,0.003616333,0.010505676,0,
00:00.6,-0.001567841,0.003627777,0.010511398,0,
00:00.6,-0.001590729,0.003604889,0.010499954,0,
00:00.6,-0.001596451,0.003604889,0.010499954,0,
00:00.6,-0.001585007,0.003616333,0.010528564,0,
00:00.6,-0.001567841,0.003633499,0.010522842,0,
00:00.6,-0.001579285,0.003633499,0.010511398,0,
00:00.6,-0.001602173,0.003593445,0.010522842,0,
00:00.6,-0.001596451,0.003582001,0.010534286,0,
00:00.6,-0.001596451,0.003593445,0.010522842,0,
00:00.6,-0.001596451,0.003610611,0.01051712,0,
00:00.6,-0.001579285,0.003622055,0.010511398,0,
00:00.6,-0.001602173,0.003604889,0.01051712,0,
00:00.6,-0.001602173,0.003604889,0.010528564,0,
00:00.6,-0.001602173,0.003599167,0.010522842,0,
00:00.6,-0.001602173,0.003587723,0.01051712,0,
00:00.6,-0.001596451,0.003582001,0.010522842,0,
00:00.6,-0.001573563,0.003610611,0.010534286,0,
00:00.6,-0.001585007,0.003622055,0.010511398,0,
00:00.6,-0.001602173,0.003587723,0.010511398,0,
00:00.6,-0.001596451,0.003593445,0.010528564,0,
00:00.6,-0.001596451,0.003599167,0.010528564,0,
00:00.6,-0.001590729,0.003610611,0.010522842,0,
00:00.6,-0.001585007,0.003599167,0.01051712,0,
00:00.7,-0.001579285,0.003604889,0.01051712,0,
00:00.7,-0.001602173,0.003587723,0.01051712,0,
00:00.7,-0.001607895,0.003576279,0.010528564,0,
00:00.7,-0.001602173,0.003587723,0.010511398,0,
00:00.7,-0.001590729,0.003610611,0.010511398,0,
00:00.7,-0.001585007,0.003610611,0.010528564,0,
00:00.7,-0.001585007,0.003599167,0.010534286,0,
00:00.7,-0.001590729,0.003587723,0.010540009,0,
00:00.7,-0.001590729,0.003582001,0.010528564,0,
00:00.7,-0.001596451,0.003587723,0.010534286,0,
00:00.7,-0.001596451,0.003593445,0.010528564,0,
00:00.7,-0.001585007,0.003610611,0.01051712,0,
00:00.7,-0.001590729,0.003593445,0.01051712,0,
00:00.7,-0.001590729,0.003604889,0.010534286,0,
00:00.7,-0.001602173,0.003593445,0.010528564,0,
00:00.7,-0.001613617,0.003582001,0.010540009,0,
00:00.7,-0.001596451,0.003599167,0.010534286,0,
00:00.7,-0.001602173,0.003582001,0.010522842,0,
00:00.7,-0.001579285,0.003616333,0.010534286,0,
00:00.7,-0.001579285,0.003610611,0.01051712,0,
00:00.7,-0.001619339,0.003559113,0.010534286,0,
00:00.7,-0.001607895,0.003576279,0.010551453,0,
00:00.7,-0.001602173,0.003582001,0.010545731,0,
00:00.7,-0.001579285,0.003604889,0.010528564,0,
00:00.7,-0.001573563,0.003644943,0.01051712,0,
00:00.8,-0.001613617,0.003576279,0.010534286,0,
00:00.8,-0.001607895,0.003582001,0.010540009,0,
00:00.8,-0.001613617,0.003582001,0.010534286,0,
00:00.8,-0.001596451,0.003587723,0.010534286,0,
00:00.8,-0.001579285,0.003587723,0.010528564,0,
00:00.8,-0.001573563,0.003604889,0.010534286,0,
00:00.8,-0.001590729,0.003616333,0.010534286,0,
00:00.8,-0.001613617,0.003576279,0.010528564,0,
00:00.8,-0.001619339,0.003582001,0.010540009,0,
00:00.8,-0.001602173,0.003599167,0.010528564,0,
00:00.8,-0.001585007,0.003616333,0.010528564,0,
00:00.8,-0.001613617,0.003576279,0.010534286,0,
00:00.8,-0.001619339,0.003553391,0.010540009,0,
00:00.8,-0.001607895,0.003576279,0.010540009,0,
00:00.8,-0.001590729,0.003610611,0.010545731,0,
00:00.8,-0.001607895,0.003593445,0.010540009,0,
00:00.8,-0.001607895,0.003587723,0.010540009,0,
00:00.8,-0.001602173,0.003587723,0.010540009,0,
00:00.8,-0.001596451,0.003593445,0.010545731,0,
00:00.8,-0.001619339,0.003570557,0.010534286,0,
00:00.8,-0.001607895,0.003587723,0.010534286,0,
00:00.8,-0.001596451,0.003593445,0.010528564,0,
00:00.8,-0.001602173,0.003587723,0.010528564,0,
00:00.8,-0.001596451,0.003599167,0.010534286,0,
00:00.8,-0.001596451,0.003587723,0.010528564,0,
00:00.9,-0.001590729,0.003593445,0.010540009,0,
00:00.9,-0.001602173,0.003593445,0.010551453,0,
00:00.9,-0.001613617,0.003582001,0.010545731,0,
00:00.9,-0.001602173,0.003582001,0.010551453,0,
00:00.9,-0.001590729,0.003616333,0.010534286,0,
00:00.9,-0.001585007,0.003610611,0.010522842,0,
00:00.9,-0.001619339,0.003564835,0.010545731,0,
00:00.9,-0.001619339,0.003553391,0.010557175,0,
00:00.9,-0.001613617,0.003570557,0.010540009,0,
00:00.9,-0.001590729,0.003587723,0.010545731,0,
00:00.9,-0.001596451,0.003587723,0.010545731,0,
00:00.9,-0.001619339,0.003576279,0.010540009,0,
00:00.9,-0.001596451,0.003593445,0.010540009,0,
00:00.9,-0.001602173,0.003593445,0.010545731,0,
00:00.9,-0.001590729,0.003593445,0.010545731,0,
00:00.9,-0.001613617,0.003576279,0.010534286,0,
00:00.9,-0.001602173,0.003593445,0.010551453,0,
00:00.9,-0.001607895,0.003593445,0.010540009,0,
00:00.9,-0.001613617,0.003564835,0.010540009,0,
00:00.9,-0.001602173,0.003582001,0.010545731,0,
00:00.9,-0.001585007,0.003593445,0.010545731,0,
00:00.9,-0.001579285,0.003587723,0.010540009,0,
00:00.9,-0.001636505,0.003547668,0.010545731,0,
00:00.9,-0.001625061,0.003564835,0.010540009,0,
00:00.9,-0.001602173,0.003593445,0.010545731,0,
00:01.0,-0.001602173,0.003593445,0.010545731,0,
00:01.0,-0.001607895,0.003570557,0.010545731,0,
00:01.0,-0.001602173,0.003576279,0.010545731,0,
00:01.0,-0.001585007,0.003610611,0.010551453,0,
00:01.0,-0.001619339,0.003576279,0.010534286,0,
00:01.0,-0.001619339,0.003570557,0.010545731,0,
00:01.0,-0.001607895,0.003576279,0.010551453,0,
00:01.0,-0.001602173,0.003576279,0.010551453,0,
00:01.0,-0.001602173,0.003576279,0.010551453,0,
00:01.0,-0.001607895,0.003593445,0.010540009,0,
00:01.0,-0.001607895,0.003582001,0.010551453,0,
00:01.0,-0.001613617,0.003576279,0.010545731,0,
00:00:01,-0.001607895,0.003587723,0.010551453,0,
00:01.0,-0.001590729,0.003604889,0.010551453,0,
00:01.0,-0.001579285,0.003616333,0.010545731,0,
00:01.0,-0.001585007,0.003604889,0.010540009,0,
00:01.0,-0.001636505,0.003559113,0.010545731,0,
00:01.0,-0.001625061,0.003553391,0.010557175,0,
00:01.0,-0.001619339,0.003582001,0.010545731,0,
00:01.0,-0.001596451,0.003604889,0.010540009,0,
00:01.0,-0.001590729,0.003604889,0.010545731,0,
00:01.0,-0.001625061,0.003576279,0.010540009,0,
00:01.0,-0.001613617,0.003570557,0.010574341,0,
00:01.0,-0.001602173,0.003582001,0.010568619,0,
00:01.0,-0.001596451,0.003610611,0.010557175,0,
00:01.1,-0.001625061,0.003564835,0.010540009,0,
00:01.1,-0.001625061,0.003559113,0.010545731,0,
00:01.1,-0.001596451,0.003604889,0.010551453,0,
00:01.1,-0.001613617,0.003576279,0.010545731,0,
00:01.1,-0.001613617,0.003576279,0.010551453,0,
00:01.1,-0.001607895,0.003576279,0.010551453,0,
00:01.1,-0.001613617,0.003564835,0.010557175,0,
00:01.1,-0.001596451,0.003593445,0.010562897,0,
00:01.1,-0.001590729,0.003593445,0.010557175,0,
00:01.1,-0.001630783,0.003570557,0.010545731,0,
00:01.1,-0.001613617,0.003576279,0.010562897,0,
00:01.1,-0.001613617,0.003564835,0.010557175,0,
00:01.1,-0.001619339,0.003570557,0.010557175,0,
00:01.1,-0.001602173,0.003593445,0.010551453,0,
00:01.1,-0.001573563,0.003644943,0.010545731,0,
00:01.1,-0.001619339,0.003587723,0.010540009,0,
00:01.1,-0.001636505,0.003559113,0.010562897,0,
00:01.1,-0.001619339,0.003570557,0.010551453,0,
00:01.1,-0.001613617,0.003576279,0.010551453,0,
00:01.1,-0.001607895,0.003593445,0.010568619,0,
00:01.1,-0.001613617,0.003587723,0.010562897,0,
00:01.1,-0.001613617,0.003582001,0.010557175,0,
00:01.1,-0.001607895,0.003570557,0.010557175,0,
00:01.1,-0.001602173,0.003587723,0.010568619,0,
00:01.1,-0.001625061,0.003576279,0.010568619,0,
00:01.2,-0.001619339,0.003570557,0.010557175,0,
00:01.2,-0.001613617,0.003582001,0.010557175,0,
00:01.2,-0.001613617,0.003582001,0.010551453,0,
00:01.2,-0.001619339,0.003576279,0.010551453,0,
00:01.2,-0.001607895,0.003587723,0.010551453,0,
00:01.2,-0.001607895,0.003593445,0.010557175,0,
00:01.2,-0.001607895,0.003593445,0.010557175,0,
00:01.2,-0.001619339,0.003582001,0.010568619,0,
00:01.2,-0.001607895,0.003593445,0.010557175,0,
00:01.2,-0.001630783,0.003570557,0.010557175,0,
00:01.2,-0.001625061,0.003570557,0.010562897,0,
00:01.2,-0.001619339,0.003576279,0.010568619,0,
00:01.2,-0.001607895,0.003587723,0.010568619,0,
00:01.2,-0.001602173,0.003582001,0.010557175,0,
00:01.2,-0.001619339,0.003587723,0.010545731,0,
00:01.2,-0.001636505,0.003553391,0.010574341,0,
00:01.2,-0.001630783,0.003564835,0.010574341,0,
00:01.2,-0.001625061,0.003576279,0.010557175,0,
00:01.2,-0.001602173,0.003604889,0.010568619,0,
00:01.2,-0.001619339,0.003576279,0.010580063,0,
00:01.2,-0.001647949,0.003547668,0.010568619,0,
00:01.2,-0.001625061,0.003582001,0.010557175,0,
00:01.2,-0.001602173,0.003593445,0.010557175,0,
00:01.2,-0.001613617,0.003587723,0.010574341,0,
