Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000452042,0.006019592,0.008010864,0,
00:00.0,-0.000452042,0.00601387,0.008010864,0,
00:00.0,-0.00044632,0.006036758,0.008005142,0,
00:00.0,-0.000434875,0.00604248,0.007993698,0,
00:00.0,-0.00044632,0.006031036,0.008010864,0,
00:00.0,-0.00044632,0.006031036,0.008022308,0,
00:00.0,-0.00044632,0.006036758,0.008016586,0,
00:00.0,-0.000457764,0.006031036,0.008022308,0,
00:00.0,-0.000452042,0.006031036,0.008022308,0,
00:00.0,-0.000452042,0.006025314,0.008022308,0,
00:00.0,-0.000463486,0.006019592,0.008022308,0,
00:00.0,-0.000457764,0.006025314,0.008010864,0,
00:00.0,-0.000469208,0.006025314,0.008016586,0,
00:00.1,-0.000452042,0.006036758,0.00802803,0,
00:00.1,-0.000452042,0.006059647,0.008010864,0,
00:00.1,-0.000457764,0.006036758,0.00799942,0,
00:00.1,-0.000452042,0.006019592,0.008016586,0,
00:00.1,-0.000457764,0.006036758,0.008022308,0,
00:00.1,-0.000463486,0.006036758,0.008045197,0,
00:00.1,-0.000452042,0.006036758,0.008033752,0,
00:00.1,-0.000457764,0.00604248,0.008045197,0,
00:00.1,-0.000440598,0.006053925,0.007993698,0,
00:00.1,-0.000440598,0.006036758,0.007976532,0,
00:00.1,-0.000469208,0.006025314,0.008062363,0,
00:00.1,-0.000469208,0.006031036,0.008062363,0,
00:00.1,-0.000463486,0.006031036,0.008056641,0,
00:00.1,-0.000457764,0.006036758,0.008056641,0,
00:00.1,-0.000457764,0.00604248,0.008050919,0,
00:00.1,-0.000452042,0.006036758,0.008045197,0,
00:00.1,-0.000457764,0.00604248,0.008039474,0,
00:00.1,-0.000469208,0.00604248,0.008045197,0,
00:00.1,-0.000463486,0.00604248,0.008050919,0,
00:00.1,-0.00044632,0.006048203,0.008045197,0,
00:00.1,-0.000457764,0.006053925,0.008033752,0,
00:00.1,-0.000452042,0.006059647,0.008050919,0,
00:00.1,-0.000463486,0.00604248,0.008045197,0,
00:00.1,-0.000469208,0.006048203,0.008068085,0,
00:00.1,-0.000463486,0.00604248,0.008068085,0,
00:00.2,-0.00047493,0.006036758,0.008050919,0,
00:00.2,-0.000486374,0.00604248,0.008056641,0,
00:00.2,-0.000457764,0.006053925,0.008068085,0,
00:00.2,-0.000452042,0.006059647,0.008056641,0,
00:00.2,-0.000457764,0.006053925,0.008045197,0,
00:00.2,-0.000469208,0.006036758,0.008068085,0,
00:00.2,-0.000469208,0.00604248,0.008079529,0,
00:00.2,-0.000463486,0.006048203,0.008062363,0,
00:00.2,-0.000480652,0.00604248,0.008062363,0,
00:00.2,-0.00047493,0.00604248,0.008085251,0,
00:00.2,-0.000469208,0.006059647,0.008079529,0,
00:00.2,-0.000469208,0.006065369,0.008062363,0,
00:00.2,-0.000480652,0.006048203,0.008073807,0,
00:00.2,-0.000469208,0.006059647,0.008090973,0,
00:00.2,-0.000463486,0.006053925,0.008090973,0,
00:00.2,-0.000469208,0.006059647,0.008085251,0,
00:00.2,-0.00047493,0.006059647,0.008085251,0,
00:00.2,-0.000463486,0.006071091,0.008073807,0,
00:00.2,-0.000457764,0.006071091,0.008085251,0,
00:00.2,-0.000469208,0.006065369,0.008085251,0,
00:00.2,-0.000492096,0.00604248,0.008085251,0,
00:00.2,-0.000480652,0.006059647,0.008096695,0,
00:00.2,-0.000469208,0.006059647,0.008085251,0,
00:00.2,-0.000492096,0.006048203,0.008096695,0,
00:00.2,-0.000469208,0.006065369,0.008096695,0,
00:00.3,-0.000469208,0.006059647,0.008108139,0,
00:00.3,-0.000480652,0.006053925,0.008108139,0,
00:00.3,-0.000480652,0.006065369,0.008090973,0,
00:00.3,-0.000457764,0.006065369,0.008062363,0,
00:00.3,-0.00047493,0.006071091,0.008096695,0,
00:00.3,-0.00047493,0.006059647,0.008125305,0,
00:00.3,-0.000463486,0.006076813,0.008131027,0,
00:00.3,-0.000480652,0.006065369,0.008113861,0,
00:00.3,-0.000480652,0.006059647,0.008125305,0,
00:00.3,-0.000480652,0.006065369,0.008113861,0,
00:00.3,-0.000486374,0.006059647,0.008096695,0,
00:00.3,-0.000480652,0.006059647,0.008125305,0,
00:00.3,-0.00047493,0.006071091,0.008131027,0,
00:00.3,-0.000480652,0.006065369,0.008119583,0,
00:00.3,-0.00047493,0.006071091,0.008090973,0,
00:00.3,-0.000492096,0.006059647,0.008131027,0,
00:00.3,-0.000486374,0.006071091,0.008136749,0,
00:00.3,-0.000480652,0.006076813,0.008136749,0,
00:00.3,-0.000469208,0.006082535,0.008125305,0,
00:00.3,-0.000480652,0.006071091,0.008131027,0,
