Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.004337311,-0.000268936,0.009469986,0,
00:00.0,-0.004337311,-0.000274658,0.00945282,0,
00:00.0,-0.004343033,-0.000268936,0.009441376,0,
00:00.0,-0.004348755,-0.000268936,0.009435654,0,
00:00.0,-0.004354477,-0.000274658,0.009435654,0,
00:00.0,-0.004343033,-0.000268936,0.009435654,0,
00:00.0,-0.004320145,-0.000257492,0.00942421,0,
00:00.0,-0.004331589,-0.000268936,0.009418488,0,
00:00.0,-0.004343033,-0.000268936,0.009435654,0,
00:00.0,-0.004343033,-0.000263214,0.009418488,0,
00:00.0,-0.004348755,-0.000268936,0.009435654,0,
00:00.0,-0.004348755,-0.000268936,0.009441376,0,
00:00.0,-0.004343033,-0.000268936,0.00942421,0,
00:00.1,-0.004354477,-0.000268936,0.009412766,0,
00:00.1,-0.004348755,-0.000268936,0.00942421,0,
00:00.1,-0.004343033,-0.000274658,0.009447098,0,
00:00.1,-0.004343033,-0.000268936,0.009441376,0,
00:00.1,-0.004343033,-0.000263214,0.00942421,0,
00:00.1,-0.004348755,-0.000263214,0.009418488,0,
00:00.1,-0.004337311,-0.000263214,0.009435654,0,
00:00.1,-0.004343033,-0.000268936,0.009447098,0,
00:00.1,-0.004331589,-0.000268936,0.009435654,0,
00:00.1,-0.004337311,-0.000263214,0.009418488,0,
00:00.1,-0.004337311,-0.000257492,0.009412766,0,
00:00.1,-0.004343033,-0.000263214,0.009435654,0,
00:00.1,-0.004360199,-0.000268936,0.009429932,0,
00:00.1,-0.004348755,-0.000268936,0.009429932,0,
00:00.1,-0.004331589,-0.000263214,0.009412766,0,
00:00.1,-0.004337311,-0.000263214,0.009429932,0,
00:00.1,-0.004348755,-0.000268936,0.009429932,0,
00:00.1,-0.004360199,-0.000274658,0.00942421,0,
00:00.1,-0.004343033,-0.000268936,0.009412766,0,
00:00.1,-0.004343033,-0.000263214,0.009429932,0,
00:00.1,-0.004343033,-0.000263214,0.009412766,0,
00:00.1,-0.004348755,-0.000268936,0.009401321,0,
00:00.1,-0.004348755,-0.000274658,0.009435654,0,
00:00.1,-0.004343033,-0.000268936,0.009412766,0,
00:00.1,-0.004343033,-0.000268936,0.009407043,0,
00:00.2,-0.004348755,-0.000263214,0.009429932,0,
00:00.2,-0.004337311,-0.000257492,0.009441376,0,
00:00.2,-0.004325867,-0.000263214,0.009441376,0,
00:00.2,-0.004325867,-0.000268936,0.00942421,0,
00:00.2,-0.004331589,-0.000263214,0.009429932,0,
00:00.2,-0.004337311,-0.000257492,0.00942421,0,
00:00.2,-0.004343033,-0.000257492,0.009429932,0,
00:00.2,-0.004348755,-0.000263214,0.00942421,0,
00:00.2,-0.004343033,-0.000268936,0.009418488,0,
00:00.2,-0.004348755,-0.000274658,0.009407043,0,
00:00.2,-0.004360199,-0.000268936,0.009435654,0,
00:00.2,-0.004343033,-0.000263214,0.009429932,0,
00:00.2,-0.004337311,-0.000268936,0.009412766,0,
00:00.2,-0.004331589,-0.000263214,0.009418488,0,
00:00.2,-0.004331589,-0.000263214,0.009395599,0,
00:00.2,-0.004337311,-0.000263214,0.009407043,0,
00:00.2,-0.004348755,-0.000268936,0.009418488,0,
00:00.2,-0.004343033,-0.000274658,0.009407043,0,
00:00.2,-0.004343033,-0.000268936,0.009412766,0,
00:00.2,-0.004348755,-0.000268936,0.009418488,0,
00:00.2,-0.004337311,-0.000268936,0.009418488,0,
00:00.2,-0.004343033,-0.000268936,0.009435654,0,
00:00.2,-0.004348755,-0.000268936,0.009412766,0,
00:00.2,-0.004331589,-0.000268936,0.009401321,0,
00:00.2,-0.004331589,-0.000263214,0.009407043,0,
00:00.3,-0.004343033,-0.000268936,0.009418488,0,
00:00.3,-0.004348755,-0.00028038,0.009441376,0,
00:00.3,-0.004343033,-0.000274658,0.009429932,0,
00:00.3,-0.004343033,-0.000268936,0.009418488,0,
00:00.3,-0.004337311,-0.000268936,0.009401321,0,
00:00.3,-0.004343033,-0.000268936,0.009407043,0,
00:00.3,-0.004348755,-0.000268936,0.00942421,0,
00:00.3,-0.004343033,-0.000268936,0.009412766,0,
00:00.3,-0.004343033,-0.000274658,0.009407043,0,
00:00.3,-0.004348755,-0.000274658,0.009418488,0,
00:00.3,-0.004348755,-0.000268936,0.009401321,0,
00:00.3,-0.004343033,-0.000268936,0.00942421,0,
00:00.3,-0.004348755,-0.000274658,0.00942421,0,
00:00.3,-0.004348755,-0.000274658,0.009412766,0,
00:00.3,-0.004325867,-0.000268936,0.009395599,0,
00:00.3,-0.004331589,-0.000263214,0.00942421,0,
00:00.3,-0.004337311,-0.000263214,0.009395599,0,
00:00.3,-0.004348755,-0.000274658,0.009407043,0,
00:00.3,-0.004348755,-0.000268936,0.009412766,0,
00:00.3,-0.004337311,-0.000257492,0.00942421,0,
00:00.3,-0.004348755,-0.000274658,0.00942421,0,
00:00.3,-0.004348755,-0.000274658,0.009407043,0,
00:00.3,-0.004343033,-0.000274658,0.009389877,0,
00:00.3,-0.004314423,-0.000263214,0.009418488,0,
00:00.3,-0.004325867,-0.000263214,0.009429932,0,
00:00.4,-0.004337311,-0.000268936,0.009412766,0,
00:00.4,-0.004337311,-0.000263214,0.009407043,0,
00:00.4,-0.004331589,-0.000263214,0.009395599,0,
00:00.4,-0.004343033,-0.000268936,0.009401321,0,
00:00.4,-0.004354477,-0.000274658,0.009407043,0,
00:00.4,-0.004348755,-0.000274658,0.009407043,0,
00:00.4,-0.004343033,-0.000268936,0.009418488,0,
00:00.4,-0.004320145,-0.000263214,0.009395599,0,
