Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.006500244,-0.000715256,0.002391815,0,
00:00.0,-0.006505966,-0.000715256,0.002391815,0,
00:00.0,-0.006505966,-0.000715256,0.002380371,0,
00:00.0,-0.006534576,-0.000703812,0.002391815,0,
00:00.0,-0.006540298,-0.000720978,0.002397537,0,
00:00.0,-0.006540298,-0.000720978,0.002386093,0,
00:00.0,-0.006568909,-0.000720978,0.002403259,0,
00:00.0,-0.006557465,-0.000732422,0.002408981,0,
00:00.0,-0.006500244,-0.000709534,0.002386093,0,
00:00.0,-0.006483078,-0.00069809,0.002374649,0,
00:00.0,-0.006523132,-0.000703812,0.002363205,0,
00:00.0,-0.006523132,-0.000715256,0.002391815,0,
00:00.0,-0.006505966,-0.000715256,0.002397537,0,
00:00.1,-0.0064888,-0.000715256,0.002386093,0,
00:00.1,-0.0064888,-0.000715256,0.002391815,0,
00:00.1,-0.006546021,-0.000715256,0.002380371,0,
00:00.1,-0.006534576,-0.000709534,0.002397537,0,
00:00.1,-0.006500244,-0.000692368,0.002374649,0,
00:00.1,-0.006528854,-0.000709534,0.002380371,0,
00:00.1,-0.006546021,-0.000720978,0.002391815,0,
00:00.1,-0.006540298,-0.000709534,0.002397537,0,
00:00.1,-0.006523132,-0.000709534,0.002397537,0,
00:00.1,-0.006500244,-0.00069809,0.002397537,0,
00:00.1,-0.00651741,-0.000692368,0.002380371,0,
00:00.1,-0.006540298,-0.000703812,0.002403259,0,
00:00.1,-0.006523132,-0.000703812,0.002397537,0,
00:00.1,-0.00651741,-0.000692368,0.002397537,0,
00:00.1,-0.006534576,-0.00069809,0.002391815,0,
00:00.1,-0.006540298,-0.000709534,0.002380371,0,
00:00.1,-0.006546021,-0.000720978,0.002397537,0,
00:00.1,-0.006511688,-0.000703812,0.002391815,0,
00:00.1,-0.0064888,-0.00069809,0.002374649,0,
00:00.1,-0.0064888,-0.000686646,0.002386093,0,
00:00.1,-0.006505966,-0.000703812,0.002374649,0,
00:00.1,-0.006557465,-0.000715256,0.002408981,0,
00:00.1,-0.006563187,-0.000703812,0.002403259,0,
00:00.1,-0.006546021,-0.00069809,0.002380371,0,
00:00.1,-0.006540298,-0.000703812,0.002380371,0,
00:00.2,-0.006523132,-0.000692368,0.002414703,0,
00:00.2,-0.006557465,-0.00069809,0.002397537,0,
00:00.2,-0.006551743,-0.000703812,0.002391815,0,
00:00.2,-0.006511688,-0.000692368,0.002391815,0,
00:00.2,-0.006511688,-0.00069809,0.002380371,0,
00:00.2,-0.006523132,-0.000692368,0.002403259,0,
00:00.2,-0.006505966,-0.000680923,0.002386093,0,
00:00.2,-0.00651741,-0.000680923,0.002391815,0,
00:00.2,-0.006574631,-0.000703812,0.002380371,0,
00:00.2,-0.006551743,-0.000692368,0.002357483,0,
00:00.2,-0.006557465,-0.000709534,0.002391815,0,
