Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.00425148,-0.000823975,0.007547379,0,
00:00.0,-0.004240036,-0.000823975,0.007547379,0,
00:00.0,-0.004240036,-0.000812531,0.007547379,0,
00:00.0,-0.004245758,-0.000812531,0.007547379,0,
00:00.0,-0.00425148,-0.000812531,0.007553101,0,
00:00.0,-0.004245758,-0.000812531,0.007547379,0,
00:00.0,-0.004245758,-0.000812531,0.007547379,0,
00:00.0,-0.004245758,-0.000812531,0.007558823,0,
00:00.0,-0.004245758,-0.000818253,0.007558823,0,
00:00.0,-0.004245758,-0.000818253,0.007553101,0,
00:00.0,-0.004257202,-0.000818253,0.007553101,0,
00:00.0,-0.004262924,-0.000818253,0.007558823,0,
00:00.0,-0.00425148,-0.000818253,0.007570267,0,
00:00.1,-0.004234314,-0.000812531,0.007570267,0,
00:00.1,-0.004228592,-0.000806808,0.007570267,0,
00:00.1,-0.004228592,-0.000812531,0.007570267,0,
00:00.1,-0.004211426,-0.000806808,0.007575989,0,
00:00.1,-0.004217148,-0.000806808,0.007570267,0,
00:00.1,-0.00425148,-0.000812531,0.007575989,0,
00:00.1,-0.004257202,-0.000818253,0.007575989,0,
00:00.1,-0.004257202,-0.000823975,0.007581711,0,
00:00.1,-0.00425148,-0.000818253,0.007581711,0,
00:00.1,-0.004234314,-0.000818253,0.007581711,0,
00:00.1,-0.00422287,-0.000812531,0.007581711,0,
00:00.1,-0.004228592,-0.000806808,0.007581711,0,
00:00.1,-0.004240036,-0.000806808,0.007587433,0,
00:00.1,-0.004245758,-0.000818253,0.007587433,0,
00:00.1,-0.00425148,-0.000829697,0.007581711,0,
00:00.1,-0.004245758,-0.000818253,0.007587433,0,
00:00.1,-0.004245758,-0.000812531,0.007593155,0,
00:00.1,-0.004240036,-0.000818253,0.007593155,0,
00:00.1,-0.004234314,-0.000818253,0.007587433,0,
00:00.1,-0.004234314,-0.000818253,0.007593155,0,
00:00.1,-0.004234314,-0.000818253,0.007598877,0,
00:00.1,-0.004240036,-0.000818253,0.007598877,0,
00:00.1,-0.004240036,-0.000812531,0.007598877,0,
00:00.1,-0.004240036,-0.000806808,0.007604599,0,
00:00.1,-0.004228592,-0.000806808,0.007616043,0,
00:00.2,-0.004234314,-0.000806808,0.007604599,0,
00:00.2,-0.004245758,-0.000812531,0.007593155,0,
00:00.2,-0.004245758,-0.000812531,0.007598877,0,
00:00.2,-0.004234314,-0.000812531,0.007604599,0,
00:00.2,-0.00422287,-0.000812531,0.007610321,0,
00:00.2,-0.00422287,-0.000806808,0.007610321,0,
00:00.2,-0.004240036,-0.000806808,0.007610321,0,
00:00.2,-0.004240036,-0.000812531,0.007610321,0,
00:00.2,-0.004234314,-0.000812531,0.007616043,0,
00:00.2,-0.004228592,-0.000806808,0.007616043,0,
00:00.2,-0.004228592,-0.000806808,0.007616043,0,
00:00.2,-0.00422287,-0.000812531,0.007616043,0,
00:00.2,-0.00422287,-0.000806808,0.007621765,0,
00:00.2,-0.00422287,-0.000806808,0.007621765,0,
00:00.2,-0.00422287,-0.000801086,0.007627487,0,
00:00.2,-0.004228592,-0.000806808,0.007627487,0,
00:00.2,-0.004234314,-0.000812531,0.007627487,0,
00:00.2,-0.004240036,-0.000823975,0.007633209,0,
00:00.2,-0.004245758,-0.000818253,0.007633209,0,
00:00.2,-0.004240036,-0.000801086,0.007633209,0,
00:00.2,-0.004234314,-0.000806808,0.007633209,0,
00:00.2,-0.004228592,-0.000801086,0.007644653,0,
00:00.2,-0.004217148,-0.000801086,0.007644653,0,
00:00.2,-0.004217148,-0.000801086,0.007638931,0,
00:00.2,-0.004234314,-0.000806808,0.007633209,0,
00:00.3,-0.00425148,-0.000801086,0.007633209,0,
00:00.3,-0.004245758,-0.000801086,0.007638931,0,
00:00.3,-0.00422287,-0.000806808,0.007644653,0,
00:00.3,-0.004211426,-0.000806808,0.007644653,0,
00:00.3,-0.004211426,-0.000801086,0.007644653,0,
00:00.3,-0.004228592,-0.000801086,0.007644653,0,
00:00.3,-0.004228592,-0.000801086,0.007650375,0,
00:00.3,-0.004228592,-0.000801086,0.007650375,0,
00:00.3,-0.004228592,-0.000801086,0.007650375,0,
00:00.3,-0.004234314,-0.000806808,0.007650375,0,
00:00.3,-0.004240036,-0.000806808,0.007650375,0,
00:00.3,-0.004245758,-0.000801086,0.007656097,0,
00:00.3,-0.004228592,-0.000801086,0.007667542,0,
00:00.3,-0.004217148,-0.000801086,0.007656097,0,
00:00.3,-0.004211426,-0.000806808,0.007650375,0,
00:00.3,-0.00422287,-0.000812531,0.007656097,0,
00:00.3,-0.004228592,-0.000801086,0.007656097,0,
00:00.3,-0.004234314,-0.000801086,0.007661819,0,
00:00.3,-0.004240036,-0.000806808,0.007667542,0,
00:00.3,-0.004240036,-0.000806808,0.007667542,0,
00:00.3,-0.004228592,-0.000801086,0.007667542,0,
00:00.3,-0.004211426,-0.000795364,0.007667542,0,
00:00.3,-0.004211426,-0.000801086,0.007673264,0,
00:00.3,-0.00422287,-0.000801086,0.007673264,0,
00:00.3,-0.004228592,-0.000795364,0.007673264,0,
00:00.4,-0.004217148,-0.000789642,0.007673264,0,
00:00.4,-0.004217148,-0.000795364,0.007678986,0,
00:00.4,-0.00422287,-0.000801086,0.007673264,0,
00:00.4,-0.00422287,-0.000801086,0.007678986,0,
00:00.4,-0.004217148,-0.000801086,0.007678986,0,
