Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.00567627,-0.000268936,0.004623413,0,
00:00.0,-0.005687714,-0.000286102,0.004611969,0,
00:00.0,-0.00567627,-0.00028038,0.004611969,0,
00:00.0,-0.005647659,-0.00025177,0.004611969,0,
00:00.0,-0.005664825,-0.00028038,0.004600525,0,
00:00.0,-0.00567627,-0.000286102,0.004617691,0,
00:00.0,-0.005670547,-0.000274658,0.004611969,0,
00:00.0,-0.005687714,-0.00028038,0.004600525,0,
00:00.0,-0.00567627,-0.00028038,0.004606247,0,
00:00.0,-0.005670547,-0.000274658,0.004600525,0,
00:00.0,-0.005670547,-0.000268936,0.004600525,0,
00:00.0,-0.005670547,-0.000286102,0.004617691,0,
00:00.0,-0.005670547,-0.000291824,0.004611969,0,
00:00.1,-0.005670547,-0.00028038,0.004594803,0,
00:00.1,-0.005670547,-0.00028038,0.004589081,0,
00:00.1,-0.00567627,-0.00028038,0.004594803,0,
00:00.1,-0.005681992,-0.000268936,0.004594803,0,
00:00.1,-0.005664825,-0.000274658,0.004577637,0,
00:00.1,-0.005664825,-0.00028038,0.004600525,0,
00:00.1,-0.005659103,-0.000286102,0.004606247,0,
00:00.1,-0.005687714,-0.000291824,0.004577637,0,
00:00.1,-0.005687714,-0.000291824,0.004571915,0,
00:00.1,-0.005681992,-0.000274658,0.004583359,0,
00:00.1,-0.005670547,-0.000274658,0.004606247,0,
00:00.1,-0.005659103,-0.000291824,0.004583359,0,
00:00.1,-0.005664825,-0.000286102,0.004577637,0,
00:00.1,-0.005670547,-0.000274658,0.004583359,0,
00:00.1,-0.005681992,-0.00028038,0.004571915,0,
00:00.1,-0.005664825,-0.000268936,0.004583359,0,
00:00.1,-0.005670547,-0.000291824,0.004577637,0,
00:00.1,-0.005670547,-0.000286102,0.004571915,0,
00:00.1,-0.005653381,-0.000263214,0.004571915,0,
00:00.1,-0.005641937,-0.000286102,0.004589081,0,
00:00.1,-0.005670547,-0.000286102,0.004560471,0,
00:00.1,-0.00567627,-0.00028038,0.004566193,0,
00:00.1,-0.00567627,-0.000286102,0.004566193,0,
00:00.1,-0.005659103,-0.000286102,0.004566193,0,
