Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.004686356,-0.000326157,0.008771896,0,
00:00.0,-0.004680634,-0.00030899,0.00878334,0,
00:00.0,-0.004646301,-0.000297546,0.008771896,0,
00:00.0,-0.004657745,-0.00030899,0.008749008,0,
00:00.0,-0.004652023,-0.000320435,0.00878334,0,
00:00.0,-0.004640579,-0.000320435,0.008777618,0,
00:00.0,-0.004669189,-0.000314713,0.00875473,0,
00:00.0,-0.004663467,-0.000320435,0.00878334,0,
00:00.0,-0.004663467,-0.000331879,0.008777618,0,
00:00.0,-0.004686356,-0.000314713,0.00878334,0,
00:00.0,-0.004692078,-0.000303268,0.00878334,0,
00:00.0,-0.004674911,-0.000303268,0.00875473,0,
00:00.0,-0.004657745,-0.00030899,0.008749008,0,
00:00.1,-0.004657745,-0.000314713,0.008766174,0,
00:00.1,-0.004674911,-0.000314713,0.008766174,0,
00:00.1,-0.004663467,-0.000320435,0.008766174,0,
00:00.1,-0.004640579,-0.000326157,0.00878334,0,
00:00.1,-0.004652023,-0.000314713,0.008771896,0,
00:00.1,-0.004674911,-0.00030899,0.008771896,0,
00:00.1,-0.004652023,-0.000320435,0.008771896,0,
00:00.1,-0.004646301,-0.000326157,0.00875473,0,
00:00.1,-0.004652023,-0.000320435,0.008760452,0,
00:00.1,-0.004686356,-0.000320435,0.00878334,0,
00:00.1,-0.004674911,-0.00030899,0.008771896,0,
00:00.1,-0.004657745,-0.000314713,0.008731842,0,
00:00.1,-0.004669189,-0.00030899,0.00875473,0,
00:00.1,-0.004680634,-0.000303268,0.00878334,0,
00:00.1,-0.004657745,-0.000320435,0.008789063,0,
00:00.1,-0.004646301,-0.000331879,0.008789063,0,
00:00.1,-0.004669189,-0.000326157,0.00875473,0,
00:00.1,-0.004674911,-0.00030899,0.008743286,0,
00:00.1,-0.004674911,-0.000320435,0.008760452,0,
00:00.1,-0.004686356,-0.000320435,0.008760452,0,
00:00.1,-0.004669189,-0.000314713,0.00875473,0,
00:00.1,-0.004646301,-0.000303268,0.008760452,0,
00:00.1,-0.004646301,-0.000303268,0.008749008,0,
00:00.1,-0.004674911,-0.00030899,0.008737564,0,
00:00.1,-0.004663467,-0.000320435,0.008743286,0,
00:00.2,-0.004646301,-0.000337601,0.008766174,0,
