Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004377365,0.001642227,0.000497818,0,
00:00.0,0.004388809,0.001653671,0.00056076,0,
00:00.0,0.004371643,0.001676559,0.00053215,0,
00:00.0,0.004394531,0.001670837,0.00050354,0,
00:00.0,0.004423141,0.001653671,0.000555038,0,
00:00.0,0.004434586,0.001676559,0.000480652,0,
00:00.0,0.00444603,0.001636505,0.000411987,0,
00:00.0,0.004417419,0.001676559,0.000417709,0,
00:00.0,0.004434586,0.001716614,0.000577927,0,
00:00.0,0.004371643,0.001630783,0.000600815,0,
00:00.0,0.004377365,0.001636505,0.00053215,0,
00:00.0,0.004388809,0.001647949,0.000497818,0,
00:00.0,0.004400253,0.001613617,0.00047493,0,
00:00.1,0.004371643,0.001630783,0.00050354,0,
00:00.1,0.004400253,0.001619339,0.000429153,0,
00:00.1,0.004348755,0.001630783,0.000429153,0,
00:00.1,0.004314423,0.001607895,0.000463486,0,
00:00.1,0.004411697,0.001533508,0.000429153,0,
00:00.1,0.004486084,0.001688004,0.000457764,0,
00:00.1,0.004377365,0.001682281,0.000509262,0,
00:00.1,0.004371643,0.001625061,0.000537872,0,
00:00.1,0.004383087,0.001619339,0.00050354,0,
00:00.1,0.004371643,0.001625061,0.000463486,0,
00:00.1,0.004371643,0.001607895,0.000457764,0,
00:00.1,0.004388809,0.001602173,0.000469208,0,
00:00.1,0.004405975,0.001607895,0.000343323,0,
00:00.1,0.004428864,0.001544952,0.000417709,0,
00:00.1,0.004348755,0.001596451,0.000429153,0,
00:00.1,0.004331589,0.001630783,0.000497818,0,
00:00.1,0.004365921,0.001585007,0.000514984,0,
00:00.1,0.004405975,0.001630783,0.000429153,0,
00:00.1,0.004383087,0.001602173,0.000400543,0,
00:00.1,0.004320145,0.001573563,0.000486374,0,
00:00.1,0.004360199,0.00153923,0.000514984,0,
00:00.1,0.004360199,0.001544952,0.000469208,0,
00:00.1,0.004360199,0.001567841,0.000457764,0,
00:00.1,0.004405975,0.001556396,0.000366211,0,
00:00.1,0.004365921,0.001562119,0.000429153,0,
00:00.2,0.004314423,0.001544952,0.00050354,0,
00:00.2,0.004343033,0.001573563,0.000434875,0,
00:00.2,0.004348755,0.001590729,0.000411987,0,
00:00.2,0.004365921,0.001585007,0.000440598,0,
00:00.2,0.004343033,0.001556396,0.000514984,0,
00:00.2,0.004331589,0.001544952,0.000457764,0,
00:00.2,0.004365921,0.001562119,0.000337601,0,
00:00.2,0.004360199,0.001544952,0.000326157,0,
00:00.2,0.004325867,0.001533508,0.000509262,0,
00:00.2,0.004297256,0.00153923,0.000509262,0,
00:00.2,0.004325867,0.001544952,0.00044632,0,
00:00.2,0.004348755,0.00153923,0.000452042,0,
00:00.2,0.004337311,0.001544952,0.000457764,0,
00:00.2,0.004314423,0.001516342,0.000452042,0,
00:00.2,0.004314423,0.00148201,0.000457764,0,
00:00.2,0.004314423,0.001499176,0.000371933,0,
00:00.2,0.004343033,0.001470566,0.000343323,0,
00:00.2,0.004337311,0.0014534,0.000452042,0,
00:00.2,0.004365921,0.001527786,0.000497818,0,
00:00.2,0.004285812,0.001527786,0.00050354,0,
00:00.2,0.004274368,0.001487732,0.000469208,0,
00:00.2,0.004285812,0.001499176,0.000440598,0,
00:00.2,0.004302979,0.001504898,0.000417709,0,
00:00.2,0.004320145,0.001499176,0.000429153,0,
00:00.2,0.004337311,0.001464844,0.000377655,0,
00:00.3,0.004302979,0.001430511,0.000434875,0,
00:00.3,0.00428009,0.001522064,0.000440598,0,
00:00.3,0.004360199,0.001522064,0.000429153,0,
00:00.3,0.004354477,0.001487732,0.000440598,0,
00:00.3,0.004365921,0.001436234,0.000457764,0,
00:00.3,0.004343033,0.001487732,0.000371933,0,
00:00.3,0.004302979,0.001487732,0.000497818,0,
00:00.3,0.004297256,0.001436234,0.000463486,0,
00:00.3,0.004308701,0.0014534,0.00050354,0,
00:00.3,0.004314423,0.0014534,0.00047493,0,
00:00.3,0.004320145,0.0014534,0.000440598,0,
00:00.3,0.004348755,0.001464844,0.000417709,0,
00:00.3,0.004320145,0.001459122,0.000394821,0,
00:00.3,0.004320145,0.001430511,0.000400543,0,
00:00.3,0.004371643,0.001447678,0.000497818,0,
00:00.3,0.004371643,0.001470566,0.000463486,0,
00:00.3,0.004314423,0.0014534,0.000429153,0,
00:00.3,0.004320145,0.001436234,0.000480652,0,
00:00.3,0.004337311,0.001430511,0.00047493,0,
00:00.3,0.004343033,0.0014534,0.00047493,0,
00:00.3,0.004325867,0.001430511,0.000429153,0,
00:00.3,0.004348755,0.001430511,0.000406265,0,
00:00.3,0.004348755,0.001436234,0.000434875,0,
00:00.3,0.004388809,0.001407623,0.000400543,0,
00:00.3,0.004348755,0.00148201,0.000394821,0,
00:00.4,0.004371643,0.001476288,0.000514984,0,
00:00.4,0.004325867,0.001447678,0.000480652,0,
00:00.4,0.004343033,0.001441956,0.000423431,0,
00:00.4,0.004354477,0.001424789,0.00050354,0,
00:00.4,0.004354477,0.001424789,0.000423431,0,
00:00.4,0.004354477,0.001384735,0.00030899,0,
00:00.4,0.004331589,0.001379013,0.000452042,0,
00:00.4,0.004383087,0.001436234,0.00050354,0,
00:00.4,0.004383087,0.001436234,0.000514984,0,
00:00.4,0.004405975,0.001436234,0.000457764,0,
00:00.4,0.004354477,0.001424789,0.00044632,0,
00:00.4,0.004308701,0.001390457,0.000469208,0,
00:00.4,0.004331589,0.001396179,0.000463486,0,
00:00.4,0.004383087,0.001396179,0.000457764,0,
00:00.4,0.004360199,0.001401901,0.000457764,0,
00:00.4,0.004348755,0.001407623,0.000377655,0,
00:00.4,0.004440308,0.001413345,0.000263214,0,
00:00.4,0.004423141,0.001379013,0.000440598,0,
00:00.4,0.004371643,0.001384735,0.000555038,0,
00:00.4,0.004365921,0.001390457,0.000457764,0,
00:00.4,0.004354477,0.001390457,0.00044632,0,
00:00.4,0.004365921,0.001390457,0.000452042,0,
00:00.4,0.004383087,0.001384735,0.00050354,0,
00:00.4,0.004388809,0.001367569,0.000469208,0,
00:00.4,0.004423141,0.001379013,0.000452042,0,
00:00.5,0.004365921,0.001350403,0.000331879,0,
00:00.5,0.004377365,0.001367569,0.000434875,0,
00:00.5,0.004388809,0.001396179,0.000463486,0,
