Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.005504608,0.002998352,-0.00044632,0,
00:00.0,0.005504608,0.002998352,-0.00044632,0,
00:00.0,0.005498886,0.00299263,-0.000429153,0,
00:00.0,0.005498886,0.003015518,-0.000434875,0,
00:00.0,0.005504608,0.003015518,-0.000469208,0,
00:00.0,0.005504608,0.003004074,-0.000440598,0,
00:00.0,0.005498886,0.002998352,-0.000411987,0,
00:00.0,0.005498886,0.002986908,-0.000394821,0,
00:00.0,0.005504608,0.002998352,-0.000394821,0,
00:00.0,0.005475998,0.003004074,-0.000417709,0,
00:00.0,0.005487442,0.002998352,-0.000417709,0,
00:00.0,0.005487442,0.00299263,-0.000417709,0,
00:00.0,0.005487442,0.00299263,-0.000429153,0,
00:00.1,0.005493164,0.003004074,-0.000423431,0,
00:00.1,0.005493164,0.003009796,-0.000440598,0,
00:00.1,0.005504608,0.003015518,-0.000457764,0,
00:00.1,0.005498886,0.003026962,-0.00047493,0,
00:00.1,0.00548172,0.002998352,-0.00044632,0,
00:00.1,0.005470276,0.002981186,-0.000383377,0,
00:00.1,0.005475998,0.002975464,-0.000360489,0,
00:00.1,0.005475998,0.002986908,-0.000400543,0,
00:00.1,0.005475998,0.002998352,-0.000411987,0,
00:00.1,0.005475998,0.002998352,-0.000411987,0,
00:00.1,0.00548172,0.002998352,-0.000417709,0,
00:00.1,0.005475998,0.002998352,-0.000423431,0,
00:00.1,0.005475998,0.00299263,-0.000440598,0,
00:00.1,0.005475998,0.002998352,-0.000452042,0,
00:00.1,0.005475998,0.003004074,-0.000429153,0,
00:00.1,0.005493164,0.003026962,-0.000434875,0,
00:00.1,0.00548172,0.003032684,-0.000480652,0,
00:00.1,0.00548172,0.003004074,-0.000429153,0,
00:00.1,0.005464554,0.002975464,-0.000343323,0,
00:00.1,0.005464554,0.002975464,-0.000337601,0,
00:00.1,0.005475998,0.00299263,-0.000366211,0,
00:00.1,0.005487442,0.002998352,-0.000377655,0,
00:00.1,0.00545311,0.00299263,-0.000394821,0,
00:00.1,0.005447388,0.00299263,-0.000400543,0,
00:00.1,0.005464554,0.002998352,-0.000411987,0,
00:00.2,0.005475998,0.003004074,-0.00044632,0,
00:00.2,0.005470276,0.002998352,-0.000417709,0,
00:00.2,0.00545311,0.00299263,-0.000383377,0,
00:00.2,0.005458832,0.00299263,-0.000394821,0,
00:00.2,0.005458832,0.003004074,-0.000417709,0,
00:00.2,0.005470276,0.003009796,-0.000423431,0,
00:00.2,0.005464554,0.003004074,-0.000434875,0,
00:00.2,0.005464554,0.003015518,-0.000457764,0,
00:00.2,0.005464554,0.003004074,-0.000411987,0,
00:00.2,0.005458832,0.002998352,-0.000389099,0,
00:00.2,0.005458832,0.002998352,-0.000377655,0,
00:00.2,0.005464554,0.002998352,-0.000400543,0,
00:00.2,0.00545311,0.002998352,-0.000406265,0,
00:00.2,0.005458832,0.002998352,-0.000400543,0,
00:00.2,0.005458832,0.003004074,-0.000411987,0,
00:00.2,0.005475998,0.003009796,-0.000417709,0,
00:00.2,0.005464554,0.003004074,-0.000429153,0,
00:00.2,0.005470276,0.003004074,-0.000400543,0,
00:00.2,0.005458832,0.002998352,-0.000417709,0,
00:00.2,0.005441666,0.00299263,-0.000423431,0,
00:00.2,0.005464554,0.003004074,-0.000417709,0,
00:00.2,0.00548172,0.003004074,-0.000434875,0,
00:00.2,0.005441666,0.00299263,-0.000417709,0,
00:00.2,0.005458832,0.00299263,-0.000406265,0,
00:00.2,0.005464554,0.003009796,-0.000411987,0,
00:00.3,0.00545311,0.002998352,-0.000411987,0,
00:00.3,0.00545311,0.00299263,-0.000429153,0,
00:00.3,0.00545311,0.003004074,-0.000406265,0,
00:00.3,0.005458832,0.00299263,-0.000400543,0,
00:00.3,0.00545311,0.003009796,-0.000400543,0,
00:00.3,0.005458832,0.003015518,-0.000417709,0,
00:00.3,0.00545311,0.003004074,-0.000429153,0,
00:00.3,0.00545311,0.002998352,-0.000429153,0,
00:00.3,0.00545311,0.003009796,-0.000423431,0,
00:00.3,0.00545311,0.003015518,-0.000440598,0,
00:00.3,0.005464554,0.00302124,-0.000429153,0,
00:00.3,0.005458832,0.003009796,-0.000434875,0,
00:00.3,0.005441666,0.003004074,-0.000411987,0,
00:00.3,0.005458832,0.003004074,-0.000383377,0,
00:00.3,0.005447388,0.002998352,-0.000394821,0,
00:00.3,0.005441666,0.003004074,-0.000417709,0,
00:00.3,0.005441666,0.003004074,-0.000423431,0,
00:00.3,0.005447388,0.002998352,-0.000411987,0,
00:00.3,0.00545311,0.003004074,-0.000400543,0,
00:00.3,0.005441666,0.003004074,-0.000406265,0,
00:00.3,0.005458832,0.003015518,-0.000429153,0,
00:00.3,0.005464554,0.003004074,-0.000417709,0,
00:00.3,0.005430222,0.002998352,-0.000423431,0,
00:00.3,0.005441666,0.003009796,-0.000417709,0,
00:00.3,0.005441666,0.003004074,-0.000423431,0,
00:00.4,0.005435944,0.00299263,-0.000406265,0,
00:00.4,0.005441666,0.002998352,-0.000406265,0,
00:00.4,0.005458832,0.003009796,-0.000440598,0,
00:00.4,0.005447388,0.002998352,-0.000452042,0,
00:00.4,0.0054245,0.002998352,-0.000434875,0,
00:00.4,0.005435944,0.003004074,-0.000406265,0,
00:00.4,0.005441666,0.002998352,-0.000400543,0,
00:00.4,0.005441666,0.003009796,-0.000417709,0,
00:00.4,0.005435944,0.002998352,-0.000423431,0,
00:00.4,0.0054245,0.00299263,-0.000434875,0,
00:00.4,0.005441666,0.003015518,-0.000429153,0,
00:00.4,0.005447388,0.003015518,-0.000406265,0,
00:00.4,0.005441666,0.00299263,-0.000411987,0,
00:00.4,0.0054245,0.002998352,-0.000406265,0,
00:00.4,0.0054245,0.002998352,-0.000417709,0,
00:00.4,0.005435944,0.002998352,-0.000417709,0,
00:00.4,0.005435944,0.003004074,-0.000423431,0,
00:00.4,0.005441666,0.003009796,-0.000434875,0,
00:00.4,0.005435944,0.003004074,-0.000463486,0,
00:00.4,0.005435944,0.003004074,-0.000434875,0,
00:00.4,0.005447388,0.003009796,-0.000429153,0,
00:00.4,0.005435944,0.003004074,-0.000423431,0,
00:00.4,0.005413055,0.002986908,-0.000417709,0,
00:00.4,0.0054245,0.00299263,-0.000411987,0,
00:00.4,0.0054245,0.002998352,-0.000400543,0,
00:00.5,0.005430222,0.002998352,-0.000411987,0,
00:00.5,0.005430222,0.002998352,-0.000429153,0,
00:00.5,0.005430222,0.003004074,-0.000434875,0,
00:00.5,0.005430222,0.003009796,-0.00047493,0,
00:00.5,0.005435944,0.002998352,-0.000429153,0,
00:00.5,0.005464554,0.003009796,-0.000394821,0,
00:00.5,0.0054245,0.002998352,-0.000423431,0,
00:00.5,0.005418777,0.00299263,-0.000423431,0,
00:00.5,0.005430222,0.003004074,-0.000417709,0,
00:00.5,0.005430222,0.003004074,-0.000400543,0,
00:00.5,0.0054245,0.003004074,-0.000423431,0,
00:00.5,0.005430222,0.003004074,-0.000411987,0,
00:00.5,0.005430222,0.002998352,-0.00044632,0,
00:00.5,0.005430222,0.003004074,-0.000457764,0,
00:00.5,0.005430222,0.003004074,-0.000440598,0,
00:00.5,0.005441666,0.00302124,-0.000417709,0,
00:00.5,0.0054245,0.003009796,-0.000417709,0,
00:00.5,0.005401611,0.00299263,-0.000429153,0,
00:00.5,0.005430222,0.002986908,-0.000406265,0,
00:00.5,0.005430222,0.00299263,-0.000389099,0,
00:00.5,0.0054245,0.002998352,-0.000406265,0,
00:00.5,0.0054245,0.00299263,-0.000400543,0,
00:00.5,0.005413055,0.00299263,-0.000423431,0,
00:00.5,0.0054245,0.002998352,-0.000434875,0,
00:00.5,0.005430222,0.003004074,-0.000434875,0,
