Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.004674911,0.001962662,-0.001047134,0,
00:00.0,0.004640579,0.001968384,-0.001075745,0,
00:00.0,0.004646301,0.00195694,-0.001052856,0,
00:00.0,0.004674911,0.00195694,-0.001047134,0,
00:00.0,0.004640579,0.001996994,-0.001047134,0,
00:00.0,0.004611969,0.001974106,-0.001081467,0,
00:00.0,0.004674911,0.001951218,-0.001098633,0,
00:00.0,0.004674911,0.001968384,-0.001058578,0,
00:00.0,0.0046978,0.001979828,-0.001064301,0,
00:00.0,0.004680634,0.001979828,-0.001075745,0,
00:00.0,0.004646301,0.00195694,-0.001041412,0,
00:00.0,0.004669189,0.001962662,-0.001029968,0,
00:00.0,0.004686356,0.00198555,-0.001041412,0,
00:00.1,0.004686356,0.001991272,-0.001041412,0,
00:00.1,0.004692078,0.001979828,-0.00103569,0,
00:00.1,0.004680634,0.001979828,-0.001041412,0,
00:00.1,0.004669189,0.001979828,-0.001029968,0,
00:00.1,0.004720688,0.001996994,-0.001029968,0,
00:00.1,0.004732132,0.001974106,-0.001024246,0,
00:00.1,0.004663467,0.001974106,-0.00100708,0,
00:00.1,0.004692078,0.00195694,-0.001012802,0,
00:00.1,0.004703522,0.001962662,-0.001029968,0,
00:00.1,0.004720688,0.001968384,-0.001018524,0,
00:00.1,0.004692078,0.002031326,-0.000995636,0,
00:00.1,0.004703522,0.002019882,-0.001041412,0,
00:00.1,0.004840851,0.002008438,-0.001127243,0,
00:00.1,0.00478363,0.002008438,-0.001024246,0,
00:00.1,0.004732132,0.001928329,-0.000967026,0,
00:00.1,0.004737854,0.001945496,-0.00094986,0,
00:00.1,0.004720688,0.00195694,-0.000961304,0,
00:00.1,0.004732132,0.001974106,-0.00097847,0,
00:00.1,0.004714966,0.00198555,-0.000995636,0,
00:00.1,0.004743576,0.001996994,-0.00100708,0,
00:00.1,0.004772186,0.00198555,-0.00100708,0,
00:00.1,0.004812241,0.001968384,-0.00097847,0,
00:00.1,0.004800797,0.001979828,-0.000961304,0,
00:00.1,0.004743576,0.001991272,-0.000995636,0,
00:00.1,0.004789352,0.00198555,-0.000984192,0,
00:00.2,0.004812241,0.00198555,-0.000989914,0,
00:00.2,0.004777908,0.00198555,-0.000955582,0,
00:00.2,0.004760742,0.001968384,-0.000972748,0,
00:00.2,0.004749298,0.00198555,-0.00097847,0,
00:00.2,0.004806519,0.002002716,-0.00094986,0,
00:00.2,0.004823685,0.002019882,-0.000961304,0,
00:00.2,0.004800797,0.001979828,-0.000961304,0,
00:00.2,0.004795074,0.00195694,-0.000961304,0,
00:00.2,0.004829407,0.001996994,-0.00097847,0,
00:00.2,0.004817963,0.001974106,-0.000955582,0,
00:00.2,0.004829407,0.001991272,-0.000955582,0,
00:00.2,0.004846573,0.001962662,-0.00094986,0,
00:00.2,0.004829407,0.001962662,-0.000932693,0,
00:00.2,0.004846573,0.00195694,-0.000926971,0,
00:00.2,0.004846573,0.001974106,-0.000886917,0,
00:00.2,0.004789352,0.00198555,-0.000909805,0,
00:00.2,0.004858017,0.001991272,-0.000938416,0,
00:00.2,0.004835129,0.001979828,-0.000938416,0,
00:00.2,0.004898071,0.001979828,-0.000909805,0,
00:00.2,0.004880905,0.001979828,-0.000915527,0,
00:00.2,0.004846573,0.001974106,-0.000898361,0,
00:00.2,0.004863739,0.001991272,-0.000904083,0,
00:00.2,0.004903793,0.002002716,-0.000904083,0,
00:00.2,0.004869461,0.001974106,-0.000904083,0,
00:00.2,0.004875183,0.001996994,-0.000904083,0,
00:00.3,0.004880905,0.001996994,-0.000909805,0,
00:00.3,0.004863739,0.002008438,-0.000875473,0,
00:00.3,0.004892349,0.00195694,-0.000886917,0,
00:00.3,0.004920959,0.001991272,-0.000892639,0,
00:00.3,0.004938126,0.002008438,-0.000898361,0,
00:00.3,0.004926682,0.00198555,-0.000858307,0,
00:00.3,0.004898071,0.001991272,-0.000846863,0,
00:00.3,0.004898071,0.002008438,-0.000875473,0,
00:00.3,0.004932404,0.001991272,-0.000875473,0,
00:00.3,0.004972458,0.001979828,-0.000875473,0,
00:00.3,0.004989624,0.002008438,-0.000886917,0,
00:00.3,0.004961014,0.00201416,-0.000841141,0,
00:00.3,0.004932404,0.001991272,-0.000852585,0,
00:00.3,0.004938126,0.00198555,-0.000881195,0,
00:00.3,0.004961014,0.002002716,-0.000818253,0,
00:00.3,0.004966736,0.001991272,-0.000841141,0,
00:00.3,0.004989624,0.001991272,-0.000846863,0,
00:00.3,0.00494957,0.002002716,-0.000823975,0,
00:00.3,0.004961014,0.002025604,-0.000823975,0,
00:00.3,0.005023956,0.00198555,-0.000835419,0,
00:00.3,0.004972458,0.001996994,-0.000869751,0,
00:00.3,0.004995346,0.001996994,-0.000875473,0,
00:00.3,0.005001068,0.002008438,-0.000829697,0,
00:00.3,0.005052567,0.001991272,-0.000835419,0,
00:00.3,0.005041122,0.001991272,-0.000818253,0,
00:00.4,0.004995346,0.00201416,-0.000806808,0,
00:00.4,0.00500679,0.001996994,-0.000812531,0,
00:00.4,0.005052567,0.001996994,-0.000823975,0,
00:00.4,0.005052567,0.001996994,-0.000812531,0,
00:00.4,0.005058289,0.002002716,-0.000829697,0,
00:00.4,0.005041122,0.002019882,-0.000835419,0,
00:00.4,0.005104065,0.00204277,-0.000812531,0,
00:00.4,0.005075455,0.002019882,-0.000823975,0,
00:00.4,0.005052567,0.001991272,-0.000789642,0,
00:00.4,0.005029678,0.00198555,-0.000801086,0,
00:00.4,0.005121231,0.001991272,-0.000823975,0,
00:00.4,0.005109787,0.00201416,-0.000795364,0,
00:00.4,0.005092621,0.001991272,-0.00078392,0,
00:00.4,0.005086899,0.002008438,-0.000789642,0,
00:00.4,0.005115509,0.00204277,-0.000801086,0,
00:00.4,0.005144119,0.002059937,-0.000835419,0,
00:00.4,0.005138397,0.002025604,-0.000852585,0,
00:00.4,0.005075455,0.001974106,-0.000806808,0,
00:00.4,0.005109787,0.002019882,-0.000789642,0,
00:00.4,0.005132675,0.002002716,-0.000795364,0,
00:00.4,0.005178452,0.001996994,-0.000766754,0,
00:00.4,0.005172729,0.001991272,-0.00078392,0,
00:00.4,0.005115509,0.002019882,-0.000823975,0,
00:00.4,0.005155563,0.00201416,-0.000806808,0,
00:00.4,0.005172729,0.002019882,-0.000818253,0,
00:00.5,0.005155563,0.002037048,-0.000835419,0,
00:00.5,0.005172729,0.002019882,-0.000801086,0,
00:00.5,0.005172729,0.00201416,-0.000789642,0,
00:00.5,0.005189896,0.002008438,-0.000806808,0,
00:00.5,0.005207062,0.002019882,-0.000812531,0,
00:00.5,0.005189896,0.002025604,-0.000789642,0,
00:00.5,0.005207062,0.002025604,-0.000818253,0,
00:00.5,0.005207062,0.002037048,-0.000801086,0,
00:00.5,0.005167007,0.00201416,-0.00078392,0,
00:00.5,0.005212784,0.002008438,-0.00078392,0,
00:00.5,0.005207062,0.00201416,-0.00078392,0,
00:00.5,0.005189896,0.002048492,-0.000795364,0,
00:00.5,0.005189896,0.002077103,-0.000772476,0,
00:00.5,0.005212784,0.00201416,-0.000812531,0,
00:00.5,0.005235672,0.001979828,-0.000801086,0,
00:00.5,0.00525856,0.002002716,-0.000818253,0,
00:00.5,0.005149841,0.002002716,-0.000795364,0,
00:00.5,0.005264282,0.002031326,-0.000795364,0,
00:00.5,0.005373001,0.002025604,-0.000801086,0,
00:00.5,0.005252838,0.002008438,-0.000801086,0,
00:00.5,0.005132675,0.002019882,-0.000812531,0,
00:00.5,0.005378723,0.002025604,-0.000789642,0,
00:00.5,0.005355835,0.002031326,-0.000789642,0,
00:00.5,0.005310059,0.002037048,-0.000795364,0,
00:00.5,0.005298615,0.002008438,-0.000789642,0,
00:00.6,0.005292892,0.002019882,-0.000772476,0,
00:00.6,0.005332947,0.002019882,-0.000806808,0,
00:00.6,0.005332947,0.002031326,-0.000801086,0,
00:00.6,0.005332947,0.002059937,-0.000823975,0,
00:00.6,0.005298615,0.00204277,-0.00078392,0,
00:00.6,0.005292892,0.002019882,-0.00078392,0,
00:00.6,0.005338669,0.002082825,-0.000801086,0,
00:00.6,0.005350113,0.002031326,-0.000841141,0,
00:00.6,0.005361557,0.002008438,-0.000801086,0,
00:00.6,0.005332947,0.001996994,-0.000789642,0,
00:00.6,0.005350113,0.00204277,-0.000801086,0,
00:00.6,0.005310059,0.002031326,-0.000818253,0,
00:00.6,0.005338669,0.002002716,-0.000789642,0,
00:00.6,0.005390167,0.002008438,-0.000801086,0,
00:00.6,0.005367279,0.002019882,-0.000829697,0,
00:00.6,0.005281448,0.00204277,-0.000823975,0,
00:00.6,0.005367279,0.002048492,-0.000806808,0,
00:00.6,0.005384445,0.002019882,-0.000812531,0,
00:00.6,0.005390167,0.002037048,-0.000835419,0,
00:00.6,0.005378723,0.002031326,-0.000841141,0,
00:00.6,0.005355835,0.002054214,-0.000823975,0,
00:00.6,0.005373001,0.002037048,-0.000852585,0,
00:00.6,0.005413055,0.002031326,-0.000795364,0,
00:00.6,0.005367279,0.002037048,-0.000823975,0,
00:00.6,0.005344391,0.002019882,-0.000841141,0,
00:00.7,0.005361557,0.00204277,-0.000835419,0,
00:00.7,0.005395889,0.002065659,-0.000835419,0,
00:00.7,0.005292892,0.002059937,-0.000812531,0,
00:00.7,0.005367279,0.002025604,-0.000846863,0,
00:00.7,0.00545311,0.002019882,-0.000852585,0,
00:00.7,0.005378723,0.002025604,-0.000829697,0,
00:00.7,0.005361557,0.002025604,-0.000841141,0,
00:00.7,0.0054245,0.002031326,-0.000869751,0,
00:00.7,0.005332947,0.002048492,-0.000886917,0,
00:00.7,0.005470276,0.002077103,-0.000875473,0,
00:00.7,0.00545311,0.002071381,-0.000915527,0,
00:00.7,0.005355835,0.002025604,-0.000875473,0,
00:00.7,0.005338669,0.002025604,-0.000823975,0,
00:00.7,0.005355835,0.00204277,-0.000829697,0,
