Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.006259918,0.002443314,-0.00173378,0,
00:00.0,0.006248474,0.002443314,-0.00176239,0,
00:00.0,0.006259918,0.002437592,-0.001739502,0,
00:00.0,0.006259918,0.002443314,-0.00173378,0,
00:00.0,0.006277084,0.002443314,-0.00173378,0,
00:00.0,0.00626564,0.002449036,-0.001745224,0,
00:00.0,0.006254196,0.002443314,-0.001768112,0,
00:00.0,0.006254196,0.002443314,-0.00176239,0,
00:00.0,0.006259918,0.002449036,-0.001739502,0,
00:00.0,0.006271362,0.002449036,-0.001745224,0,
00:00.0,0.006248474,0.002454758,-0.001716614,0,
00:00.0,0.006248474,0.002443314,-0.001750946,0,
00:00.0,0.006259918,0.002449036,-0.00173378,0,
00:00.1,0.00626564,0.002449036,-0.001722336,0,
00:00.1,0.006248474,0.002449036,-0.001728058,0,
00:00.1,0.006259918,0.002454758,-0.001739502,0,
00:00.1,0.006254196,0.002449036,-0.001745224,0,
00:00.1,0.00626564,0.002443314,-0.001745224,0,
00:00.1,0.006248474,0.002437592,-0.001739502,0,
00:00.1,0.006254196,0.002454758,-0.00173378,0,
00:00.1,0.006259918,0.002449036,-0.001750946,0,
00:00.1,0.00629425,0.002449036,-0.001745224,0,
00:00.1,0.00623703,0.002454758,-0.001722336,0,
00:00.1,0.006219864,0.002449036,-0.001716614,0,
00:00.1,0.006254196,0.00246048,-0.001722336,0,
00:00.1,0.006271362,0.002454758,-0.001728058,0,
00:00.1,0.006242752,0.002443314,-0.001728058,0,
00:00.1,0.006242752,0.002443314,-0.001739502,0,
00:00.1,0.006242752,0.002449036,-0.001739502,0,
00:00.1,0.006242752,0.002449036,-0.001722336,0,
00:00.1,0.006242752,0.002454758,-0.001722336,0,
00:00.1,0.006254196,0.00246048,-0.001773834,0,
00:00.1,0.006248474,0.002466202,-0.001796722,0,
00:00.1,0.006248474,0.00246048,-0.001728058,0,
00:00.1,0.006254196,0.002454758,-0.001688004,0,
00:00.1,0.00623703,0.002443314,-0.001722336,0,
00:00.1,0.00623703,0.002449036,-0.001710892,0,
00:00.1,0.006242752,0.002454758,-0.001722336,0,
00:00.2,0.006248474,0.002449036,-0.001722336,0,
00:00.2,0.006242752,0.002454758,-0.00173378,0,
00:00.2,0.00623703,0.002454758,-0.001779556,0,
00:00.2,0.006248474,0.002454758,-0.001756668,0,
00:00.2,0.006242752,0.00246048,-0.001722336,0,
00:00.2,0.006248474,0.002449036,-0.001722336,0,
00:00.2,0.006254196,0.002454758,-0.001728058,0,
00:00.2,0.006248474,0.002454758,-0.001728058,0,
00:00.2,0.006231308,0.002449036,-0.00173378,0,
00:00.2,0.00623703,0.002449036,-0.001728058,0,
00:00.2,0.00623703,0.002449036,-0.001728058,0,
00:00.2,0.006248474,0.002443314,-0.00173378,0,
00:00.2,0.006242752,0.00243187,-0.001750946,0,
00:00.2,0.006214142,0.002449036,-0.001756668,0,
00:00.2,0.006231308,0.002466202,-0.001728058,0,
00:00.2,0.00623703,0.00246048,-0.001728058,0,
00:00.2,0.006231308,0.002454758,-0.001745224,0,
00:00.2,0.006248474,0.002466202,-0.001773834,0,
00:00.2,0.00626564,0.002454758,-0.001756668,0,
00:00.2,0.006225586,0.002454758,-0.001728058,0,
00:00.2,0.006219864,0.002454758,-0.001688004,0,
00:00.2,0.006231308,0.002454758,-0.001716614,0,
00:00.2,0.006231308,0.002454758,-0.001750946,0,
00:00.2,0.006254196,0.002443314,-0.001739502,0,
00:00.2,0.006225586,0.00243187,-0.001728058,0,
00:00.3,0.006225586,0.002471924,-0.001728058,0,
00:00.3,0.00623703,0.002466202,-0.001739502,0,
00:00.3,0.006231308,0.002477646,-0.001745224,0,
00:00.3,0.006214142,0.002454758,-0.00173378,0,
00:00.3,0.006219864,0.002437592,-0.001716614,0,
00:00.3,0.006214142,0.002443314,-0.001745224,0,
00:00.3,0.006214142,0.002449036,-0.001739502,0,
00:00.3,0.006219864,0.00246048,-0.001756668,0,
00:00.3,0.006231308,0.00246048,-0.001750946,0,
00:00.3,0.006231308,0.002454758,-0.00176239,0,
00:00.3,0.006219864,0.00246048,-0.001728058,0,
00:00.3,0.006202698,0.002449036,-0.001699448,0,
00:00.3,0.00620842,0.002443314,-0.00173378,0,
00:00.3,0.006219864,0.002449036,-0.001745224,0,
00:00.3,0.006214142,0.002449036,-0.00173378,0,
00:00.3,0.00620842,0.002454758,-0.001739502,0,
00:00.3,0.00620842,0.002454758,-0.001728058,0,
00:00.3,0.006219864,0.00246048,-0.001745224,0,
00:00.3,0.006214142,0.00246048,-0.00176239,0,
00:00.3,0.006214142,0.002449036,-0.001739502,0,
00:00.3,0.006202698,0.002454758,-0.001745224,0,
00:00.3,0.006214142,0.00246048,-0.001728058,0,
00:00.3,0.006225586,0.002466202,-0.001745224,0,
00:00.3,0.006202698,0.002449036,-0.001756668,0,
00:00.3,0.006214142,0.002449036,-0.001716614,0,
00:00.4,0.00617981,0.002449036,-0.001728058,0,
00:00.4,0.006191254,0.002454758,-0.001745224,0,
00:00.4,0.006191254,0.00246048,-0.001710892,0,
00:00.4,0.006202698,0.002454758,-0.00173378,0,
00:00.4,0.006202698,0.002449036,-0.001745224,0,
00:00.4,0.00620842,0.00246048,-0.001739502,0,
00:00.4,0.006196976,0.00246048,-0.001728058,0,
00:00.4,0.006202698,0.002466202,-0.001728058,0,
00:00.4,0.006191254,0.00246048,-0.00173378,0,
00:00.4,0.00617981,0.002437592,-0.001750946,0,
00:00.4,0.006191254,0.002449036,-0.001728058,0,
00:00.4,0.006168365,0.002466202,-0.001739502,0,
00:00.4,0.006116867,0.002466202,-0.001739502,0,
00:00.4,0.006162643,0.00246048,-0.001791,0,
00:00.4,0.006225586,0.002471924,-0.001739502,0,
00:00.4,0.006134033,0.002437592,-0.001710892,0,
