Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000623703,0.004405975,0.00097847,0,
00:00.0,0.000617981,0.004417419,0.00094986,0,
00:00.0,0.000577927,0.004405975,0.000904083,0,
00:00.0,0.000583649,0.00444603,0.000892639,0,
00:00.0,0.000640869,0.00447464,0.00097847,0,
00:00.0,0.000640869,0.004468918,0.000944138,0,
00:00.0,0.000617981,0.004405975,0.000955582,0,
00:00.0,0.000612259,0.004388809,0.000921249,0,
00:00.0,0.000623703,0.004428864,0.00094986,0,
00:00.0,0.000623703,0.004434586,0.000955582,0,
00:00.0,0.000600815,0.004434586,0.000967026,0,
00:00.0,0.000612259,0.004434586,0.00094986,0,
00:00.0,0.000617981,0.004411697,0.000944138,0,
00:00.1,0.000606537,0.004434586,0.000921249,0,
00:00.1,0.000629425,0.004440308,0.00097847,0,
00:00.1,0.000617981,0.004377365,0.000972748,0,
00:00.1,0.000583649,0.004405975,0.000955582,0,
00:00.1,0.000640869,0.004440308,0.000898361,0,
00:00.1,0.000635147,0.004463196,0.000921249,0,
00:00.1,0.000606537,0.004423141,0.000915527,0,
00:00.1,0.000606537,0.004400253,0.000989914,0,
00:00.1,0.000617981,0.00444603,0.000932693,0,
00:00.1,0.000646591,0.004457474,0.000881195,0,
00:00.1,0.000635147,0.004388809,0.00097847,0,
00:00.1,0.000595093,0.004423141,0.00100708,0,
00:00.1,0.000606537,0.004463196,0.000967026,0,
00:00.1,0.000623703,0.00444603,0.000961304,0,
00:00.1,0.000600815,0.004411697,0.000938416,0,
00:00.1,0.000600815,0.004434586,0.00094986,0,
00:00.1,0.000612259,0.004451752,0.00094986,0,
00:00.1,0.000646591,0.004497528,0.000944138,0,
00:00.1,0.000617981,0.004480362,0.00094986,0,
00:00.1,0.000612259,0.004417419,0.000955582,0,
00:00.1,0.000612259,0.004394531,0.00094986,0,
00:00.1,0.000623703,0.004468918,0.000909805,0,
00:00.1,0.000606537,0.004514694,0.000904083,0,
00:00.1,0.000617981,0.004457474,0.000955582,0,
00:00.1,0.000652313,0.004457474,0.000972748,0,
00:00.2,0.000589371,0.004405975,0.000938416,0,
00:00.2,0.000583649,0.004451752,0.000938416,0,
00:00.2,0.000589371,0.004457474,0.000938416,0,
00:00.2,0.000600815,0.004423141,0.000938416,0,
00:00.2,0.000617981,0.004451752,0.000909805,0,
00:00.2,0.000572205,0.004457474,0.000955582,0,
00:00.2,0.000566483,0.004417419,0.000972748,0,
00:00.2,0.000595093,0.004468918,0.000904083,0,
00:00.2,0.000629425,0.004508972,0.000904083,0,
00:00.2,0.000640869,0.00444603,0.000972748,0,
00:00.2,0.000652313,0.00447464,0.000938416,0,
00:00.2,0.000669479,0.004526138,0.000858307,0,
00:00.2,0.000629425,0.004451752,0.000904083,0,
00:00.2,0.000589371,0.004434586,0.000967026,0,
00:00.2,0.000589371,0.004405975,0.001001358,0,
00:00.2,0.000623703,0.004463196,0.000932693,0,
00:00.2,0.000589371,0.004486084,0.000904083,0,
00:00.2,0.000577927,0.004440308,0.000961304,0,
00:00.2,0.000612259,0.004434586,0.000972748,0,
00:00.2,0.000617981,0.00447464,0.00094986,0,
00:00.2,0.000629425,0.00450325,0.000926971,0,
00:00.2,0.000675201,0.004554749,0.000898361,0,
00:00.2,0.000623703,0.00450325,0.000909805,0,
00:00.2,0.000543594,0.004434586,0.000926971,0,
00:00.2,0.000555038,0.004417419,0.000944138,0,
00:00.3,0.000583649,0.004451752,0.000909805,0,
00:00.3,0.000617981,0.004463196,0.000926971,0,
00:00.3,0.000606537,0.004468918,0.000955582,0,
00:00.3,0.000600815,0.004491806,0.000944138,0,
00:00.3,0.000549316,0.004537582,0.000932693,0,
00:00.3,0.000537872,0.004480362,0.000932693,0,
00:00.3,0.000663757,0.00444603,0.000972748,0,
00:00.3,0.000617981,0.00444603,0.000961304,0,
00:00.3,0.000623703,0.004486084,0.000921249,0,
00:00.3,0.000658035,0.00453186,0.000886917,0,
00:00.3,0.000652313,0.004480362,0.000932693,0,
00:00.3,0.00069809,0.00450325,0.000926971,0,
00:00.3,0.000680923,0.004549026,0.000932693,0,
00:00.3,0.000612259,0.00450325,0.000932693,0,
00:00.3,0.000549316,0.004434586,0.000967026,0,
00:00.3,0.000549316,0.004440308,0.00097847,0,
00:00.3,0.000572205,0.004497528,0.000944138,0,
00:00.3,0.000617981,0.004508972,0.000904083,0,
00:00.3,0.000577927,0.004497528,0.000944138,0,
00:00.3,0.000566483,0.00450325,0.000926971,0,
00:00.3,0.000623703,0.00453186,0.000869751,0,
00:00.3,0.000583649,0.00444603,0.000926971,0,
00:00.3,0.000572205,0.004423141,0.000972748,0,
00:00.3,0.000583649,0.004463196,0.000961304,0,
00:00.3,0.000617981,0.004526138,0.000915527,0,
00:00.4,0.000595093,0.004526138,0.000932693,0,
00:00.4,0.000583649,0.004497528,0.000944138,0,
00:00.4,0.000606537,0.004520416,0.000944138,0,
00:00.4,0.000555038,0.004457474,0.000972748,0,
00:00.4,0.000572205,0.004457474,0.00094986,0,
00:00.4,0.000623703,0.004520416,0.000932693,0,
00:00.4,0.000606537,0.004520416,0.000944138,0,
00:00.4,0.000595093,0.004486084,0.000944138,0,
00:00.4,0.000606537,0.00444603,0.000932693,0,
00:00.4,0.000617981,0.004486084,0.000938416,0,
00:00.4,0.000606537,0.004537582,0.000915527,0,
00:00.4,0.000595093,0.004543304,0.000904083,0,
00:00.4,0.000617981,0.004520416,0.000886917,0,
00:00.4,0.000669479,0.004514694,0.000892639,0,
00:00.4,0.000686646,0.004508972,0.000898361,0,
00:00.4,0.000606537,0.004508972,0.000932693,0,
00:00.4,0.000526428,0.004457474,0.000961304,0,
00:00.4,0.000555038,0.004497528,0.00094986,0,
