Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000377655,0.002620697,0.008342743,0,
00:00.0,0.000400543,0.002660751,0.008348465,0,
00:00.0,0.000394821,0.002637863,0.008342743,0,
00:00.0,0.000377655,0.002620697,0.008342743,0,
00:00.0,0.000371933,0.002632141,0.008354187,0,
00:00.0,0.000366211,0.002626419,0.008342743,0,
00:00.0,0.000360489,0.002614975,0.008354187,0,
00:00.0,0.000377655,0.002643585,0.008348465,0,
00:00.0,0.000389099,0.002655029,0.008348465,0,
00:00.0,0.000371933,0.002632141,0.008348465,0,
00:00.0,0.000366211,0.002609253,0.008354187,0,
00:00.0,0.000360489,0.002609253,0.008331299,0,
00:00.0,0.000343323,0.002637863,0.008337021,0,
00:00.1,0.000331879,0.002626419,0.008365631,0,
00:00.1,0.000406265,0.002620697,0.008365631,0,
00:00.1,0.000411987,0.002620697,0.008342743,0,
00:00.1,0.000366211,0.002614975,0.008365631,0,
00:00.1,0.000366211,0.002620697,0.008319855,0,
00:00.1,0.000452042,0.002643585,0.008348465,0,
00:00.1,0.000343323,0.002614975,0.008388519,0,
00:00.1,0.000337601,0.002586365,0.008371353,0,
00:00.1,0.000400543,0.002592087,0.008354187,0,
00:00.1,0.000400543,0.002620697,0.008348465,0,
00:00.1,0.000389099,0.002666473,0.008348465,0,
00:00.1,0.000366211,0.002632141,0.008348465,0,
00:00.1,0.000377655,0.002632141,0.008359909,0,
00:00.1,0.000400543,0.002655029,0.008354187,0,
00:00.1,0.000394821,0.002643585,0.008354187,0,
00:00.1,0.000389099,0.002643585,0.008359909,0,
00:00.1,0.000377655,0.002643585,0.008354187,0,
00:00.1,0.000377655,0.002643585,0.008348465,0,
00:00.1,0.000360489,0.002620697,0.008342743,0,
00:00.1,0.000360489,0.002603531,0.008388519,0,
00:00.1,0.000383377,0.002620697,0.008399963,0,
00:00.1,0.000366211,0.002614975,0.008388519,0,
00:00.1,0.000337601,0.002603531,0.008365631,0,
00:00.1,0.000394821,0.002637863,0.008348465,0,
00:00.1,0.000377655,0.002643585,0.008359909,0,
00:00.2,0.000389099,0.002626419,0.008337021,0,
00:00.2,0.000394821,0.002614975,0.008365631,0,
00:00.2,0.000389099,0.002614975,0.008377075,0,
00:00.2,0.000366211,0.002597809,0.008382797,0,
00:00.2,0.000337601,0.002580643,0.008342743,0,
00:00.2,0.000360489,0.002632141,0.008377075,0,
00:00.2,0.000406265,0.002666473,0.008359909,0,
00:00.2,0.000406265,0.002643585,0.008377075,0,
00:00.2,0.000360489,0.002586365,0.008388519,0,
00:00.2,0.000377655,0.002580643,0.008377075,0,
00:00.2,0.000406265,0.002655029,0.008365631,0,
00:00.2,0.000400543,0.002649307,0.008365631,0,
00:00.2,0.000394821,0.002632141,0.008382797,0,
00:00.2,0.000383377,0.002626419,0.008388519,0,
00:00.2,0.000371933,0.002609253,0.008382797,0,
00:00.2,0.000337601,0.002609253,0.008388519,0,
00:00.2,0.000349045,0.002609253,0.008388519,0,
00:00.2,0.000400543,0.002609253,0.008371353,0,
00:00.2,0.000389099,0.002632141,0.008359909,0,
00:00.2,0.000394821,0.002637863,0.008371353,0,
00:00.2,0.000383377,0.002626419,0.008382797,0,
00:00.2,0.000366211,0.002620697,0.008394241,0,
00:00.2,0.000343323,0.002603531,0.008365631,0,
00:00.2,0.000371933,0.002603531,0.008382797,0,
00:00.2,0.000349045,0.002620697,0.008399963,0,
00:00.3,0.000326157,0.002603531,0.008394241,0,
00:00.3,0.000400543,0.002614975,0.008394241,0,
00:00.3,0.000377655,0.002592087,0.008394241,0,
00:00.3,0.000394821,0.002603531,0.008394241,0,
00:00.3,0.000377655,0.002643585,0.008388519,0,
00:00.3,0.000366211,0.002649307,0.008388519,0,
00:00.3,0.000400543,0.002643585,0.008377075,0,
00:00.3,0.000406265,0.002643585,0.008394241,0,
00:00.3,0.000406265,0.002643585,0.008382797,0,
00:00.3,0.000406265,0.002637863,0.008388519,0,
00:00.3,0.000389099,0.002632141,0.008377075,0,
00:00.3,0.000371933,0.002592087,0.008411407,0,
00:00.3,0.000371933,0.002603531,0.008411407,0,
00:00.3,0.000371933,0.002614975,0.008399963,0,
00:00.3,0.000377655,0.002609253,0.008399963,0,
00:00.3,0.000371933,0.002614975,0.008394241,0,
00:00.3,0.000377655,0.002632141,0.008399963,0,
00:00.3,0.000360489,0.002632141,0.008411407,0,
