Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000778198,0.004640579,0.001699448,0,
00:00.0,0.000806808,0.004629135,0.00170517,0,
00:00.0,0.000789642,0.004629135,0.001722336,0,
00:00.0,0.000772476,0.004629135,0.001716614,0,
00:00.0,0.000778198,0.004634857,0.001710892,0,
00:00.0,0.000801086,0.004640579,0.001699448,0,
00:00.0,0.000801086,0.004646301,0.001699448,0,
00:00.0,0.000806808,0.004634857,0.00170517,0,
00:00.0,0.000778198,0.004634857,0.001716614,0,
00:00.0,0.000772476,0.004634857,0.001710892,0,
00:00.0,0.00078392,0.004623413,0.001699448,0,
00:00.0,0.000778198,0.004646301,0.001699448,0,
00:00.0,0.000812531,0.004652023,0.00170517,0,
00:00.1,0.000801086,0.004640579,0.001693726,0,
00:00.1,0.000795364,0.004629135,0.00170517,0,
00:00.1,0.000772476,0.004640579,0.001710892,0,
00:00.1,0.00078392,0.004646301,0.00170517,0,
00:00.1,0.000801086,0.004640579,0.001716614,0,
00:00.1,0.000772476,0.004646301,0.001716614,0,
00:00.1,0.000778198,0.004663467,0.001710892,0,
00:00.1,0.000812531,0.004657745,0.00170517,0,
00:00.1,0.000789642,0.004646301,0.001710892,0,
00:00.1,0.000778198,0.004640579,0.001710892,0,
00:00.1,0.00075531,0.004646301,0.00170517,0,
00:00.1,0.000761032,0.004657745,0.001710892,0,
00:00.1,0.000772476,0.004646301,0.001728058,0,
00:00.1,0.000778198,0.004646301,0.001722336,0,
00:00.1,0.000766754,0.004652023,0.001716614,0,
00:00.1,0.00078392,0.004646301,0.001710892,0,
00:00.1,0.000795364,0.004657745,0.001699448,0,
00:00.1,0.000778198,0.004652023,0.001710892,0,
00:00.1,0.000761032,0.004657745,0.001716614,0,
00:00.1,0.00075531,0.004663467,0.001693726,0,
00:00.1,0.000789642,0.004652023,0.001716614,0,
00:00.1,0.000806808,0.004652023,0.00173378,0,
00:00.1,0.000761032,0.004652023,0.001716614,0,
00:00.1,0.000743866,0.004652023,0.00173378,0,
00:00.1,0.000772476,0.004652023,0.001722336,0,
00:00.2,0.000761032,0.004669189,0.001716614,0,
00:00.2,0.000761032,0.004674911,0.001699448,0,
00:00.2,0.000795364,0.004646301,0.001710892,0,
00:00.2,0.000732422,0.004657745,0.001728058,0,
00:00.2,0.000749588,0.004669189,0.00173378,0,
00:00.2,0.000766754,0.004669189,0.001728058,0,
00:00.2,0.00078392,0.004680634,0.00173378,0,
00:00.2,0.000818253,0.004652023,0.001716614,0,
00:00.2,0.000738144,0.004657745,0.00173378,0,
00:00.2,0.000749588,0.004669189,0.00173378,0,
00:00.2,0.00078392,0.004674911,0.001739502,0,
00:00.2,0.000789642,0.004680634,0.001728058,0,
00:00.2,0.000806808,0.004674911,0.001722336,0,
00:00.2,0.000749588,0.004669189,0.001745224,0,
00:00.2,0.000732422,0.004674911,0.001739502,0,
00:00.2,0.00075531,0.004663467,0.00173378,0,
00:00.2,0.00075531,0.004657745,0.001745224,0,
00:00.2,0.000743866,0.004674911,0.001750946,0,
00:00.2,0.000761032,0.004692078,0.001745224,0,
00:00.2,0.000772476,0.004680634,0.001745224,0,
00:00.2,0.000778198,0.004674911,0.001756668,0,
00:00.2,0.000789642,0.004680634,0.001750946,0,
00:00.2,0.000766754,0.004663467,0.001750946,0,
00:00.2,0.000743866,0.004680634,0.001745224,0,
00:00.2,0.000738144,0.004692078,0.001739502,0,
00:00.3,0.000772476,0.004692078,0.001745224,0,
00:00.3,0.000738144,0.004692078,0.00176239,0,
00:00.3,0.00075531,0.004674911,0.00176239,0,
