Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000463486,0.004400253,-0.002071381,0,
00:00.0,0.000480652,0.004394531,-0.002071381,0,
00:00.0,0.000492096,0.004394531,-0.002082825,0,
00:00.0,0.00047493,0.004411697,-0.002065659,0,
00:00.0,0.000463486,0.004400253,-0.002071381,0,
00:00.0,0.000486374,0.004400253,-0.002071381,0,
00:00.0,0.000514984,0.004417419,-0.002054214,0,
00:00.0,0.000463486,0.004394531,-0.002082825,0,
00:00.0,0.000440598,0.004383087,-0.002088547,0,
00:00.0,0.000463486,0.004388809,-0.002025604,0,
00:00.0,0.000526428,0.004394531,-0.002077103,0,
00:00.0,0.000492096,0.004405975,-0.00204277,0,
00:00.0,0.000434875,0.004388809,-0.002065659,0,
00:00.1,0.000423431,0.004394531,-0.002071381,0,
00:00.1,0.000492096,0.004400253,-0.002054214,0,
00:00.1,0.000486374,0.004394531,-0.002048492,0,
00:00.1,0.00047493,0.004388809,-0.002059937,0,
00:00.1,0.000463486,0.004388809,-0.002048492,0,
00:00.1,0.000520706,0.004405975,-0.002094269,0,
00:00.1,0.000520706,0.004377365,-0.002059937,0,
00:00.1,0.000520706,0.004371643,-0.002048492,0,
00:00.1,0.000492096,0.004388809,-0.002048492,0,
00:00.1,0.000497818,0.004400253,-0.00204277,0,
00:00.1,0.000514984,0.004377365,-0.002031326,0,
00:00.1,0.000509262,0.004377365,-0.002031326,0,
00:00.1,0.000509262,0.004383087,-0.002071381,0,
00:00.1,0.000497818,0.004365921,-0.002059937,0,
00:00.1,0.000492096,0.004394531,-0.002037048,0,
00:00.1,0.000480652,0.004388809,-0.002054214,0,
00:00.1,0.000497818,0.004417419,-0.002088547,0,
00:00.1,0.000549316,0.004423141,-0.002008438,0,
00:00.1,0.000583649,0.004400253,-0.002031326,0,
00:00.1,0.000406265,0.004377365,-0.002088547,0,
00:00.1,0.00047493,0.004371643,-0.001996994,0,
00:00.1,0.000469208,0.004377365,-0.00201416,0,
00:00.1,0.000429153,0.004365921,-0.002054214,0,
00:00.1,0.000497818,0.004383087,-0.002031326,0,
00:00.1,0.000497818,0.004383087,-0.00201416,0,
00:00.2,0.000509262,0.004394531,-0.002037048,0,
00:00.2,0.000509262,0.004394531,-0.002019882,0,
00:00.2,0.000497818,0.004400253,-0.002048492,0,
00:00.2,0.000509262,0.004388809,-0.002059937,0,
00:00.2,0.000497818,0.004383087,-0.002082825,0,
00:00.2,0.00050354,0.004377365,-0.002077103,0,
00:00.2,0.000497818,0.004411697,-0.001996994,0,
00:00.2,0.00053215,0.004400253,-0.002037048,0,
00:00.2,0.00050354,0.004377365,-0.002031326,0,
00:00.2,0.000469208,0.004377365,-0.002019882,0,
00:00.2,0.000486374,0.004360199,-0.002037048,0,
00:00.2,0.000469208,0.004371643,-0.002059937,0,
00:00.2,0.000492096,0.004400253,-0.002065659,0,
00:00.2,0.000452042,0.004394531,-0.002019882,0,
00:00.2,0.000417709,0.004383087,-0.00201416,0,
00:00.2,0.000566483,0.004394531,-0.002019882,0,
00:00.2,0.000652313,0.004405975,-0.002019882,0,
00:00.2,0.000492096,0.004388809,-0.002019882,0,
00:00.2,0.000417709,0.004388809,-0.002002716,0,
00:00.2,0.000486374,0.004400253,-0.002071381,0,
00:00.2,0.000514984,0.004388809,-0.002082825,0,
00:00.2,0.000514984,0.004383087,-0.002048492,0,
00:00.2,0.000486374,0.004383087,-0.002037048,0,
00:00.2,0.00047493,0.004377365,-0.002002716,0,
00:00.2,0.000514984,0.004360199,-0.002037048,0,
00:00.3,0.000537872,0.004377365,-0.002059937,0,
00:00.3,0.000549316,0.004377365,-0.002065659,0,
00:00.3,0.000514984,0.004405975,-0.00198555,0,
00:00.3,0.000497818,0.004400253,-0.002008438,0,
00:00.3,0.000497818,0.004377365,-0.002071381,0,
00:00.3,0.000526428,0.004388809,-0.00201416,0,
00:00.3,0.000514984,0.004400253,-0.002031326,0,
00:00.3,0.000492096,0.004377365,-0.002048492,0,
00:00.3,0.000492096,0.004388809,-0.002019882,0,
00:00.3,0.00050354,0.004377365,-0.001996994,0,
00:00.3,0.000526428,0.004377365,-0.001991272,0,
00:00.3,0.000497818,0.004377365,-0.002037048,0,
00:00.3,0.000497818,0.004377365,-0.00204277,0,
00:00.3,0.000537872,0.004383087,-0.002071381,0,
00:00.3,0.000566483,0.004365921,-0.002025604,0,
00:00.3,0.000486374,0.004354477,-0.002002716,0,
00:00.3,0.00047493,0.004377365,-0.002071381,0,
00:00.3,0.000400543,0.004365921,-0.002031326,0,
00:00.3,0.000537872,0.004360199,-0.002048492,0,
00:00.3,0.000555038,0.004388809,-0.002031326,0,
00:00.3,0.000526428,0.004383087,-0.002048492,0,
00:00.3,0.00050354,0.004377365,-0.002065659,0,
00:00.3,0.000526428,0.004365921,-0.00198555,0,
00:00.3,0.000509262,0.004371643,-0.00201416,0,
00:00.3,0.00050354,0.004371643,-0.002031326,0,
00:00.4,0.000514984,0.004371643,-0.002048492,0,
00:00.4,0.000509262,0.004383087,-0.002019882,0,
00:00.4,0.00050354,0.004383087,-0.002037048,0,
00:00.4,0.000497818,0.004365921,-0.002031326,0,
00:00.4,0.000497818,0.004371643,-0.002037048,0,
00:00.4,0.000509262,0.004383087,-0.002048492,0,
00:00.4,0.000526428,0.004388809,-0.002025604,0,
00:00.4,0.000497818,0.004388809,-0.002048492,0,
00:00.4,0.00050354,0.004383087,-0.002008438,0,
00:00.4,0.000463486,0.004371643,-0.001996994,0,
00:00.4,0.000480652,0.004371643,-0.002025604,0,
00:00.4,0.000514984,0.004365921,-0.002031326,0,
00:00.4,0.00050354,0.004377365,-0.001996994,0,
00:00.4,0.000486374,0.004371643,-0.002025604,0,
00:00.4,0.000537872,0.004383087,-0.002037048,0,
00:00.4,0.000514984,0.004371643,-0.002048492,0,
00:00.4,0.000543594,0.004394531,-0.00204277,0,
00:00.4,0.00053215,0.004383087,-0.002037048,0,
00:00.4,0.000480652,0.004354477,-0.001991272,0,
00:00.4,0.000486374,0.004360199,-0.001996994,0,
00:00.4,0.000492096,0.004377365,-0.002031326,0,
00:00.4,0.000480652,0.004383087,-0.002037048,0,
00:00.4,0.000514984,0.004388809,-0.002031326,0,
00:00.4,0.000537872,0.004394531,-0.002031326,0,
00:00.4,0.000537872,0.004383087,-0.002031326,0,
00:00.5,0.000543594,0.004400253,-0.002037048,0,
00:00.5,0.000486374,0.004371643,-0.001962662,0,
00:00.5,0.000509262,0.004383087,-0.001962662,0,
00:00.5,0.000543594,0.004394531,-0.00198555,0,
00:00.5,0.000480652,0.004383087,-0.002037048,0,
00:00.5,0.000406265,0.004371643,-0.00201416,0,
00:00.5,0.000497818,0.004371643,-0.00201416,0,
00:00.5,0.000497818,0.004365921,-0.002008438,0,
00:00.5,0.000497818,0.004377365,-0.002025604,0,
00:00.5,0.00053215,0.004388809,-0.002031326,0,
00:00.5,0.000635147,0.004388809,-0.00201416,0,
00:00.5,0.00053215,0.004388809,-0.001996994,0,
00:00.5,0.000423431,0.004383087,-0.001996994,0,
00:00.5,0.000486374,0.004388809,-0.002031326,0,
00:00.5,0.000549316,0.004394531,-0.002019882,0,
00:00.5,0.000572205,0.004400253,-0.002019882,0,
00:00.5,0.000543594,0.004388809,-0.001979828,0,
00:00.5,0.000514984,0.004383087,-0.001991272,0,
00:00.5,0.00050354,0.004388809,-0.002031326,0,
00:00.5,0.00047493,0.004377365,-0.002037048,0,
00:00.5,0.000463486,0.004365921,-0.001991272,0,
00:00.5,0.000497818,0.004400253,-0.002008438,0,
00:00.5,0.00047493,0.004400253,-0.002031326,0,
00:00.5,0.000572205,0.004388809,-0.002019882,0,
00:00.5,0.00056076,0.004388809,-0.002025604,0,
00:00.6,0.000480652,0.004354477,-0.001996994,0,
00:00.6,0.00050354,0.004360199,-0.00198555,0,
00:00.6,0.00047493,0.004377365,-0.00201416,0,
00:00.6,0.000486374,0.004411697,-0.002025604,0,
00:00.6,0.000457764,0.004394531,-0.00198555,0,
00:00.6,0.000492096,0.004371643,-0.001979828,0,
00:00.6,0.000526428,0.004394531,-0.001979828,0,
00:00.6,0.000463486,0.004383087,-0.001996994,0,
00:00.6,0.000520706,0.004360199,-0.00201416,0,
00:00.6,0.000572205,0.004388809,-0.002054214,0,
00:00.6,0.000543594,0.004400253,-0.002037048,0,
00:00.6,0.000509262,0.004388809,-0.001991272,0,
00:00.6,0.000497818,0.004377365,-0.002002716,0,
00:00.6,0.00047493,0.004371643,-0.002002716,0,
00:00.6,0.000469208,0.004383087,-0.001962662,0,
00:00.6,0.00047493,0.004400253,-0.001996994,0,
00:00.6,0.000566483,0.004400253,-0.002019882,0,
00:00.6,0.000537872,0.004400253,-0.001996994,0,
00:00.6,0.000452042,0.004371643,-0.001979828,0,
00:00.6,0.000497818,0.004371643,-0.002008438,0,
00:00.6,0.000537872,0.004388809,-0.002002716,0,
00:00.6,0.000497818,0.004405975,-0.001979828,0,
00:00.6,0.000429153,0.004365921,-0.00198555,0,
00:00.6,0.00053215,0.004365921,-0.002008438,0,
00:00.6,0.000555038,0.004400253,-0.002037048,0,
00:00.7,0.000514984,0.004394531,-0.002002716,0,
00:00.7,0.000549316,0.004388809,-0.001996994,0,
00:00.7,0.00050354,0.004383087,-0.001991272,0,
00:00.7,0.00047493,0.004365921,-0.002002716,0,
00:00.7,0.000469208,0.004365921,-0.001945496,0,
00:00.7,0.000486374,0.004383087,-0.001979828,0,
00:00.7,0.000549316,0.004423141,-0.002008438,0,
00:00.7,0.00053215,0.004400253,-0.002002716,0,
00:00.7,0.000497818,0.004371643,-0.002008438,0,
00:00.7,0.000492096,0.004383087,-0.001991272,0,
00:00.7,0.00050354,0.004411697,-0.002008438,0,
00:00.7,0.000520706,0.004388809,-0.002037048,0,
00:00.7,0.000555038,0.004371643,-0.001996994,0,
00:00.7,0.000452042,0.004371643,-0.002002716,0,
00:00.7,0.000417709,0.004354477,-0.002002716,0,
00:00.7,0.000463486,0.004377365,-0.001991272,0,
00:00.7,0.000526428,0.004405975,-0.001974106,0,
00:00.7,0.000566483,0.004394531,-0.001996994,0,
00:00.7,0.000514984,0.004383087,-0.00201416,0,
00:00.7,0.000497818,0.004354477,-0.001979828,0,
00:00.7,0.000497818,0.004365921,-0.00201416,0,
00:00.7,0.000486374,0.004388809,-0.001991272,0,
00:00.7,0.000492096,0.004383087,-0.001968384,0,
00:00.7,0.000520706,0.004400253,-0.00201416,0,
00:00.7,0.000520706,0.004400253,-0.002002716,0,
00:00.8,0.000486374,0.004383087,-0.00201416,0,
00:00.8,0.000509262,0.004371643,-0.001996994,0,
00:00.8,0.000543594,0.004383087,-0.001968384,0,
00:00.8,0.000555038,0.004371643,-0.00198555,0,
00:00.8,0.00053215,0.004394531,-0.00204277,0,
00:00.8,0.000457764,0.004405975,-0.00198555,0,
00:00.8,0.000457764,0.004383087,-0.001979828,0,
00:00.8,0.000452042,0.004371643,-0.001968384,0,
00:00.8,0.00044632,0.004365921,-0.00198555,0,
00:00.8,0.000537872,0.004383087,-0.001996994,0,
00:00.8,0.000486374,0.004365921,-0.001974106,0,
00:00.8,0.000429153,0.004337311,-0.001974106,0,
00:00.8,0.000549316,0.004394531,-0.002059937,0,
00:00.8,0.000486374,0.004383087,-0.002048492,0,
00:00.8,0.000463486,0.004383087,-0.001979828,0,
00:00.8,0.000514984,0.004383087,-0.00195694,0,
00:00.8,0.000497818,0.004365921,-0.001991272,0,
00:00.8,0.00047493,0.004360199,-0.00198555,0,
00:00.8,0.00053215,0.004400253,-0.00198555,0,
00:00.8,0.000526428,0.004394531,-0.001979828,0,
00:00.8,0.000480652,0.004365921,-0.002002716,0,
00:00.8,0.00044632,0.004348755,-0.002002716,0,
00:00.8,0.000509262,0.004383087,-0.00198555,0,
00:00.8,0.00053215,0.004394531,-0.00201416,0,
00:00.8,0.000520706,0.004388809,-0.00201416,0,
00:00.9,0.000520706,0.004400253,-0.001979828,0,
00:00.9,0.000555038,0.004411697,-0.001951218,0,
