Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000492096,-0.003381729,-0.006362915,0,
00:00.0,0.000486374,-0.003404617,-0.006357193,0,
00:00.0,0.000492096,-0.003404617,-0.006340027,0,
00:00.0,0.00050354,-0.003381729,-0.006345749,0,
00:00.0,0.00050354,-0.003381729,-0.006351471,0,
00:00.0,0.000514984,-0.003370285,-0.006340027,0,
00:00.0,0.000497818,-0.003381729,-0.006351471,0,
00:00.0,0.00050354,-0.003376007,-0.006351471,0,
00:00.0,0.00050354,-0.003376007,-0.006362915,0,
00:00.0,0.000480652,-0.003410339,-0.006317139,0,
00:00.0,0.000480652,-0.003370285,-0.006299973,0,
00:00.0,0.000457764,-0.003364563,-0.006317139,0,
00:00.0,0.000497818,-0.003370285,-0.006328583,0,
00:00.1,0.000514984,-0.003364563,-0.006322861,0,
00:00.1,0.000514984,-0.003347397,-0.006328583,0,
00:00.1,0.000520706,-0.003341675,-0.006334305,0,
00:00.1,0.000480652,-0.003376007,-0.006322861,0,
00:00.1,0.000480652,-0.003358841,-0.006311417,0,
00:00.1,0.000486374,-0.003364563,-0.006311417,0,
00:00.1,0.000486374,-0.003376007,-0.006311417,0,
00:00.1,0.00047493,-0.003364563,-0.006305695,0,
00:00.1,0.000492096,-0.003358841,-0.006288528,0,
00:00.1,0.000492096,-0.003364563,-0.006299973,0,
00:00.1,0.000423431,-0.003358841,-0.006305695,0,
00:00.1,0.000480652,-0.003347397,-0.00629425,0,
00:00.1,0.000543594,-0.003335953,-0.006317139,0,
00:00.1,0.000514984,-0.003335953,-0.006311417,0,
00:00.1,0.000492096,-0.003347397,-0.006311417,0,
00:00.1,0.000492096,-0.003353119,-0.006305695,0,
00:00.1,0.000492096,-0.003335953,-0.006305695,0,
00:00.1,0.000486374,-0.003341675,-0.006311417,0,
00:00.1,0.000492096,-0.003353119,-0.006299973,0,
00:00.1,0.00050354,-0.003341675,-0.006288528,0,
00:00.1,0.000497818,-0.003347397,-0.006288528,0,
00:00.1,0.000480652,-0.003358841,-0.006277084,0,
00:00.1,0.000480652,-0.003335953,-0.006271362,0,
00:00.1,0.000486374,-0.003335953,-0.006271362,0,
00:00.1,0.000486374,-0.003341675,-0.006271362,0,
00:00.2,0.000492096,-0.003341675,-0.006277084,0,
00:00.2,0.000492096,-0.003335953,-0.006282806,0,
00:00.2,0.000486374,-0.003335953,-0.006282806,0,
00:00.2,0.000480652,-0.003335953,-0.006271362,0,
00:00.2,0.000492096,-0.003313065,-0.006271362,0,
00:00.2,0.000497818,-0.003307343,-0.00626564,0,
00:00.2,0.000492096,-0.003313065,-0.006282806,0,
00:00.2,0.00047493,-0.003307343,-0.006288528,0,
00:00.2,0.000486374,-0.00330162,-0.006271362,0,
00:00.2,0.00050354,-0.00330162,-0.00626564,0,
00:00.2,0.00050354,-0.003307343,-0.00626564,0,
00:00.2,0.000486374,-0.003307343,-0.006259918,0,
00:00.2,0.000480652,-0.00330162,-0.00626564,0,
00:00.2,0.000492096,-0.00330162,-0.00626564,0,
00:00.2,0.00050354,-0.003290176,-0.006254196,0,
00:00.2,0.000486374,-0.003284454,-0.006259918,0,
00:00.2,0.000486374,-0.003284454,-0.006242752,0,
00:00.2,0.000480652,-0.003324509,-0.00623703,0,
00:00.2,0.000469208,-0.003324509,-0.006231308,0,
00:00.2,0.000480652,-0.003313065,-0.006231308,0,
00:00.2,0.000486374,-0.003290176,-0.006231308,0,
00:00.2,0.000492096,-0.003278732,-0.006231308,0,
00:00.2,0.000486374,-0.003284454,-0.006225586,0,
00:00.2,0.000457764,-0.003290176,-0.006219864,0,
00:00.2,0.000406265,-0.003313065,-0.006214142,0,
00:00.3,0.000452042,-0.003295898,-0.006214142,0,
00:00.3,0.000514984,-0.00330162,-0.00623703,0,
00:00.3,0.00050354,-0.00330162,-0.00623703,0,
00:00.3,0.000497818,-0.003284454,-0.006214142,0,
00:00.3,0.000492096,-0.003284454,-0.006202698,0,
00:00.3,0.000469208,-0.003278732,-0.00623703,0,
00:00.3,0.000480652,-0.003278732,-0.006231308,0,
00:00.3,0.000469208,-0.003284454,-0.006225586,0,
00:00.3,0.000469208,-0.003284454,-0.006202698,0,
00:00.3,0.000463486,-0.003295898,-0.006202698,0,
00:00.3,0.000463486,-0.003290176,-0.006214142,0,
00:00.3,0.000492096,-0.0032444,-0.00620842,0,
00:00.3,0.000480652,-0.003278732,-0.006196976,0,
00:00.3,0.000457764,-0.003295898,-0.006219864,0,
00:00.3,0.000463486,-0.003290176,-0.00620842,0,
00:00.3,0.000463486,-0.003295898,-0.006202698,0,
00:00.3,0.000469208,-0.003278732,-0.006191254,0,
00:00.3,0.000469208,-0.003267288,-0.006191254,0,
00:00.3,0.000463486,-0.003284454,-0.006191254,0,
00:00.3,0.000469208,-0.003278732,-0.00617981,0,
00:00.3,0.000480652,-0.003255844,-0.006185532,0,
00:00.3,0.000492096,-0.0032444,-0.006196976,0,
00:00.3,0.000480652,-0.003250122,-0.006185532,0,
00:00.3,0.000469208,-0.003255844,-0.006168365,0,
00:00.3,0.000480652,-0.0032444,-0.006174088,0,
00:00.4,0.000480652,-0.003250122,-0.00617981,0,
00:00.4,0.000457764,-0.003255844,-0.006162643,0,
00:00.4,0.000457764,-0.003267288,-0.006156921,0,
00:00.4,0.000463486,-0.003284454,-0.006151199,0,
00:00.4,0.000463486,-0.00327301,-0.006145477,0,
00:00.4,0.000469208,-0.003255844,-0.006145477,0,
00:00.4,0.000469208,-0.003250122,-0.006151199,0,
00:00.4,0.000469208,-0.003255844,-0.006151199,0,
00:00.4,0.000469208,-0.003250122,-0.006156921,0,
00:00.4,0.000463486,-0.003255844,-0.006151199,0,
00:00.4,0.000429153,-0.003255844,-0.006151199,0,
00:00.4,0.000366211,-0.00327301,-0.006122589,0,
00:00.4,0.000406265,-0.003261566,-0.006116867,0,
00:00.4,0.00053215,-0.0032444,-0.006156921,0,
00:00.4,0.000509262,-0.003250122,-0.006162643,0,
00:00.4,0.000463486,-0.003255844,-0.006151199,0,
00:00.4,0.00044632,-0.003238678,-0.006111145,0,
00:00.4,0.00047493,-0.003250122,-0.006145477,0,
00:00.4,0.000497818,-0.003250122,-0.006145477,0,
00:00.4,0.000480652,-0.0032444,-0.006134033,0,
00:00.4,0.000492096,-0.003232956,-0.006134033,0,
00:00.4,0.000469208,-0.0032444,-0.006128311,0,
00:00.4,0.000452042,-0.003255844,-0.006105423,0,
00:00.4,0.000469208,-0.003227234,-0.006105423,0,
00:00.4,0.000463486,-0.003250122,-0.006105423,0,
00:00.5,0.000463486,-0.003232956,-0.006116867,0,
00:00.5,0.00047493,-0.003232956,-0.006122589,0,
00:00.5,0.00047493,-0.003232956,-0.006122589,0,
00:00.5,0.00047493,-0.00321579,-0.006116867,0,
00:00.5,0.000469208,-0.003238678,-0.006105423,0,
00:00.5,0.00047493,-0.003232956,-0.006105423,0,
00:00.5,0.00047493,-0.003232956,-0.006099701,0,
00:00.5,0.000480652,-0.00321579,-0.006105423,0,
00:00.5,0.000469208,-0.003210068,-0.006111145,0,
00:00.5,0.000457764,-0.003232956,-0.006088257,0,
00:00.5,0.000457764,-0.003232956,-0.006093979,0,
00:00.5,0.000457764,-0.003204346,-0.006088257,0,
00:00.5,0.000457764,-0.003192902,-0.006093979,0,
00:00.5,0.000463486,-0.003232956,-0.006076813,0,
00:00.5,0.00047493,-0.00321579,-0.006088257,0,
00:00.5,0.000452042,-0.003221512,-0.006071091,0,
00:00.5,0.000383377,-0.003210068,-0.006048203,0,
00:00.5,0.000371933,-0.003192902,-0.00604248,0,
00:00.5,0.00050354,-0.003192902,-0.006082535,0,
00:00.5,0.000537872,-0.003181458,-0.006071091,0,
00:00.5,0.000497818,-0.00318718,-0.006071091,0,
00:00.5,0.000463486,-0.003221512,-0.006071091,0,
00:00.5,0.000452042,-0.003210068,-0.006059647,0,
00:00.5,0.000469208,-0.003204346,-0.006059647,0,
00:00.5,0.000497818,-0.003170013,-0.006071091,0,
00:00.6,0.00047493,-0.003181458,-0.006065369,0,
00:00.6,0.00047493,-0.00321579,-0.006048203,0,
00:00.6,0.000469208,-0.003204346,-0.006053925,0,
00:00.6,0.000469208,-0.003192902,-0.006048203,0,
00:00.6,0.000469208,-0.003198624,-0.006048203,0,
00:00.6,0.000469208,-0.00318718,-0.00604248,0,
00:00.6,0.00047493,-0.00318718,-0.006048203,0,
00:00.6,0.000457764,-0.003204346,-0.006048203,0,
00:00.6,0.000452042,-0.00318718,-0.00604248,0,
00:00.6,0.000452042,-0.003198624,-0.006031036,0,
00:00.6,0.000463486,-0.003164291,-0.006031036,0,
00:00.6,0.000457764,-0.003170013,-0.006036758,0,
00:00.6,0.000452042,-0.003221512,-0.006025314,0,
00:00.6,0.000463486,-0.003204346,-0.006008148,0,
00:00.6,0.000452042,-0.003192902,-0.005996704,0,
00:00.6,0.000457764,-0.003181458,-0.006002426,0,
00:00.6,0.000469208,-0.00318718,-0.005996704,0,
00:00.6,0.000469208,-0.00318718,-0.006008148,0,
00:00.6,0.00044632,-0.003181458,-0.006036758,0,
00:00.6,0.000452042,-0.00318718,-0.005996704,0,
00:00.6,0.000411987,-0.003198624,-0.006008148,0,
00:00.6,0.000383377,-0.003210068,-0.006008148,0,
00:00.6,0.000480652,-0.003204346,-0.005996704,0,
00:00.6,0.00050354,-0.003181458,-0.005990982,0,
00:00.6,0.000486374,-0.003175735,-0.005990982,0,
00:00.7,0.000486374,-0.003170013,-0.00598526,0,
00:00.7,0.000469208,-0.003181458,-0.005979538,0,
00:00.7,0.00047493,-0.003164291,-0.00598526,0,
00:00.7,0.000469208,-0.003181458,-0.005973816,0,
00:00.7,0.000463486,-0.003170013,-0.005973816,0,
00:00.7,0.000463486,-0.003175735,-0.005968094,0,
00:00.7,0.000469208,-0.003175735,-0.00595665,0,
00:00.7,0.000463486,-0.003164291,-0.005962372,0,
00:00.7,0.00047493,-0.003158569,-0.005962372,0,
00:00.7,0.000457764,-0.003170013,-0.00595665,0,
00:00.7,0.000452042,-0.003170013,-0.005950928,0,
00:00.7,0.000457764,-0.003175735,-0.005945206,0,
00:00.7,0.000457764,-0.003164291,-0.005950928,0,
00:00.7,0.000463486,-0.003152847,-0.005945206,0,
00:00.7,0.000457764,-0.003158569,-0.005950928,0,
00:00.7,0.000469208,-0.003147125,-0.005950928,0,
00:00.7,0.000469208,-0.003164291,-0.005939484,0,
00:00.7,0.000457764,-0.003164291,-0.005939484,0,
00:00.7,0.000457764,-0.003164291,-0.005933762,0,
00:00.7,0.000452042,-0.003158569,-0.00592804,0,
00:00.7,0.000411987,-0.003158569,-0.005922318,0,
00:00.7,0.000400543,-0.003198624,-0.005905151,0,
00:00.7,0.000469208,-0.003181458,-0.00592804,0,
00:00.7,0.00050354,-0.003158569,-0.005939484,0,
00:00.7,0.000486374,-0.003147125,-0.00592804,0,
00:00.8,0.00047493,-0.003141403,-0.005922318,0,
00:00.8,0.00047493,-0.003124237,-0.005916595,0,
00:00.8,0.000463486,-0.003141403,-0.005916595,0,
00:00.8,0.000452042,-0.003152847,-0.005910873,0,
00:00.8,0.000457764,-0.003147125,-0.005905151,0,
00:00.8,0.000463486,-0.003147125,-0.005893707,0,
00:00.8,0.000452042,-0.003147125,-0.005887985,0,
00:00.8,0.000463486,-0.003141403,-0.005905151,0,
00:00.8,0.000469208,-0.003135681,-0.005876541,0,
00:00.8,0.000463486,-0.003164291,-0.005870819,0,
00:00.8,0.000463486,-0.003152847,-0.005876541,0,
00:00.8,0.000469208,-0.003129959,-0.005876541,0,
00:00.8,0.000463486,-0.003124237,-0.005876541,0,
00:00.8,0.000463486,-0.003124237,-0.005870819,0,
00:00.8,0.00047493,-0.003129959,-0.005865097,0,
00:00.8,0.000469208,-0.003118515,-0.005876541,0,
00:00.8,0.000429153,-0.003107071,-0.005876541,0,
00:00.8,0.000411987,-0.003084183,-0.005859375,0,
00:00.8,0.000457764,-0.003141403,-0.005865097,0,
00:00.8,0.000492096,-0.003129959,-0.005876541,0,
00:00.8,0.000480652,-0.003118515,-0.005876541,0,
00:00.8,0.000469208,-0.003124237,-0.005859375,0,
00:00.8,0.000469208,-0.003107071,-0.005847931,0,
00:00.8,0.000457764,-0.003118515,-0.005853653,0,
00:00.8,0.000452042,-0.003124237,-0.005853653,0,
00:00.9,0.000463486,-0.003124237,-0.005859375,0,
00:00.9,0.00047493,-0.003101349,-0.005853653,0,
00:00.9,0.000463486,-0.003101349,-0.005859375,0,
00:00.9,0.000457764,-0.003118515,-0.005836487,0,
00:00.9,0.000463486,-0.003112793,-0.005830765,0,
00:00.9,0.000457764,-0.003118515,-0.005825043,0,
00:00.9,0.000457764,-0.003112793,-0.005825043,0,
00:00.9,0.000457764,-0.003101349,-0.005830765,0,
00:00.9,0.000463486,-0.003095627,-0.005830765,0,
00:00.9,0.000463486,-0.003084183,-0.005830765,0,
00:00.9,0.000457764,-0.003084183,-0.005830765,0,
00:00.9,0.000463486,-0.003084183,-0.005819321,0,
00:00.9,0.000480652,-0.003072739,-0.005836487,0,
00:00.9,0.000457764,-0.003084183,-0.005847931,0,
00:00.9,0.000457764,-0.003078461,-0.005830765,0,
00:00.9,0.000452042,-0.003107071,-0.005807877,0,
00:00.9,0.000463486,-0.003089905,-0.00579071,0,
00:00.9,0.000463486,-0.003084183,-0.005802155,0,
00:00.9,0.00044632,-0.003089905,-0.00579071,0,
