Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001424789,-0.001401901,-0.00822258,0,
00:00.0,0.001436234,-0.001396179,-0.008216858,0,
00:00.0,0.001424789,-0.001396179,-0.00819397,0,
00:00.0,0.001424789,-0.001396179,-0.008188248,0,
00:00.0,0.001424789,-0.001401901,-0.008199692,0,
00:00.0,0.001436234,-0.001390457,-0.008182526,0,
00:00.0,0.001419067,-0.001396179,-0.008182526,0,
00:00.0,0.001424789,-0.001390457,-0.008176804,0,
00:00.0,0.001424789,-0.001396179,-0.008165359,0,
00:00.0,0.001424789,-0.001407623,-0.008159637,0,
00:00.0,0.001430511,-0.001396179,-0.008165359,0,
00:00.0,0.001459122,-0.001390457,-0.008165359,0,
00:00.0,0.001424789,-0.001396179,-0.008159637,0,
00:00.1,0.001401901,-0.001413345,-0.008136749,0,
00:00.1,0.001419067,-0.001419067,-0.008125305,0,
00:00.1,0.001419067,-0.001424789,-0.008113861,0,
00:00.1,0.001430511,-0.001419067,-0.008102417,0,
00:00.1,0.001424789,-0.001413345,-0.008090973,0,
00:00.1,0.001430511,-0.001413345,-0.008102417,0,
00:00.1,0.001424789,-0.001413345,-0.008090973,0,
00:00.1,0.001419067,-0.001419067,-0.008073807,0,
00:00.1,0.001419067,-0.001419067,-0.008073807,0,
00:00.1,0.001419067,-0.001413345,-0.008068085,0,
00:00.1,0.001413345,-0.001419067,-0.008062363,0,
00:00.1,0.001413345,-0.001413345,-0.008068085,0,
00:00.1,0.001424789,-0.001407623,-0.008062363,0,
00:00.1,0.001419067,-0.001396179,-0.008056641,0,
00:00.1,0.001413345,-0.001401901,-0.008039474,0,
00:00.1,0.001419067,-0.001413345,-0.008033752,0,
00:00.1,0.001424789,-0.001407623,-0.008033752,0,
00:00.1,0.001436234,-0.001396179,-0.008050919,0,
00:00.1,0.001413345,-0.001401901,-0.008033752,0,
00:00.1,0.001401901,-0.001413345,-0.008016586,0,
00:00.1,0.001401901,-0.001413345,-0.008005142,0,
00:00.1,0.001401901,-0.001407623,-0.007993698,0,
00:00.1,0.001401901,-0.001419067,-0.00799942,0,
00:00.1,0.001419067,-0.001413345,-0.007993698,0,
00:00.1,0.001396179,-0.001413345,-0.008005142,0,
00:00.2,0.001396179,-0.001424789,-0.007982254,0,
00:00.2,0.001407623,-0.001424789,-0.00797081,0,
00:00.2,0.001401901,-0.001424789,-0.007965088,0,
00:00.2,0.001396179,-0.001419067,-0.007965088,0,
00:00.2,0.001396179,-0.001424789,-0.007947922,0,
00:00.2,0.001390457,-0.001430511,-0.007930756,0,
00:00.2,0.001384735,-0.001424789,-0.007913589,0,
00:00.2,0.001401901,-0.001419067,-0.007925034,0,
00:00.2,0.001413345,-0.001413345,-0.007936478,0,
00:00.2,0.001373291,-0.001407623,-0.007913589,0,
00:00.2,0.001390457,-0.001407623,-0.007890701,0,
00:00.2,0.001401901,-0.001413345,-0.007913589,0,
00:00.2,0.001407623,-0.001419067,-0.007902145,0,
00:00.2,0.001396179,-0.001419067,-0.007890701,0,
00:00.2,0.001401901,-0.001424789,-0.007879257,0,
00:00.2,0.001407623,-0.001424789,-0.007884979,0,
00:00.2,0.001396179,-0.001424789,-0.007867813,0,
00:00.2,0.001396179,-0.001419067,-0.007856369,0,
00:00.2,0.001396179,-0.001430511,-0.007844925,0,
00:00.2,0.001401901,-0.001430511,-0.007844925,0,
00:00.2,0.001407623,-0.001430511,-0.007844925,0,
00:00.2,0.001413345,-0.001419067,-0.007844925,0,
00:00.2,0.001390457,-0.001424789,-0.007827759,0,
00:00.2,0.001401901,-0.001413345,-0.007822037,0,
00:00.2,0.001384735,-0.001419067,-0.007816315,0,
00:00.3,0.001396179,-0.001419067,-0.007799149,0,
00:00.3,0.001396179,-0.001413345,-0.007799149,0,
00:00.3,0.001401901,-0.001401901,-0.007804871,0,
00:00.3,0.001384735,-0.001401901,-0.007793427,0,
00:00.3,0.001390457,-0.001401901,-0.007781982,0,
00:00.3,0.001390457,-0.001401901,-0.007770538,0,
00:00.3,0.001401901,-0.001401901,-0.007770538,0,
00:00.3,0.001384735,-0.001419067,-0.00777626,0,
00:00.3,0.001367569,-0.001419067,-0.007759094,0,
00:00.3,0.001373291,-0.001424789,-0.007736206,0,
00:00.3,0.001384735,-0.001413345,-0.00771904,0,
00:00.3,0.001384735,-0.001419067,-0.00771904,0,
00:00.3,0.001396179,-0.001413345,-0.007713318,0,
00:00.3,0.001384735,-0.001413345,-0.007713318,0,
00:00.3,0.001373291,-0.001419067,-0.007696152,0,
00:00.3,0.001373291,-0.001413345,-0.007696152,0,
00:00.3,0.001379013,-0.001401901,-0.007696152,0,
00:00.3,0.001379013,-0.001407623,-0.007701874,0,
00:00.3,0.001384735,-0.001396179,-0.007696152,0,
00:00.3,0.001384735,-0.001396179,-0.007678986,0,
00:00.3,0.001373291,-0.001396179,-0.007678986,0,
00:00.3,0.001390457,-0.001390457,-0.007661819,0,
00:00.3,0.001384735,-0.001396179,-0.007667542,0,
00:00.3,0.001367569,-0.001390457,-0.007661819,0,
00:00.3,0.001373291,-0.001390457,-0.007644653,0,
00:00.4,0.001373291,-0.001401901,-0.007627487,0,
00:00.4,0.001384735,-0.001401901,-0.007633209,0,
00:00.4,0.001384735,-0.001396179,-0.007633209,0,
