Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000509262,0.000360489,-0.004800797,0,
00:00.0,0.000520706,0.000406265,-0.004812241,0,
00:00.0,0.000526428,0.000429153,-0.004789352,0,
00:00.0,0.000520706,0.000383377,-0.004760742,0,
00:00.0,0.00050354,0.000377655,-0.004777908,0,
00:00.0,0.000486374,0.000360489,-0.004777908,0,
00:00.0,0.000497818,0.000366211,-0.004766464,0,
00:00.0,0.000520706,0.000383377,-0.00475502,0,
00:00.0,0.000514984,0.000383377,-0.00475502,0,
00:00.0,0.000514984,0.000389099,-0.004749298,0,
00:00.0,0.000514984,0.000411987,-0.004760742,0,
00:00.0,0.000509262,0.000406265,-0.00478363,0,
00:00.0,0.00050354,0.000366211,-0.004749298,0,
00:00.1,0.000497818,0.000366211,-0.004709244,0,
00:00.1,0.00050354,0.000383377,-0.004714966,0,
00:00.1,0.00050354,0.000377655,-0.004714966,0,
00:00.1,0.00050354,0.000389099,-0.004720688,0,
00:00.1,0.00050354,0.000394821,-0.004714966,0,
00:00.1,0.000514984,0.000406265,-0.004703522,0,
00:00.1,0.00053215,0.000423431,-0.004703522,0,
00:00.1,0.000497818,0.000377655,-0.004709244,0,
00:00.1,0.000486374,0.000366211,-0.0046978,0,
00:00.1,0.000492096,0.000377655,-0.004680634,0,
00:00.1,0.000509262,0.000411987,-0.004692078,0,
00:00.1,0.000514984,0.000429153,-0.0046978,0,
00:00.1,0.000492096,0.000377655,-0.004680634,0,
00:00.1,0.000486374,0.000366211,-0.004669189,0,
00:00.1,0.000492096,0.000371933,-0.004669189,0,
00:00.1,0.00050354,0.000394821,-0.004657745,0,
00:00.1,0.000509262,0.000400543,-0.004652023,0,
00:00.1,0.000509262,0.000400543,-0.004669189,0,
00:00.1,0.00050354,0.000400543,-0.004669189,0,
00:00.1,0.000486374,0.000354767,-0.004663467,0,
00:00.1,0.000497818,0.000371933,-0.004652023,0,
00:00.1,0.00050354,0.000400543,-0.004646301,0,
00:00.1,0.000497818,0.000406265,-0.004634857,0,
00:00.1,0.000520706,0.000440598,-0.004629135,0,
00:00.1,0.000509262,0.000417709,-0.004634857,0,
00:00.2,0.00047493,0.000360489,-0.004611969,0,
00:00.2,0.000486374,0.000377655,-0.004594803,0,
00:00.2,0.000497818,0.000406265,-0.004594803,0,
00:00.2,0.000497818,0.000411987,-0.004606247,0,
00:00.2,0.000497818,0.000411987,-0.004600525,0,
00:00.2,0.000497818,0.000400543,-0.004589081,0,
00:00.2,0.000509262,0.000417709,-0.004583359,0,
00:00.2,0.000526428,0.00047493,-0.004600525,0,
00:00.2,0.000480652,0.000371933,-0.004594803,0,
00:00.2,0.000463486,0.000343323,-0.004549026,0,
00:00.2,0.000480652,0.000371933,-0.004543304,0,
00:00.2,0.000492096,0.000389099,-0.004543304,0,
00:00.2,0.00050354,0.000423431,-0.004560471,0,
00:00.2,0.000509262,0.000429153,-0.004571915,0,
00:00.2,0.000492096,0.000417709,-0.004543304,0,
00:00.2,0.000486374,0.000389099,-0.004520416,0,
