Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000160217,-0.000434875,-0.007164001,0,
00:00.0,0.000143051,-0.000440598,-0.007146835,0,
00:00.0,0.000143051,-0.000434875,-0.007146835,0,
00:00.0,9.73E-05,-0.000434875,-0.007152557,0,
00:00.0,9.73E-05,-0.000429153,-0.007152557,0,
00:00.0,0.000114441,-0.000423431,-0.007123947,0,
00:00.0,0.000120163,-0.000417709,-0.007135391,0,
00:00.0,9.16E-05,-0.000429153,-0.007141113,0,
00:00.0,0.000148773,-0.000434875,-0.007141113,0,
00:00.0,0.000131607,-0.000423431,-0.007152557,0,
00:00.0,0.000102997,-0.000423431,-0.007164001,0,
00:00.0,0.000125885,-0.000423431,-0.007129669,0,
00:00.0,0.000131607,-0.000429153,-0.007118225,0,
00:00.1,0.000143051,-0.000423431,-0.007141113,0,
00:00.1,0.000120163,-0.000429153,-0.007141113,0,
00:00.1,0.000114441,-0.000423431,-0.007169724,0,
00:00.1,0.000114441,-0.000429153,-0.007141113,0,
00:00.1,0.000165939,-0.000423431,-0.007158279,0,
00:00.1,0.000148773,-0.000434875,-0.007158279,0,
00:00.1,0.000125885,-0.000434875,-0.007141113,0,
00:00.1,0.000125885,-0.000434875,-0.007158279,0,
00:00.1,8.58E-05,-0.000434875,-0.007129669,0,
00:00.1,8.01E-05,-0.000440598,-0.007129669,0,
00:00.1,0.000148773,-0.000434875,-0.007152557,0,
00:00.1,9.73E-05,-0.000440598,-0.007164001,0,
00:00.1,0.000108719,-0.000440598,-0.007192612,0,
00:00.1,0.000131607,-0.00044632,-0.007181168,0,
00:00.1,7.44E-05,-0.000440598,-0.007123947,0,
00:00.1,9.73E-05,-0.000429153,-0.007152557,0,
00:00.1,7.44E-05,-0.000440598,-0.007152557,0,
00:00.1,0.000120163,-0.000440598,-0.007164001,0,
00:00.1,0.000102997,-0.000440598,-0.007169724,0,
00:00.1,0.000125885,-0.000452042,-0.007175446,0,
00:00.1,0.000143051,-0.000434875,-0.007135391,0,
00:00.1,0.000120163,-0.000440598,-0.007164001,0,
00:00.1,9.73E-05,-0.000434875,-0.007152557,0,
00:00.1,0.000131607,-0.000417709,-0.007141113,0,
00:00.1,0.000108719,-0.000429153,-0.007152557,0,
00:00.2,6.87E-05,-0.000423431,-0.007146835,0,
