Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000549316,0.003633499,0.018447876,0,
00:00.0,-0.000555038,0.003627777,0.018453598,0,
00:00.0,-0.00056076,0.003622055,0.018453598,0,
00:00.0,-0.000572205,0.003622055,0.01848793,0,
00:00.0,-0.000549316,0.003639221,0.018465042,0,
00:00.0,-0.000549316,0.003644943,0.018436432,0,
00:00.0,-0.000537872,0.003639221,0.01843071,0,
00:00.0,-0.000543594,0.003639221,0.018442154,0,
00:00.0,-0.000537872,0.003656387,0.018453598,0,
00:00.0,-0.000549316,0.003644943,0.018453598,0,
00:00.0,-0.000549316,0.003627777,0.018453598,0,
00:00.0,-0.000549316,0.003604889,0.018447876,0,
00:00.0,-0.000549316,0.003644943,0.018453598,0,
00:00.1,-0.000549316,0.003656387,0.018447876,0,
00:00.1,-0.000549316,0.003639221,0.01843071,0,
00:00.1,-0.000549316,0.003639221,0.018442154,0,
00:00.1,-0.000555038,0.003639221,0.018453598,0,
00:00.1,-0.000549316,0.003639221,0.01845932,0,
00:00.1,-0.000543594,0.003656387,0.018447876,0,
00:00.1,-0.000549316,0.003662109,0.018447876,0,
00:00.1,-0.000549316,0.003644943,0.018453598,0,
00:00.1,-0.000549316,0.003627777,0.018447876,0,
00:00.1,-0.00056076,0.003633499,0.018453598,0,
00:00.1,-0.000566483,0.003656387,0.018453598,0,
00:00.1,-0.000549316,0.003662109,0.018453598,0,
00:00.1,-0.000566483,0.003633499,0.018465042,0,
00:00.1,-0.000543594,0.003627777,0.018442154,0,
00:00.1,-0.000549316,0.003633499,0.018447876,0,
00:00.1,-0.000537872,0.003662109,0.018442154,0,
00:00.1,-0.000549316,0.003650665,0.018453598,0,
00:00.1,-0.000555038,0.003633499,0.018436432,0,
00:00.1,-0.000549316,0.003627777,0.018442154,0,
00:00.1,-0.000549316,0.003644943,0.018442154,0,
00:00.1,-0.000549316,0.003667831,0.018453598,0,
00:00.1,-0.000555038,0.003662109,0.018453598,0,
00:00.1,-0.000549316,0.003644943,0.018436432,0,
00:00.1,-0.000549316,0.003633499,0.018436432,0,
00:00.1,-0.000555038,0.003650665,0.018442154,0,
00:00.2,-0.000555038,0.003662109,0.018447876,0,
00:00.2,-0.00056076,0.003650665,0.018453598,0,
00:00.2,-0.00056076,0.003633499,0.018447876,0,
00:00.2,-0.000543594,0.003627777,0.018442154,0,
00:00.2,-0.000555038,0.003639221,0.018442154,0,
00:00.2,-0.000566483,0.003662109,0.018453598,0,
00:00.2,-0.000543594,0.003662109,0.018447876,0,
00:00.2,-0.000549316,0.003639221,0.018442154,0,
00:00.2,-0.000549316,0.003622055,0.018436432,0,
00:00.2,-0.000566483,0.003639221,0.018442154,0,
00:00.2,-0.000549316,0.003650665,0.018442154,0,
00:00.2,-0.000549316,0.003633499,0.018442154,0,
00:00.2,-0.00056076,0.003622055,0.01845932,0,
00:00.2,-0.000566483,0.003633499,0.018447876,0,
00:00.2,-0.00053215,0.003644943,0.018442154,0,
00:00.2,-0.00053215,0.003667831,0.018447876,0,
00:00.2,-0.000549316,0.003639221,0.018447876,0,
00:00.2,-0.000549316,0.003633499,0.018442154,0,
00:00.2,-0.000549316,0.003644943,0.018453598,0,
00:00.2,-0.000549316,0.003644943,0.018453598,0,
